                  20260421 C福恩 (001312)
 时间	    价格	    成交	笔数	
09:25	   36.51	   10184	4755	
09:30	   36.50	    4425	1914	S	
09:30	   36.50	    7967	3777	B	
09:30	   36.50	    2051	1150	B	
09:30	   36.17	    1019	455	S	
09:30	   35.80	     263	162	S	
09:30	   35.68	     302	121	S	
09:30	   35.51	     499	192	S	
09:30	   35.44	     647	257	S	
09:30	   35.01	     926	297	S	
09:30	   35.01	     951	422	S	
09:30	   35.00	     792	365	S	
09:30	   34.88	     680	293	S	
09:30	   34.71	     758	363	S	
09:30	   34.50	     687	289	S	
09:30	   34.00	     626	286	S	
09:30	   33.88	     926	406	S	
09:30	   33.80	     512	235	S	
09:30	   33.57	    1290	606	S	
09:30	   33.36	     931	411	S	
09:30	   33.10	     941	437	S	
09:31	   33.00	     956	401	S	
09:31	   33.00	    1045	447	B	
09:31	   32.80	    2558	895	S	
09:31	   32.76	    2257	928	S	
09:31	   32.76	    1237	497	B	
09:31	   32.80	    1769	701	B	
09:31	   32.87	    2497	1031	B	
09:31	   33.00	    2259	948	B	
09:31	   33.13	    1384	476	B	
09:31	   33.33	    1054	432	B	
09:31	   33.75	     679	287	B	
09:31	   33.80	    1251	467	B	
09:31	   33.81	     645	352	B	
09:31	   33.89	     752	383	S	
09:31	   34.22	     412	211	B	
09:31	   34.42	     386	202	B	
09:31	   34.51	     667	278	B	
09:31	   34.60	     530	252	B	
09:31	   34.82	     458	224	B	
09:31	   34.85	     534	243	B	
09:32	   34.91	     432	226	B	
09:32	   34.99	     733	366	B	
09:32	   34.99	    1265	473	S	
09:32	   35.00	     808	422	B	
09:32	   35.16	     595	286	B	
09:32	   35.20	     426	166	B	
09:32	   35.21	     462	248	S	
09:32	   35.50	     525	244	B	
09:32	   35.35	     654	432	S	
09:32	   35.51	     818	408	B	
09:32	   35.51	     779	358	B	
09:32	   35.53	     722	326	S	
09:32	   35.60	     677	342	B	
09:32	   35.69	     520	240	B	
09:32	   35.69	     476	245	B	
09:32	   35.69	     389	193	S	
