                  20260423 C福恩 (001312)
 时间	    价格	    成交	笔数	
09:25	   28.47	    2227	548	
09:30	   28.36	     741	138	S	
09:30	   28.39	    1052	232	B	
09:30	   28.39	     382	88	B	
09:30	   28.37	      99	44	S	
09:30	   28.25	     377	57	S	
09:30	   28.20	     372	63	S	
09:30	   28.20	     394	83	S	
09:30	   28.17	     363	73	S	
09:30	   28.12	     194	49	S	
09:30	   28.11	     271	83	S	
09:30	   28.10	     527	113	S	
09:30	   28.09	     296	78	B	
09:30	   28.10	     456	132	
09:30	   28.10	     676	150	S	
09:30	   28.10	     532	113	B	
09:30	   28.10	     408	93	S	
09:30	   28.17	     346	76	B	
09:30	   28.15	     124	29	S	
09:30	   28.20	     181	62	B	
09:30	   28.28	     394	108	B	
09:31	   28.25	      83	31	S	
09:31	   28.23	     267	61	B	
09:31	   28.19	     365	77	S	
09:31	   28.19	     128	45	B	
09:31	   28.15	     111	31	S	
09:31	   28.12	     607	124	S	
09:31	   28.06	     637	101	S	
09:31	   28.06	     225	45	S	
09:31	   28.03	     967	233	S	
09:31	   28.02	     430	116	S	
09:31	   28.00	    1040	214	S	
09:31	   27.98	     371	120	S	
09:31	   27.98	     292	51	B	
09:31	   27.94	     173	58	S	
09:31	   27.93	     146	47	S	
09:31	   27.90	     200	78	S	
09:31	   27.80	     518	148	S	
09:31	   27.84	     719	134	S	
09:31	   27.93	     732	130	B	
09:31	   27.95	     434	97	B	
09:32	   28.00	      99	45	B	
09:32	   28.00	     207	56	B	
09:32	   28.02	     235	69	B	
09:32	   28.06	     163	47	B	
09:32	   28.03	     132	40	S	
09:32	   28.07	     101	35	B	
09:32	   28.10	     184	55	B	
09:32	   28.14	      97	31	B	
09:32	   28.16	     325	67	
09:32	   28.18	      92	23	S	
09:32	   28.17	     287	72	S	
09:32	   28.18	     231	56	S	
09:32	   28.18	     166	39	S	
09:32	   28.02	     373	79	S	
09:32	   28.14	      90	24	B	
09:32	   28.14	      71	19	B	
09:32	   28.13	     104	30	S	
09:32	   28.13	      54	20	B	
09:32	   28.12	      96	18	B	
09:32	   28.13	     151	53	B	
09:33	   28.13	     133	43	B	
09:33	   28.13	     220	64	S	
09:33	   28.13	     132	56	S	
09:33	   28.14	     181	42	S	
09:33	   28.14	     121	28	B	
09:33	   28.14	      82	30	B	
09:33	   28.13	     111	16	S	
09:33	   28.12	      36	15	S	
09:33	   28.13	     162	44	B	
