                  20140515 伟星股份 (002003)
 时间	    价格	    成交	笔数	
09:31	    7.84	       5	0	B	
09:31	    7.84	       5	0	B	
09:31	    7.84	       2	0	B	
09:32	    7.84	      10	0	B	
09:33	    7.84	      30	0	B	
09:33	    7.83	      25	0	S	
09:33	    7.83	     117	0	S	
09:34	    7.85	      13	0	B	
09:34	    7.85	       2	0	B	
09:34	    7.85	      21	0	B	
09:34	    7.80	     170	0	S	
09:35	    7.80	       2	0	S	
09:36	    7.83	       4	0	B	
09:36	    7.81	      30	0	S	
09:37	    7.85	      32	0	B	
09:37	    7.82	       1	0	S	
09:38	    7.82	      50	0	S	
09:38	    7.84	      35	0	B	
09:38	    7.84	       5	0	S	
09:39	    7.84	      15	0	B	
09:39	    7.84	      37	0	S	
09:39	    7.84	      20	0	S	
09:40	    7.84	      81	0	S	
09:40	    7.85	      13	0	B	
09:41	    7.85	      14	0	B	
09:41	    7.84	      79	0	S	
09:42	    7.85	      25	0	B	
09:43	    7.85	      30	0	B	
09:43	    7.85	       9	0	B	
09:43	    7.84	      30	0	S	
09:43	    7.86	      20	0	B	
09:44	    7.86	       5	0	B	
09:44	    7.86	      10	0	B	
09:45	    7.86	       4	0	B	
09:45	    7.86	       7	0	B	
09:46	    7.86	      20	0	B	
09:46	    7.86	       1	0	B	
09:46	    7.85	       3	0	S	
09:47	    7.85	       0	0	S	
09:48	    7.85	      10	0	S	
09:48	    7.85	       3	0	S	
09:48	    7.85	      19	0	S	
09:49	    7.84	       2	0	S	
09:49	    7.85	       1	0	B	
09:49	    7.84	      38	0	S	
09:49	    7.86	      20	0	B	
09:50	    7.84	      26	0	S	
09:52	    7.83	     130	0	S	
09:52	    7.84	      20	0	S	
09:52	    7.85	      19	0	B	
09:53	    7.83	       8	0	S	
09:53	    7.83	       4	0	S	
09:54	    7.82	      77	0	S	
09:55	    7.82	      50	0	S	
09:55	    7.82	      30	0	S	
09:55	    7.84	      29	0	B	
09:55	    7.81	      44	0	S	
09:56	    7.81	      50	0	S	
09:56	    7.84	       3	0	B	
09:58	    7.82	       5	0	S	
