                  20170822 伟星股份 (002003)
 时间	    价格	    成交	笔数	
09:25	   10.70	      90	14	
09:30	   10.71	      28	5	B	
09:30	   10.70	      68	5	S	
09:30	   10.70	      66	2	S	
09:30	   10.70	       3	1	B	
09:31	   10.70	      10	1	B	
09:31	   10.69	       2	1	S	
09:31	   10.70	       3	1	B	
09:31	   10.69	       1	1	S	
09:31	   10.69	       8	1	S	
09:31	   10.69	      23	3	S	
09:32	   10.69	      20	3	S	
09:32	   10.69	      10	1	B	
09:32	   10.69	      20	2	B	
09:32	   10.69	       4	1	B	
09:33	   10.70	      25	1	B	
09:33	   10.70	       4	1	B	
09:33	   10.70	       1	1	S	
09:33	   10.70	       8	2	S	
09:33	   10.69	      41	1	S	
09:34	   10.70	      50	2	B	
09:34	   10.70	      60	2	B	
09:34	   10.70	       1	1	S	
09:35	   10.71	      12	3	S	
09:35	   10.71	       1	1	S	
09:35	   10.71	       8	4	S	
09:35	   10.72	     144	4	B	
09:35	   10.70	       3	1	S	
09:35	   10.71	      10	1	B	
09:35	   10.71	       9	1	B	
09:35	   10.70	      30	2	S	
09:36	   10.70	      30	3	S	
09:36	   10.70	      10	1	B	
09:36	   10.69	     121	2	S	
09:36	   10.68	      63	4	S	
09:36	   10.68	      13	2	S	
09:36	   10.68	       2	1	S	
09:37	   10.67	      23	3	S	
09:37	   10.66	      33	4	S	
09:37	   10.66	       4	2	S	
09:37	   10.66	      10	1	S	
09:37	   10.66	       5	1	S	
09:37	   10.66	       8	2	S	
09:37	   10.66	       2	1	S	
09:37	   10.67	      30	2	B	
09:38	   10.68	      21	4	B	
09:38	   10.67	       1	1	S	
09:38	   10.68	       9	2	B	
09:39	   10.68	      10	1	B	
09:39	   10.68	      37	1	B	
09:39	   10.68	      32	3	S	
09:40	   10.67	       1	1	S	
09:40	   10.68	      10	2	B	
09:40	   10.68	      24	2	B	
09:40	   10.68	      10	1	B	
09:41	   10.67	      37	1	S	
09:41	   10.68	      10	2	B	
09:41	   10.67	      24	4	S	
09:41	   10.67	      15	1	S	
09:41	   10.67	      30	4	S	
09:42	   10.67	      10	1	B	
09:42	   10.66	      73	7	S	
09:42	   10.66	      10	1	S	
09:42	   10.66	       6	1	S	
09:42	   10.66	      35	3	S	
09:42	   10.66	      52	7	S	
09:42	   10.66	       4	1	B	
09:42	   10.66	      19	1	B	
09:43	   10.66	       3	1	B	
09:43	   10.67	       2	2	B	
09:43	   10.65	     428	6	S	
09:43	   10.65	      10	1	B	
09:43	   10.64	      20	2	S	
09:43	   10.64	      10	1	S	
09:43	   10.64	      47	4	S	
09:44	   10.65	      30	2	B	
09:44	   10.65	      48	4	B	
09:44	   10.64	       8	1	S	
09:44	   10.65	      67	5	B	
09:44	   10.65	       7	1	B	
09:44	   10.67	      11	1	B	
09:45	   10.66	       1	1	B	
09:45	   10.66	      12	2	S	
09:45	   10.66	       1	1	B	
09:45	   10.66	       3	1	B	
09:46	   10.66	      10	2	B	
09:46	   10.66	       7	1	B	
09:46	   10.65	      12	4	S	
09:46	   10.65	      28	2	S	
09:46	   10.65	       4	2	S	
09:47	   10.66	      10	1	B	
09:47	   10.66	       2	1	B	
09:47	   10.66	      11	1	B	
09:48	   10.66	      24	1	B	
09:48	   10.66	       1	1	B	
09:48	   10.66	      10	1	B	
09:48	   10.66	      19	1	B	
09:48	   10.66	       3	1	B	
09:48	   10.66	       3	1	B	
09:48	   10.65	      20	3	S	
09:49	   10.66	      10	1	B	
09:49	   10.66	      16	2	B	
09:49	   10.65	      20	4	S	
09:49	   10.65	      10	2	S	
09:49	   10.65	       2	1	S	
09:49	   10.65	      36	5	S	
09:50	   10.65	       1	1	S	
09:50	   10.65	      20	4	S	
09:50	   10.66	      10	1	B	
09:50	   10.65	      19	4	S	
09:50	   10.65	       3	1	B	
09:50	   10.65	       8	1	B	
09:51	   10.65	       4	2	B	
09:51	   10.65	      10	1	B	
09:51	   10.64	      10	1	S	
09:52	   10.64	     112	7	S	
09:52	   10.64	      25	3	S	
09:52	   10.65	      10	1	B	
09:52	   10.64	       5	1	S	
09:52	   10.65	       8	1	B	
09:52	   10.64	      48	3	S	
09:53	   10.65	      24	2	B	
09:53	   10.69	     220	7	B	
09:53	   10.69	       3	1	B	
09:53	   10.72	     210	9	B	
09:53	   10.72	       2	1	B	
09:53	   10.66	      26	2	S	
09:54	   10.73	     380	8	B	
09:54	   10.73	       4	1	B	
09:54	   10.71	       2	1	B	
09:54	   10.71	       2	2	S	
09:54	   10.73	      52	3	B	
09:54	   10.72	      12	4	S	
09:54	   10.73	      40	4	B	
09:54	   10.72	       7	1	B	
09:54	   10.73	      50	3	B	
09:54	   10.71	       1	1	B	
09:55	   10.67	      22	5	S	
09:55	   10.72	       6	1	B	
09:55	   10.71	      92	3	B	
09:55	   10.72	       1	1	B	
09:56	   10.72	      22	2	B	
09:56	   10.72	       2	2	B	
09:56	   10.72	      10	1	B	
09:56	   10.71	       6	1	S	
09:57	   10.71	       1	1	S	
09:57	   10.72	      30	3	B	
09:57	   10.72	      71	9	B	
09:57	   10.72	      10	2	B	
09:57	   10.72	      41	3	B	
09:57	   10.73	      16	3	B	
09:57	   10.71	       4	2	S	
09:57	   10.72	      15	2	B	
09:57	   10.72	       5	1	S	
09:58	   10.73	       5	1	B	
09:58	   10.73	      10	2	B	
09:58	   10.73	      50	3	B	
09:58	   10.73	       1	1	B	
09:58	   10.71	       9	1	S	
09:58	   10.73	      14	2	B	
09:59	   10.73	      76	7	B	
09:59	   10.73	       1	1	B	
09:59	   10.73	      23	2	B	
09:59	   10.73	       1	1	S	
09:59	   10.73	       4	1	S	
09:59	   10.73	       5	1	S	
10:00	   10.73	       8	1	S	
10:00	   10.73	      70	11	S	
10:00	   10.74	       1	1	B	
10:00	   10.74	      10	2	B	
10:00	   10.73	      50	1	S	
10:00	   10.74	      27	3	B	
10:00	   10.71	      12	3	S	
10:00	   10.74	       2	1	B	
10:00	   10.74	       5	2	B	
10:00	   10.73	       2	1	B	
10:00	   10.73	       1	1	B	
10:01	   10.71	       7	2	S	
10:01	   10.72	      10	1	B	
10:01	   10.72	      10	1	B	
10:01	   10.72	       1	1	B	
10:01	   10.72	       2	1	B	
10:01	   10.71	      45	5	S	
10:01	   10.70	       1	1	
10:01	   10.71	       5	1	B	
10:02	   10.71	     129	5	B	
10:02	   10.71	       1	1	B	
10:02	   10.71	      10	2	B	
10:02	   10.71	      10	1	B	
10:02	   10.71	       1	1	B	
10:02	   10.69	      50	5	S	
10:03	   10.69	      44	3	S	
10:03	   10.68	       2	2	S	
10:03	   10.69	      10	1	B	
10:03	   10.68	      33	1	S	
10:03	   10.68	       8	1	S	
10:03	   10.69	      30	1	B	
10:03	   10.68	       5	1	S	
10:04	   10.68	      39	4	S	
10:04	   10.68	      11	2	B	
10:04	   10.68	       1	1	B	
10:04	   10.67	       1	1	S	
10:05	   10.67	       1	1	S	
10:05	   10.68	      10	1	B	
10:05	   10.68	      21	4	B	
10:05	   10.69	      31	2	B	
10:05	   10.69	       1	1	B	
10:05	   10.69	       2	1	B	
10:06	   10.69	       5	1	B	
10:06	   10.69	      10	1	B	
10:07	   10.68	       1	1	S	
10:07	   10.68	      10	1	S	
10:07	   10.69	      10	1	B	
10:07	   10.69	      10	1	B	
10:07	   10.69	       6	1	B	
10:07	   10.69	       2	1	B	
10:07	   10.69	       3	1	B	
10:08	   10.68	       1	1	S	
10:08	   10.68	      63	10	S	
