                  20170913 伟星股份 (002003)
 时间	    价格	    成交	笔数	
09:25	   11.02	     187	9	
09:30	   11.03	      30	2	S	
09:30	   11.08	       1	1	B	
09:30	   11.13	      70	8	B	
09:31	   11.11	      10	1	B	
09:31	   11.11	      20	3	B	
09:31	   11.11	      14	1	S	
09:31	   11.05	      20	3	S	
09:32	   11.10	      14	2	B	
09:32	   11.11	      38	8	B	
09:32	   11.11	       4	1	S	
09:32	   11.12	      10	1	B	
09:33	   11.11	       5	1	B	
09:33	   11.11	      25	2	B	
09:33	   11.11	      14	1	S	
09:33	   11.11	      10	1	S	
09:33	   11.11	      10	1	S	
09:33	   11.11	      50	1	S	
09:33	   11.12	      24	1	B	
09:33	   11.11	      50	1	S	
09:34	   11.12	       4	1	B	
09:34	   11.12	      97	3	B	
09:34	   11.12	      30	2	B	
09:34	   11.12	       7	1	B	
09:34	   11.11	      10	1	S	
09:34	   11.11	      10	1	S	
09:34	   11.12	      24	3	B	
09:35	   11.12	       8	4	B	
09:35	   11.12	       5	2	B	
09:35	   11.12	      30	5	B	
09:35	   11.12	      18	2	B	
09:35	   11.11	      20	1	S	
09:35	   11.11	       4	1	S	
09:35	   11.12	       9	2	B	
09:36	   11.12	       2	1	B	
09:36	   11.12	       4	1	B	
09:36	   11.12	       6	1	B	
09:36	   11.12	       1	1	B	
09:36	   11.12	      18	4	B	
09:36	   11.12	      13	3	B	
09:36	   11.12	       7	1	S	
09:37	   11.12	      27	2	B	
09:37	   11.12	      26	2	B	
09:37	   11.13	       5	2	B	
09:37	   11.12	      24	1	S	
09:37	   11.12	      10	1	B	
09:37	   11.11	      50	1	S	
09:38	   11.12	      15	1	B	
09:38	   11.12	       4	1	B	
09:38	   11.11	       9	1	S	
09:38	   11.12	      35	1	B	
09:38	   11.12	       8	2	B	
09:38	   11.12	      36	4	B	
09:39	   11.12	       1	1	B	
09:39	   11.11	      15	1	S	
09:39	   11.12	      20	1	B	
09:39	   11.12	       5	1	B	
09:39	   11.12	     120	7	B	
09:39	   11.11	       9	1	S	
09:39	   11.12	       4	1	B	
09:39	   11.11	      15	1	S	
09:39	   11.12	       7	1	B	
09:40	   11.11	      17	2	S	
09:40	   11.12	       2	1	B	
09:40	   11.12	       5	1	B	
09:40	   11.12	       8	1	B	
09:40	   11.12	      13	1	B	
09:40	   11.11	      15	2	S	
09:40	   11.11	     410	13	S	
09:41	   11.13	     107	3	B	
09:41	   11.14	      11	1	B	
09:41	   11.14	       4	1	B	
09:41	   11.13	       7	1	S	
09:41	   11.14	      73	5	B	
09:41	   11.15	      39	4	B	
09:42	   11.15	      12	1	B	
09:42	   11.15	      34	1	B	
09:42	   11.15	       1	1	B	
09:42	   11.15	      10	1	B	
09:42	   11.15	     106	6	B	
09:42	   11.15	      37	1	B	
09:42	   11.15	       4	1	S	
09:42	   11.15	       4	3	S	
09:42	   11.16	      15	1	B	
09:42	   11.16	       5	1	B	
09:42	   11.15	       1	2	S	
09:42	   11.15	      17	2	B	
09:42	   11.15	       3	1	S	
09:43	   11.15	      45	3	B	
09:43	   11.16	      40	4	B	
09:43	   11.15	      20	1	B	
09:43	   11.15	      26	1	B	
09:43	   11.17	     328	20	B	
09:43	   11.18	      10	2	B	
09:43	   11.18	      75	2	B	
09:43	   11.17	       1	1	S	
09:44	   11.17	       1	1	B	
09:44	   11.17	       3	1	B	
09:44	   11.17	       6	1	B	
09:44	   11.15	      10	1	S	
09:44	   11.17	      10	1	B	
09:44	   11.16	       3	1	S	
09:44	   11.16	      30	1	S	
09:44	   11.17	       5	1	B	
09:44	   11.17	       4	1	B	
09:45	   11.17	      20	8	B	
09:45	   11.16	      14	2	S	
09:45	   11.17	      81	8	B	
09:45	   11.17	      20	1	S	
09:45	   11.17	       8	1	S	
