                  20171109 伟星股份 (002003)
 时间	    价格	    成交	笔数	
09:25	   10.90	    1072	61	
09:30	   10.90	     585	40	S	
09:30	   10.91	      82	8	
09:30	   10.91	      12	2	S	
09:31	   10.91	      40	3	S	
09:31	   10.91	      10	1	B	
09:31	   10.91	      12	2	B	
09:31	   10.92	      25	5	B	
09:31	   10.91	      23	2	S	
09:31	   10.91	      28	2	B	
09:31	   10.91	      19	2	S	
09:31	   10.91	      68	2	S	
09:31	   10.91	      40	2	B	
09:31	   10.90	       1	1	S	
09:31	   10.91	       8	1	B	
09:31	   10.91	      19	2	B	
09:31	   10.91	     301	9	B	
09:32	   10.92	      62	9	B	
09:32	   10.91	      10	1	
09:32	   10.91	      10	1	S	
09:32	   10.91	       1	1	S	
09:32	   10.91	       7	1	S	
09:32	   10.91	      15	2	S	
09:32	   10.91	       5	1	S	
09:32	   10.91	       1	1	S	
09:32	   10.91	      40	5	S	
09:32	   10.91	     111	4	B	
09:32	   10.91	       2	1	B	
09:32	   10.91	      93	5	B	
09:33	   10.91	      43	2	S	
09:33	   10.91	      11	2	S	
09:33	   10.91	      11	2	S	
09:33	   10.91	      36	4	S	
09:33	   10.92	      40	1	B	
09:33	   10.91	     148	4	S	
09:33	   10.92	     219	13	B	
09:33	   10.93	       2	1	B	
09:33	   10.91	     133	3	S	
09:33	   10.92	      96	2	B	
09:33	   10.91	      10	1	S	
09:33	   10.92	     100	7	B	
09:33	   10.93	      92	12	B	
09:33	   10.93	       2	2	S	
09:34	   10.94	      15	2	B	
09:34	   10.94	      10	2	B	
09:34	   10.94	      10	2	B	
09:34	   10.94	       7	3	B	
09:34	   10.94	      31	5	B	
09:34	   10.94	       5	1	B	
09:34	   10.93	      20	2	S	
09:34	   10.94	       5	1	B	
09:34	   10.94	      17	3	B	
09:34	   10.94	      26	3	B	
09:35	   10.94	      38	7	B	
09:35	   10.94	      55	5	B	
09:35	   10.93	     500	6	S	
09:35	   10.94	      11	2	S	
09:35	   10.94	       6	1	S	
09:35	   10.95	      34	5	B	
09:35	   10.94	      18	2	S	
09:35	   10.93	      97	5	S	
09:35	   10.94	      33	3	B	
09:35	   10.94	      36	6	S	
09:35	   10.94	     100	1	S	
09:35	   10.93	     100	3	S	
09:35	   10.94	       3	2	S	
09:35	   10.94	      62	4	B	
09:35	   10.94	       3	1	S	
09:35	   10.93	      18	1	S	
09:35	   10.94	      19	2	B	
09:36	   10.93	       3	1	S	
09:36	   10.94	      10	1	B	
09:36	   10.93	       2	2	S	
09:36	   10.94	      29	2	B	
09:36	   10.94	     101	15	B	
09:36	   10.93	      12	3	S	
09:36	   10.94	       2	1	B	
09:36	   10.94	      18	1	B	
09:36	   10.94	      30	2	B	
09:36	   10.93	     110	4	S	
09:36	   10.94	      15	3	B	
09:36	   10.94	     111	6	B	
09:37	   10.94	      10	1	S	
09:37	   10.94	      42	1	S	
09:37	   10.94	      27	3	S	
09:37	   10.94	      10	2	S	
09:37	   10.94	      71	5	S	
09:37	   10.93	      20	2	S	
09:37	   10.93	      11	1	S	
09:37	   10.93	       1	1	S	
09:37	   10.93	       1	1	S	
09:37	   10.93	      19	1	S	
09:37	   10.93	      56	2	S	
09:37	   10.93	      16	2	S	
09:37	   10.93	     306	15	S	
09:38	   10.94	      41	2	B	
09:38	   10.94	       1	1	S	
09:38	   10.93	      21	1	S	
09:38	   10.94	      23	3	B	
09:38	   10.94	      27	2	S	
09:38	   10.94	      55	2	S	
09:38	   10.93	      21	1	S	
09:38	   10.93	      38	1	S	
09:38	   10.93	       4	1	S	
09:38	   10.93	     121	8	S	
09:38	   10.92	     213	6	S	
09:38	   10.94	       3	1	B	
09:38	   10.92	      21	1	S	
09:39	   10.92	      11	3	S	
09:39	   10.93	       2	2	S	
09:39	   10.93	     104	3	S	
09:39	   10.93	       1	1	S	
09:39	   10.93	       2	2	S	
09:39	   10.93	       2	1	S	
09:39	   10.94	     121	8	B	
09:39	   10.93	       6	1	S	
09:39	   10.93	      17	2	S	
09:39	   10.93	      25	2	S	
09:39	   10.93	      34	3	S	
09:39	   10.93	      13	1	S	
09:39	   10.92	       2	1	S	
09:40	   10.93	       1	1	B	
09:40	   10.93	      20	1	B	
09:40	   10.93	      71	5	B	
09:40	   10.92	      15	2	S	
09:40	   10.92	       6	1	S	
09:40	   10.92	      14	1	S	
09:40	   10.92	       1	1	S	
09:40	   10.93	      15	2	B	
09:40	   10.92	       7	1	S	
