                  20171116 伟星股份 (002003)
 时间	    价格	    成交	笔数	
09:25	   11.48	   15458	343	
09:30	   11.45	       4	1	S	
09:30	   11.40	    1726	169	B	
09:30	   11.40	     265	33	B	
09:30	   11.45	      75	11	B	
09:30	   11.29	      42	7	S	
09:30	   11.40	      20	9	B	
09:30	   11.33	      15	6	S	
09:30	   11.40	      81	10	B	
09:30	   11.33	      24	2	S	
09:30	   11.30	      57	4	S	
09:30	   11.33	      43	7	S	
09:30	   11.30	      97	7	S	
09:30	   11.37	      88	7	B	
09:30	   11.34	      28	10	S	
09:30	   11.40	      35	5	B	
09:30	   11.39	      34	7	B	
09:30	   11.33	     233	9	S	
09:30	   11.32	      78	6	S	
09:30	   11.32	      78	9	B	
09:31	   11.31	     141	12	S	
09:31	   11.32	      66	6	B	
09:31	   11.35	     508	15	B	
09:31	   11.35	      41	3	S	
09:31	   11.32	      99	6	S	
09:31	   11.36	       4	2	B	
09:31	   11.35	      48	7	S	
09:31	   11.36	      45	9	
09:31	   11.37	      22	6	S	
09:31	   11.40	     192	20	B	
09:31	   11.40	     144	16	B	
09:31	   11.40	      18	5	S	
09:31	   11.41	      65	6	B	
09:31	   11.40	      58	7	B	
09:31	   11.39	     115	14	S	
09:31	   11.41	     361	13	B	
09:31	   11.40	      41	5	S	
09:31	   11.41	     209	13	B	
09:31	   11.40	     205	5	S	
09:31	   11.40	     297	19	S	
09:32	   11.40	     189	14	S	
09:32	   11.40	     238	17	S	
09:32	   11.42	      37	6	
09:32	   11.41	      11	3	S	
09:32	   11.41	      27	7	S	
09:32	   11.43	     212	15	B	
09:32	   11.41	      33	4	S	
09:32	   11.41	      33	7	S	
09:32	   11.40	      66	14	S	
09:32	   11.40	      10	3	B	
09:32	   11.40	     101	6	B	
09:32	   11.40	      57	6	S	
09:32	   11.40	      21	4	B	
09:32	   11.38	      84	12	S	
09:32	   11.40	      10	2	B	
09:32	   11.38	      30	4	S	
09:32	   11.38	      41	7	S	
09:32	   11.38	      78	4	S	
09:32	   11.40	      93	6	B	
09:32	   11.39	      51	8	
09:33	   11.40	      18	4	B	
09:33	   11.39	      77	6	S	
09:33	   11.38	      20	3	S	
09:33	   11.40	     290	9	B	
09:33	   11.39	     105	8	S	
09:33	   11.38	      51	4	S	
09:33	   11.37	     144	9	S	
09:33	   11.39	     100	3	B	
09:33	   11.40	     154	15	B	
09:33	   11.38	     289	14	S	
09:33	   11.38	     126	8	S	
09:33	   11.39	      99	6	B	
09:33	   11.38	     111	7	S	
09:33	   11.38	      15	3	B	
09:33	   11.37	      26	3	S	
09:33	   11.38	      40	4	B	
09:33	   11.38	      85	7	B	
09:33	   11.37	      19	3	S	
09:33	   11.37	      64	11	S	
09:34	   11.36	     120	19	S	
09:34	   11.37	     125	11	B	
09:34	   11.36	      31	2	B	
09:34	   11.35	     424	8	S	
09:34	   11.35	       6	2	B	
09:34	   11.34	      45	3	S	
09:34	   11.34	      40	2	S	
09:34	   11.33	       8	2	S	
09:34	   11.33	       3	1	S	
09:34	   11.33	      27	4	S	
09:34	   11.32	      31	5	S	
09:34	   11.31	     117	6	S	
09:34	   11.29	     500	17	S	
09:34	   11.33	      13	1	B	
09:34	   11.29	      10	1	S	
09:34	   11.29	      77	9	S	
09:34	   11.29	      31	5	S	
09:34	   11.28	      43	8	S	
09:34	   11.28	      16	1	B	
09:35	   11.27	     137	8	S	
09:35	   11.27	      51	3	S	
09:35	   11.27	      43	4	S	
09:35	   11.28	      62	4	B	
09:35	   11.28	      24	3	S	
09:35	   11.27	      45	4	S	
09:35	   11.27	     125	14	B	
09:35	   11.25	      10	1	S	
09:35	   11.28	      69	7	B	
09:35	   11.27	      80	8	S	
09:35	   11.26	      58	9	S	
09:35	   11.25	     148	4	S	
09:35	   11.27	      41	5	B	
09:35	   11.27	       7	3	B	
09:35	   11.25	      60	5	S	
09:35	   11.25	      47	3	S	
09:35	   11.25	       5	1	B	
09:36	   11.25	      81	8	B	
09:36	   11.24	       5	1	
09:36	   11.24	      11	2	B	
09:36	   11.20	       7	3	S	
09:36	   11.24	      13	1	B	
09:36	   11.20	       5	2	S	
09:36	   11.16	     200	20	S	
09:36	   11.18	       7	3	S	
09:36	   11.20	       4	4	B	
09:36	   11.15	     396	17	S	
09:36	   11.17	      33	10	B	
09:36	   11.20	      15	7	B	
09:36	   11.17	     111	7	S	
09:36	   11.17	       7	3	S	
09:36	   11.20	     224	9	B	
09:36	   11.20	     435	10	B	
09:36	   11.22	      19	4	B	
09:36	   11.20	      50	1	S	
09:37	   11.17	    1021	17	S	
09:37	   11.17	       1	1	B	
09:37	   11.19	      10	2	B	
09:37	   11.20	      17	3	B	
09:37	   11.20	      12	3	B	
09:37	   11.17	     254	12	S	
09:37	   11.20	      19	3	B	
09:37	   11.20	      18	4	B	
09:37	   11.17	     332	8	S	
09:37	   11.18	       2	2	S	
09:37	   11.18	       8	1	B	
09:37	   11.19	     177	4	S	
09:37	   11.21	      16	2	B	
09:37	   11.18	     939	6	S	
09:37	   11.20	     112	3	S	
09:37	   11.20	      63	2	S	
09:37	   11.21	       5	1	B	
09:37	   11.22	      22	3	B	
09:38	   11.22	      10	1	B	
09:38	   11.22	      29	4	B	
09:38	   11.22	       8	4	B	
09:38	   11.22	     100	1	S	
09:38	   11.22	      92	2	S	
09:38	   11.22	       3	2	S	
09:38	   11.23	       9	2	B	
09:38	   11.24	     219	7	B	
09:38	   11.24	      10	1	B	
09:38	   11.24	       1	1	B	
09:38	   11.24	      63	12	B	
09:38	   11.25	     224	13	B	
09:38	   11.23	       7	3	S	
09:38	   11.23	      13	1	B	
09:38	   11.23	      49	3	B	
09:38	   11.26	      17	1	B	
09:38	   11.25	       2	1	B	
09:38	   11.25	       7	2	S	
09:39	   11.26	       8	2	B	
09:39	   11.25	      56	5	S	
09:39	   11.25	     105	4	S	
09:39	   11.25	       6	2	S	
09:39	   11.25	      10	1	B	
09:39	   11.26	      11	2	B	
09:39	   11.25	      10	1	B	
09:39	   11.24	     122	7	S	
09:39	   11.24	       8	2	B	
09:39	   11.23	      90	9	S	
09:39	   11.25	      21	5	B	
09:39	   11.26	      16	2	B	
09:39	   11.25	      10	1	S	
09:39	   11.26	      67	6	B	
09:40	   11.24	       1	1	B	
09:40	   11.24	       4	1	B	
09:40	   11.22	      34	3	S	
09:40	   11.24	       5	1	B	
09:40	   11.22	      59	9	S	
09:40	   11.22	      22	2	B	
09:40	   11.21	       5	1	S	
09:40	   11.22	       5	2	B	
09:40	   11.21	       1	1	S	
09:40	   11.22	       2	1	S	
09:40	   11.24	     141	7	B	
09:40	   11.22	      22	3	S	
09:40	   11.22	      19	2	B	
09:40	   11.21	      20	5	S	
09:40	   11.22	       9	2	B	
09:41	   11.22	      15	3	B	
09:41	   11.21	      15	3	S	
09:41	   11.22	      29	4	B	
09:41	   11.21	      15	2	S	
09:41	   11.22	      21	5	B	
09:41	   11.22	     155	7	B	
09:41	   11.22	       4	1	S	
09:41	   11.22	       3	2	S	
09:41	   11.22	      13	2	S	
09:41	   11.22	       6	2	S	
09:41	   11.22	       4	3	S	
09:42	   11.22	      16	4	S	
09:42	   11.21	      70	6	S	
09:42	   11.21	      30	1	S	
09:42	   11.22	      25	2	B	
09:42	   11.22	      50	3	S	
09:42	   11.22	      41	5	S	
09:42	   11.22	     105	8	S	
09:42	   11.22	      15	1	B	
09:42	   11.22	      11	3	B	
09:42	   11.21	       1	1	S	
09:42	   11.22	      11	1	B	
09:42	   11.22	      24	3	B	
09:42	   11.22	       8	3	B	
09:42	   11.23	      36	7	B	
09:43	   11.21	      42	3	S	
09:43	   11.22	      10	1	B	
