                  20171130 伟星股份 (002003)
 时间	    价格	    成交	笔数	
09:25	   10.65	      22	2	
09:30	   10.64	     124	4	
09:30	   10.64	      30	1	B	
09:30	   10.71	      36	3	B	
09:30	   10.70	       1	1	B	
09:31	   10.64	       3	1	S	
09:31	   10.70	      10	2	B	
09:31	   10.70	       7	7	S	
09:31	   10.70	       4	4	S	
09:31	   10.70	       2	2	S	
09:31	   10.70	       1	1	S	
09:31	   10.64	       3	1	S	
09:31	   10.70	       3	1	B	
09:32	   10.66	       4	1	S	
09:32	   10.65	       3	1	S	
09:32	   10.64	      50	5	S	
09:32	   10.64	       3	1	S	
09:32	   10.69	     181	5	B	
09:33	   10.70	      50	4	B	
09:33	   10.64	       3	1	S	
09:33	   10.65	       3	1	S	
09:33	   10.69	      10	2	B	
09:33	   10.65	      40	1	S	
09:34	   10.67	       3	1	B	
09:34	   10.67	      53	2	B	
09:34	   10.65	      13	4	S	
09:34	   10.64	      41	7	S	
09:34	   10.69	       5	1	B	
09:34	   10.65	       1	1	S	
09:34	   10.65	       1	1	B	
09:34	   10.64	       3	2	S	
09:35	   10.64	      40	4	S	
09:35	   10.69	      25	2	B	
09:35	   10.69	       8	2	B	
09:35	   10.64	      43	2	S	
09:35	   10.69	       5	1	B	
09:36	   10.64	       3	1	S	
09:36	   10.65	       3	1	S	
09:37	   10.65	       3	1	S	
09:37	   10.65	       1	1	S	
09:37	   10.65	       3	1	S	
09:37	   10.65	       8	1	S	
09:38	   10.65	       3	1	S	
09:38	   10.66	       3	2	S	
09:38	   10.65	      50	3	S	
09:39	   10.66	       3	1	S	
09:39	   10.66	       3	1	S	
09:40	   10.67	      44	1	B	
09:40	   10.66	       1	1	S	
09:40	   10.67	     200	1	B	
09:40	   10.66	       3	1	S	
09:40	   10.67	       1	1	B	
09:40	   10.66	      44	2	S	
09:40	   10.65	       9	3	S	
09:41	   10.66	       1	1	B	
09:41	   10.66	      15	2	B	
09:41	   10.66	       4	1	S	
09:41	   10.67	      51	2	B	
09:41	   10.67	       3	1	S	
09:41	   10.68	       7	1	B	
09:42	   10.68	       7	2	B	
09:42	   10.68	       5	1	B	
09:42	   10.66	       3	1	S	
09:42	   10.66	       3	1	S	
09:43	   10.67	       2	1	
09:43	   10.66	       3	1	S	
09:44	   10.66	       3	1	S	
09:44	   10.67	     100	1	B	
