                  20171222 伟星股份 (002003)
 时间	    价格	    成交	笔数	
09:25	   11.20	       1	1	
09:30	   11.19	      35	3	S	
09:30	   11.22	       1	1	B	
09:31	   11.22	       9	1	B	
09:31	   11.22	       7	1	S	
09:31	   11.21	      11	4	B	
09:31	   11.23	       5	4	B	
09:31	   11.23	       4	1	B	
09:32	   11.23	       9	2	B	
09:32	   11.23	      18	4	B	
09:32	   11.23	      10	1	S	
09:32	   11.22	       3	1	B	
09:32	   11.22	       8	6	B	
09:33	   11.22	       4	2	B	
09:33	   11.24	       7	4	B	
09:33	   11.23	       1	1	S	
09:33	   11.24	       4	1	B	
09:33	   11.24	       1	1	B	
09:34	   11.24	      20	1	B	
09:34	   11.24	       5	5	B	
09:34	   11.25	       3	1	B	
09:34	   11.24	       4	1	S	
09:35	   11.24	      12	2	B	
09:35	   11.24	       4	2	B	
09:35	   11.24	       4	1	B	
09:35	   11.24	      18	12	B	
09:36	   11.24	      16	1	S	
09:36	   11.24	       3	1	B	
09:36	   11.24	       8	6	B	
09:36	   11.24	       4	1	B	
09:37	   11.24	       7	3	B	
09:37	   11.25	      34	3	B	
09:37	   11.25	      13	2	B	
09:37	   11.25	       4	1	B	
09:37	   11.25	       4	1	B	
09:37	   11.27	      24	3	B	
09:38	   11.25	       3	1	S	
09:38	   11.26	       1	1	B	
09:38	   11.25	      10	3	S	
09:38	   11.25	      10	1	S	
09:38	   11.25	      80	2	S	
09:38	   11.25	       6	6	S	
09:38	   11.25	      48	13	S	
09:38	   11.25	      50	4	S	
09:39	   11.25	       4	2	B	
09:39	   11.24	       4	1	S	
09:39	   11.25	       1	1	B	
09:39	   11.26	      36	8	B	
09:40	   11.24	       3	2	S	
09:40	   11.25	       3	1	B	
09:40	   11.24	       7	1	S	
09:40	   11.24	       4	1	S	
09:40	   11.25	       4	2	B	
09:40	   11.24	       1	1	S	
09:40	   11.25	      12	3	B	
09:41	   11.25	      37	4	B	
09:41	   11.25	       3	1	B	
09:41	   11.25	      20	1	B	
09:41	   11.25	      10	5	B	
09:41	   11.26	      16	4	B	
09:41	   11.24	      24	2	S	
09:42	   11.24	      20	2	S	
09:42	   11.25	      32	1	B	
09:42	   11.25	       3	1	B	
09:42	   11.24	      10	1	S	
09:42	   11.25	       3	1	B	
09:42	   11.25	       1	1	B	
09:43	   11.25	       4	2	B	
09:43	   11.25	      25	10	B	
09:43	   11.26	     126	3	B	
09:43	   11.25	       5	1	B	
09:43	   11.25	      31	4	B	
09:43	   11.25	       4	1	B	
09:43	   11.25	      63	3	B	
09:44	   11.26	       1	1	B	
09:44	   11.26	       4	1	B	
09:44	   11.26	      11	1	B	
09:44	   11.25	      21	2	S	
09:44	   11.25	       3	1	B	
09:44	   11.25	       4	1	B	
09:44	   11.25	      33	1	B	
09:44	   11.25	       1	1	B	
09:44	   11.25	      12	1	B	
09:45	   11.25	      32	1	B	
09:45	   11.25	       5	1	B	
09:45	   11.25	       3	1	B	
09:45	   11.25	       1	1	B	
09:45	   11.25	       4	2	B	
09:45	   11.24	      84	5	S	
09:45	   11.24	       3	1	S	
09:45	   11.24	      19	1	S	
09:46	   11.24	     102	1	S	
09:46	   11.20	     244	11	S	
09:46	   11.23	       4	1	B	
09:46	   11.24	      33	4	B	
09:46	   11.24	      38	3	B	
09:46	   11.24	       1	1	B	
09:47	   11.24	       5	2	B	
09:47	   11.21	       3	3	S	
09:47	   11.24	      32	1	B	
09:47	   11.24	       3	1	B	
09:47	   11.21	       4	1	S	
09:48	   11.24	      32	1	B	
09:48	   11.21	       5	2	S	
09:48	   11.22	       1	1	S	
09:48	   11.25	       3	1	B	
09:48	   11.25	       1	1	B	
09:48	   11.25	       1	1	B	
09:49	   11.24	       3	2	B	
09:49	   11.22	       2	1	S	
09:49	   11.24	       3	1	B	
09:50	   11.21	     443	10	S	
09:50	   11.23	       1	1	B	
09:50	   11.23	       4	1	B	
09:50	   11.23	      24	3	B	
09:50	   11.23	      53	3	B	
09:51	   11.22	      43	4	S	
09:51	   11.23	       3	1	B	
09:51	   11.23	       1	1	B	
09:51	   11.21	     171	5	S	
09:51	   11.21	      70	1	B	
09:51	   11.23	      36	3	B	
09:51	   11.23	       1	1	B	
09:52	   11.23	       1	1	B	
09:52	   11.23	       4	1	B	
09:52	   11.23	       4	2	B	
09:52	   11.21	      34	4	S	
09:53	   11.23	       3	2	B	
09:53	   11.23	       1	1	B	
09:53	   11.23	      10	1	B	
09:53	   11.23	       3	1	B	
09:53	   11.21	       3	1	S	
09:54	   11.20	     208	7	S	
09:54	   11.20	       1	1	S	
09:54	   11.19	     239	12	S	
09:54	   11.18	      10	1	S	
09:54	   11.19	     163	2	B	
09:54	   11.18	      15	2	S	
09:54	   11.23	       5	3	B	
09:54	   11.19	     100	1	S	
09:55	   11.20	      12	3	B	
09:55	   11.20	       3	1	B	
09:55	   11.20	       7	2	B	
09:55	   11.22	       3	1	B	
09:55	   11.22	       1	1	S	
09:55	   11.22	       3	1	B	
09:55	   11.22	      33	1	B	
09:56	   11.22	       1	1	B	
09:56	   11.22	       3	1	B	
09:56	   11.22	      33	3	B	
09:56	   11.22	       1	1	B	
09:56	   11.23	       4	1	B	
09:56	   11.23	       4	1	B	
09:57	   11.23	      24	2	B	
09:57	   11.24	       3	2	B	
09:57	   11.24	       9	2	B	
09:57	   11.23	       6	1	S	
09:57	   11.24	       4	2	B	
09:57	   11.23	       5	2	S	
09:57	   11.23	       5	1	B	
09:58	   11.24	       3	1	B	
09:58	   11.24	       5	4	B	
09:58	   11.24	       1	1	B	
09:58	   11.21	       1	1	S	
09:58	   11.21	      75	1	S	
09:58	   11.24	      37	5	B	
09:59	   11.24	       1	1	B	
09:59	   11.24	       4	1	B	
09:59	   11.24	       3	1	B	
09:59	   11.24	       1	1	B	
09:59	   11.24	      30	2	B	
10:00	   11.24	       1	1	B	
10:00	   11.24	       3	1	B	
10:00	   11.24	       3	1	B	
10:00	   11.24	      36	3	B	
10:01	   11.23	       4	1	B	
10:01	   11.23	       1	1	B	
10:01	   11.21	       1	1	S	
10:01	   11.21	       1	1	S	
10:01	   11.23	       3	1	B	
10:02	   11.23	       5	3	B	
10:02	   11.23	       4	1	B	
10:02	   11.25	       2	1	B	
10:03	   11.25	       1	1	B	
10:03	   11.25	       6	1	B	
10:03	   11.23	       1	1	S	
10:05	   11.23	      20	1	S	
10:06	   11.23	      33	10	S	
10:06	   11.25	     163	6	B	
10:06	   11.25	      11	1	B	
10:06	   11.25	       2	1	B	
10:07	   11.24	       5	1	S	
10:07	   11.25	      45	6	B	
10:07	   11.25	       1	1	B	
10:07	   11.24	       6	1	S	
10:07	   11.24	      18	1	S	
10:08	   11.24	       2	1	S	
10:08	   11.24	       1	1	S	
10:08	   11.24	       1	1	S	
10:09	   11.24	      12	2	S	
10:09	   11.24	       1	1	S	
