                  20180522 伟星股份 (002003)
 时间	    价格	    成交	笔数	
09:26	   12.09	     282	13	
09:30	   12.08	      27	6	
09:30	   12.07	       8	2	
09:30	   12.07	      15	2	S	
09:30	   12.08	      60	3	B	
09:30	   12.07	       7	1	S	
09:30	   12.07	       1	1	B	
09:30	   12.06	      66	2	S	
09:30	   12.06	       1	1	B	
09:31	   12.02	      10	3	S	
09:31	   12.02	       9	1	S	
09:31	   12.02	       6	1	S	
09:31	   12.02	       8	2	S	
09:31	   12.02	      38	5	S	
09:32	   12.06	     232	9	B	
09:32	   12.07	      13	1	B	
09:32	   12.07	      39	3	B	
09:32	   12.08	      20	2	B	
09:32	   12.07	      51	5	S	
09:33	   12.07	      30	4	S	
09:33	   12.07	      42	9	S	
09:33	   12.06	     459	2	S	
09:33	   12.07	       1	1	B	
09:33	   12.07	      20	2	B	
09:33	   12.07	      91	6	B	
09:33	   12.07	      20	1	S	
09:33	   12.07	       2	1	S	
09:33	   12.07	     130	1	S	
09:34	   12.07	      70	2	S	
09:34	   12.07	     104	5	S	
09:34	   12.07	      28	5	S	
09:34	   12.07	       1	1	B	
09:34	   12.07	       7	1	B	
09:34	   12.06	       1	1	S	
09:34	   12.06	      17	3	S	
09:34	   12.06	     100	1	S	
09:35	   12.07	      23	2	B	
09:35	   12.06	      16	1	S	
09:35	   12.06	     105	2	S	
09:35	   12.06	       9	1	S	
09:35	   12.07	      13	2	B	
09:35	   12.06	      49	7	S	
09:35	   12.03	      30	3	S	
09:35	   12.03	       2	1	S	
09:35	   12.06	      12	2	B	
09:36	   12.06	       5	2	B	
09:36	   12.06	      48	8	B	
09:36	   12.02	       7	1	S	
09:36	   12.06	      15	3	B	
09:36	   12.02	       5	2	S	
09:37	   12.08	     283	16	B	
09:37	   12.08	      15	1	B	
09:37	   12.03	       7	1	S	
09:37	   12.03	       4	2	S	
09:37	   12.04	       7	1	S	
09:37	   12.08	      40	4	B	
09:38	   12.04	       2	2	S	
09:38	   12.04	       7	1	S	
09:38	   12.05	       1	1	B	
09:38	   12.04	       8	1	S	
09:38	   12.04	      11	4	S	
09:38	   12.10	     610	27	B	
09:39	   12.04	      10	1	S	
09:39	   12.04	       2	1	S	
09:39	   12.05	       9	2	B	
09:39	   12.05	      10	2	B	
09:39	   12.05	       4	1	B	
09:39	   12.05	       2	1	B	
09:39	   12.09	      24	1	B	
09:39	   12.09	      53	5	B	
09:40	   12.05	       1	1	S	
09:40	   12.06	       4	1	S	
09:40	   12.12	     384	23	B	
09:40	   12.06	       4	1	S	
09:40	   12.07	       4	1	S	
09:41	   12.09	      12	1	B	
09:41	   12.11	       8	1	B	
09:41	   12.11	      18	1	B	
09:41	   12.11	       2	1	B	
09:41	   12.10	       2	1	S	
09:41	   12.11	      18	1	B	
09:41	   12.10	       1	1	S	
09:42	   12.10	       6	3	S	
09:42	   12.10	       5	4	S	
09:42	   12.10	      10	2	B	
09:42	   12.07	       3	1	S	
09:42	   12.07	       3	1	S	
09:42	   12.07	       4	2	S	
09:42	   12.07	      11	2	S	
09:42	   12.07	       4	2	S	
09:42	   12.07	       1	1	S	
09:43	   12.07	       8	5	S	
09:43	   12.07	      15	1	B	
09:43	   12.06	       9	2	S	
09:43	   12.07	       9	1	B	
09:43	   12.06	       4	2	S	
09:43	   12.07	       7	2	B	
09:43	   12.06	      13	1	S	
09:43	   12.06	       6	1	S	
09:43	   12.06	      13	1	S	
09:43	   12.06	      10	2	S	
09:44	   12.07	       8	1	B	
