                  20180830 伟星股份 (002003)
 时间	    价格	    成交	笔数	
09:25	    7.78	     100	5	
09:30	    7.77	       3	1	
09:30	    7.78	      16	2	B	
09:30	    7.78	       2	2	B	
09:30	    7.78	       2	2	B	
09:30	    7.78	       1	1	B	
09:30	    7.78	      22	1	B	
09:30	    7.77	       1	1	S	
09:30	    7.76	      10	2	S	
09:30	    7.78	       3	3	B	
09:30	    7.78	       2	2	B	
09:30	    7.78	       1	1	B	
09:31	    7.78	       2	2	B	
09:31	    7.76	      84	5	S	
09:31	    7.78	       1	1	B	
09:31	    7.78	       1	1	B	
09:31	    7.78	       1	1	B	
09:31	    7.78	       1	1	B	
09:31	    7.78	       1	1	B	
09:31	    7.78	       1	1	B	
09:31	    7.78	       2	2	B	
09:31	    7.78	       2	2	B	
09:31	    7.78	       1	1	B	
09:31	    7.78	       1	1	B	
09:32	    7.78	       5	3	B	
09:32	    7.78	       5	4	B	
09:32	    7.78	       1	1	B	
09:32	    7.78	       5	3	B	
09:32	    7.78	       1	1	B	
09:32	    7.78	      10	2	B	
09:32	    7.78	       6	4	B	
09:32	    7.78	       9	3	B	
09:32	    7.78	       1	1	B	
09:32	    7.78	       1	1	B	
09:33	    7.78	      11	3	B	
09:33	    7.78	       1	1	B	
09:33	    7.78	       2	2	B	
09:33	    7.78	      15	1	B	
09:33	    7.78	       1	1	B	
09:33	    7.78	       1	1	B	
09:33	    7.78	       2	2	B	
09:33	    7.78	       1	1	B	
09:33	    7.78	       1	1	B	
09:33	    7.78	       5	5	B	
09:33	    7.78	       1	1	B	
09:33	    7.78	      20	2	B	
09:34	    7.78	       1	1	B	
09:34	    7.78	       1	1	B	
09:34	    7.78	       2	2	B	
09:34	    7.78	       3	3	B	
09:34	    7.78	       1	1	B	
09:34	    7.77	       9	2	S	
09:34	    7.78	       1	1	B	
09:34	    7.78	       1	1	B	
09:34	    7.78	       1	1	B	
09:34	    7.78	       1	1	B	
09:35	    7.78	       1	1	B	
09:35	    7.78	       1	1	B	
09:35	    7.78	       2	2	B	
09:35	    7.78	       1	1	B	
09:35	    7.78	       1	1	B	
09:35	    7.78	       9	1	B	
09:35	    7.78	       4	4	B	
09:35	    7.78	       1	1	B	
09:36	    7.78	       1	1	B	
09:36	    7.76	      76	12	S	
09:36	    7.77	       1	1	B	
09:36	    7.76	       8	1	S	
09:36	    7.75	       3	1	S	
09:36	    7.76	       2	1	B	
09:36	    7.76	       1	2	B	
09:36	    7.76	       0	1	B	
09:36	    7.76	       2	2	S	
09:37	    7.76	       3	2	B	
09:37	    7.76	       1	2	S	
09:37	    7.78	       2	2	B	
09:37	    7.75	       4	2	S	
09:37	    7.78	      46	3	B	
09:37	    7.78	       7	3	B	
09:37	    7.78	       1	1	B	
09:37	    7.78	       1	1	B	
09:37	    7.75	      25	2	S	
09:38	    7.78	       2	2	B	
09:38	    7.78	       2	2	B	
09:38	    7.76	       2	2	S	
09:38	    7.76	       1	1	B	
09:38	    7.76	       2	1	B	
09:38	    7.76	       1	1	B	
09:38	    7.76	       1	1	B	
09:38	    7.76	       1	1	B	
09:39	    7.76	       2	2	B	
09:39	    7.77	       1	1	B	
09:39	    7.77	       1	1	B	
09:39	    7.75	       5	1	S	
09:39	    7.75	      45	4	S	
09:39	    7.77	       1	1	B	
09:39	    7.77	       1	1	B	
09:39	    7.77	      38	2	B	
09:39	    7.77	       9	1	B	
09:39	    7.77	       8	1	B	
09:39	    7.77	      10	1	B	
09:39	    7.77	       4	1	B	
09:40	    7.77	       7	1	B	
09:40	    7.77	       1	1	B	
09:40	    7.77	       1	1	B	
09:40	    7.77	       1	1	B	
09:40	    7.77	       6	2	B	
09:40	    7.77	       1	1	B	
09:40	    7.77	       4	1	B	
09:40	    7.77	       1	1	B	
09:40	    7.77	       2	2	B	
09:40	    7.77	       1	1	B	
09:41	    7.76	      28	3	S	
09:41	    7.76	       1	1	B	
09:41	    7.76	       3	2	B	
09:41	    7.76	       1	1	B	
09:41	    7.76	       2	2	B	
09:41	    7.76	       1	1	B	
09:42	    7.76	       1	1	B	
09:42	    7.76	       2	1	B	
09:42	    7.76	       5	3	B	
09:42	    7.76	       2	2	B	
09:42	    7.76	      18	2	B	
09:42	    7.76	      10	1	B	
09:43	    7.76	       1	1	B	
09:43	    7.75	      97	7	S	
09:43	    7.75	      11	2	B	
09:43	    7.75	       8	5	B	
09:43	    7.75	       1	3	B	
09:43	    7.76	      17	1	B	
09:43	    7.76	       4	2	B	
09:43	    7.76	      23	4	B	
09:43	    7.76	      28	1	B	
09:44	    7.76	       3	3	B	
09:44	    7.76	       1	1	B	
09:44	    7.76	      13	1	B	
09:44	    7.76	       1	1	B	
09:44	    7.76	       1	1	B	
09:44	    7.76	       2	2	B	
09:45	    7.76	       1	1	B	
09:45	    7.76	       2	2	B	
09:45	    7.76	       1	1	B	
09:45	    7.76	       8	1	B	
09:45	    7.76	       3	3	B	
09:45	    7.76	       1	1	B	
09:45	    7.75	     145	7	S	
09:45	    7.75	       4	2	B	
09:45	    7.73	     142	6	S	
09:46	    7.75	     302	6	B	
09:46	    7.73	      14	1	S	
09:46	    7.73	       5	1	S	
09:46	    7.74	       1	1	B	
09:46	    7.73	      26	5	S	
09:46	    7.74	       2	2	B	
09:46	    7.71	      30	3	S	
09:47	    7.74	       1	1	B	
09:47	    7.74	       1	1	B	
09:47	    7.74	      17	1	B	
09:47	    7.74	       9	1	S	
09:47	    7.74	       1	1	B	
09:47	    7.74	       3	3	S	
09:47	    7.72	     109	3	S	
09:48	    7.74	       1	1	B	
09:48	    7.74	       2	2	B	
09:48	    7.74	       1	1	B	
09:48	    7.74	       2	2	B	
09:48	    7.74	       1	1	B	
09:48	    7.74	      41	1	B	
09:48	    7.75	       2	1	B	
09:49	    7.75	       1	1	B	
09:49	    7.75	       3	4	B	
09:49	    7.74	       4	1	S	
09:49	    7.74	       5	1	S	
09:49	    7.74	       2	1	S	
09:49	    7.75	       1	1	B	
09:49	    7.75	       2	2	B	
09:50	    7.75	       2	2	B	
09:50	    7.75	       1	1	B	
09:50	    7.75	       1	1	B	
09:50	    7.75	       1	1	B	
09:50	    7.75	       1	1	B	
09:50	    7.75	       1	1	B	
09:50	    7.75	       2	1	B	
09:50	    7.74	       3	3	S	
09:50	    7.74	       7	2	B	
09:51	    7.74	       1	1	S	
09:51	    7.75	       1	1	B	
09:51	    7.74	       1	1	B	
09:51	    7.73	       3	1	S	
09:51	    7.74	       1	1	B	
09:51	    7.73	      96	3	S	
09:51	    7.73	       4	1	B	
09:51	    7.72	       7	3	S	
09:51	    7.72	       0	1	S	
09:51	    7.74	       2	2	B	
09:51	    7.72	      20	2	S	
09:52	    7.74	       1	1	B	
09:52	    7.74	       6	2	B	
09:52	    7.74	       8	2	B	
09:52	    7.74	       4	1	B	
09:52	    7.74	       8	4	B	
09:52	    7.74	       1	1	B	
09:52	    7.74	       2	2	B	
09:53	    7.74	       2	1	B	
09:53	    7.73	      32	2	S	
09:53	    7.74	       1	1	B	
09:53	    7.75	       1	1	B	
09:53	    7.75	       1	1	B	
09:53	    7.75	       8	1	B	
09:53	    7.75	       1	1	B	
09:53	    7.75	       2	2	B	
09:53	    7.75	       1	1	B	
09:54	    7.74	       1	1	B	
09:54	    7.74	      49	3	B	
09:54	    7.75	       1	1	B	
09:54	    7.75	       1	1	B	
09:54	    7.75	       1	1	B	
09:55	    7.74	       5	2	S	
09:55	    7.75	       2	1	B	
09:56	    7.75	       9	1	B	
09:56	    7.75	      16	1	B	
09:56	    7.75	      51	4	B	
09:56	    7.75	       4	1	B	
09:56	    7.75	      63	5	B	
09:56	    7.75	      18	2	S	
09:57	    7.75	       1	1	B	
09:57	    7.75	      61	2	B	
09:57	    7.75	       8	1	S	
09:57	    7.75	      38	1	B	
09:59	    7.75	       1	1	B	
09:59	    7.72	     122	12	S	
10:00	    7.72	      10	1	B	
10:00	    7.72	      13	1	B	
10:00	    7.71	       5	1	S	
10:00	    7.72	      45	1	B	
10:00	    7.70	     500	14	S	
10:00	    7.72	      10	1	B	
10:01	    7.72	       1	1	B	
10:01	    7.72	      94	1	B	
10:01	    7.70	       5	2	S	
10:02	    7.72	       1	1	B	
10:02	    7.72	      12	4	B	
10:02	    7.72	      48	2	B	
10:03	    7.73	       1	1	B	
10:03	    7.73	       1	1	B	
10:03	    7.75	      22	1	B	
10:03	    7.75	       8	2	B	
10:03	    7.70	     300	10	S	
10:03	    7.74	       7	1	B	
10:03	    7.70	       8	3	S	
10:04	    7.74	      10	10	S	
10:04	    7.70	     117	8	S	
10:04	    7.74	       6	1	B	
10:04	    7.74	      10	1	B	
10:05	    7.74	       3	3	S	
10:05	    7.74	       5	5	S	
10:05	    7.74	       1	1	S	
10:06	    7.75	      21	1	B	
10:07	    7.75	       5	2	B	
10:07	    7.75	       1	1	B	
10:07	    7.71	     200	17	S	
10:07	    7.70	     100	7	S	
10:07	    7.71	       5	2	S	
10:07	    7.71	     656	4	B	
10:07	    7.71	      72	2	B	
10:08	    7.71	       2	1	S	
10:08	    7.71	       5	1	S	
10:09	    7.74	      77	3	B	
10:09	    7.74	       5	2	B	
10:10	    7.74	       5	2	B	
10:10	    7.74	      22	1	B	
10:10	    7.72	       6	3	S	
10:11	    7.74	       4	2	B	
10:11	    7.74	       6	2	B	
10:12	    7.73	       5	2	
10:12	    7.73	       1	1	B	
10:12	    7.73	       3	1	B	
10:12	    7.72	      20	8	S	
10:13	    7.73	       6	2	B	
10:13	    7.73	       7	1	B	
10:13	    7.73	       5	2	B	
10:13	    7.73	       4	2	B	
10:14	    7.73	       3	1	B	
10:14	    7.73	       6	2	B	
10:14	    7.73	       5	2	B	
10:14	    7.74	     313	4	B	
10:15	    7.74	      18	3	S	
10:15	    7.74	       4	2	B	
10:15	    7.74	       2	1	B	
10:16	    7.74	       1	1	B	
10:16	    7.74	       9	1	B	
10:16	    7.74	       7	1	B	
10:16	    7.74	       4	2	B	
10:16	    7.74	       1	1	B	
10:16	    7.74	       6	2	B	
10:16	    7.73	      11	5	S	
10:17	    7.73	       1	1	B	
10:17	    7.73	       2	1	B	
10:17	    7.73	       1	1	B	
10:17	    7.73	       3	1	B	
10:17	    7.73	      12	4	B	
10:17	    7.73	       3	1	B	
10:18	    7.73	       3	1	B	
10:18	    7.73	       2	2	B	
10:18	    7.73	       5	2	B	
10:18	    7.73	       2	1	B	
10:19	    7.73	       1	1	B	
10:19	    7.71	     200	11	S	
10:19	    7.73	       3	1	B	
10:19	    7.73	       2	1	B	
10:19	    7.73	       3	1	B	
10:19	    7.73	       2	2	B	
10:20	    7.73	       1	1	B	
