                  20190116 伟星股份 (002003)
 时间	    价格	    成交	笔数	
09:25	    7.23	      21	3	
09:30	    7.24	       4	1	
09:30	    7.24	       6	2	S	
09:30	    7.23	      38	5	S	
09:30	    7.23	       1	1	S	
09:30	    7.23	      16	2	S	
09:30	    7.23	       9	2	S	
09:30	    7.23	       6	1	S	
09:30	    7.23	       4	3	S	
09:31	    7.23	       2	1	S	
09:31	    7.23	       1	1	S	
09:31	    7.23	       2	2	S	
09:31	    7.23	       2	2	S	
09:31	    7.23	       1	1	S	
09:31	    7.23	      11	4	S	
09:31	    7.22	      32	3	S	
09:31	    7.22	      24	1	S	
09:32	    7.22	      13	4	S	
09:32	    7.22	       7	1	S	
09:32	    7.22	       7	4	S	
09:32	    7.22	       6	2	S	
09:32	    7.23	       9	2	B	
09:32	    7.23	      34	3	S	
09:32	    7.23	      12	2	S	
09:32	    7.23	      10	3	S	
09:33	    7.23	      11	3	S	
09:33	    7.22	       7	1	S	
09:33	    7.22	       3	1	S	
09:33	    7.22	       1	1	S	
09:33	    7.22	       1	1	S	
09:33	    7.22	       6	2	S	
09:33	    7.22	       5	1	S	
09:33	    7.22	       2	2	B	
09:33	    7.22	      92	13	B	
09:33	    7.23	       1	1	B	
09:34	    7.23	       1	1	B	
09:34	    7.23	       1	1	B	
09:34	    7.22	      19	4	S	
09:34	    7.23	       3	1	S	
09:34	    7.23	       3	3	S	
09:34	    7.22	       6	2	S	
09:34	    7.22	      10	3	S	
09:34	    7.23	       1	1	B	
09:34	    7.22	      29	1	S	
09:34	    7.22	      14	1	S	
09:35	    7.22	       8	2	S	
09:35	    7.22	      57	3	S	
09:35	    7.22	       2	1	B	
09:35	    7.21	      50	2	S	
09:35	    7.21	      24	1	S	
09:35	    7.21	      13	2	S	
09:35	    7.21	       6	1	S	
09:36	    7.21	       3	1	S	
09:36	    7.21	       3	2	S	
09:36	    7.21	       1	1	B	
09:36	    7.20	      25	2	S	
09:36	    7.20	      12	1	S	
09:36	    7.20	      29	8	S	
09:36	    7.20	       6	1	S	
09:37	    7.22	       2	1	B	
09:37	    7.21	      11	2	S	
09:37	    7.21	      12	2	B	
09:37	    7.21	       5	1	S	
09:37	    7.21	      16	4	S	
09:38	    7.21	       6	3	S	
09:38	    7.21	       7	2	S	
09:38	    7.22	      62	1	B	
09:38	    7.22	       1	1	B	
09:38	    7.22	       1	1	B	
09:38	    7.22	      14	3	B	
09:38	    7.22	       2	2	B	
09:38	    7.21	       6	4	S	
09:38	    7.22	       2	1	B	
09:40	    7.22	       3	1	B	
09:41	    7.21	       5	2	S	
09:41	    7.21	       4	1	S	
09:41	    7.22	      30	1	B	
09:41	    7.21	       1	1	S	
09:42	    7.22	       7	1	B	
09:43	    7.22	      27	2	B	
09:43	    7.22	       2	1	B	
09:43	    7.22	      11	1	B	
09:43	    7.22	     100	1	B	
09:43	    7.21	      20	2	S	
09:44	    7.22	     100	1	B	
09:44	    7.22	      70	1	B	
09:44	    7.22	      72	3	B	
09:45	    7.23	      50	1	B	
09:45	    7.23	       1	1	B	
09:45	    7.23	      10	1	B	
09:45	    7.22	      17	3	S	
09:45	    7.23	       1	1	B	
09:45	    7.23	       8	1	B	
09:45	    7.22	      20	1	S	
09:45	    7.23	      10	1	B	
09:45	    7.23	       3	1	B	
09:46	    7.23	       3	1	B	
09:46	    7.22	       3	1	S	
09:46	    7.23	      36	4	B	
09:46	    7.23	      18	2	S	
09:46	    7.23	       3	3	S	
09:47	    7.23	       3	1	B	
09:47	    7.23	       1	1	B	
09:47	    7.23	       6	1	B	
09:48	    7.23	       6	1	B	
09:48	    7.23	       3	1	B	
09:48	    7.23	       5	1	B	
09:49	    7.23	       5	1	B	
09:49	    7.23	       1	1	B	
09:50	    7.23	       2	1	B	
09:50	    7.23	       3	2	B	
09:51	    7.23	      10	2	B	
09:51	    7.22	       5	2	S	
09:51	    7.22	       0	1	S	
09:52	    7.22	      10	1	S	
09:52	    7.23	     200	1	B	
09:53	    7.23	       6	2	B	
09:53	    7.23	      32	6	B	
09:53	    7.23	       3	2	B	
09:53	    7.23	       9	4	B	
09:53	    7.23	       6	3	B	
09:53	    7.23	       9	4	B	
09:53	    7.23	      30	3	B	
