                  20190326 伟星股份 (002003)
 时间	    价格	    成交	笔数	
09:25	    7.73	     335	17	
09:30	    7.74	     143	11	
09:30	    7.75	     133	5	
09:30	    7.76	      47	1	B	
09:30	    7.78	       9	1	B	
09:30	    7.78	      42	5	B	
09:30	    7.78	       2	1	B	
09:30	    7.76	      61	7	S	
09:30	    7.78	      22	7	B	
09:30	    7.78	      33	3	B	
09:30	    7.78	      10	1	S	
09:30	    7.79	      29	10	B	
09:30	    7.77	     218	11	S	
09:30	    7.78	       5	2	B	
09:30	    7.78	       1	1	B	
09:30	    7.76	      45	4	S	
09:30	    7.76	      13	5	B	
09:30	    7.76	      70	6	B	
09:30	    7.76	       1	1	B	
09:31	    7.75	      20	2	S	
09:31	    7.76	       6	1	B	
09:31	    7.75	     371	8	S	
09:31	    7.75	      64	2	S	
09:31	    7.75	      50	1	S	
09:31	    7.76	      26	1	B	
09:31	    7.75	       8	1	S	
09:32	    7.76	       5	2	B	
09:32	    7.76	      51	3	S	
09:32	    7.76	      26	2	S	
09:32	    7.76	       5	1	B	
09:32	    7.77	      30	1	B	
09:32	    7.77	      30	3	B	
09:32	    7.76	      42	3	S	
09:32	    7.77	       3	1	B	
09:32	    7.76	      40	1	S	
09:32	    7.77	       1	1	B	
09:33	    7.76	      19	1	S	
09:33	    7.76	      15	1	B	
09:33	    7.75	       4	1	S	
09:33	    7.75	      11	1	S	
09:33	    7.75	      19	1	S	
09:33	    7.75	      50	3	S	
09:33	    7.76	       5	1	B	
09:33	    7.75	      84	6	S	
09:33	    7.75	     150	5	B	
09:33	    7.74	      50	3	S	
09:34	    7.74	      15	1	S	
09:34	    7.74	      20	3	S	
09:34	    7.75	       1	1	B	
09:34	    7.74	      10	1	S	
09:34	    7.75	      30	2	B	
09:34	    7.75	       5	2	B	
09:35	    7.74	       8	1	S	
09:35	    7.74	      10	1	S	
09:35	    7.74	      53	4	S	
09:35	    7.74	      15	1	B	
09:35	    7.74	      37	2	S	
09:35	    7.74	      24	1	S	
09:35	    7.74	      27	2	S	
09:36	    7.73	       3	1	S	
09:36	    7.73	     139	3	S	
09:36	    7.74	      20	3	B	
09:36	    7.74	      50	3	B	
09:36	    7.74	      27	2	B	
09:36	    7.74	      11	2	S	
09:36	    7.74	       1	1	S	
09:36	    7.74	      50	3	S	
09:37	    7.75	      50	3	B	
09:37	    7.75	      14	3	B	
09:37	    7.75	       4	3	B	
09:37	    7.74	      77	5	S	
09:37	    7.74	      20	1	B	
09:37	    7.74	      53	2	B	
09:37	    7.74	      43	2	S	
09:37	    7.73	      42	6	S	
09:38	    7.73	      39	2	S	
09:38	    7.74	      22	3	B	
09:38	    7.74	      12	1	S	
09:38	    7.73	       8	1	S	
09:38	    7.74	       2	1	B	
09:38	    7.74	      49	2	B	
09:38	    7.74	     170	7	B	
09:38	    7.74	       3	1	B	
09:38	    7.74	      37	4	B	
09:38	    7.73	      50	4	S	
09:39	    7.74	      20	1	B	
09:39	    7.74	      15	2	B	
09:39	    7.73	      29	1	S	
09:39	    7.73	       1	1	S	
09:39	    7.73	      10	2	S	
09:39	    7.73	      24	1	S	
09:39	    7.73	      20	1	S	
09:39	    7.74	       9	2	B	
09:39	    7.73	      40	3	S	
09:40	    7.73	     448	10	S	
09:40	    7.73	      62	5	S	
09:40	    7.72	      75	2	S	
09:40	    7.72	      82	5	S	
09:40	    7.73	       2	1	B	
09:40	    7.72	      59	3	S	
09:40	    7.71	       6	2	S	
09:40	    7.71	     206	11	S	
09:40	    7.70	      60	2	S	
09:40	    7.71	      35	2	B	
09:40	    7.71	     157	9	B	
09:40	    7.71	     140	1	S	
09:41	    7.71	      32	3	S	
09:41	    7.72	      25	3	B	
09:41	    7.72	      10	2	B	
09:41	    7.71	      16	1	B	
09:41	    7.71	       2	1	S	
09:41	    7.71	      25	3	S	
09:41	    7.71	       7	1	S	
09:41	    7.70	     100	4	S	
09:41	    7.70	      10	1	S	
09:41	    7.70	      68	2	S	
09:41	    7.71	       7	2	B	
09:42	    7.69	     318	8	S	
09:42	    7.69	       9	1	B	
09:42	    7.69	       1	1	B	
09:42	    7.69	       5	1	B	
09:42	    7.68	       6	3	S	
09:42	    7.68	      17	4	S	
09:42	    7.68	      40	1	S	
09:42	    7.68	      37	3	S	
09:42	    7.69	      26	4	B	
09:42	    7.68	     160	4	S	
09:42	    7.68	      20	3	S	
09:42	    7.68	      39	6	S	
09:43	    7.70	      10	1	B	
09:43	    7.70	      10	1	S	
09:43	    7.70	      10	1	B	
09:43	    7.69	      11	2	S	
09:43	    7.70	      20	1	B	
09:43	    7.69	      43	5	S	
09:43	    7.69	       2	2	B	
09:43	    7.69	      10	2	S	
09:44	    7.69	      25	3	S	
09:44	    7.68	      20	3	S	
09:44	    7.68	      70	4	S	
09:44	    7.68	      23	2	S	
09:44	    7.68	     120	7	S	
09:44	    7.68	      56	4	B	
09:44	    7.68	       5	1	S	
09:44	    7.68	      11	1	B	
09:44	    7.68	       8	2	B	
09:44	    7.68	      34	1	B	
09:44	    7.68	      74	4	S	
09:45	    7.68	     100	3	B	
09:45	    7.68	       4	2	S	
09:45	    7.69	      17	3	B	
09:45	    7.70	       9	1	B	
09:45	    7.70	      20	2	B	
09:45	    7.70	      21	4	B	
09:45	    7.70	      98	1	B	
09:45	    7.70	      46	2	B	
09:45	    7.70	      52	3	B	
09:45	    7.71	       4	1	B	
09:45	    7.70	       4	1	S	
09:46	    7.70	       1	1	B	
09:46	    7.70	      80	3	S	
09:46	    7.69	      15	2	S	
09:46	    7.70	       5	2	B	
09:46	    7.69	      40	4	S	
09:46	    7.70	       5	1	B	
09:46	    7.69	      33	6	S	
09:47	    7.70	       5	1	B	
09:47	    7.69	      45	2	S	
09:47	    7.70	      10	1	B	
09:47	    7.70	      45	6	B	
09:47	    7.70	      51	2	S	
09:47	    7.70	      10	1	S	
09:47	    7.70	     144	2	S	
09:47	    7.70	      39	1	S	
09:47	    7.70	      44	1	S	
09:47	    7.70	      50	1	S	
09:48	    7.71	      20	1	B	
09:48	    7.70	      30	1	S	
09:48	    7.73	     175	8	B	
09:48	    7.71	      20	1	B	
09:48	    7.70	     242	6	S	
09:49	    7.70	      10	1	B	
09:49	    7.70	     100	1	B	
09:49	    7.70	      31	2	B	
09:49	    7.69	      10	2	S	
09:49	    7.69	      33	3	S	
09:49	    7.69	       5	1	S	
09:49	    7.69	     242	8	S	
09:49	    7.70	       6	1	B	
09:49	    7.69	      53	5	S	
09:49	    7.69	      40	3	B	
09:50	    7.68	     150	4	S	
09:50	    7.69	      44	4	B	
09:50	    7.69	      32	1	S	
09:50	    7.69	       1	1	S	
09:50	    7.69	      20	1	S	
09:50	    7.69	     154	1	S	
09:50	    7.69	       6	2	S	
09:50	    7.69	      15	4	S	
09:50	    7.69	       3	1	S	
09:51	    7.69	       6	2	S	
