                  20190823 伟星股份 (002003)
 时间	    价格	    成交	笔数	
09:25	    6.25	     109	7	
09:30	    6.24	     106	8	
09:30	    6.23	     139	3	S	
09:30	    6.23	       8	4	S	
09:30	    6.23	       1	1	S	
09:30	    6.23	       6	2	S	
09:30	    6.23	       1	1	S	
09:30	    6.24	      88	5	B	
09:30	    6.24	      19	1	S	
09:31	    6.23	     105	7	S	
09:31	    6.22	       5	1	S	
09:32	    6.21	      51	4	S	
09:32	    6.21	      40	3	S	
09:32	    6.21	      97	1	B	
09:32	    6.21	      20	3	B	
09:32	    6.20	       9	1	S	
09:32	    6.20	      25	1	S	
09:33	    6.21	       3	1	B	
09:33	    6.20	      27	6	S	
09:34	    6.20	       1	1	S	
09:34	    6.20	      16	2	S	
09:34	    6.20	      10	1	S	
09:34	    6.20	       3	2	S	
09:34	    6.19	      25	9	S	
09:35	    6.19	      14	2	S	
09:35	    6.18	      26	3	S	
09:35	    6.19	       1	1	B	
09:36	    6.19	      10	1	S	
09:36	    6.19	      20	1	B	
09:36	    6.18	     177	5	S	
09:36	    6.18	      20	2	S	
09:37	    6.19	      17	1	B	
09:37	    6.19	      17	3	B	
09:37	    6.19	      33	2	B	
09:37	    6.20	       1	1	B	
09:37	    6.19	      26	1	S	
09:38	    6.19	       8	1	S	
09:38	    6.19	      29	4	S	
09:39	    6.20	       1	1	B	
09:39	    6.19	       1	1	S	
09:39	    6.20	      10	1	B	
09:39	    6.20	       2	2	B	
09:39	    6.20	       1	1	B	
09:39	    6.19	      19	6	S	
09:40	    6.20	       4	2	B	
09:40	    6.19	      74	2	S	
09:40	    6.19	      10	1	S	
09:40	    6.19	       1	1	S	
09:40	    6.20	       1	1	B	
09:40	    6.20	       4	1	B	
09:40	    6.19	      91	8	S	
09:41	    6.19	      15	1	B	
09:41	    6.19	      20	1	B	
09:41	    6.19	      31	5	B	
09:41	    6.18	     203	9	S	
09:41	    6.19	      10	1	B	
09:41	    6.18	       0	1	B	
09:41	    6.17	      32	2	S	
09:41	    6.18	      32	1	B	
09:41	    6.16	     200	10	S	
09:42	    6.18	       5	2	B	
09:42	    6.17	       8	2	B	
09:42	    6.17	       2	2	B	
09:42	    6.17	      10	3	B	
09:42	    6.16	     234	19	S	
09:42	    6.16	      33	4	S	
09:42	    6.18	       1	1	B	
09:42	    6.17	       1	1	B	
09:42	    6.18	       1	1	B	
09:43	    6.16	     200	11	S	
09:43	    6.18	      58	4	B	
09:43	    6.18	      11	1	S	
09:43	    6.19	       1	1	B	
09:43	    6.17	     148	16	S	
09:43	    6.17	      48	11	B	
09:43	    6.17	      10	5	B	
09:43	    6.17	       4	4	B	
09:43	    6.17	      13	5	B	
09:43	    6.17	       6	5	B	
09:44	    6.18	       5	2	B	
09:44	    6.18	       6	5	B	
09:44	    6.17	      33	8	S	
09:44	    6.17	      50	2	S	
09:45	    6.17	      32	3	S	
09:45	    6.17	     200	1	S	
09:45	    6.18	       8	2	S	
09:46	    6.18	       1	1	S	
09:46	    6.18	      31	2	S	
09:46	    6.17	      87	6	S	
09:46	    6.16	      20	1	S	
09:46	    6.17	      16	1	B	
09:47	    6.17	      50	1	B	
09:47	    6.16	       7	1	S	
09:47	    6.17	      20	1	B	
09:47	    6.17	     100	6	B	
09:47	    6.19	       3	2	B	
09:48	    6.18	       1	1	B	
09:48	    6.16	     200	15	S	
09:48	    6.18	       1	1	B	
09:48	    6.16	      32	1	S	
09:49	    6.17	       9	4	B	
09:49	    6.17	      77	3	B	
09:49	    6.19	       2	1	B	
09:50	    6.19	     134	3	B	
09:50	    6.18	       1	1	S	
09:50	    6.19	       1	1	B	
09:50	    6.19	      12	1	B	
09:51	    6.18	      16	3	S	
09:51	    6.17	      22	2	S	
09:51	    6.16	       8	3	S	
09:51	    6.18	       1	1	B	
09:51	    6.18	       1	1	B	
09:51	    6.18	      20	1	B	
