                  20191125 伟星股份 (002003)
 时间	    价格	    成交	笔数	
09:25	    5.93	      46	5	
09:30	    5.92	     111	10	
09:30	    5.92	       2	2	S	
09:30	    5.92	       4	2	S	
09:30	    5.92	      15	2	S	
09:30	    5.93	       1	1	B	
09:30	    5.91	       4	1	S	
09:30	    5.91	      49	3	S	
09:30	    5.91	       7	1	S	
09:30	    5.91	       3	2	B	
09:30	    5.91	       2	1	B	
09:30	    5.91	       1	1	B	
09:31	    5.91	      55	12	B	
09:31	    5.90	       4	4	B	
09:31	    5.90	       4	1	
09:31	    5.90	      16	1	S	
09:31	    5.90	       2	1	B	
09:31	    5.90	      17	7	B	
09:31	    5.90	       4	1	S	
09:31	    5.90	       2	1	B	
09:31	    5.91	      87	12	B	
09:31	    5.91	       1	1	S	
09:31	    5.91	       1	1	S	
09:31	    5.92	       6	3	B	
09:31	    5.91	       2	1	S	
09:32	    5.91	       2	1	S	
09:32	    5.91	       2	1	S	
09:32	    5.91	       1	1	S	
09:32	    5.92	       4	2	B	
09:32	    5.92	       2	1	B	
09:32	    5.92	       2	1	B	
09:33	    5.91	      51	7	S	
09:33	    5.91	       6	6	S	
09:33	    5.92	       2	1	B	
09:33	    5.91	      17	1	S	
09:33	    5.92	      29	4	B	
09:34	    5.91	      19	3	S	
09:34	    5.92	       1	1	B	
09:34	    5.91	      18	3	S	
09:34	    5.91	      10	1	B	
09:34	    5.90	      25	1	S	
09:35	    5.91	       1	1	B	
09:36	    5.90	       1	1	S	
09:36	    5.90	       1	1	S	
09:36	    5.91	      16	2	B	
09:36	    5.91	       2	1	B	
09:36	    5.91	       1	1	B	
09:37	    5.91	      21	11	B	
09:37	    5.92	     202	18	B	
09:38	    5.93	       1	1	B	
09:38	    5.93	      36	2	B	
09:38	    5.93	       1	1	B	
09:38	    5.93	     261	10	B	
09:39	    5.94	      20	2	B	
09:39	    5.94	      10	2	B	
09:39	    5.94	       7	1	B	
09:39	    5.94	     100	2	B	
09:39	    5.94	      20	3	B	
09:39	    5.94	       8	3	B	
09:39	    5.94	      57	3	S	
09:40	    5.94	       2	1	S	
09:40	    5.94	      35	2	S	
09:40	    5.94	       5	1	S	
09:40	    5.94	      16	1	S	
09:41	    5.94	     143	3	S	
09:41	    5.94	      67	2	S	
09:41	    5.94	       4	1	S	
09:41	    5.94	      10	1	S	
09:41	    5.94	       1	1	S	
09:41	    5.94	      11	1	S	
09:42	    5.94	      20	1	S	
09:42	    5.94	      11	2	S	
09:42	    5.94	      94	3	S	
09:42	    5.94	      17	1	S	
09:42	    5.94	       1	1	S	
09:43	    5.93	      20	1	S	
09:43	    5.93	       9	1	S	
09:43	    5.93	      39	4	S	
09:44	    5.94	       2	1	B	
09:44	    5.94	      16	4	B	
09:44	    5.93	       2	1	S	
09:44	    5.94	      20	6	B	
09:45	    5.93	       4	2	S	
09:45	    5.93	       3	3	S	
09:45	    5.92	      59	5	S	
09:45	    5.92	       2	2	S	
09:47	    5.93	       3	1	B	
09:47	    5.93	      24	4	B	
09:47	    5.92	       5	1	S	
09:48	    5.93	       1	1	B	
09:48	    5.93	       1	1	B	
09:48	    5.92	       5	1	S	
09:48	    5.92	      20	1	S	
09:48	    5.92	      15	1	S	
09:49	    5.93	      16	1	B	
09:49	    5.93	      12	1	B	
09:49	    5.93	      18	15	B	
09:49	    5.92	      60	3	S	
09:49	    5.92	     188	5	S	
09:50	    5.92	      10	2	S	
09:50	    5.91	       6	4	S	
09:50	    5.91	       1	1	S	
09:50	    5.92	       2	1	B	
09:50	    5.91	      30	2	S	
09:50	    5.92	      17	1	B	
09:51	    5.91	      18	1	S	
09:51	    5.90	      30	2	S	
09:51	    5.89	     362	11	S	
09:51	    5.89	       1	1	B	
09:52	    5.88	      11	2	S	
09:52	    5.88	      10	2	S	
09:52	    5.88	      30	2	S	
09:53	    5.89	      73	18	B	
09:54	    5.90	      29	2	B	
09:54	    5.90	       8	4	B	
09:54	    5.90	       4	1	B	
09:54	    5.90	      33	2	B	
09:55	    5.91	      50	4	B	
09:55	    5.91	       4	2	B	
09:55	    5.91	       3	3	S	
09:55	    5.91	      20	1	S	
09:55	    5.91	       1	1	S	
09:56	    5.90	      10	4	S	
09:56	    5.90	      97	1	S	
09:56	    5.92	     300	5	B	
09:57	    5.90	       6	6	B	
09:57	    5.89	      80	3	S	
09:57	    5.91	      61	3	B	
09:57	    5.91	       5	2	B	
09:58	    5.92	     185	5	B	
09:58	    5.92	       3	3	S	
09:58	    5.92	       1	1	S	
09:58	    5.92	       1	1	S	
09:59	    5.92	      31	3	S	
09:59	    5.92	       1	1	B	
10:00	    5.92	      50	1	B	
10:00	    5.92	       2	1	B	
10:00	    5.92	      11	1	B	
10:01	    5.91	     118	2	S	
10:02	    5.92	      84	15	B	
10:02	    5.92	       9	2	S	
10:04	    5.92	       2	1	S	
10:04	    5.92	      35	1	S	
10:04	    5.92	       1	1	S	
10:04	    5.92	      63	3	S	
10:05	    5.92	       1	1	B	
10:05	    5.91	       6	1	S	
10:05	    5.93	      42	6	B	
10:07	    5.93	     349	17	B	
10:07	    5.94	       1	1	B	
10:07	    5.94	      10	1	B	
10:08	    5.94	     285	12	B	
10:08	    5.94	      12	2	S	
10:08	    5.94	      19	3	S	
10:08	    5.94	      16	3	B	
10:08	    5.94	      24	2	S	
10:09	    5.94	       3	1	B	
10:11	    5.94	      10	4	B	
10:12	    5.94	      13	1	B	
10:12	    5.94	       8	2	B	
10:12	    5.93	      20	1	S	
10:13	    5.94	      30	1	B	
10:13	    5.94	       2	1	B	
10:13	    5.93	      10	1	S	
10:14	    5.94	       1	1	B	
10:15	    5.93	       1	1	S	
10:15	    5.94	      15	1	B	
10:15	    5.94	      73	2	B	
10:16	    5.94	     446	6	B	
10:16	    5.94	      10	1	B	
10:16	    5.94	       4	1	B	
10:16	    5.94	     435	13	B	
10:16	    5.95	       1	1	B	
10:16	    5.94	     119	2	S	
10:16	    5.94	      17	1	S	
10:17	    5.94	       5	1	S	
10:17	    5.94	     172	2	S	
10:17	    5.94	      88	2	S	
10:18	    5.94	       8	3	S	
10:19	    5.94	      51	4	B	
10:20	    5.94	      38	7	B	
10:20	    5.94	       2	1	S	
10:20	    5.94	      10	2	S	
10:21	    5.95	       2	1	B	
10:21	    5.95	      43	3	B	
10:21	    5.95	       9	1	B	
10:22	    5.95	       6	1	B	
10:23	    5.95	      69	1	B	
10:23	    5.94	      15	1	S	
10:23	    5.94	       3	1	S	
10:23	    5.95	       1	1	B	
10:23	    5.94	     100	2	S	
10:24	    5.95	       3	1	B	
10:26	    5.95	       4	1	B	
10:26	    5.94	       1	1	S	
10:27	    5.94	       2	1	S	
10:27	    5.94	      11	2	S	
10:28	    5.94	      30	1	S	
10:28	    5.94	       3	1	S	
10:29	    5.94	     208	6	S	
10:29	    5.94	      16	6	B	
10:29	    5.94	       2	1	S	
10:30	    5.95	     320	5	B	
10:32	    5.95	      28	2	B	
10:33	    5.95	      10	1	B	
10:33	    5.95	      11	2	B	
10:33	    5.94	       2	1	S	
10:34	    5.95	     100	2	B	
10:34	    5.94	      65	2	S	
10:36	    5.94	       2	1	S	
10:36	    5.94	      10	1	S	
10:37	    5.94	      73	8	S	
10:37	    5.95	       1	1	B	
10:37	    5.95	     100	6	B	
10:38	    5.95	     100	8	B	
10:38	    5.95	      66	8	B	
10:39	    5.95	      17	3	B	
10:39	    5.95	       1	1	B	
10:41	    5.94	      50	1	S	
10:43	    5.94	      10	2	S	
10:44	    5.94	      10	1	S	
10:45	    5.95	       1	1	B	
10:45	    5.95	       1	1	B	
10:45	    5.94	       2	1	S	
10:45	    5.94	       8	3	S	
10:46	    5.95	      25	1	B	
10:47	    5.94	       2	1	S	
10:47	    5.94	       5	1	S	
10:48	    5.94	      15	2	S	
10:48	    5.94	      35	2	S	
10:49	    5.94	       3	1	S	
10:49	    5.94	       1	1	S	
10:50	    5.94	      10	1	S	
10:50	    5.95	       1	1	B	
10:51	    5.94	       1	1	S	
10:52	    5.95	      20	2	B	
10:52	    5.94	      16	3	S	
10:52	    5.94	       2	1	S	
10:52	    5.94	      24	2	S	
10:52	    5.94	       2	1	B	
10:52	    5.93	       3	1	S	
10:52	    5.94	       2	2	B	
10:52	    5.93	      35	1	S	
10:52	    5.93	       6	1	S	
10:53	    5.93	      10	1	S	
10:54	    5.93	      14	1	S	
10:54	    5.93	       2	1	S	
10:57	    5.93	       2	1	S	
10:57	    5.93	       1	1	S	
10:58	    5.93	       2	1	S	
10:59	    5.93	       1	1	S	
11:00	    5.93	       2	1	S	
11:00	    5.93	      10	1	S	
11:01	    5.93	      10	1	S	
11:03	    5.93	       2	1	S	
11:05	    5.93	       2	1	S	
11:05	    5.93	      10	1	S	
11:06	    5.93	       9	1	S	
11:06	    5.94	      39	4	B	
11:08	    5.98	    1935	58	B	
11:08	    5.98	      38	3	S	
11:08	    5.98	       1	1	S	
11:08	    5.98	      10	1	S	
11:08	    5.98	      10	1	S	
11:08	    5.98	       6	3	S	
11:08	    5.98	      30	2	S	
11:08	    5.98	      26	4	B	
11:08	    5.98	       4	1	S	
11:09	    5.98	       0	1	S	
11:09	    5.98	       6	3	B	
11:09	    5.98	       2	2	B	
11:09	    5.98	       0	1	B	
11:09	    5.98	       2	1	B	
11:09	    5.98	      17	4	B	
11:10	    5.98	      22	4	B	
11:10	    5.97	      13	1	S	
11:11	    5.97	      10	1	S	
11:11	    5.97	       2	2	S	
11:11	    5.97	       1	1	S	
11:11	    5.97	      10	1	S	
11:11	    5.97	      10	1	S	
11:12	    5.97	       5	2	S	
11:12	    5.97	      25	2	S	
11:12	    5.97	       1	1	S	
11:12	    5.96	       5	1	S	
11:13	    5.96	      18	1	S	
11:14	    5.97	      16	1	B	
11:14	    5.97	      20	1	B	
11:16	    5.97	      20	1	B	
11:17	    5.97	      22	1	B	
11:17	    5.97	      14	1	B	
11:18	    5.97	      46	1	B	
11:19	    5.97	      51	7	B	
11:19	    5.96	      10	1	S	
11:20	    5.97	       3	3	B	
11:20	    5.97	       5	4	B	
11:20	    5.97	       2	2	B	
11:20	    5.97	       1	1	B	
11:20	    5.96	       2	1	S	
11:21	    5.96	      18	2	S	
11:22	    5.96	       1	1	S	
11:23	    5.96	      10	1	S	
11:24	    5.96	       2	1	S	
11:24	    5.96	      11	1	S	
11:24	    5.96	     100	1	S	
11:25	    5.96	      61	1	S	
11:26	    5.96	      16	1	S	
11:26	    5.96	       4	1	S	
11:27	    5.97	      11	1	B	
