                  20200203 伟星股份 (002003)
 时间	    价格	    成交	笔数	
09:25	    5.67	    3269	172	
09:30	    5.67	      21	2	S	
09:30	    5.79	     517	30	B	
09:30	    5.68	     563	33	S	
09:30	    5.67	     426	25	S	
09:30	    5.68	     326	14	S	
09:30	    5.68	       6	2	S	
09:30	    5.68	      92	4	S	
09:30	    5.79	      10	1	B	
09:30	    5.79	       1	1	B	
09:30	    5.78	       1	1	B	
09:30	    5.79	       1	1	B	
09:30	    5.79	      10	1	B	
09:30	    5.81	       2	1	B	
09:30	    5.80	       2	2	B	
09:30	    5.69	      80	4	S	
09:30	    5.81	       6	3	B	
09:31	    5.78	       3	3	B	
09:31	    5.79	       1	2	B	
09:31	    5.79	       1	1	S	
09:31	    5.79	      27	6	B	
09:31	    5.78	      21	5	S	
09:31	    5.78	      15	4	S	
09:31	    5.79	      51	4	B	
09:31	    5.70	      21	7	S	
09:31	    5.70	      17	2	S	
09:31	    5.70	       1	1	S	
09:31	    5.70	     130	2	S	
09:31	    5.69	      88	3	S	
09:31	    5.70	      94	3	B	
09:31	    5.70	      35	3	B	
09:31	    5.69	      15	3	S	
09:31	    5.70	      36	4	B	
09:31	    5.68	      65	7	S	
09:31	    5.68	      12	2	S	
09:31	    5.68	       6	2	S	
09:32	    5.69	      23	6	B	
09:32	    5.69	     254	10	B	
09:32	    5.68	      36	2	S	
09:32	    5.68	     135	8	S	
09:32	    5.68	     109	5	S	
09:32	    5.68	       6	1	S	
09:32	    5.70	     251	5	B	
09:32	    5.68	     201	6	S	
09:32	    5.68	     180	8	S	
09:32	    5.68	      58	2	S	
09:32	    5.68	       3	1	S	
09:32	    5.69	       1	1	B	
09:32	    5.68	      60	1	S	
09:32	    5.68	     143	8	S	
09:32	    5.69	      14	2	B	
09:32	    5.68	      41	3	S	
09:32	    5.68	       2	1	S	
09:33	    5.70	       7	3	B	
09:33	    5.68	      71	4	S	
09:33	    5.70	      54	6	B	
09:33	    5.68	     231	24	S	
09:33	    5.68	     458	84	S	
09:33	    5.70	     405	64	B	
09:33	    5.70	      30	2	S	
09:33	    5.68	      43	7	S	
09:33	    5.76	      27	3	B	
09:33	    5.69	       2	1	S	
09:33	    5.69	      10	1	S	
09:33	    5.70	     100	1	B	
09:33	    5.76	      35	3	B	
09:33	    5.69	       1	1	S	
09:33	    5.69	      47	3	S	
09:34	    5.70	       5	2	S	
09:34	    5.76	      12	2	B	
09:34	    5.76	      53	2	S	
09:34	    5.70	       2	1	S	
09:34	    5.70	      90	6	S	
09:34	    5.70	       8	2	S	
09:34	    5.70	      20	4	S	
09:34	    5.71	       3	2	
09:34	    5.72	      10	1	B	
09:34	    5.72	      22	2	B	
09:35	    5.72	      35	4	B	
09:35	    5.72	      30	4	B	
09:35	    5.71	      21	2	S	
09:35	    5.72	     109	14	B	
09:35	    5.71	      31	4	S	
09:35	    5.72	     126	5	B	
09:35	    5.72	     243	3	B	
09:35	    5.75	      21	9	B	
09:35	    5.72	       8	8	S	
09:35	    5.72	      43	2	S	
09:35	    5.72	       1	1	S	
09:35	    5.75	       1	1	B	
09:35	    5.75	       1	1	S	
09:35	    5.72	      21	3	S	
09:35	    5.75	      20	1	S	
09:35	    5.76	       4	2	B	
09:35	    5.76	       5	2	B	
09:35	    5.75	      93	4	S	
09:36	    5.73	      13	2	S	
09:36	    5.74	      20	2	B	
09:36	    5.73	       1	1	S	
09:36	    5.74	     101	8	B	
09:36	    5.72	       3	1	S	
09:36	    5.73	       1	1	B	
09:36	    5.73	     111	10	S	
09:36	    5.73	       3	1	S	
09:36	    5.73	     127	9	S	
09:36	    5.72	      69	8	S	
09:36	    5.73	      27	4	B	
09:36	    5.73	      62	5	B	
09:36	    5.73	      14	5	B	
09:36	    5.73	      10	1	S	
09:36	    5.73	     121	5	S	
09:36	    5.72	      58	5	S	
09:37	    5.72	      18	2	S	
09:37	    5.72	      22	2	S	
09:37	    5.72	       1	1	S	
09:37	    5.73	       1	1	S	
09:37	    5.73	      39	2	S	
09:37	    5.73	     191	9	B	
09:37	    5.72	      26	3	S	
09:37	    5.72	       9	3	S	
09:37	    5.73	      48	3	B	
09:37	    5.72	       1	1	S	
09:37	    5.75	      41	5	B	
09:37	    5.72	     132	5	S	
09:37	    5.73	       4	1	S	
09:37	    5.76	       2	1	B	
09:37	    5.76	      52	3	B	
09:37	    5.76	       4	2	B	
09:38	    5.75	       1	1	S	
09:38	    5.76	      20	3	B	
09:38	    5.76	       1	1	S	
09:38	    5.76	      10	1	S	
09:38	    5.76	      12	2	S	
09:38	    5.74	       1	1	S	
09:38	    5.74	       3	1	S	
09:38	    5.73	      37	9	S	
09:38	    5.73	       1	1	S	
09:38	    5.74	       6	1	B	
09:38	    5.74	      50	2	B	
09:38	    5.73	       2	1	S	
09:38	    5.73	      36	4	S	
09:39	    5.72	     110	5	S	
09:39	    5.72	       7	2	S	
09:39	    5.74	      44	8	B	
09:39	    5.72	     311	9	S	
09:39	    5.72	      14	3	S	
09:39	    5.73	      17	4	B	
09:39	    5.73	      29	4	B	
09:39	    5.73	      23	11	B	
09:39	    5.73	       2	1	
09:39	    5.72	     187	3	S	
09:39	    5.73	      10	2	
09:39	    5.73	       8	1	S	
09:39	    5.73	       3	2	B	
09:39	    5.74	      15	4	B	
09:39	    5.73	       1	1	S	
09:39	    5.74	       3	2	B	
09:39	    5.73	      10	2	S	
09:40	    5.73	      38	2	S	
09:40	    5.72	      34	8	S	
09:40	    5.71	     282	12	S	
09:40	    5.71	      17	6	S	
09:40	    5.72	      60	3	B	
09:40	    5.71	      37	6	S	
09:40	    5.71	      51	6	S	
09:40	    5.71	       3	2	S	
09:40	    5.73	      21	2	B	
09:40	    5.71	      11	2	S	
09:40	    5.72	       1	1	S	
09:40	    5.71	     102	5	S	
09:40	    5.71	     103	4	S	
09:40	    5.73	      52	3	B	
09:40	    5.73	       1	1	S	
09:40	    5.73	     110	2	S	
09:40	    5.73	       4	1	S	
09:40	    5.73	       1	1	S	
09:41	    5.73	     132	2	S	
09:41	    5.72	       4	1	S	
09:41	    5.72	       2	2	S	
09:41	    5.72	      77	4	B	
09:41	    5.71	     702	8	S	
09:41	    5.72	      21	1	S	
09:41	    5.72	       1	1	S	
09:41	    5.72	      16	4	S	
09:41	    5.73	      16	2	B	
09:41	    5.74	      60	1	B	
09:41	    5.73	      78	4	S	
09:41	    5.73	      15	3	B	
09:41	    5.72	       2	2	S	
09:41	    5.72	      92	5	S	
09:42	    5.72	       3	1	S	
09:42	    5.72	      31	3	S	
09:42	    5.73	     102	8	B	
09:42	    5.72	      14	2	S	
09:42	    5.73	      12	2	B	
09:42	    5.72	       2	2	S	
09:42	    5.73	       6	2	B	
09:42	    5.72	       1	1	S	
09:42	    5.72	     120	9	S	
09:42	    5.72	      45	5	B	
09:42	    5.72	      15	4	S	
09:42	    5.73	      68	6	B	
09:42	    5.72	      23	7	S	
09:42	    5.72	       4	4	S	
09:42	    5.73	      15	2	B	
09:42	    5.73	       1	1	S	
09:42	    5.73	     100	1	S	
09:42	    5.73	      15	3	S	
09:43	    5.74	     172	6	B	
09:43	    5.73	      39	3	S	
09:43	    5.73	       5	2	S	
09:43	    5.73	      15	1	S	
09:43	    5.74	      34	4	B	
09:43	    5.73	       4	2	S	
09:43	    5.74	       3	2	B	
09:43	    5.75	      23	2	B	
09:43	    5.75	      20	4	B	
09:43	    5.75	       3	2	
09:43	    5.74	     200	3	S	
09:43	    5.75	       8	1	S	
09:43	    5.76	     168	6	B	
09:44	    5.75	      33	5	S	
09:44	    5.75	       4	2	S	
09:44	    5.76	       8	1	B	
09:44	    5.76	       5	1	S	
09:44	    5.76	       1	1	S	
09:44	    5.77	      10	2	B	
09:44	    5.76	     120	5	S	
09:44	    5.77	      40	3	B	
09:44	    5.77	       2	1	S	
09:44	    5.78	      10	2	B	
09:44	    5.78	      10	1	B	
09:44	    5.78	      68	5	B	
09:44	    5.78	      23	3	S	
09:44	    5.78	       1	1	S	
09:44	    5.79	     108	3	B	
09:44	    5.77	      34	7	S	
09:44	    5.77	      27	5	S	
09:45	    5.78	      51	2	
09:45	    5.78	       2	1	S	
09:45	    5.80	     500	7	B	
09:45	    5.78	      20	1	S	
09:45	    5.78	      51	5	S	
09:45	    5.78	       2	1	S	
09:45	    5.80	      11	4	B	
09:45	    5.80	       4	2	B	
09:45	    5.80	       3	2	B	
09:45	    5.79	       5	1	
09:45	    5.79	       1	1	B	
09:45	    5.79	       5	1	B	
09:45	    5.79	       1	1	B	
09:45	    5.78	       1	1	S	
09:45	    5.79	       8	1	B	
09:45	    5.79	      10	1	S	
09:45	    5.80	       1	1	B	
09:46	    5.79	     100	5	S	
09:46	    5.79	       5	2	S	
09:46	    5.79	     337	13	S	
09:46	    5.79	      13	1	S	
09:46	    5.80	      24	2	S	
09:46	    5.80	       2	1	S	
09:46	    5.80	      88	4	S	
09:46	    5.80	       4	1	S	
09:46	    5.80	      62	2	S	
09:46	    5.81	      11	3	B	
09:46	    5.81	      68	5	B	
09:46	    5.80	       4	1	S	
09:46	    5.80	      10	1	S	
09:46	    5.81	      10	1	B	
09:47	    5.80	      39	1	S	
09:47	    5.80	       2	1	S	
09:47	    5.81	       1	1	B	
09:47	    5.81	      12	1	B	
09:47	    5.81	      10	1	B	
09:47	    5.81	      22	2	B	
09:47	    5.80	      22	2	S	
09:47	    5.81	      50	7	B	
09:47	    5.80	       3	1	S	
09:47	    5.81	      45	4	B	
09:47	    5.80	       2	1	S	
09:47	    5.81	      44	4	B	
09:47	    5.80	       2	1	S	
09:47	    5.83	     675	17	B	
09:47	    5.83	      59	2	S	
09:48	    5.84	      87	7	B	
09:48	    5.84	      85	3	S	
09:48	    5.84	       3	1	S	
09:48	    5.84	      75	1	S	
09:48	    5.84	      89	9	S	
09:48	    5.84	      10	1	S	
09:48	    5.84	       4	1	S	
09:48	    5.85	      62	5	B	
09:48	    5.85	       6	1	B	
09:48	    5.85	       5	1	B	
09:48	    5.84	     163	3	S	
09:49	    5.84	      17	2	B	
09:49	    5.84	      13	1	B	
09:49	    5.84	       9	1	B	
09:49	    5.84	     110	2	B	
09:49	    5.83	      38	4	S	
09:49	    5.84	       1	1	B	
09:49	    5.84	       1	1	B	
09:49	    5.84	      70	2	B	
09:49	    5.83	      93	2	S	
09:49	    5.83	      30	1	S	
09:49	    5.83	       5	1	S	
09:50	    5.83	      49	1	S	
09:50	    5.83	      20	1	S	
09:50	    5.83	      11	1	S	
09:50	    5.83	       5	1	S	
09:50	    5.83	      29	7	S	
09:50	    5.81	       5	1	S	
09:50	    5.83	      20	2	B	
09:50	    5.81	     117	6	S	
09:50	    5.82	      21	4	B	
09:50	    5.81	      15	1	S	
09:50	    5.82	       7	3	B	
09:50	    5.81	      53	1	S	
09:51	    5.82	      17	4	B	
09:51	    5.82	      17	2	B	
09:51	    5.81	      16	2	S	
09:51	    5.81	      10	1	S	
09:51	    5.81	     200	2	S	
09:51	    5.81	       9	1	S	
09:51	    5.81	      50	4	S	
09:51	    5.82	      10	4	B	
09:51	    5.81	      38	5	S	
09:52	    5.80	       5	1	S	
09:52	    5.80	      87	8	S	
09:52	    5.80	      83	6	S	
09:52	    5.80	      10	2	B	
09:52	    5.80	      18	8	B	
09:53	    5.81	      52	3	B	
09:53	    5.81	      49	5	B	
09:53	    5.81	       7	1	S	
09:53	    5.82	       4	1	B	
09:53	    5.82	       5	2	B	
09:53	    5.82	       2	1	B	
09:53	    5.83	      32	5	B	
09:53	    5.82	      20	2	S	
09:53	    5.83	      11	1	B	
09:53	    5.83	       4	1	B	
09:53	    5.83	      42	4	B	
09:53	    5.83	      10	1	S	
09:54	    5.84	     187	6	B	
09:54	    5.84	       8	1	S	
09:54	    5.84	      27	2	S	
09:54	    5.83	       9	2	S	
09:54	    5.84	      30	2	B	
09:54	    5.83	       2	1	S	
09:54	    5.84	      29	4	B	
09:54	    5.83	      11	4	S	
09:54	    5.84	       1	1	B	
09:54	    5.85	       9	1	B	
09:54	    5.84	       1	1	S	
09:54	    5.84	       1	1	S	
09:54	    5.85	     150	6	B	
09:55	    5.85	       6	1	S	
09:55	    5.86	      48	3	B	
09:55	    5.86	       2	1	
09:55	    5.87	      46	5	B	
09:55	    5.87	       2	1	S	
09:55	    5.86	      12	4	S	
09:55	    5.87	      54	5	S	
09:55	    5.87	       2	1	S	
09:55	    5.88	     232	5	B	
09:55	    5.88	     144	2	S	
09:55	    5.88	       6	1	S	
09:55	    5.89	       1	1	B	
09:55	    5.89	      17	1	B	
09:55	    5.88	      57	4	S	
09:56	    5.88	       8	2	S	
09:56	    5.88	      34	1	S	
09:56	    5.88	      70	7	
09:56	    5.89	       3	1	
09:56	    5.89	       7	1	S	
09:56	    5.90	      14	2	B	
09:56	    5.90	      23	2	B	
09:56	    5.90	      64	5	B	
09:56	    5.88	       3	1	S	
09:56	    5.89	       2	2	B	
09:56	    5.88	      95	3	S	
09:56	    5.87	       4	1	S	
09:56	    5.87	      43	1	S	
09:56	    5.87	     100	1	S	
09:56	    5.87	       7	2	S	
09:56	    5.87	      40	2	S	
09:56	    5.86	       2	1	S	
09:57	    5.87	       2	1	B	
09:57	    5.86	      50	4	S	
09:57	    5.85	      40	3	S	
09:57	    5.87	      51	3	B	
09:57	    5.86	       4	1	S	
09:57	    5.85	      28	3	S	
09:57	    5.85	     200	4	S	
09:57	    5.85	      20	2	S	
09:57	    5.87	      19	1	B	
09:57	    5.86	       1	1	S	
09:57	    5.86	      35	2	S	
09:57	    5.87	      36	3	B	
09:58	    5.85	       5	1	S	
09:58	    5.87	       5	3	B	
09:58	    5.87	      64	7	B	
09:58	    5.87	       9	1	B	
09:58	    5.87	      20	2	B	
09:58	    5.86	       5	2	S	
09:58	    5.87	      21	5	B	
09:58	    5.87	      11	3	B	
09:58	    5.87	       2	2	B	
09:58	    5.87	       1	1	B	
09:58	    5.87	       5	1	B	
09:59	    5.86	      24	3	S	
09:59	    5.87	       4	2	B	
09:59	    5.86	      86	3	S	
09:59	    5.86	       6	1	S	
09:59	    5.87	      20	2	B	
09:59	    5.87	       1	1	B	
09:59	    5.87	      10	3	B	
09:59	    5.87	       2	2	B	
09:59	    5.88	      18	4	B	
09:59	    5.87	      70	2	S	
10:00	    5.86	       5	1	S	
10:00	    5.86	      75	6	S	
10:00	    5.86	       1	1	B	
10:00	    5.86	      57	4	B	
10:00	    5.85	       8	3	S	
10:00	    5.86	       1	1	B	
10:00	    5.86	       1	1	B	
10:00	    5.86	       1	1	B	
10:00	    5.86	     123	7	B	
10:00	    5.85	      31	4	S	
10:00	    5.85	      30	1	S	
10:00	    5.85	       7	3	S	
10:01	    5.84	     130	8	S	
10:01	    5.84	       8	1	S	
10:01	    5.84	      45	5	S	
10:01	    5.84	       6	1	S	
10:01	    5.84	      25	4	S	
10:01	    5.84	      31	3	B	
10:01	    5.84	      23	6	B	
10:01	    5.85	      43	1	B	
10:02	    5.84	      19	4	S	
10:02	    5.85	       1	1	B	
10:02	    5.85	      16	3	B	
10:02	    5.82	     424	15	S	
10:02	    5.81	      30	2	S	
10:02	    5.82	       7	1	B	
10:02	    5.82	      56	6	B	
10:02	    5.82	      35	1	S	
10:02	    5.82	       6	1	S	
10:02	    5.84	       1	1	B	
10:02	    5.84	       1	1	B	
10:03	    5.83	       1	1	B	
10:03	    5.84	       2	1	B	
10:03	    5.83	      10	1	S	
10:03	    5.83	       4	1	S	
10:03	    5.83	      98	3	B	
10:03	    5.82	       5	2	S	
10:04	    5.84	      16	3	B	
10:04	    5.84	       3	2	
10:04	    5.81	     500	13	S	
10:04	    5.81	      20	4	S	
10:04	    5.81	       2	1	S	
10:04	    5.84	       8	2	B	
10:04	    5.84	      59	4	S	
10:04	    5.84	       4	1	S	
10:04	    5.84	      33	2	S	
10:04	    5.81	      11	3	S	
10:05	    5.84	      10	4	B	
10:05	    5.84	      49	5	B	
10:05	    5.83	      23	3	S	
10:06	    5.83	       2	1	B	
10:06	    5.82	      10	2	S	
10:07	    5.82	      95	1	S	
10:07	    5.81	      14	2	S	
10:07	    5.83	      60	8	B	
10:07	    5.82	      17	1	B	
10:07	    5.82	      54	3	B	
10:07	    5.81	       6	1	S	
10:07	    5.82	      20	4	B	
10:08	    5.81	       5	1	S	
10:08	    5.81	      67	5	S	
