                  20210705 伟星股份 (002003)
 时间	    价格	    成交	笔数	
09:25	    6.46	    1088	116	
09:30	    6.47	      42	5	
09:30	    6.50	    1583	44	B	
09:30	    6.47	     300	35	S	
09:30	    6.50	     347	22	B	
09:30	    6.50	      93	9	B	
09:30	    6.50	      98	15	B	
09:30	    6.53	       5	3	B	
09:30	    6.53	     126	12	B	
09:30	    6.53	       8	5	B	
09:30	    6.54	     231	15	B	
09:30	    6.54	     128	13	B	
09:30	    6.54	       1	1	S	
09:30	    6.54	      41	2	S	
09:30	    6.55	      51	5	B	
09:30	    6.54	       1	1	S	
09:30	    6.54	       8	1	S	
09:30	    6.55	       2	1	B	
09:30	    6.55	      20	3	B	
09:30	    6.55	      30	2	B	
09:30	    6.55	     144	6	B	
09:31	    6.56	      79	9	B	
09:31	    6.55	      55	6	B	
09:31	    6.54	     173	6	S	
09:31	    6.54	      69	5	S	
09:31	    6.53	     115	4	S	
09:31	    6.54	      18	4	B	
09:31	    6.53	      62	9	S	
09:31	    6.53	      11	2	B	
09:31	    6.53	      38	4	B	
09:31	    6.51	       3	2	S	
09:31	    6.49	     115	7	S	
09:31	    6.49	      30	2	S	
09:31	    6.48	      16	3	S	
09:31	    6.48	      87	5	S	
09:31	    6.47	      54	6	S	
09:32	    6.50	      93	4	B	
09:32	    6.47	       7	1	S	
09:32	    6.49	       3	3	B	
09:32	    6.48	      12	2	S	
09:32	    6.48	      11	5	S	
09:32	    6.49	      14	4	B	
09:32	    6.51	       9	2	B	
09:32	    6.51	      12	1	S	
09:32	    6.51	       8	1	S	
09:32	    6.51	      60	2	S	
09:32	    6.51	       1	1	S	
09:32	    6.52	      53	3	
09:32	    6.52	      90	1	B	
09:32	    6.52	      31	5	S	
09:33	    6.52	     100	4	B	
09:33	    6.51	      97	4	S	
09:33	    6.51	      68	5	S	
09:33	    6.51	     245	19	S	
09:33	    6.52	      12	2	B	
09:33	    6.51	      16	1	B	
09:33	    6.50	       6	2	S	
09:33	    6.51	      56	3	B	
09:33	    6.51	       1	1	S	
09:33	    6.51	       2	2	S	
09:33	    6.51	      15	3	S	
09:33	    6.50	       3	1	S	
09:33	    6.50	      85	7	S	
09:33	    6.50	     118	5	S	
09:33	    6.50	      69	1	S	
09:34	    6.50	      39	2	S	
09:34	    6.50	      23	3	S	
09:34	    6.50	      79	9	S	
09:34	    6.50	      24	2	S	
09:34	    6.50	      23	3	S	
09:34	    6.50	       1	1	S	
09:34	    6.50	     130	5	S	
09:34	    6.50	       1	1	S	
09:34	    6.50	      10	2	S	
09:34	    6.50	     165	4	S	
09:34	    6.50	      20	3	S	
09:34	    6.49	      17	3	S	
09:34	    6.50	      15	1	B	
09:34	    6.49	      21	2	S	
09:35	    6.50	       2	1	B	
09:35	    6.49	      18	3	S	
09:35	    6.50	      21	4	B	
09:35	    6.49	       1	1	S	
09:35	    6.50	      19	3	B	
09:35	    6.50	       9	1	B	
09:35	    6.50	      34	3	B	
09:35	    6.50	      89	4	B	
09:35	    6.50	      10	1	S	
09:35	    6.49	     113	5	S	
09:35	    6.50	      15	1	S	
09:35	    6.49	     236	2	S	
09:35	    6.51	     194	7	B	
09:36	    6.51	       3	1	S	
09:36	    6.52	       5	1	B	
09:36	    6.52	       1	1	B	
09:36	    6.52	      30	3	B	
09:36	    6.52	       4	2	B	
09:36	    6.51	       1	1	S	
09:36	    6.51	      84	1	S	
09:36	    6.51	       4	3	S	
09:36	    6.51	      16	10	S	
09:36	    6.51	      23	9	S	
09:36	    6.51	      30	2	B	
09:36	    6.51	       6	2	B	
09:36	    6.51	      25	3	B	
09:37	    6.52	       5	2	B	
09:37	    6.50	      31	3	S	
09:37	    6.50	       1	1	S	
09:37	    6.51	     102	10	
09:37	    6.51	      20	15	S	
09:37	    6.51	      29	7	B	
09:37	    6.51	       6	5	B	
09:37	    6.51	       2	1	B	
09:37	    6.51	      10	1	B	
09:38	    6.51	       5	1	B	
09:38	    6.50	      18	2	S	
09:38	    6.50	      78	6	S	
09:38	    6.50	      19	2	S	
09:38	    6.50	       8	1	S	
09:38	    6.50	      39	3	S	
09:38	    6.50	      20	2	S	
09:38	    6.50	      28	1	S	
09:38	    6.50	      89	8	S	
09:39	    6.51	      18	2	B	
09:39	    6.50	       1	1	S	
09:39	    6.50	      78	7	S	
09:39	    6.51	     208	3	B	
09:39	    6.52	       1	1	B	
09:39	    6.51	       2	1	S	
09:39	    6.51	       2	1	S	
09:39	    6.51	      35	3	S	
09:39	    6.52	      20	1	B	
09:39	    6.52	      24	2	B	
09:39	    6.52	      48	4	B	
09:39	    6.52	      20	1	S	
09:39	    6.53	      21	1	B	
09:39	    6.53	      20	1	B	
09:39	    6.53	       1	1	B	
09:39	    6.53	       3	1	B	
09:39	    6.53	      41	2	B	
09:40	    6.52	       9	2	S	
09:40	    6.53	       1	1	B	
09:40	    6.52	       5	1	S	
09:40	    6.52	      40	1	S	
09:40	    6.52	     136	5	S	
09:40	    6.52	      52	15	S	
09:40	    6.53	     230	2	B	
09:40	    6.53	     100	1	B	
09:41	    6.52	      41	9	S	
09:41	    6.52	      19	11	B	
09:41	    6.52	       6	5	S	
09:41	    6.53	       1	1	B	
09:41	    6.53	       5	1	B	
09:41	    6.52	      11	5	S	
09:41	    6.52	       1	1	B	
09:41	    6.52	       6	6	S	
09:41	    6.52	       3	3	S	
09:41	    6.52	      30	1	B	
09:41	    6.51	     318	10	S	
09:42	    6.51	       5	2	S	
09:42	    6.51	       2	2	B	
09:42	    6.51	      55	6	B	
09:42	    6.51	       2	1	B	
09:42	    6.51	      15	4	B	
09:42	    6.50	      12	3	S	
09:43	    6.50	       6	3	S	
09:43	    6.50	       9	2	S	
09:43	    6.51	     117	9	B	
09:43	    6.50	      11	2	S	
09:43	    6.50	      20	1	S	
09:43	    6.50	       1	1	S	
09:43	    6.50	       7	3	
09:43	    6.50	      42	7	S	
09:43	    6.50	       3	1	S	
09:43	    6.50	       3	1	B	
09:43	    6.50	       3	1	B	
09:43	    6.49	      30	2	S	
09:43	    6.50	      67	4	B	
09:44	    6.50	     302	3	S	
09:44	    6.49	      23	2	S	
09:44	    6.50	      83	2	S	
09:44	    6.50	      78	3	S	
09:44	    6.50	      13	3	S	
09:44	    6.51	      80	3	B	
09:44	    6.51	       1	1	B	
09:44	    6.50	      10	1	S	
09:44	    6.50	      10	1	S	
09:44	    6.51	     124	6	B	
09:44	    6.51	      12	4	B	
09:44	    6.51	      36	5	B	
09:45	    6.50	      57	3	S	
09:45	    6.51	      20	1	B	
09:45	    6.51	       4	2	S	
09:45	    6.51	      25	2	S	
09:45	    6.51	     330	1	B	
09:45	    6.51	       8	3	S	
09:45	    6.52	      10	2	B	
09:45	    6.52	       3	1	B	
09:45	    6.51	       6	2	B	
09:46	    6.51	      14	3	B	
09:46	    6.51	       3	3	S	
09:46	    6.51	       3	2	S	
09:46	    6.51	       1	1	S	
09:46	    6.51	      17	1	S	
09:46	    6.51	      42	1	B	
09:46	    6.51	     123	3	S	
09:46	    6.51	      74	1	S	
09:46	    6.52	       1	1	B	
09:46	    6.51	      25	6	S	
