                  20221102 伟星股份 (002003)
 时间	    价格	    成交	笔数	
09:25	    9.57	     228	36	
09:30	    9.59	      74	13	B	
09:30	    9.56	     214	37	S	
09:30	    9.52	      22	15	S	
09:30	    9.54	     109	38	B	
09:30	    9.54	      17	9	S	
09:30	    9.53	      49	27	S	
09:30	    9.52	      91	30	S	
09:30	    9.52	      79	43	S	
09:30	    9.53	      28	9	
09:30	    9.53	     129	20	S	
09:30	    9.52	      16	12	S	
09:30	    9.52	      12	9	B	
09:30	    9.52	      95	24	S	
09:30	    9.53	      42	14	B	
09:30	    9.53	      23	19	B	
09:30	    9.51	      20	16	S	
09:30	    9.51	      14	8	S	
09:30	    9.52	       2	1	B	
09:30	    9.49	       9	5	S	
09:30	    9.50	      10	1	S	
09:31	    9.49	      41	13	S	
09:31	    9.49	       1	1	S	
09:31	    9.48	      64	21	S	
09:31	    9.48	      58	16	S	
09:31	    9.45	     132	24	S	
09:31	    9.45	      75	40	S	
09:31	    9.46	     128	42	B	
09:31	    9.46	      64	31	B	
09:31	    9.46	      88	40	S	
09:31	    9.46	      26	8	S	
09:31	    9.46	     223	25	B	
09:31	    9.46	      16	8	B	
09:31	    9.46	      57	16	B	
09:31	    9.45	      26	8	S	
09:31	    9.45	      10	3	S	
09:31	    9.45	       7	3	S	
09:31	    9.45	      35	15	B	
09:31	    9.46	     155	46	B	
09:31	    9.47	      20	17	B	
09:31	    9.46	       9	10	S	
09:32	    9.47	      20	12	B	
09:32	    9.47	       4	2	B	
09:32	    9.47	      43	8	B	
09:32	    9.47	     104	18	B	
09:32	    9.46	       9	8	S	
09:32	    9.46	      22	13	B	
09:32	    9.47	      25	11	B	
09:32	    9.47	      41	9	B	
09:32	    9.49	      89	56	B	
09:32	    9.49	      82	35	B	
09:32	    9.49	       5	4	S	
09:32	    9.49	      26	5	S	
09:32	    9.48	      57	9	S	
09:32	    9.48	      33	19	B	
09:32	    9.48	      19	9	B	
09:32	    9.48	      16	10	B	
09:32	    9.49	      83	31	B	
09:32	    9.49	       8	8	B	
09:32	    9.48	      58	28	S	
09:32	    9.49	      15	9	B	
09:33	    9.50	       6	5	B	
09:33	    9.50	      38	9	B	
09:33	    9.49	      17	6	S	
09:33	    9.49	      36	8	S	
09:33	    9.49	      36	12	S	
09:33	    9.49	      35	11	B	
09:33	    9.48	     163	21	S	
09:33	    9.48	      75	25	S	
09:33	    9.48	      13	7	B	
09:33	    9.47	      71	12	S	
09:33	    9.47	      15	9	S	
09:33	    9.48	      15	8	B	
09:33	    9.48	      46	7	B	
09:33	    9.47	       3	1	S	
09:33	    9.47	       1	1	S	
09:33	    9.47	       8	1	S	
09:33	    9.47	       2	2	S	
09:33	    9.48	      16	3	B	
09:34	    9.47	      44	6	S	
09:34	    9.47	     182	42	S	
09:34	    9.46	      31	11	S	
09:34	    9.45	      63	12	S	
09:34	    9.45	       2	2	S	
09:34	    9.45	      23	5	S	
09:34	    9.45	      16	2	S	
09:34	    9.45	      21	3	S	
09:34	    9.45	      19	4	S	
09:34	    9.45	      11	5	S	
09:34	    9.45	      10	3	S	
09:34	    9.45	      20	7	S	
09:34	    9.46	      15	10	B	
09:34	    9.44	     145	22	S	
09:34	    9.44	      62	8	B	
09:34	    9.44	      23	14	S	
09:34	    9.44	       7	4	S	
09:34	    9.44	      26	6	S	
09:35	    9.45	      26	8	B	
09:35	    9.45	      79	13	B	
09:35	    9.44	       6	2	S	
09:35	    9.44	      13	1	S	
09:35	    9.45	      33	10	B	
09:35	    9.45	      91	33	B	
09:35	    9.45	      50	32	B	
09:35	    9.45	      10	6	S	
09:35	    9.45	       1	1	S	
09:35	    9.45	       1	2	S	
09:35	    9.45	       1	1	S	
09:35	    9.45	      88	32	S	
09:35	    9.46	       5	5	B	
09:35	    9.45	      13	4	S	
09:35	    9.46	      31	18	B	
09:35	    9.46	       6	6	B	
09:36	    9.45	      16	8	S	
09:36	    9.45	      35	21	S	
09:36	    9.45	     169	31	S	
09:36	    9.43	     153	33	S	
09:36	    9.43	      30	5	S	
09:36	    9.43	      11	7	S	
09:36	    9.43	      19	15	S	
09:36	    9.44	       5	4	B	
09:36	    9.43	      50	10	S	
09:36	    9.43	      35	19	B	
09:36	    9.43	      52	22	B	
09:36	    9.43	      19	7	S	
09:36	    9.44	      46	14	B	
09:36	    9.43	      55	6	S	
09:36	    9.44	      21	7	B	
09:36	    9.43	       7	3	
09:36	    9.43	      18	6	B	
09:36	    9.43	      17	2	B	
09:37	    9.43	     133	15	B	
09:37	    9.44	      24	6	B	
09:37	    9.43	      23	2	S	
09:37	    9.43	       1	1	S	
09:37	    9.43	      20	14	S	
09:37	    9.44	      13	5	B	
09:37	    9.42	     460	80	S	
09:37	    9.42	      34	4	S	
09:37	    9.42	       9	5	S	
09:37	    9.42	      17	12	S	
09:37	    9.42	       1	1	B	
09:37	    9.42	       4	2	B	
09:37	    9.42	      58	6	B	
09:37	    9.42	       5	4	B	
09:37	    9.42	      12	3	B	
09:37	    9.42	     103	30	B	
09:37	    9.42	      62	37	B	
09:38	    9.42	      31	17	S	
09:38	    9.43	      48	13	B	
09:38	    9.42	      41	8	S	
09:38	    9.42	       1	1	S	
09:38	    9.42	      15	3	S	
09:38	    9.42	       3	1	S	
09:38	    9.43	      63	28	B	
09:38	    9.44	      20	8	B	
09:38	    9.44	       2	2	B	
09:38	    9.44	      15	2	B	
09:38	    9.42	      13	6	S	
09:38	    9.42	      12	8	S	
09:38	    9.43	       1	1	B	
09:38	    9.42	      18	7	S	
09:38	    9.43	      45	9	B	
09:38	    9.43	      55	10	B	
09:39	    9.43	      19	4	B	
09:39	    9.42	      10	2	S	
09:39	    9.43	      18	9	B	
09:39	    9.42	       1	1	S	
09:39	    9.43	       8	4	B	
09:39	    9.42	      34	14	S	
09:39	    9.43	      25	15	B	
09:39	    9.42	      80	30	S	
09:39	    9.42	      10	4	S	
09:39	    9.42	       1	1	S	
09:39	    9.43	       8	7	B	
09:39	    9.42	      18	11	S	
09:39	    9.43	      69	29	B	
09:39	    9.42	      59	10	S	
09:39	    9.42	       2	2	S	
09:39	    9.42	      50	8	S	
09:39	    9.42	      40	7	S	
09:39	    9.42	      20	5	B	
09:39	    9.41	       4	2	S	
09:40	    9.41	       1	1	S	
09:40	    9.42	      17	6	B	
09:40	    9.41	       5	2	S	
09:40	    9.41	     339	27	S	
09:40	    9.40	      22	3	S	
09:40	    9.41	     120	20	B	
09:40	    9.40	      52	11	S	
09:40	    9.40	       3	3	S	
09:40	    9.40	       7	6	S	
09:40	    9.41	       6	5	B	
09:40	    9.40	      36	6	S	
09:40	    9.40	       2	2	S	
09:40	    9.40	       7	4	S	
09:40	    9.40	       1	1	S	
09:40	    9.40	       1	1	S	
09:40	    9.40	     182	41	S	
09:40	    9.40	      44	16	S	
09:40	    9.42	     115	58	B	
09:40	    9.40	      24	9	S	
09:41	    9.41	       8	6	B	
09:41	    9.41	       4	4	S	
09:41	    9.40	      16	11	S	
09:41	    9.40	      32	18	S	
09:41	    9.41	       8	8	B	
09:41	    9.40	       6	3	S	
09:41	    9.41	      50	3	B	
09:41	    9.40	       3	3	S	
09:41	    9.40	       1	1	S	
09:41	    9.40	      32	4	S	
09:41	    9.40	      13	7	B	
09:41	    9.40	       8	7	B	
09:41	    9.39	      64	13	S	
09:41	    9.38	     262	132	S	
09:41	    9.37	     146	63	S	
09:41	    9.38	      20	2	
09:41	    9.38	      19	17	B	
09:41	    9.38	       4	4	B	
09:42	    9.37	       8	4	S	
09:42	    9.37	       5	2	S	
09:42	    9.37	     114	14	S	
09:42	    9.38	      80	34	B	
09:42	    9.38	      12	3	S	
09:42	    9.40	     235	80	B	
09:42	    9.40	     180	99	B	
09:42	    9.39	      32	1	S	
09:42	    9.40	       8	1	B	
09:42	    9.40	       3	2	B	
09:42	    9.40	       1	1	B	
09:42	    9.40	      14	7	B	
09:42	    9.40	       3	1	B	
09:42	    9.39	       6	4	S	
09:42	    9.40	      30	1	
09:42	    9.40	      11	2	S	
09:42	    9.40	      27	4	S	
09:43	    9.41	       3	3	B	
09:43	    9.41	      67	51	B	
09:43	    9.41	     301	85	B	
09:43	    9.41	      39	17	S	
09:43	    9.42	      26	16	B	
09:43	    9.42	       1	1	B	
09:43	    9.42	      10	9	B	
09:43	    9.42	      24	13	B	
09:43	    9.42	      30	25	B	
09:43	    9.42	       6	3	S	
09:43	    9.43	      16	2	B	
09:43	    9.43	      76	48	B	
09:43	    9.43	       1	1	S	
09:43	    9.44	      10	10	B	
09:43	    9.44	       3	2	B	
09:44	    9.44	       5	2	B	
09:44	    9.44	      13	8	B	
09:44	    9.43	      10	5	S	
09:44	    9.43	      14	5	S	
09:44	    9.44	       1	1	B	
09:44	    9.43	      40	24	S	
09:44	    9.44	      11	2	B	
09:44	    9.45	      57	25	B	
09:44	    9.45	      79	49	B	
09:44	    9.45	       6	4	S	
09:44	    9.46	       2	2	B	
09:44	    9.46	       1	1	B	
09:44	    9.46	       1	1	B	
09:44	    9.46	      38	38	B	
09:44	    9.46	       7	7	B	
09:44	    9.47	       2	2	B	
09:44	    9.46	      85	44	S	
09:44	    9.46	       7	4	B	
09:45	    9.46	      22	3	B	
09:45	    9.46	      42	19	B	
09:45	    9.46	      13	6	B	
09:45	    9.46	       5	1	B	
09:45	    9.46	      23	3	B	
09:45	    9.46	       2	2	B	
09:45	    9.46	      26	4	B	
09:45	    9.45	       7	6	S	
09:45	    9.46	       1	1	B	
09:45	    9.46	      14	3	B	
09:45	    9.46	      21	3	B	
09:45	    9.46	       9	3	B	
