                  20221121 伟星股份 (002003)
 时间	    价格	    成交	笔数	
09:25	    9.95	     262	35	
09:30	    9.96	      62	14	
09:30	    9.95	     142	41	S	
09:30	    9.94	     159	45	B	
09:30	    9.94	      82	26	B	
09:30	    9.92	      74	21	
09:30	    9.91	      54	19	S	
09:30	    9.90	      22	7	S	
09:30	    9.88	     176	28	S	
09:30	    9.89	     109	38	B	
09:30	    9.86	      52	14	S	
09:30	    9.87	      42	24	B	
09:30	    9.88	      56	25	B	
09:30	    9.88	      76	15	B	
09:30	    9.84	      95	21	S	
09:30	    9.86	      46	18	B	
09:30	    9.86	      49	36	S	
09:30	    9.88	      28	16	B	
09:30	    9.86	      16	11	
09:30	    9.87	      21	13	B	
09:30	    9.86	      25	14	S	
09:31	    9.86	      18	11	B	
09:31	    9.84	      18	14	S	
09:31	    9.85	      46	27	
09:31	    9.88	      96	36	B	
09:31	    9.89	      27	15	B	
09:31	    9.86	      17	11	S	
09:31	    9.87	       6	6	S	
09:31	    9.88	      30	15	B	
09:31	    9.91	      41	19	B	
09:31	    9.91	     112	18	B	
09:31	    9.89	      25	11	
09:31	    9.91	       4	2	B	
09:31	    9.91	       6	4	B	
09:31	    9.91	      15	12	B	
09:31	    9.91	       4	4	B	
09:31	    9.91	      18	8	B	
09:31	    9.92	       8	8	B	
09:31	    9.91	       8	4	S	
09:31	    9.90	      11	5	S	
09:31	    9.89	      17	10	B	
09:32	    9.89	      36	24	B	
09:32	    9.87	     123	34	S	
09:32	    9.90	      24	16	B	
09:32	    9.90	      10	8	B	
09:32	    9.88	       4	2	S	
09:32	    9.89	      40	19	B	
09:32	    9.90	      61	17	B	
09:32	    9.91	      38	12	B	
09:32	    9.91	     108	22	B	
09:32	    9.91	      24	10	B	
09:32	    9.91	       6	3	B	
09:32	    9.91	       1	1	B	
09:32	    9.90	       6	4	
09:32	    9.89	       4	3	S	
09:32	    9.88	     149	34	S	
09:32	    9.88	      67	22	B	
09:32	    9.88	      33	20	B	
09:32	    9.88	       8	7	B	
09:32	    9.88	       5	5	B	
09:32	    9.86	       5	5	S	
09:33	    9.87	       1	1	B	
09:33	    9.87	       6	5	B	
09:33	    9.85	     104	28	S	
09:33	    9.85	     158	23	
09:33	    9.86	      26	7	B	
09:33	    9.86	       4	2	B	
09:33	    9.85	       8	8	B	
09:33	    9.85	       5	3	B	
09:33	    9.86	       1	1	B	
09:33	    9.86	      80	50	B	
09:33	    9.89	      25	9	B	
09:33	    9.89	      22	7	B	
09:33	    9.89	      31	14	B	
09:33	    9.88	      21	10	S	
09:33	    9.88	      18	11	S	
