                  20230106 伟星股份 (002003)
 时间	    价格	    成交	笔数	
09:25	   10.04	       1	1	
09:30	   10.03	      13	4	
09:30	   10.06	      20	8	B	
09:30	   10.06	      16	11	B	
09:30	   10.06	      36	18	B	
09:30	   10.06	      45	19	S	
09:30	   10.04	      27	11	S	
09:30	   10.03	      81	28	S	
09:30	   10.01	      99	17	S	
09:30	    9.99	     170	24	S	
09:30	   10.02	      45	12	B	
09:30	   10.05	     131	56	B	
09:30	   10.05	     251	75	S	
09:30	   10.06	      14	11	B	
09:30	   10.05	     110	12	
09:30	   10.04	       1	1	S	
09:30	   10.07	     130	21	B	
09:30	   10.04	       2	2	S	
09:30	   10.06	       1	1	B	
09:30	   10.09	      42	4	B	
09:30	   10.09	      11	10	B	
09:31	   10.08	      27	5	S	
09:31	   10.08	       9	6	B	
09:31	   10.07	      25	2	B	
09:31	   10.07	      30	4	B	
09:31	   10.07	       3	2	B	
09:31	   10.04	      20	3	S	
09:31	   10.07	      27	18	B	
09:31	   10.07	      10	10	B	
09:31	   10.07	      12	4	B	
09:31	   10.06	      23	8	S	
09:31	   10.06	      45	6	S	
09:31	   10.05	      11	10	S	
09:31	   10.05	      36	13	S	
09:31	   10.05	      35	7	S	
09:31	   10.05	      34	13	B	
09:31	   10.05	      22	15	B	
09:31	   10.03	       6	6	S	
09:31	   10.05	      13	11	B	
09:31	   10.04	      12	4	
09:31	   10.04	      24	9	B	
09:32	   10.05	      97	16	B	
09:32	   10.06	       2	2	B	
09:32	   10.06	       1	1	B	
09:32	   10.03	       3	3	S	
09:32	   10.05	      11	7	B	
09:32	   10.05	      26	14	S	
09:32	   10.04	       1	1	S	
09:32	   10.04	       2	2	S	
09:32	   10.04	       5	2	S	
09:32	   10.03	      11	4	S	
09:32	   10.04	       5	3	S	
09:32	   10.03	       1	1	S	
09:32	   10.03	       6	3	S	
09:33	   10.05	       5	4	B	
09:33	   10.04	       2	2	
09:33	   10.04	       2	2	
09:33	   10.04	       4	4	S	
09:33	   10.03	      10	5	S	
09:33	   10.05	       6	2	B	
09:33	   10.05	      32	4	B	
09:33	   10.05	      11	5	S	
09:33	   10.06	      27	6	B	
09:33	   10.07	       9	4	
09:33	   10.07	       2	1	
09:33	   10.06	       1	1	S	
09:33	   10.06	       1	1	S	
09:33	   10.06	      10	7	S	
09:34	   10.06	       6	3	S	
09:34	   10.06	       1	1	S	
09:34	   10.06	       1	1	S	
09:34	   10.07	       3	3	B	
09:34	   10.07	       3	3	B	
09:34	   10.06	       1	1	S	
09:34	   10.05	      33	19	S	
09:34	   10.06	       2	2	S	
09:34	   10.07	      20	10	B	
09:34	   10.08	     102	19	B	
09:34	   10.08	      26	5	B	
09:34	   10.08	       1	1	S	
09:35	   10.10	       1	1	B	
09:35	   10.10	       2	1	B	
09:35	   10.10	       1	1	B	
09:35	   10.09	       2	2	S	
09:35	   10.10	       3	1	B	
09:35	   10.10	       3	1	B	
09:35	   10.10	      57	5	B	
09:35	   10.10	       2	1	B	
09:35	   10.09	       2	2	S	
09:35	   10.08	      48	24	S	
09:35	   10.07	       1	1	S	
09:35	   10.07	       1	1	S	
09:35	   10.07	       6	2	S	
09:36	   10.08	       4	4	B	
09:36	   10.07	       1	1	S	
09:36	   10.07	      10	5	S	
09:36	   10.07	      11	4	B	
09:36	   10.07	       2	1	B	
09:36	   10.08	       3	3	B	
09:36	   10.07	       6	6	B	
09:36	   10.07	       6	3	
09:36	   10.07	      16	10	S	
09:36	   10.07	       4	1	B	
09:36	   10.06	       1	1	S	
09:36	   10.07	       5	4	B	
09:37	   10.07	       2	1	B	
09:37	   10.05	      26	13	S	
09:37	   10.06	       4	1	B	
09:37	   10.04	      11	5	S	
09:37	   10.06	      10	3	B	
09:37	   10.06	       4	2	B	
09:37	   10.06	       4	3	B	
09:37	   10.06	       8	4	B	
09:37	   10.05	       1	1	S	
09:37	   10.06	       3	1	B	
09:37	   10.05	      12	8	S	
09:37	   10.06	      17	7	B	
09:37	   10.07	      17	5	B	
09:38	   10.04	      12	4	S	
09:38	   10.06	       9	3	B	
09:38	   10.04	       1	1	S	
09:38	   10.06	       5	2	B	
09:38	   10.04	       8	2	S	
09:38	   10.05	       6	2	S	
09:38	   10.06	       1	1	B	
09:38	   10.06	       4	1	B	
09:38	   10.05	       3	2	S	
09:38	   10.06	      10	2	B	
09:38	   10.05	       8	4	S	
09:38	   10.05	      18	9	S	
09:38	   10.05	       2	1	B	
09:39	   10.05	      10	2	B	
09:39	   10.06	     217	55	B	
09:39	   10.05	       6	5	S	
09:39	   10.04	       8	4	S	
09:39	   10.05	       7	1	B	
09:39	   10.05	      33	4	B	
09:39	   10.05	      33	9	B	
09:39	   10.05	       8	6	B	
09:39	   10.04	      12	8	S	
09:39	   10.04	       6	2	S	
09:39	   10.04	      23	5	S	
09:39	   10.05	       9	3	B	
09:39	   10.05	       9	1	B	
09:39	   10.04	       1	1	S	
09:39	   10.05	       1	1	B	
09:39	   10.04	       5	4	S	
09:40	   10.04	       1	1	S	
09:40	   10.04	      11	2	S	
09:40	   10.04	       1	1	S	
09:40	   10.04	      17	5	S	
09:40	   10.05	       1	1	B	
09:40	   10.05	      29	2	B	
09:40	   10.05	       1	1	B	
09:40	   10.04	       1	1	S	
09:40	   10.04	       1	1	S	
09:40	   10.05	       2	2	B	
09:41	   10.05	       1	1	B	
09:41	   10.05	      10	1	B	
09:41	   10.05	      18	4	B	
09:41	   10.05	       4	2	B	
09:41	   10.04	       1	1	S	
09:41	   10.05	       1	1	B	
09:41	   10.05	       1	1	B	
09:41	   10.04	       1	1	S	
09:41	   10.05	      22	7	B	
09:41	   10.05	       6	5	B	
09:41	   10.05	       5	1	B	
09:42	   10.05	       3	1	B	
09:42	   10.04	       1	1	S	
09:42	   10.05	      11	1	B	
09:42	   10.05	      27	5	B	
09:42	   10.05	       1	1	S	
09:42	   10.05	      14	7	S	
09:42	   10.05	       5	1	S	
09:42	   10.06	       2	2	B	
09:42	   10.06	       5	3	B	
09:42	   10.06	       1	2	B	
09:42	   10.06	      40	12	B	
09:42	   10.05	       2	2	S	
09:43	   10.06	       2	1	B	
09:43	   10.05	       4	2	S	
09:43	   10.06	       1	1	B	
09:43	   10.06	       2	1	B	
09:43	   10.06	       2	1	B	
09:43	   10.06	      28	11	B	
09:43	   10.06	       7	7	S	
09:43	   10.06	      12	4	B	
09:43	   10.07	       2	2	B	
09:43	   10.05	       1	1	S	
09:43	   10.04	     252	25	S	
09:43	   10.04	      70	13	S	
09:44	   10.04	       1	1	B	
09:44	   10.04	       7	2	B	
09:44	   10.03	       1	1	S	
09:44	   10.03	      60	8	S	
09:44	   10.03	      68	20	S	
09:44	   10.02	       2	2	S	
