                  20230209 伟星股份 (002003)
 时间	    价格	    成交	笔数	
09:25	   10.38	     237	31	
09:30	   10.37	      15	4	
09:30	   10.35	     206	26	S	
09:30	   10.34	      30	10	S	
09:30	   10.33	      14	7	S	
09:30	   10.32	      18	14	S	
09:30	   10.32	      23	14	B	
09:30	   10.37	      95	42	B	
09:30	   10.37	      58	24	B	
09:30	   10.36	      98	20	S	
09:30	   10.37	       9	8	B	
09:30	   10.33	      10	6	S	
09:30	   10.33	       4	3	S	
09:30	   10.33	       5	2	S	
09:30	   10.36	       1	1	B	
09:30	   10.36	       4	2	B	
09:30	   10.35	      12	3	B	
09:31	   10.33	       9	3	S	
09:31	   10.34	       9	4	S	
09:31	   10.33	      10	1	S	
09:31	   10.34	       1	1	B	
09:31	   10.33	       1	1	S	
09:31	   10.34	       2	1	B	
09:31	   10.33	       2	1	S	
09:31	   10.34	       6	3	B	
09:31	   10.34	      42	17	B	
09:31	   10.35	       3	1	B	
09:31	   10.34	      55	19	S	
09:31	   10.35	       2	1	B	
09:31	   10.35	       1	1	B	
09:31	   10.35	       5	5	B	
09:31	   10.34	      12	12	S	
09:32	   10.35	       1	1	B	
09:32	   10.35	      22	5	B	
09:32	   10.35	      11	3	S	
09:32	   10.34	      10	6	S	
09:32	   10.36	      12	7	B	
09:32	   10.35	       4	3	
09:32	   10.35	       1	1	S	
09:32	   10.36	       1	1	B	
09:32	   10.36	      11	2	B	
09:32	   10.36	      12	3	B	
09:32	   10.36	       3	2	B	
09:32	   10.35	      10	4	S	
09:33	   10.35	       1	1	S	
09:33	   10.35	       7	2	S	
09:33	   10.34	      54	24	S	
09:33	   10.35	      16	4	B	
09:33	   10.35	       3	2	B	
09:33	   10.34	       5	1	S	
09:33	   10.35	      17	4	B	
09:33	   10.35	      17	4	B	
09:33	   10.34	      14	2	S	
09:33	   10.34	      10	5	S	
09:33	   10.35	      23	11	B	
09:33	   10.33	      25	8	S	
09:33	   10.33	      27	9	S	
09:33	   10.33	       9	7	B	
09:33	   10.33	       2	2	B	
09:33	   10.33	      58	11	B	
09:33	   10.34	      25	10	B	
09:33	   10.33	       9	5	S	
09:33	   10.33	      15	2	B	
09:34	   10.33	       1	1	B	
09:34	   10.33	      21	2	B	
09:34	   10.33	       6	4	B	
09:34	   10.32	       4	3	S	
09:34	   10.32	       1	1	S	
