                  20230616 伟星股份 (002003)
 时间	    价格	    成交	笔数	
09:25	    9.35	      59	10	
09:30	    9.34	      38	4	
09:30	    9.36	      38	1	B	
09:30	    9.36	      41	5	B	
09:30	    9.38	      28	14	S	
09:30	    9.34	      64	20	S	
09:30	    9.36	      63	10	B	
09:30	    9.40	      54	7	B	
09:30	    9.41	       9	2	S	
09:30	    9.40	      66	10	B	
09:30	    9.36	      29	6	S	
09:30	    9.39	       6	1	B	
09:30	    9.37	       2	2	S	
09:30	    9.37	       2	1	S	
09:31	    9.36	       6	1	S	
09:31	    9.36	       4	2	S	
09:31	    9.38	      10	7	B	
09:31	    9.38	       4	2	B	
09:31	    9.38	      39	21	B	
09:31	    9.39	      20	12	B	
09:31	    9.38	       1	1	S	
09:31	    9.40	      52	18	B	
09:31	    9.42	      38	4	B	
09:31	    9.42	       4	1	B	
09:32	    9.42	       2	1	B	
09:32	    9.42	      26	4	B	
09:32	    9.40	       3	2	S	
09:32	    9.41	       9	8	B	
09:32	    9.41	       4	1	B	
09:32	    9.40	       1	1	
09:32	    9.40	       5	4	B	
09:32	    9.39	       4	4	S	
09:32	    9.39	       4	1	S	
09:32	    9.40	       6	3	B	
09:33	    9.39	       2	1	S	
09:33	    9.40	      46	5	B	
09:33	    9.42	       6	2	B	
09:33	    9.42	       4	1	B	
09:33	    9.41	      83	6	B	
09:33	    9.46	      21	8	B	
09:33	    9.43	      11	1	B	
09:34	    9.44	       6	1	B	
09:34	    9.43	       8	3	S	
09:34	    9.43	      52	13	B	
09:34	    9.43	       2	2	S	
09:34	    9.43	       9	2	B	
09:34	    9.43	       1	1	S	
09:35	    9.43	      35	7	B	
09:35	    9.43	       2	1	
09:35	    9.43	       5	1	S	
09:35	    9.44	       3	2	B	
09:35	    9.47	      47	17	B	
09:36	    9.46	      21	8	B	
09:36	    9.44	       8	1	
09:36	    9.47	      20	3	B	
09:36	    9.46	       1	1	B	
09:36	    9.47	      26	3	B	
09:36	    9.46	       1	1	
09:36	    9.45	       3	1	S	
09:37	    9.44	       1	1	S	
09:37	    9.44	      15	4	S	
09:37	    9.44	       2	1	
09:37	    9.43	      18	4	S	
09:37	    9.43	       4	3	B	
09:37	    9.41	      16	2	S	
09:37	    9.43	       5	1	B	
09:37	    9.41	       4	1	S	
09:37	    9.43	       8	1	B	
09:37	    9.42	      61	15	S	
09:38	    9.43	       4	3	
09:38	    9.43	      20	6	B	
09:38	    9.43	       6	3	S	
09:38	    9.42	       7	3	S	
09:38	    9.42	       1	1	S	
09:39	    9.43	       1	1	S	
09:39	    9.43	       1	1	B	
09:39	    9.43	       4	1	B	
09:39	    9.44	       3	3	B	
09:39	    9.44	       1	1	B	
09:40	    9.44	       2	2	B	
09:40	    9.43	      21	9	S	
09:40	    9.43	       2	1	B	
09:40	    9.43	      69	14	B	
09:40	    9.44	       7	4	B	
09:40	    9.44	       3	2	B	
09:41	    9.44	       1	1	S	
09:41	    9.45	      10	6	B	
09:41	    9.44	       1	1	S	
09:41	    9.44	      32	1	S	
09:41	    9.44	       3	1	S	
09:41	    9.44	      56	5	S	
09:41	    9.43	       1	1	S	
09:42	    9.42	      17	1	S	
09:43	    9.43	      13	6	B	
09:43	    9.42	       1	1	S	
09:43	    9.42	       1	1	S	
09:43	    9.42	      13	1	S	
09:43	    9.42	       8	1	S	
09:44	    9.42	      14	4	S	
09:44	    9.42	       1	1	S	
09:44	    9.42	       4	1	S	
09:44	    9.42	       1	1	S	
09:44	    9.42	      18	3	S	
09:44	    9.41	     188	18	S	
09:44	    9.41	      38	7	S	
09:44	    9.42	      23	4	B	
09:44	    9.42	      13	1	B	
09:44	    9.41	       1	1	S	
09:45	    9.41	       2	1	S	
09:45	    9.42	       6	2	B	
09:45	    9.41	      79	1	S	
09:45	    9.42	      26	12	B	
09:45	    9.41	      29	7	S	
09:45	    9.41	       3	3	S	
09:45	    9.41	       1	1	S	
09:46	    9.42	      11	3	B	
09:46	    9.41	      16	7	S	
09:46	    9.41	      39	7	S	
09:46	    9.41	       4	2	S	
09:46	    9.42	      11	1	B	
09:46	    9.42	     110	22	B	
09:46	    9.42	      37	10	B	
09:46	    9.43	       2	2	B	
09:47	    9.42	       7	3	S	
09:47	    9.42	       0	1	S	
09:48	    9.42	      28	5	S	
09:48	    9.43	       2	1	B	
09:48	    9.42	       5	1	S	
09:49	    9.42	       2	2	S	
09:49	    9.43	       1	1	B	
09:49	    9.42	      68	8	S	
09:49	    9.42	       1	1	S	
09:49	    9.42	       3	1	S	
09:49	    9.42	      21	7	S	
09:49	    9.41	       2	1	S	
09:50	    9.40	      32	8	S	
