                  20230714 伟星股份 (002003)
 时间	    价格	    成交	笔数	
09:25	    9.71	       1	1	
09:30	    9.62	      48	15	S	
09:30	    9.71	      44	20	B	
09:30	    9.65	       4	4	S	
09:30	    9.71	      22	10	B	
09:30	    9.69	      11	8	S	
09:30	    9.70	      17	12	B	
09:30	    9.70	       5	1	S	
09:30	    9.73	      14	3	B	
09:30	    9.69	       3	2	S	
09:30	    9.67	      99	5	S	
09:30	    9.71	       7	5	B	
09:31	    9.72	      28	8	B	
09:31	    9.72	      27	8	B	
09:31	    9.72	      13	4	B	
09:31	    9.70	      40	11	S	
09:31	    9.72	      12	9	B	
09:31	    9.73	      12	5	B	
09:31	    9.73	       7	3	B	
09:31	    9.73	       8	1	B	
09:31	    9.73	       1	1	B	
09:31	    9.74	       2	2	B	
09:31	    9.72	      10	2	B	
09:31	    9.72	       7	7	S	
09:31	    9.73	      16	7	B	
09:32	    9.74	       7	2	B	
09:32	    9.71	       2	1	S	
09:32	    9.70	      15	7	S	
09:32	    9.71	      13	6	B	
09:32	    9.71	       1	1	B	
09:32	    9.70	      11	5	B	
09:32	    9.71	       5	4	B	
09:32	    9.70	       8	5	S	
09:32	    9.69	      14	6	S	
09:32	    9.70	       3	2	B	
09:32	    9.72	       5	2	B	
09:32	    9.71	       1	1	
09:33	    9.70	       3	2	S	
09:33	    9.71	      26	10	
09:33	    9.71	       2	2	B	
09:33	    9.71	       1	1	B	
09:33	    9.69	       5	3	S	
09:33	    9.69	       1	1	S	
09:33	    9.68	       2	1	S	
09:33	    9.68	      21	3	S	
09:33	    9.68	      14	5	S	
09:34	    9.70	       1	1	B	
09:34	    9.68	       4	1	S	
09:34	    9.69	       3	3	
09:34	    9.68	       4	2	S	
09:34	    9.68	       9	5	S	
09:34	    9.70	       4	1	B	
09:34	    9.68	       2	1	S	
09:34	    9.67	       8	2	S	
09:34	    9.67	       1	1	S	
09:34	    9.67	      10	4	S	
09:34	    9.69	       1	1	B	
09:34	    9.67	       5	1	S	
09:34	    9.69	       1	1	B	
09:34	    9.67	       4	1	S	
09:35	    9.67	      29	12	S	
09:35	    9.67	       9	6	B	
09:35	    9.65	       2	1	S	
09:35	    9.65	      29	3	S	
09:35	    9.65	      62	12	B	
09:35	    9.66	       8	7	B	
09:35	    9.67	       5	3	B	
09:35	    9.67	       1	1	B	
09:35	    9.67	       6	4	B	
09:35	    9.67	      11	4	B	
09:36	    9.67	      12	6	B	
09:36	    9.67	       4	1	B	
09:36	    9.66	      65	20	S	
09:36	    9.66	      11	4	S	
09:36	    9.67	       3	3	B	
09:36	    9.67	       7	2	B	
09:37	    9.66	       2	2	S	
09:37	    9.66	       8	5	S	
09:37	    9.66	       2	2	S	
09:37	    9.66	       3	2	S	
09:37	    9.65	      33	8	S	
09:37	    9.65	      40	10	B	
09:37	    9.69	     189	31	B	
09:37	    9.65	      17	4	S	
09:37	    9.65	       4	3	S	
09:37	    9.66	       5	3	B	
09:37	    9.67	       1	1	B	
09:38	    9.67	       9	3	B	
09:38	    9.66	      79	6	S	
09:38	    9.65	      11	3	S	
09:38	    9.65	       2	1	S	
09:38	    9.67	       4	2	B	
09:38	    9.66	       5	4	B	
09:38	    9.67	       7	3	B	
09:38	    9.67	       3	1	S	
09:39	    9.66	      10	4	S	
09:39	    9.66	       2	1	S	
09:39	    9.65	       8	4	S	
09:39	    9.67	       2	1	B	
09:39	    9.67	       1	1	B	
09:39	    9.67	       5	3	B	
09:39	    9.67	      43	10	B	
09:39	    9.67	      12	2	S	
09:39	    9.67	       1	1	B	
09:39	    9.67	       3	3	B	
09:39	    9.67	       1	1	B	
09:40	    9.67	       4	4	S	
09:40	    9.67	       1	1	B	
09:40	    9.67	       2	2	B	
09:40	    9.67	       9	1	S	
09:40	    9.67	       2	1	S	
09:41	    9.67	       1	1	S	
09:41	    9.68	       1	1	B	
09:42	    9.68	       1	1	B	
09:42	    9.68	       3	1	B	
09:42	    9.68	      11	5	B	
09:42	    9.68	      53	25	B	
09:42	    9.69	       3	2	B	
09:42	    9.69	      18	3	B	
09:42	    9.69	       4	2	B	
09:43	    9.69	       1	1	B	
09:43	    9.70	       3	2	B	
09:43	    9.70	       3	1	B	
09:43	    9.68	       2	2	S	
09:44	    9.69	       4	2	B	
09:44	    9.69	       1	1	B	
09:44	    9.69	       5	4	B	
