                  20230925 伟星股份 (002003)
 时间	    价格	    成交	笔数	
09:25	    9.73	      72	16	
09:30	    9.72	       5	1	S	
09:30	    9.71	      26	23	S	
09:30	    9.72	      17	8	B	
09:30	    9.73	      11	9	B	
09:30	    9.72	      47	20	S	
09:30	    9.71	      26	15	S	
09:30	    9.70	      15	4	B	
09:30	    9.69	      22	10	S	
09:30	    9.68	      57	9	S	
09:30	    9.69	      67	12	B	
09:30	    9.68	      54	5	S	
09:30	    9.68	      38	10	B	
09:30	    9.68	       3	2	S	
09:30	    9.66	       7	4	S	
09:30	    9.68	       4	2	B	
09:30	    9.67	      15	2	S	
09:30	    9.68	      13	4	B	
09:31	    9.69	      20	12	B	
09:31	    9.68	      31	21	S	
09:31	    9.67	      61	9	S	
09:31	    9.68	      18	8	B	
09:31	    9.68	       1	1	
09:31	    9.69	       3	2	B	
09:31	    9.69	       2	1	B	
09:31	    9.69	       4	2	B	
09:31	    9.68	      29	17	S	
09:31	    9.67	      16	7	S	
09:31	    9.67	       7	4	S	
09:31	    9.67	       7	1	B	
09:31	    9.67	       3	1	S	
09:31	    9.68	      31	7	B	
09:31	    9.68	       4	1	B	
09:31	    9.68	       1	1	B	
09:32	    9.67	       9	3	S	
09:32	    9.67	     141	14	S	
09:32	    9.67	       1	1	B	
09:32	    9.68	     149	22	B	
09:32	    9.70	       3	1	B	
09:32	    9.69	      82	8	S	
09:32	    9.70	       6	1	
09:32	    9.71	      14	5	B	
09:32	    9.71	      14	4	B	
09:32	    9.70	       1	1	
09:32	    9.70	      36	6	S	
09:32	    9.69	       2	1	S	
09:33	    9.71	      18	1	B	
09:33	    9.71	      94	15	B	
09:33	    9.70	      23	6	S	
09:33	    9.71	       7	1	B	
09:33	    9.71	       6	5	B	
09:33	    9.71	      25	3	B	
09:33	    9.71	     157	11	B	
09:33	    9.73	     104	8	B	
09:33	    9.73	      75	8	B	
09:33	    9.73	      18	8	B	
09:33	    9.74	       1	1	B	
09:33	    9.74	      21	4	B	
09:33	    9.74	       8	1	B	
09:33	    9.74	      42	5	B	
09:34	    9.74	       2	1	B	
09:34	    9.73	      13	4	S	
09:34	    9.74	       4	1	B	
09:34	    9.74	      17	3	B	
09:34	    9.73	       2	2	S	
09:34	    9.74	      14	4	B	
09:34	    9.74	      26	2	B	
