                  20240614 伟星股份 (002003)
 时间	    价格	    成交	笔数	
09:25	   12.75	     103	42	
09:30	   12.74	     203	8	
09:30	   12.74	     238	65	B	
09:30	   12.72	      47	11	S	
09:30	   12.69	      75	33	S	
09:30	   12.71	      21	3	
09:30	   12.69	      64	12	S	
09:30	   12.69	      46	23	B	
09:30	   12.72	     179	38	B	
09:30	   12.72	      44	8	B	
09:30	   12.73	     105	22	B	
09:30	   12.74	      97	26	B	
09:30	   12.76	     159	24	B	
09:30	   12.78	      17	12	B	
09:30	   12.78	       6	3	B	
09:30	   12.77	       8	5	S	
09:30	   12.75	      66	21	S	
09:30	   12.75	      83	20	S	
09:30	   12.76	       8	2	
09:30	   12.75	      30	4	S	
09:31	   12.78	      11	6	B	
09:31	   12.77	     138	29	B	
09:31	   12.77	      24	10	S	
09:31	   12.79	      33	11	B	
09:31	   12.77	      70	9	S	
09:31	   12.80	      30	7	B	
09:31	   12.80	      12	8	B	
09:31	   12.79	      20	2	S	
09:31	   12.80	      51	14	B	
09:31	   12.78	      16	5	S	
09:31	   12.81	       1	1	B	
09:31	   12.81	      30	7	B	
09:31	   12.82	     119	17	B	
09:31	   12.83	      14	4	B	
09:31	   12.83	      45	12	B	
09:31	   12.82	      37	12	S	
09:31	   12.83	      47	13	
09:31	   12.84	       9	3	B	
09:32	   12.82	       8	4	S	
09:32	   12.82	     101	25	S	
09:32	   12.81	     289	32	S	
09:32	   12.80	      25	9	
09:32	   12.79	      10	4	S	
09:32	   12.80	      17	4	B	
09:32	   12.79	       5	3	S	
09:32	   12.78	      31	2	S	
09:32	   12.77	      45	8	S	
09:32	   12.77	      17	2	S	
09:32	   12.74	      58	12	S	
09:32	   12.73	      33	3	S	
09:32	   12.73	     125	46	S	
09:32	   12.72	      28	20	S	
09:32	   12.72	       5	1	S	
09:32	   12.71	       5	3	S	
09:32	   12.71	      21	3	S	
09:32	   12.71	      98	12	S	
09:32	   12.72	       8	3	B	
09:33	   12.71	      33	12	B	
09:33	   12.72	     122	16	B	
09:33	   12.69	      57	28	S	
09:33	   12.69	       1	1	S	
09:33	   12.70	     125	15	
09:33	   12.69	       4	4	S	
09:33	   12.69	       4	1	S	
09:33	   12.70	       1	1	
09:33	   12.69	       3	2	S	
09:33	   12.70	       2	2	B	
09:33	   12.70	      26	10	B	
09:33	   12.71	      20	2	
09:33	   12.70	      11	6	S	
09:33	   12.70	      54	24	S	
09:33	   12.74	      36	12	B	
09:33	   12.74	      82	15	B	
09:34	   12.74	      16	8	B	
09:34	   12.75	      29	14	B	
09:34	   12.74	       3	2	S	
09:34	   12.74	      95	19	B	
09:34	   12.74	      16	3	B	
09:34	   12.73	      65	14	B	
09:34	   12.74	      35	3	B	
09:34	   12.71	       2	1	S	
09:34	   12.71	       9	6	B	
09:34	   12.72	       1	1	B	
09:34	   12.72	       1	1	B	
09:34	   12.72	       1	1	B	
09:34	   12.72	      14	1	B	
09:34	   12.71	      20	10	S	
09:35	   12.69	     394	25	S	
09:35	   12.70	     307	13	B	
09:35	   12.70	     119	8	B	
09:35	   12.70	      35	16	S	
09:35	   12.71	       6	3	B	
09:35	   12.70	       9	5	S	
09:35	   12.70	      21	4	S	
09:35	   12.69	      19	7	S	
09:35	   12.68	      19	11	S	
09:35	   12.67	     300	31	S	
09:35	   12.69	       6	5	
09:35	   12.70	       8	6	B	
09:35	   12.71	      48	6	B	
09:35	   12.71	       6	3	S	
09:36	   12.71	      10	6	S	
09:36	   12.70	      12	2	S	
09:36	   12.71	       4	2	
09:36	   12.72	       6	5	B	
09:36	   12.73	      24	9	B	
09:36	   12.71	       4	2	S	
09:36	   12.72	       1	1	B	
09:36	   12.72	      22	8	S	
09:36	   12.73	       9	4	B	
09:36	   12.73	       1	1	B	
09:36	   12.73	       6	3	B	
09:36	   12.73	       5	3	S	
09:36	   12.73	       3	3	B	
09:36	   12.73	       2	1	B	
09:36	   12.73	       4	2	B	
09:36	   12.72	       5	2	S	
09:37	   12.73	       4	2	B	
09:37	   12.74	      41	16	B	
09:37	   12.72	       3	2	S	
09:37	   12.72	       5	2	S	
09:37	   12.72	      12	3	S	
09:37	   12.72	       8	1	S	
09:37	   12.73	      17	14	B	
09:37	   12.72	      28	13	S	
09:37	   12.73	      16	11	S	
09:38	   12.73	       2	1	B	
09:38	   12.73	       6	4	
09:38	   12.74	       3	1	B	
09:38	   12.74	       4	1	B	
09:38	   12.74	      23	7	B	
09:38	   12.75	       2	2	B	
09:38	   12.75	     124	14	B	
09:38	   12.74	       8	7	S	
09:38	   12.74	       8	4	S	
09:38	   12.73	      14	4	S	
09:38	   12.73	       1	1	S	
09:38	   12.73	      56	17	S	
09:39	   12.74	      40	5	B	
09:39	   12.73	       8	5	
09:39	   12.74	      13	6	B	
09:39	   12.72	      44	10	S	
09:39	   12.71	      27	7	S	
09:39	   12.72	       1	1	S	
09:39	   12.72	       6	3	S	
09:39	   12.73	      10	2	B	
09:39	   12.73	       6	2	B	
09:39	   12.73	       3	2	S	
09:39	   12.73	      35	9	S	
09:39	   12.74	      30	10	B	
09:39	   12.75	      30	11	B	
09:40	   12.75	      23	11	B	
09:40	   12.78	      69	10	B	
09:40	   12.76	      10	6	B	
09:40	   12.77	      35	11	B	
09:40	   12.77	      35	12	B	
09:40	   12.76	       5	5	S	
09:40	   12.76	      42	12	
09:40	   12.76	       2	1	B	
09:40	   12.76	       1	1	B	
09:40	   12.78	      26	5	B	
09:40	   12.80	      22	9	B	
09:40	   12.76	      13	8	S	
09:40	   12.76	       8	3	S	
09:40	   12.76	       4	3	S	
09:40	   12.76	       2	2	S	
09:41	   12.76	       3	2	S	
09:41	   12.77	      11	2	B	
09:41	   12.77	       3	3	B	
09:41	   12.76	      22	6	S	
09:41	   12.77	       1	1	B	
09:41	   12.76	      46	6	S	
09:41	   12.76	      26	9	S	
09:41	   12.76	      23	3	B	
09:41	   12.76	       6	1	S	
09:41	   12.76	       1	1	S	
09:41	   12.76	       9	1	S	
09:41	   12.76	       2	1	S	
09:42	   12.76	       1	1	S	
09:42	   12.77	       9	4	B	
09:42	   12.76	      10	1	S	
09:42	   12.76	      36	9	S	
09:42	   12.75	      10	5	S	
09:42	   12.75	       2	1	S	
09:42	   12.75	       1	1	B	
09:42	   12.75	      13	10	B	
09:42	   12.75	       4	3	B	
09:42	   12.74	      25	3	S	
09:42	   12.75	       2	2	
09:42	   12.75	       2	1	S	
09:42	   12.75	      18	9	S	
09:42	   12.75	      29	1	B	
09:43	   12.75	      36	15	B	
09:43	   12.74	      25	14	S	
09:43	   12.74	       2	1	S	
09:43	   12.75	      12	8	B	
09:43	   12.75	       7	7	B	
09:43	   12.75	       1	1	S	
09:43	   12.75	       4	3	S	
09:43	   12.75	      10	2	S	
09:43	   12.75	       4	2	B	
09:43	   12.75	       3	2	B	
09:43	   12.75	       1	1	B	
09:43	   12.74	     108	14	S	
09:44	   12.74	       2	1	B	
09:44	   12.71	     116	12	S	
09:44	   12.73	      12	3	S	
09:44	   12.73	      17	6	
09:44	   12.74	      11	4	B	
09:44	   12.74	       1	1	B	
09:44	   12.73	       3	1	S	
09:44	   12.75	      54	19	B	
09:44	   12.76	      36	8	B	
09:44	   12.77	      87	65	B	
09:44	   12.76	      10	6	S	
09:44	   12.76	       4	1	
09:44	   12.75	       5	1	S	
09:44	   12.75	      13	1	S	
09:44	   12.75	      43	7	S	
09:45	   12.76	       3	2	B	
09:45	   12.75	      28	8	S	
09:45	   12.75	       3	1	S	
09:45	   12.76	      58	15	B	
09:45	   12.76	      86	3	S	
09:45	   12.77	       3	3	B	
09:45	   12.77	       7	3	B	
09:45	   12.76	     111	16	S	
09:46	   12.75	       9	8	S	
09:46	   12.75	       2	1	S	
09:46	   12.75	       1	1	S	
09:46	   12.75	       4	2	S	
09:46	   12.75	       4	1	S	
09:46	   12.75	      16	4	S	
09:46	   12.75	       1	1	S	
09:46	   12.75	       2	1	S	
09:46	   12.74	       3	1	S	
09:47	   12.75	       5	2	
09:47	   12.75	      11	10	B	
09:47	   12.74	      12	2	S	
09:47	   12.75	       2	2	B	
09:47	   12.75	       4	4	B	
09:47	   12.75	       3	2	S	
09:47	   12.76	      12	8	B	
09:47	   12.76	       1	1	B	
09:47	   12.76	       2	2	B	
09:47	   12.76	       6	3	B	
09:47	   12.76	      50	8	B	
09:47	   12.77	      24	14	B	
09:48	   12.78	       3	2	B	
