                  20250605 伟星股份 (002003)
 时间	    价格	    成交	笔数	
09:25	   11.43	      67	18	
09:30	   11.42	       6	3	
09:30	   11.42	     128	51	S	
09:30	   11.42	      27	14	S	
09:30	   11.42	      43	11	S	
09:30	   11.42	      40	13	B	
09:30	   11.41	      51	28	S	
09:30	   11.41	      33	17	B	
09:30	   11.41	       1	1	B	
09:30	   11.41	       7	7	B	
09:30	   11.41	      21	15	S	
09:30	   11.43	       1	1	B	
09:30	   11.42	       1	1	
09:30	   11.42	      37	4	S	
09:30	   11.43	       6	2	B	
09:30	   11.43	      26	8	B	
09:30	   11.43	       2	2	B	
09:31	   11.41	      50	9	S	
09:31	   11.41	      72	10	S	
09:31	   11.41	       6	5	
09:31	   11.40	       3	2	S	
09:31	   11.40	     160	16	S	
09:31	   11.40	       6	1	S	
09:31	   11.40	      25	4	S	
09:31	   11.41	      71	11	B	
09:31	   11.40	      19	2	S	
09:31	   11.40	       7	3	S	
09:31	   11.40	      48	2	S	
09:31	   11.40	     652	34	S	
09:31	   11.39	      26	3	S	
09:31	   11.40	      83	12	B	
09:31	   11.42	     185	43	B	
09:31	   11.42	      66	18	B	
09:31	   11.43	       2	1	B	
09:31	   11.45	     122	23	B	
09:31	   11.44	      12	2	S	
09:31	   11.46	     150	14	B	
09:32	   11.46	       1	1	S	
09:32	   11.47	      37	4	B	
09:32	   11.46	     119	13	S	
09:32	   11.48	      72	17	B	
09:32	   11.48	      60	25	B	
09:32	   11.50	      89	23	B	
09:32	   11.49	      18	7	
09:32	   11.50	       3	1	B	
09:32	   11.49	      31	8	S	
09:32	   11.49	      40	7	S	
09:32	   11.49	       2	1	S	
09:32	   11.49	      99	16	S	
09:32	   11.49	      18	3	B	
09:32	   11.48	     119	8	S	
09:32	   11.48	      75	6	S	
09:32	   11.48	      49	10	
09:32	   11.48	      15	1	S	
09:32	   11.48	       2	1	S	
09:33	   11.47	      83	5	S	
09:33	   11.48	      18	6	B	
09:33	   11.47	       3	3	S	
09:33	   11.47	       2	1	B	
09:33	   11.47	       9	4	B	
09:33	   11.47	      21	4	B	
09:33	   11.47	       1	1	B	
09:33	   11.47	      18	10	B	
09:33	   11.47	       2	1	
09:33	   11.46	      42	2	S	
09:33	   11.46	       1	1	S	
09:33	   11.46	      65	7	S	
09:33	   11.45	       8	6	S	
09:33	   11.45	      12	4	S	
09:33	   11.45	      12	1	S	
09:34	   11.46	      23	2	B	
09:34	   11.45	      15	6	S	
09:34	   11.45	       7	2	S	
09:34	   11.45	      12	3	S	
09:34	   11.45	       7	4	S	
09:34	   11.45	      12	2	S	
09:34	   11.45	       1	1	S	
09:34	   11.45	      15	4	S	
09:34	   11.46	      25	3	B	
09:34	   11.45	       1	1	S	
09:34	   11.45	       6	3	S	
09:34	   11.45	       1	1	S	
09:34	   11.45	     142	6	S	
09:34	   11.45	      55	3	B	
09:35	   11.47	     323	42	B	
09:35	   11.49	      33	5	B	
09:35	   11.48	      47	4	S	
09:35	   11.49	      26	1	B	
09:35	   11.49	      18	1	B	
09:35	   11.48	      13	4	S	
09:35	   11.47	      44	8	S	
09:35	   11.47	       7	1	S	
