                  20260113 伟星股份 (002003)
 时间	    价格	    成交	笔数	
09:25	   10.43	      93	23	
09:30	   10.42	      34	2	
09:30	   10.41	     194	26	S	
09:30	   10.43	      84	16	B	
09:30	   10.43	      82	14	B	
09:30	   10.44	     122	19	B	
09:30	   10.42	      86	14	S	
09:30	   10.42	      23	6	S	
09:30	   10.42	      28	7	S	
09:30	   10.45	      48	8	B	
09:30	   10.44	      24	3	S	
09:30	   10.45	      69	16	B	
09:30	   10.45	      55	11	B	
09:30	   10.45	      13	3	B	
09:30	   10.46	       6	2	B	
09:30	   10.46	      53	12	B	
09:30	   10.46	      31	2	B	
09:30	   10.46	      30	4	B	
09:30	   10.44	      17	3	S	
09:30	   10.46	      58	5	B	
09:31	   10.45	       2	2	S	
09:31	   10.46	       1	1	B	
09:31	   10.46	      59	7	B	
09:31	   10.47	      11	6	B	
09:31	   10.45	       2	2	S	
09:31	   10.48	      37	12	B	
09:31	   10.46	      28	6	S	
09:31	   10.48	      10	1	B	
09:31	   10.48	      12	2	B	
09:31	   10.48	      19	3	B	
09:31	   10.48	       6	2	B	
09:31	   10.46	      59	6	S	
09:31	   10.46	      27	3	S	
09:31	   10.47	      37	6	B	
09:31	   10.48	       6	1	B	
09:31	   10.47	       2	2	S	
09:31	   10.47	      20	6	S	
09:31	   10.47	      23	8	B	
09:32	   10.47	      13	7	B	
09:32	   10.47	       8	1	B	
09:32	   10.47	       5	1	B	
09:32	   10.45	      15	2	S	
09:32	   10.47	      13	3	B	
09:32	   10.45	       1	1	S	
09:32	   10.45	      22	6	S	
09:32	   10.45	       7	5	S	
09:32	   10.45	       6	1	S	
09:32	   10.45	      36	5	S	
09:32	   10.45	       1	1	S	
09:32	   10.45	      82	1	S	
09:32	   10.45	       3	3	S	
09:32	   10.45	      49	11	S	
09:32	   10.45	       9	1	B	
09:32	   10.45	      19	2	B	
09:33	   10.45	      31	9	S	
09:33	   10.45	      10	10	S	
09:33	   10.45	      53	18	S	
09:33	   10.45	      21	6	S	
09:33	   10.44	       2	1	S	
09:33	   10.44	      22	4	S	
09:33	   10.45	      22	3	B	
09:33	   10.44	      19	2	S	
09:33	   10.44	      88	24	S	
09:33	   10.43	      74	6	S	
09:33	   10.42	     279	7	S	
09:33	   10.42	      30	5	S	
09:33	   10.43	      30	5	B	
09:33	   10.42	       5	1	S	
09:33	   10.42	       5	1	S	
09:33	   10.43	      75	8	B	
09:34	   10.43	      28	3	B	
09:34	   10.43	     112	16	B	
09:34	   10.42	      33	12	S	
09:34	   10.43	       2	2	B	
09:34	   10.42	      20	1	S	
09:34	   10.43	       3	1	B	
09:34	   10.43	      14	1	B	
09:34	   10.43	      60	5	B	
09:34	   10.43	      23	1	B	
09:34	   10.42	      30	5	S	
09:34	   10.43	       1	1	B	
09:34	   10.42	      45	4	S	
09:34	   10.43	      49	6	B	
