                  20210208 凯因科技 (688687)
 时间	    价格	    成交	笔数	
09:25	   59.00	   10111	1765	
09:30	   59.00	      58	5	S	
09:30	   59.17	   11875	1444	B	
09:30	   61.80	    3601	890	B	
09:30	   60.50	     283	84	S	
09:30	   61.80	     265	74	B	
09:30	   61.80	     362	74	S	
09:30	   62.00	     613	127	B	
09:30	   62.66	     334	97	B	
09:30	   62.66	    1152	173	S	
09:30	   63.08	     499	133	B	
09:30	   63.98	     437	122	B	
09:30	   64.90	     849	140	B	
09:30	   65.00	     264	69	B	
09:30	   65.50	     334	91	B	
09:30	   65.90	     254	90	B	
09:30	   66.58	     296	70	B	
09:30	   66.03	      62	25	S	
09:30	   66.58	     427	132	B	
09:30	   68.00	     432	122	B	
09:30	   68.00	     150	32	S	
09:30	   68.29	     616	149	B	
09:31	   68.04	     761	249	S	
09:31	   68.35	     510	159	S	
09:31	   69.69	     711	191	B	
09:31	   68.29	     961	137	S	
09:31	   68.50	    1031	219	B	
09:31	   69.69	     561	155	B	
09:31	   68.40	     664	199	S	
09:31	   67.50	     605	131	S	
09:31	   67.00	     476	133	S	
09:31	   67.00	     334	103	S	
09:31	   66.66	     937	205	S	
09:31	   66.64	     352	93	S	
09:31	   66.58	     286	72	S	
09:31	   66.58	     706	131	S	
09:31	   66.00	     325	93	S	
09:31	   65.69	     344	83	S	
09:31	   65.69	     358	85	S	
09:31	   65.00	     491	72	S	
09:31	   64.98	     855	120	S	
09:31	   64.98	     272	80	S	
09:32	   65.01	     785	133	B	
09:32	   64.98	     685	123	S	
09:32	   63.04	     165	47	S	
09:32	   63.04	      20	8	S	
09:32	   63.04	     166	28	S	
09:32	   63.13	     417	119	B	
09:32	   63.00	     370	83	S	
09:32	   63.00	     332	86	B	
09:32	   62.88	     164	43	B	
09:32	   62.00	     353	86	B	
09:32	   60.29	     210	42	S	
09:32	   60.29	      23	5	S	
09:32	   60.66	     250	66	B	
09:32	   60.66	     489	98	S	
09:32	   61.00	     720	149	B	
09:32	   61.05	     644	158	B	
09:32	   61.00	     617	149	S	
09:32	   62.00	     302	90	B	
09:32	   62.01	     203	51	B	
09:32	   63.00	     412	79	B	
09:33	   63.00	     155	41	S	
09:33	   63.12	      69	24	B	
09:33	   63.11	     293	57	S	
09:33	   64.00	     451	93	B	
09:33	   64.00	     265	39	S	
09:33	   64.90	     798	91	B	
09:33	   65.13	     683	125	B	
09:33	   65.12	     207	62	B	
09:33	   65.69	     167	53	B	
09:33	   66.00	     282	56	B	
09:33	   66.06	     338	47	S	
09:33	   66.50	     203	66	B	
09:33	   66.60	     203	44	S	
09:33	   66.68	     472	127	B	
09:33	   66.68	     427	166	S	
09:33	   67.99	     415	97	B	
09:33	   67.99	     286	94	S	
09:33	   68.00	     528	115	B	
09:33	   68.00	     200	52	S	
09:33	   68.30	     871	146	B	
09:34	   68.43	     324	83	S	
09:34	   69.00	     794	134	B	
09:34	   69.00	     623	135	S	
09:34	   69.00	     811	184	S	
09:34	   69.00	     472	96	S	
09:34	   68.50	     381	57	S	
09:34	   68.03	     198	39	S	
09:34	   68.50	     520	111	B	
09:34	   67.99	     417	111	S	
09:34	   68.00	     384	104	B	
09:34	   67.50	     249	68	S	
09:34	   67.50	     265	31	B	
09:34	   67.00	     184	45	S	
09:34	   67.00	     147	51	B	
09:34	   66.80	     320	91	S	
09:34	   66.66	      97	30	S	
09:34	   66.60	     260	77	S	
09:34	   66.66	     221	71	B	
09:34	   66.60	     247	81	B	
09:34	   66.00	     323	74	S	
09:35	   66.01	     199	67	B	
09:35	   65.65	     108	37	S	
09:35	   66.00	     412	100	B	
09:35	   66.00	     184	50	S	
09:35	   65.99	     256	56	S	
09:35	   65.99	     166	24	B	
09:35	   65.00	     740	60	S	
09:35	   65.65	     190	60	B	
09:35	   65.01	      89	47	S	
09:35	   65.65	     213	64	B	
09:35	   65.00	     442	67	S	
09:35	   65.01	     275	58	S	
09:35	   65.00	     169	52	S	
09:35	   65.01	     207	42	B	
09:35	   65.98	     364	59	B	
09:35	   65.00	     330	58	S	
09:35	   65.00	     141	33	B	
09:35	   64.99	     403	62	B	
09:35	   64.99	     261	42	B	
09:35	   64.60	     381	59	S	
09:36	   64.00	     157	39	S	
09:36	   63.80	      69	23	S	
09:36	   63.80	      37	17	S	
09:36	   63.80	      49	16	S	
09:36	   63.50	      53	24	S	
09:36	   63.00	      83	45	S	
09:36	   63.50	     108	57	B	
09:36	   63.00	     123	44	S	
09:36	   62.50	      36	7	S	
09:36	   62.30	     150	45	S	
09:36	   62.01	     197	34	S	
09:36	   62.30	     283	54	B	
09:36	   62.01	     376	34	S	
09:36	   62.00	     684	72	S	
09:36	   62.00	      57	13	B	
09:36	   61.88	      66	17	S	
09:36	   61.55	      47	20	S	
09:36	   61.50	     140	27	S	
09:36	   60.66	     313	50	S	
09:36	   61.00	     111	29	B	
09:37	   60.50	     135	39	S	
09:37	   60.18	     153	37	S	
09:37	   60.50	     610	80	B	
09:37	   60.00	     112	27	B	
09:37	   59.98	     102	27	S	
09:37	   59.99	     186	53	
09:37	   60.50	      88	27	B	
09:37	   60.00	     169	53	S	
09:37	   60.00	     335	80	S	
09:37	   60.50	     215	86	B	
09:37	   60.50	     285	91	S	
09:37	   60.00	     568	106	S	
09:37	   61.08	     303	50	B	
09:37	   61.50	     254	70	B	
09:37	   61.49	      42	14	B	
09:37	   60.60	     310	76	S	
09:37	   61.50	     257	48	B	
09:37	   61.80	     156	42	B	
09:37	   61.00	     327	62	S	
09:37	   61.96	     333	47	B	
09:38	   61.96	     283	78	B	
09:38	   61.80	     160	30	S	
09:38	   62.00	     304	33	B	
09:38	   62.00	     196	36	B	
09:38	   62.01	     173	61	B	
09:38	   62.00	     486	81	S	
09:38	   62.16	      99	21	B	
09:38	   62.00	     349	62	S	
09:38	   62.21	     209	55	B	
09:38	   62.14	     163	42	S	
09:38	   62.25	     116	58	S	
09:38	   62.50	     103	29	B	
09:38	   62.21	     467	75	S	
09:38	   62.50	      85	16	S	
09:38	   62.30	     159	87	S	
09:38	   63.00	     345	74	B	
09:38	   62.98	      44	17	B	
09:38	   63.00	     269	58	B	
09:38	   63.30	      87	18	B	
09:38	   63.00	      78	32	S	
09:39	   63.01	     151	67	S	
09:39	   63.48	     277	40	B	
09:39	   63.39	     136	29	S	
09:39	   63.46	      61	15	S	
09:39	   63.00	     264	50	S	
09:39	   63.00	     397	53	B	
09:39	   63.00	     146	26	B	
09:39	   61.91	     275	64	S	
09:39	   61.91	      49	11	B	
09:39	   61.80	     197	38	S	
09:39	   61.50	      82	26	S	
09:39	   61.00	     298	51	S	
09:39	   61.01	     190	21	B	
09:39	   61.50	     149	30	B	
09:39	   60.80	      41	14	S	
09:39	   61.00	     137	24	B	
09:39	   61.00	      72	27	S	
09:39	   60.80	      53	18	
09:39	   60.70	     140	37	B	
09:39	   60.50	     108	24	S	
09:40	   60.36	     151	41	S	
09:40	   60.00	      93	42	S	
09:40	   60.00	     141	34	S	
09:40	   60.30	     295	57	B	
09:40	   59.99	     183	47	S	
09:40	   60.00	      97	26	B	
09:40	   60.00	     234	50	B	
09:40	   60.00	     140	32	S	
09:40	   59.99	     160	42	S	
09:40	   60.00	     179	48	B	
09:40	   60.00	     314	38	S	
09:40	   60.00	     146	27	S	
09:40	   60.03	     311	75	
09:40	   60.00	      86	28	S	
09:40	   60.48	     189	65	B	
09:40	   59.50	     638	132	S	
09:40	   60.06	     397	45	B	
09:40	   60.06	     132	19	S	
09:40	   60.00	     180	28	S	
09:40	   59.42	     117	29	S	
09:41	   59.30	      92	34	S	
09:41	   59.80	      33	16	B	
09:41	   59.92	      44	13	B	
09:41	   59.25	      70	16	S	
09:41	   59.23	      85	12	S	
09:41	   59.25	      78	23	B	
09:41	   59.28	      68	17	S	
09:41	   59.28	      86	18	S	
09:41	   59.23	      58	13	S	
09:41	   59.21	      88	22	S	
09:41	   59.21	      73	34	B	
09:41	   59.23	      86	23	B	
09:41	   59.28	     110	44	B	
09:41	   59.29	     186	37	B	
09:41	   59.23	     181	67	S	
