                  20220614 凯因科技 (688687)
 时间	    价格	    成交	笔数	
09:25	   17.70	       3	1	
09:30	   17.62	       2	1	S	
09:30	   17.55	       8	3	S	
09:30	   17.55	      13	5	S	
09:30	   17.51	      39	17	S	
09:30	   17.51	      33	9	S	
09:30	   17.47	      96	13	S	
09:30	   17.45	      14	7	S	
09:30	   17.45	      49	17	S	
09:30	   17.40	      81	8	S	
09:30	   17.40	      14	1	
09:30	   17.39	       6	3	B	
09:30	   17.39	       3	2	S	
09:30	   17.40	       1	1	B	
09:30	   17.35	      55	6	S	
09:30	   17.40	       4	3	B	
09:30	   17.35	      11	5	S	
09:30	   17.35	       2	1	S	
09:30	   17.38	      54	14	B	
09:30	   17.38	       5	1	B	
09:31	   17.38	       1	1	B	
09:31	   17.40	      14	5	S	
09:31	   17.44	      12	2	B	
09:31	   17.40	     102	18	S	
09:31	   17.43	      62	6	B	
09:31	   17.43	       5	2	S	
09:31	   17.43	       8	4	S	
09:31	   17.41	       9	6	S	
09:31	   17.41	      16	7	S	
09:31	   17.43	      43	19	B	
09:31	   17.43	       2	1	S	
09:31	   17.44	      11	4	B	
09:31	   17.43	       3	1	S	
09:31	   17.43	       0	1	S	
09:31	   17.43	      27	2	B	
09:32	   17.44	      28	8	B	
09:32	   17.44	       6	3	S	
09:32	   17.43	       2	1	S	
09:32	   17.43	       8	2	S	
09:32	   17.42	      33	11	S	
09:32	   17.41	       4	1	S	
09:32	   17.41	      16	7	S	
09:32	   17.41	      15	4	S	
09:32	   17.42	      30	12	B	
09:32	   17.42	       7	3	B	
09:32	   17.42	      13	3	S	
09:32	   17.42	       2	1	B	
09:32	   17.41	      52	10	S	
09:32	   17.40	      59	4	S	
09:32	   17.39	       2	1	S	
09:33	   17.40	       2	1	B	
09:33	   17.40	      11	3	B	
09:33	   17.38	       6	3	S	
09:33	   17.38	      26	7	S	
09:33	   17.39	       4	2	B	
09:33	   17.36	     128	14	S	
09:33	   17.36	       0	1	S	
09:33	   17.40	      56	4	B	
09:33	   17.40	      27	2	B	
09:33	   17.41	      35	2	B	
09:33	   17.39	      50	2	S	
09:33	   17.39	      62	2	S	
09:33	   17.39	      16	1	B	
09:33	   17.39	      10	5	B	
09:33	   17.41	       9	3	B	
09:33	   17.38	      45	4	S	
09:34	   17.41	       5	3	B	
09:34	   17.41	       2	1	B	
09:34	   17.41	       2	1	B	
09:34	   17.41	       7	1	B	
09:34	   17.41	      20	1	S	
09:34	   17.42	       2	1	S	
09:34	   17.42	       0	1	S	
09:34	   17.43	       3	2	B	
09:34	   17.43	       6	2	B	
09:35	   17.43	      14	5	S	
09:35	   17.42	      20	8	S	
09:35	   17.43	      21	9	B	
09:35	   17.43	       3	1	S	
09:35	   17.43	       8	1	S	
09:35	   17.45	      11	4	B	
09:35	   17.45	       6	1	S	
09:35	   17.45	       2	1	B	
09:35	   17.46	      17	6	B	
09:35	   17.45	      10	2	S	
09:35	   17.46	       9	4	S	
09:35	   17.47	      30	2	B	
09:36	   17.47	      10	1	B	
09:36	   17.47	       4	2	B	
09:36	   17.47	      10	1	B	
09:36	   17.47	       2	1	B	
09:36	   17.46	      66	8	S	
09:36	   17.44	      31	12	S	
09:36	   17.44	      36	12	S	
09:36	   17.45	      29	7	B	
