                  20230426 凯因科技 (688687)
 时间	    价格	    成交	笔数	
09:25	   28.38	       9	5	
09:30	   28.38	       0	1	
09:30	   28.38	       2	2	S	
09:30	   28.38	      15	1	S	
09:30	   28.38	      29	6	S	
09:30	   28.69	       2	1	B	
09:30	   28.41	       2	1	S	
09:30	   28.54	       5	3	B	
09:30	   28.54	       3	3	B	
09:30	   28.42	       7	4	S	
09:30	   28.60	      13	2	B	
09:30	   28.43	      24	9	S	
09:30	   28.64	      14	5	B	
09:30	   28.43	       6	2	S	
09:31	   28.62	      11	5	B	
09:31	   28.64	       6	3	B	
09:31	   28.63	      14	4	B	
09:31	   28.69	      10	7	B	
09:31	   28.63	      10	5	S	
09:31	   28.62	       9	4	S	
09:31	   28.63	      13	6	B	
09:31	   28.64	       4	2	S	
09:31	   28.65	       2	1	S	
09:31	   28.65	       2	1	S	
09:32	   28.75	       2	1	B	
09:32	   28.67	       2	1	S	
09:32	   28.79	      81	9	B	
09:32	   28.79	      30	4	B	
09:32	   28.79	       8	4	B	
09:32	   28.79	       2	1	B	
09:32	   28.79	      19	2	B	
09:32	   28.80	       2	1	B	
09:32	   28.80	       0	1	B	
09:32	   28.80	       7	3	S	
09:33	   28.81	      54	16	B	
09:33	   28.82	       4	2	S	
09:33	   28.74	      45	5	S	
09:33	   28.82	       2	1	B	
09:33	   28.81	       4	2	S	
09:33	   28.85	      29	5	B	
09:33	   28.85	      31	7	S	
09:33	   28.89	       6	3	B	
09:33	   28.77	      73	10	S	
09:33	   28.76	      40	9	S	
09:33	   28.79	      10	5	B	
09:33	   28.73	       3	1	S	
09:33	   28.73	       6	2	S	
09:34	   28.78	       2	1	B	
09:34	   28.75	       4	2	S	
09:34	   28.74	      45	11	S	
09:34	   28.68	       2	1	S	
09:34	   28.68	       2	1	S	
09:34	   28.68	       2	2	S	
09:34	   28.68	       2	2	S	
09:34	   28.68	       2	1	S	
09:34	   28.68	       4	3	S	
09:34	   28.69	      17	6	S	
09:34	   28.69	      23	9	S	
09:34	   28.67	      12	5	S	
09:34	   28.69	      25	10	B	
09:34	   28.69	      10	4	B	
09:35	   28.68	      14	1	S	
09:35	   28.68	       2	1	S	
09:35	   28.68	       3	3	B	
09:35	   28.71	       7	4	B	
09:35	   28.71	       2	1	S	
09:35	   28.70	      10	2	S	
09:35	   28.72	       1	1	B	
09:35	   28.72	       2	1	S	
09:35	   28.81	       2	2	B	
09:35	   28.76	       2	1	S	
09:35	   28.87	       2	1	B	
09:36	   28.90	       7	1	B	
09:36	   28.90	      12	2	B	
09:36	   28.90	       6	3	B	
09:36	   28.89	      23	2	B	
09:36	   28.81	       2	1	S	
09:36	   28.81	       4	2	S	
09:36	   28.79	       9	3	S	
09:36	   28.79	      20	9	S	
09:36	   28.79	       6	2	S	
09:37	   28.80	       9	4	S	
09:37	   28.85	       2	1	B	
09:37	   28.89	       6	2	B	
09:37	   28.85	       2	1	B	
09:37	   28.88	       4	1	B	
09:37	   28.82	      21	9	S	
09:37	   28.82	       2	1	S	
09:37	   28.82	      12	4	S	
09:37	   28.82	      57	12	S	
09:38	   28.76	       2	1	S	
09:38	   28.76	      15	1	S	
09:38	   28.76	      12	5	S	
09:38	   28.80	      50	10	B	
09:38	   28.74	       2	2	S	
09:38	   28.81	       7	2	S	
09:38	   28.81	      70	14	S	
09:38	   28.67	       2	1	S	
09:38	   28.66	      24	4	S	
09:38	   28.66	      48	8	S	
09:38	   28.60	       4	2	S	
09:38	   28.66	       6	2	B	
09:39	   28.66	       3	3	B	
09:39	   28.67	       0	1	B	
09:39	   28.67	      10	5	S	
09:39	   28.68	       2	2	B	
09:39	   28.68	      11	1	S	
09:39	   28.68	      20	4	S	
09:39	   28.68	       3	2	S	
09:39	   28.68	       2	2	B	
09:39	   28.66	       9	2	S	
09:39	   28.66	       4	2	B	
09:40	   28.68	      11	3	B	
09:40	   28.75	       3	2	B	
09:40	   28.79	      10	2	B	
09:40	   28.79	      10	5	B	
09:40	   28.72	       6	1	S	
09:40	   28.68	      14	9	S	
09:41	   28.68	       2	1	S	
09:41	   28.70	       2	1	S	
09:41	   28.70	       2	1	S	
09:42	   28.70	       2	1	S	
09:42	   28.70	      26	6	S	
09:42	   28.70	      45	3	S	
09:42	   28.77	      20	4	B	
09:42	   28.75	      49	4	B	
09:42	   28.79	       2	1	B	
09:42	   28.75	       2	1	S	
09:42	   28.73	       2	1	S	
09:42	   28.73	      11	4	S	
09:43	   28.73	       4	2	B	
09:43	   28.79	       2	2	B	
09:43	   28.69	       2	1	S	
09:43	   28.69	       2	2	S	
09:43	   28.75	       2	1	B	
09:44	   28.66	       2	1	S	
09:44	   28.64	       2	1	S	
09:44	   28.64	       2	1	S	
09:44	   28.63	       2	1	S	
09:44	   28.61	       2	1	S	
09:44	   28.61	       4	2	B	
09:44	   28.61	       8	4	S	
09:45	   28.68	       2	1	B	
09:45	   28.65	       3	1	S	
09:45	   28.65	       1	1	S	
09:45	   28.38	      50	7	S	
09:46	   28.59	       4	2	B	
09:46	   28.61	       6	3	B	
09:46	   28.50	      50	7	S	
09:46	   28.52	       2	1	S	
09:46	   28.62	      53	4	B	
09:46	   28.52	       2	2	S	
09:47	   28.59	       2	1	B	
09:47	   28.59	       4	2	B	
09:47	   28.53	       2	1	S	
09:48	   28.52	       3	3	S	
09:48	   28.56	       4	2	B	
09:48	   28.56	       2	1	B	
09:48	   28.60	       5	3	B	
09:49	   28.57	       2	1	S	
09:49	   28.57	       3	2	B	
