                  20230726 凯因科技 (688687)
 时间	    价格	    成交	笔数	
09:25	   21.86	      14	6	
09:30	   21.42	       3	1	S	
09:30	   21.80	      20	6	B	
09:30	   21.47	      31	11	S	
09:30	   21.77	      36	12	B	
09:30	   21.76	      22	15	B	
09:30	   21.50	      44	29	S	
09:30	   21.50	       2	2	S	
09:30	   21.50	       2	2	S	
09:30	   21.48	       4	3	S	
09:30	   21.50	      13	8	B	
09:30	   21.45	      28	12	S	
09:30	   21.50	       5	3	B	
09:30	   21.50	      12	9	S	
09:30	   21.50	       6	5	S	
09:30	   21.47	      12	6	S	
09:30	   21.47	       9	3	B	
09:30	   21.47	       4	4	B	
09:31	   21.48	       4	3	B	
09:31	   21.48	       2	1	B	
09:31	   21.48	       5	5	S	
09:31	   21.50	       6	3	B	
09:31	   21.56	      12	3	B	
09:31	   21.60	      32	4	B	
09:31	   21.61	       4	3	B	
09:31	   21.62	       6	3	S	
09:31	   21.66	      12	2	B	
09:31	   21.67	      20	7	B	
09:31	   21.69	      20	2	B	
09:32	   21.69	       4	2	S	
09:32	   21.65	      33	16	S	
09:32	   21.63	      27	13	S	
09:32	   21.63	       9	8	S	
09:32	   21.60	      18	6	S	
09:32	   21.66	      67	11	B	
09:32	   21.63	     119	8	S	
09:32	   21.63	      20	5	B	
09:32	   21.65	       2	1	B	
09:32	   21.66	       2	1	B	
09:32	   21.64	      20	8	S	
09:33	   21.65	      12	2	B	
09:33	   21.65	      12	5	B	
09:33	   21.65	      21	7	B	
09:33	   21.65	      25	9	B	
09:33	   21.68	      38	2	B	
09:33	   21.68	      37	15	B	
09:33	   21.70	      11	4	
09:33	   21.69	      17	4	S	
09:33	   21.69	       5	1	B	
09:33	   21.69	       6	2	B	
09:33	   21.69	      11	3	B	
09:33	   21.70	      14	3	B	
09:33	   21.71	      13	3	B	
09:33	   21.70	      32	8	S	
09:33	   21.68	      22	8	S	
09:34	   21.69	       2	1	B	
09:34	   21.69	       8	4	B	
09:34	   21.69	      19	8	B	
09:34	   21.70	       4	2	B	
09:34	   21.67	      60	19	S	
09:34	   21.72	      19	5	B	
09:34	   21.72	       6	3	B	
09:34	   21.75	       2	1	B	
09:34	   21.74	       9	3	
09:34	   21.75	      19	5	B	
09:34	   21.76	       2	1	B	
09:34	   21.77	       4	2	B	
09:34	   21.77	       4	2	S	
09:35	   21.78	       2	1	
09:35	   21.77	      43	17	S	
09:35	   21.75	      60	15	S	
09:35	   21.73	       6	4	S	
09:35	   21.73	       0	1	S	
09:35	   21.72	       2	1	S	
09:35	   21.72	       2	1	B	
09:35	   21.70	       2	1	S	
09:35	   21.70	       6	5	S	
09:35	   21.68	       2	1	S	
09:35	   21.68	       8	3	S	
09:35	   21.68	       5	2	S	
09:35	   21.69	       5	1	B	
09:36	   21.68	       2	2	S	
09:36	   21.65	      31	8	S	
09:36	   21.67	      21	13	B	
09:36	   21.67	       2	2	S	
09:36	   21.67	      46	23	S	
09:36	   21.65	       4	2	S	
09:36	   21.67	      20	12	B	
09:36	   21.68	       4	2	B	
09:36	   21.68	       8	3	B	
09:36	   21.68	      11	2	B	
09:36	   21.69	       1	1	B	
09:36	   21.68	       7	3	S	
09:36	   21.73	      30	5	B	
09:36	   21.73	       7	3	B	
09:37	   21.68	      24	11	S	
09:37	   21.67	      71	9	S	
09:37	   21.69	       9	5	B	
09:37	   21.66	      38	11	
09:37	   21.66	       7	5	B	
09:37	   21.66	       6	4	B	
09:37	   21.60	       2	1	S	
09:37	   21.59	       4	4	S	
09:37	   21.60	      10	8	B	
09:37	   21.59	       7	5	S	
09:38	   21.60	      12	3	B	
09:38	   21.63	       5	3	B	
09:38	   21.61	       2	1	S	
09:38	   21.64	      46	11	B	
09:38	   21.69	      24	11	B	
09:38	   21.70	       4	4	B	
09:38	   21.73	       3	2	B	
09:38	   21.75	      12	11	B	
09:39	   21.71	      13	5	S	
09:39	   21.71	       2	1	S	
09:39	   21.74	       2	1	B	
09:39	   21.74	       2	2	B	
09:39	   21.75	       7	4	B	
09:39	   21.75	       2	1	B	
09:39	   21.74	       7	3	S	
09:40	   21.75	      21	2	B	
09:40	   21.74	      50	14	S	
09:40	   21.72	      24	14	S	
09:40	   21.74	      43	16	B	
09:40	   21.73	      18	9	B	
09:40	   21.73	      49	12	B	
09:40	   21.74	      19	14	B	
09:40	   21.78	       6	4	B	
09:41	   21.79	       8	5	B	
09:41	   21.79	       6	2	B	
09:41	   21.76	      24	6	S	
09:41	   21.76	       4	3	S	
09:41	   21.78	       8	4	B	
09:41	   21.75	       6	3	S	
09:41	   21.75	      32	5	S	
09:41	   21.72	       2	1	S	
09:41	   21.72	       2	1	S	
09:41	   21.72	       2	1	S	
09:41	   21.75	      20	4	B	
09:41	   21.75	       5	2	B	
09:42	   21.74	       7	3	S	
09:42	   21.74	       3	3	S	
09:42	   21.74	       8	4	B	
09:42	   21.79	      49	13	B	
09:42	   21.83	       9	6	B	
09:42	   21.83	      10	6	B	
09:42	   21.79	       5	3	S	
09:42	   21.83	       2	1	B	
09:42	   21.79	      18	11	S	
09:42	   21.79	       6	5	S	
09:42	   21.79	       2	1	B	
09:43	   21.78	       3	1	S	
09:43	   21.79	       5	4	B	
09:43	   21.83	      35	8	B	
09:43	   21.82	      25	8	
09:43	   21.82	       2	1	B	
09:43	   21.82	      11	5	B	
09:43	   21.83	       9	3	B	
09:43	   21.83	       2	1	B	
09:43	   21.81	      25	8	S	
09:43	   21.82	      14	9	B	
09:43	   21.82	      11	6	B	
09:43	   21.82	       2	1	B	
09:44	   21.83	     173	9	B	
09:44	   21.86	      25	14	B	
09:44	   21.90	      37	11	B	
09:44	   21.85	       2	1	S	
09:44	   21.89	      39	10	B	
09:44	   21.89	      30	8	B	
09:44	   21.85	       3	2	S	
09:44	   21.89	      15	6	B	
09:44	   21.89	       2	1	B	
09:44	   21.89	       2	1	B	
09:44	   21.87	      12	4	S	
09:44	   21.86	      12	3	S	
09:44	   21.89	       9	4	B	
09:44	   21.86	       6	5	S	
09:44	   21.90	       3	1	B	
09:44	   21.90	      25	4	B	
09:44	   21.90	       2	1	B	
09:44	   21.90	      10	6	B	
09:44	   21.92	      11	2	B	
09:45	   21.93	       6	5	B	
09:45	   21.93	       2	1	B	
09:45	   21.90	      31	15	S	
09:45	   21.93	      29	22	B	
09:45	   21.95	       4	2	B	
09:45	   21.95	       9	3	B	
09:45	   21.93	      39	7	S	
09:45	   21.94	       9	4	B	
09:45	   21.94	      22	3	B	
09:45	   21.94	       2	1	B	
09:45	   21.94	       4	3	B	
09:45	   21.94	      94	17	B	
09:45	   21.97	       9	4	B	
09:45	   21.99	      29	12	B	
09:45	   22.00	       8	4	B	
09:45	   22.00	       4	2	B	
09:45	   21.99	       4	2	S	
09:46	   22.03	      67	10	B	
09:46	   22.00	      19	7	S	
09:46	   22.00	      62	20	S	
09:46	   22.00	      14	7	B	
09:46	   22.07	      21	10	B	
09:46	   22.06	       8	4	B	
09:46	   22.04	      10	10	B	
09:46	   21.98	      19	4	S	
09:46	   22.03	       4	2	B	
09:46	   22.03	       3	2	B	
09:46	   22.01	       2	1	B	
09:46	   21.98	       3	2	S	
09:46	   21.98	       3	1	B	
09:46	   21.98	       2	2	S	
09:46	   21.98	       4	4	S	
09:47	   22.00	       3	1	B	
09:47	   22.01	       4	3	B	
09:47	   21.98	      30	9	S	
09:47	   22.01	      12	6	B	
09:47	   22.00	       4	3	
09:47	   22.01	       4	2	B	
09:47	   22.03	      14	3	B	
09:47	   22.03	      13	6	B	
09:47	   22.03	       4	2	B	
09:47	   22.02	       2	1	
09:47	   22.04	      44	4	B	
09:47	   22.03	      18	4	S	
09:47	   22.06	      25	9	B	
09:47	   22.06	      14	6	B	
09:47	   22.05	       4	2	
09:47	   22.04	       3	3	S	
09:47	   22.02	      13	4	S	
09:48	   22.06	      34	12	B	
09:48	   22.08	      12	9	B	
09:48	   22.08	       2	1	B	
09:48	   22.08	      15	4	B	
09:48	   22.10	       6	4	B	
09:48	   22.16	       7	5	B	
09:48	   22.10	      17	5	B	
09:48	   22.11	      12	6	B	
09:48	   22.07	       6	3	S	
09:48	   22.16	       9	6	B	
09:48	   22.16	       9	4	B	
09:48	   22.12	      45	6	S	
09:48	   22.12	       2	1	S	
09:48	   22.12	      10	4	S	
09:48	   22.16	       8	3	B	
09:48	   22.15	       7	6	B	
09:48	   22.15	      11	6	B	
09:48	   22.13	       2	1	S	
09:49	   22.12	      20	1	S	
09:49	   22.11	       8	6	B	
09:49	   22.13	       6	5	B	
09:49	   22.12	       3	1	B	
09:49	   22.15	      12	8	B	
09:49	   22.15	      20	11	B	
09:49	   22.16	      37	9	B	
09:49	   22.16	      23	5	B	
09:49	   22.16	      75	14	B	
09:49	   22.15	      31	14	S	
09:49	   22.18	      18	7	B	
09:49	   22.18	       6	3	B	
09:49	   22.18	      11	4	B	
09:49	   22.18	       5	2	B	
09:49	   22.18	      11	4	B	
09:49	   22.18	       9	4	B	
09:49	   22.18	       3	1	B	
09:49	   22.18	       6	3	B	
09:50	   22.18	       8	2	B	
09:50	   22.18	      22	10	B	
09:50	   22.16	       2	1	S	
09:50	   22.18	      13	7	B	
09:50	   22.16	       3	3	S	
09:50	   22.16	      23	2	B	
09:50	   22.15	      19	16	B	
09:50	   22.15	       4	3	B	
09:50	   22.14	       6	3	B	
09:50	   22.14	       4	2	B	
09:50	   22.14	       4	1	B	
09:51	   22.06	       3	1	S	
09:51	   22.05	       2	1	B	
09:51	   22.04	      19	9	S	
09:51	   22.05	      17	9	B	
09:51	   22.15	     233	18	B	
09:51	   22.12	      23	10	B	
09:51	   22.15	       5	2	B	
09:51	   22.15	       9	4	B	
09:51	   22.15	       7	4	B	
09:51	   22.15	       4	2	B	
09:51	   22.15	      43	10	B	
09:51	   22.15	      17	5	S	
09:51	   22.14	       9	4	S	
09:51	   22.14	      10	3	B	
09:51	   22.14	       2	1	B	
09:52	   22.13	      14	6	B	
09:52	   22.13	      13	6	B	
09:52	   22.14	       6	4	B	
09:52	   22.14	       6	4	B	
09:52	   22.16	       8	3	B	
09:52	   22.15	       6	3	S	
09:52	   22.14	      14	8	S	
09:52	   22.15	       8	5	B	
09:52	   22.14	       2	1	B	
09:52	   22.13	       2	1	B	
09:52	   22.14	       9	6	B	
09:52	   22.14	       4	4	B	
09:53	   22.10	      16	3	S	
09:53	   22.14	      10	6	B	
09:53	   22.16	      23	16	B	
09:53	   22.14	       4	4	B	
09:53	   22.14	       3	2	B	
09:53	   22.14	       5	4	B	
09:53	   22.14	       4	4	B	
09:53	   22.14	      20	7	B	
09:53	   22.14	      22	18	B	
09:53	   22.14	       6	6	B	
09:53	   22.14	      18	11	B	
09:53	   22.14	       9	6	B	
09:53	   22.21	      36	11	B	
09:53	   22.20	      19	8	B	
09:54	   22.22	      12	7	B	
09:54	   22.22	      14	7	B	
09:54	   22.22	       9	4	B	
09:54	   22.22	       8	3	B	
09:54	   22.18	      15	8	S	
09:54	   22.25	      31	16	B	
09:54	   22.22	      18	9	B	
09:54	   22.23	      37	11	B	
09:54	   22.25	      14	6	B	
09:54	   22.22	       4	1	B	
09:54	   22.16	       6	4	S	
09:54	   22.16	       9	9	S	
09:54	   22.22	       3	2	B	
09:54	   22.22	       2	1	B	
09:54	   22.22	       2	1	B	
09:54	   22.22	       4	2	B	
09:54	   22.22	      15	3	B	
09:54	   22.22	      43	9	B	
09:55	   22.22	      34	5	S	
09:55	   22.25	      72	19	B	
09:55	   22.25	      31	9	B	
09:55	   22.25	      11	4	B	
09:55	   22.21	       6	2	S	
09:55	   22.20	      15	2	S	
09:55	   22.16	       7	1	S	
09:55	   22.22	       5	2	B	
09:55	   22.16	       8	2	S	
09:55	   22.16	       4	1	S	
09:55	   22.16	      23	3	S	
09:55	   22.15	       6	2	B	
09:55	   22.13	       2	1	B	
09:56	   22.13	       5	4	S	
09:56	   22.20	       7	4	B	
09:56	   22.09	       4	2	S	
09:56	   22.07	       4	2	S	
09:56	   22.05	      26	16	S	
09:56	   22.07	       2	1	B	
09:56	   22.05	      56	5	S	
09:56	   22.10	      11	4	B	
09:56	   22.10	      12	3	B	
09:56	   22.10	      38	3	B	
09:57	   22.13	       8	4	B	
09:57	   22.08	      12	4	S	
09:57	   22.10	       5	2	S	
09:57	   22.10	       5	2	S	
09:57	   22.10	      38	1	S	
09:57	   22.09	      25	12	S	
09:57	   22.07	      10	3	S	
09:57	   22.10	       2	1	B	
09:57	   22.10	       7	3	B	
09:57	   22.04	       8	2	S	
09:59	   22.04	       8	2	B	
09:59	   22.03	      24	7	S	
09:59	   22.06	       5	3	B	
09:59	   22.02	       2	1	S	
09:59	   22.05	       6	3	B	
09:59	   22.07	      13	7	B	
09:59	   22.07	       5	3	B	
09:59	   22.10	       4	3	B	
09:59	   22.07	       3	1	S	
10:00	   22.07	       6	4	S	
10:00	   22.07	       2	1	B	
10:00	   22.07	      10	1	S	
10:00	   22.07	       8	4	S	
10:00	   22.07	       4	1	S	
10:00	   22.07	       3	1	S	
10:00	   22.07	       1	1	S	
10:00	   22.03	       4	1	S	
10:00	   22.10	      12	3	B	
10:00	   22.03	       7	3	S	
10:00	   22.03	       1	1	B	
10:01	   22.00	      39	9	S	
10:01	   22.02	      32	13	B	
10:01	   22.02	      17	6	B	
10:01	   22.02	       2	1	B	
10:01	   22.03	      22	17	B	
10:01	   22.03	      10	4	B	
10:01	   22.03	      12	1	B	
10:01	   22.10	     178	8	B	
10:01	   22.06	      12	4	S	
10:01	   22.03	       4	1	S	
10:01	   22.02	       9	2	S	
10:01	   22.10	       5	1	B	
10:02	   22.10	      11	7	B	
10:02	   22.07	       4	2	B	
10:02	   22.04	       2	1	S	
10:02	   22.06	       2	1	B	
10:02	   22.07	       6	5	B	
10:02	   22.10	       5	3	B	
10:02	   22.17	       5	2	B	
10:02	   22.14	       3	1	B	
10:03	   22.11	       3	2	B	
10:03	   22.12	       6	4	B	
10:03	   22.10	       4	2	B	
10:04	   22.07	       8	4	S	
10:04	   22.10	      22	4	B	
10:04	   22.10	       6	3	B	
10:04	   22.06	      16	4	S	
10:04	   21.98	       1	1	S	
10:04	   22.05	       9	3	B	
10:05	   22.05	      11	4	S	
10:05	   22.07	       8	3	B	
10:05	   22.02	       2	1	B	
10:05	   22.05	       2	1	B	
10:05	   22.05	       2	1	B	
10:07	   22.03	       2	1	B	
10:07	   22.03	       4	2	B	
10:07	   22.08	       4	2	B	
10:07	   22.08	      11	8	S	
10:07	   22.08	       2	2	B	
10:07	   22.12	      20	3	B	
10:07	   22.12	       2	1	S	
10:07	   22.09	       2	1	B	
10:07	   22.03	       2	1	S	
10:08	   22.03	       2	1	S	
10:08	   22.03	       7	2	S	
10:09	   22.03	       3	1	S	
10:09	   22.07	      19	3	B	
10:09	   22.03	       4	2	S	
10:10	   22.03	       2	1	S	
10:10	   22.01	      10	7	S	
10:10	   22.01	       2	1	S	
10:10	   22.02	      25	6	B	
10:10	   22.01	       8	4	S	
10:10	   22.00	      17	1	S	
10:10	   22.00	       3	1	S	
10:10	   22.00	      24	1	S	
10:10	   21.98	       4	2	S	
10:11	   21.98	       4	1	S	
10:11	   21.97	      27	2	S	
10:11	   21.97	       1	1	S	
10:11	   21.95	       8	4	S	
10:11	   21.93	       2	1	S	
10:12	   21.95	       4	1	B	
10:12	   21.96	       2	1	B	
10:12	   21.96	       2	1	B	
10:12	   21.96	       0	1	B	
10:12	   21.96	       6	3	B	
10:12	   21.96	       0	1	B	
10:12	   21.95	       2	1	B	
10:12	   21.96	      10	1	B	
10:12	   21.98	      26	3	B	
10:13	   22.02	       5	2	B	
10:13	   22.00	       6	1	B	
10:13	   22.01	       2	1	B	
10:13	   22.09	       9	5	B	
10:13	   22.08	       2	1	B	
10:14	   22.02	       2	1	S	
10:14	   22.01	       6	3	S	
10:14	   22.00	      48	5	S	
10:14	   21.99	       2	1	S	
10:14	   21.98	       2	1	S	
10:14	   21.98	       2	1	S	
10:14	   21.98	      14	6	S	
10:14	   21.98	       4	2	B	
10:14	   21.98	       2	1	S	
10:14	   21.98	       1	1	S	
10:15	   22.00	      20	6	B	
10:16	   21.98	       2	1	S	
10:16	   21.97	       2	1	S	
10:17	   21.98	       2	1	B	
10:17	   21.99	       2	1	B	
10:18	   22.00	       2	1	B	
10:18	   22.00	       2	1	S	
10:18	   21.99	       4	2	S	
10:19	   22.00	       6	3	B	
10:19	   22.00	       2	2	S	
10:19	   21.99	       9	5	S	
10:19	   21.98	       2	1	S	
10:19	   21.98	      31	15	S	
10:19	   21.96	       6	3	S	
10:20	   21.96	       8	5	B	
10:20	   21.96	      10	5	S	
10:20	   21.98	      14	5	B	
10:20	   21.99	      11	6	B	
10:20	   21.99	       3	2	B	
10:20	   22.01	       5	2	B	
10:20	   22.02	       2	1	B	
10:20	   22.06	       2	1	B	
10:20	   22.06	       2	1	B	
10:20	   22.06	       8	2	B	
10:20	   22.06	       4	3	S	
10:20	   22.06	       0	1	S	
10:20	   22.06	       2	1	B	
10:21	   22.06	       1	1	S	
10:21	   22.03	       8	5	S	
10:21	   22.02	      14	5	S	
10:21	   22.03	       1	1	B	
10:21	   22.03	       1	1	S	
10:21	   22.03	       2	1	B	
10:24	   22.05	      10	3	B	
10:24	   22.05	       2	1	S	
10:25	   22.04	       2	1	S	
10:25	   22.03	       2	1	S	
10:25	   22.00	       2	1	S	
10:25	   22.01	       3	1	B	
10:25	   22.02	       2	1	B	
10:25	   22.03	       2	1	B	
10:26	   22.03	      11	5	B	
10:28	   22.02	       2	1	B	
10:28	   21.98	     116	42	S	
10:28	   21.98	      21	6	S	
10:28	   21.96	       2	1	B	
10:28	   21.94	       7	3	S	
10:28	   21.93	      89	6	S	
10:29	   21.93	       2	1	S	
10:29	   21.91	      22	5	S	
10:29	   21.88	      30	10	S	
10:29	   21.89	      11	10	B	
10:29	   21.89	       4	3	B	
10:29	   21.89	       2	1	B	
10:29	   21.89	       1	1	B	
10:29	   21.90	       2	1	S	
10:29	   21.89	       5	2	S	
10:30	   21.93	       2	1	B	
10:30	   21.90	       8	3	S	
10:30	   21.89	      46	11	S	
10:30	   21.89	       0	1	S	
