                  20231010 凯因科技 (688687)
 时间	    价格	    成交	笔数	
09:25	   25.51	    1204	94	
09:30	   25.50	     436	34	S	
09:30	   25.58	     321	41	B	
09:30	   25.44	     658	112	S	
09:30	   25.39	     142	23	S	
09:30	   25.38	     241	56	S	
09:30	   25.21	     204	51	S	
09:30	   25.15	     132	27	S	
09:30	   25.11	     293	48	S	
09:30	   24.98	     276	38	S	
09:30	   24.98	     249	35	S	
09:30	   24.55	      11	7	S	
09:30	   24.55	     351	74	B	
09:30	   24.55	     109	22	B	
09:30	   24.51	     380	50	B	
09:30	   24.53	      47	17	S	
09:30	   24.63	      94	24	B	
09:30	   24.54	     686	36	S	
09:30	   24.64	      61	16	B	
09:30	   24.63	      30	9	B	
09:30	   24.64	     165	29	B	
09:31	   24.64	     170	37	B	
09:31	   24.54	     178	26	S	
09:31	   24.65	      60	16	B	
09:31	   24.64	      63	13	S	
09:31	   24.70	     124	17	B	
09:31	   24.88	     140	14	B	
09:31	   24.70	      43	7	S	
09:31	   24.77	       6	3	B	
09:31	   24.88	      28	9	B	
09:31	   24.89	      24	8	B	
09:31	   24.89	      99	15	B	
09:31	   24.94	     109	7	B	
09:31	   24.90	      57	8	S	
09:31	   24.91	      48	10	S	
09:31	   24.90	     197	20	S	
09:31	   24.80	     123	15	S	
09:31	   24.78	     142	30	S	
09:31	   24.68	      55	19	S	
09:31	   24.64	     221	27	S	
09:31	   24.58	      94	14	S	
09:32	   24.50	     240	21	S	
09:32	   24.43	     178	30	S	
09:32	   24.32	      30	8	S	
09:32	   24.38	     193	42	B	
09:32	   24.35	     363	33	S	
09:32	   24.50	      66	20	B	
09:32	   24.50	      13	2	B	
09:32	   24.51	      24	8	B	
09:32	   24.46	      25	3	S	
09:32	   24.46	     507	34	S	
09:32	   24.58	       4	3	S	
09:32	   24.67	      92	10	B	
09:32	   24.60	      38	4	B	
09:32	   24.67	      67	9	B	
09:32	   24.69	      14	4	B	
09:32	   24.48	    1132	38	S	
09:32	   24.54	      41	10	B	
09:32	   24.54	     130	10	B	
09:32	   24.51	      83	12	B	
09:33	   24.34	      29	9	S	
09:33	   24.47	     189	30	B	
09:33	   24.46	     392	15	S	
09:33	   24.44	      21	5	S	
09:33	   24.47	      71	20	B	
09:33	   24.50	      14	1	B	
09:33	   24.47	      62	9	S	
09:33	   24.50	       9	2	S	
09:33	   24.52	       1	1	B	
09:33	   24.52	      65	5	S	
09:33	   24.53	       8	2	S	
09:33	   24.60	      19	3	B	
09:33	   24.60	      31	8	B	
09:33	   24.60	     225	13	S	
09:33	   24.55	     401	15	S	
09:33	   24.56	      56	11	B	
09:33	   24.46	      57	6	S	
09:33	   24.54	      10	1	B	
09:33	   24.61	      55	5	B	
09:33	   24.55	       2	1	S	
09:34	   24.61	       5	4	B	
09:34	   24.54	     106	24	S	
09:34	   24.54	      83	25	S	
09:34	   24.54	     149	17	B	
09:34	   24.50	      59	14	S	
09:34	   24.48	      74	22	S	
09:34	   24.47	     349	26	S	
09:34	   24.44	     296	32	S	
09:34	   24.40	      40	14	S	
09:34	   24.40	     231	25	S	
09:34	   24.34	      20	9	S	
09:34	   24.30	      41	18	S	
09:34	   24.28	      14	6	S	
09:34	   24.24	     102	18	S	
09:34	   24.21	     155	23	S	
09:34	   24.10	     320	27	S	
09:34	   24.31	     670	37	B	
09:34	   24.20	     201	18	S	
09:34	   24.17	     114	10	S	
09:34	   24.22	      40	2	S	
09:35	   24.34	      67	14	B	
09:35	   24.39	     144	22	B	
09:35	   24.39	       9	5	S	
09:35	   24.47	      13	3	B	
09:35	   24.40	      10	4	S	
09:35	   24.40	     137	12	S	
09:35	   24.40	       7	3	B	
09:35	   24.37	      79	25	S	
09:35	   24.36	       2	1	B	
09:35	   24.33	       7	1	S	
09:35	   24.37	      28	10	B	
09:35	   24.52	      48	12	B	
09:35	   24.52	      23	8	B	
09:35	   24.52	      18	7	B	
09:35	   24.52	      18	5	B	
09:35	   24.52	      22	10	B	
09:35	   24.43	      12	6	S	
09:36	   24.37	      54	18	S	
09:36	   24.43	      69	8	
09:36	   24.49	      49	2	B	
09:36	   24.43	      92	11	S	
09:36	   24.43	      15	3	B	
09:36	   24.41	      48	6	S	
09:36	   24.43	     115	10	B	
09:36	   24.45	       2	1	S	
09:36	   24.41	      86	20	S	
09:36	   24.41	      16	7	B	
09:36	   24.40	       4	2	S	
09:36	   24.41	      43	14	B	
09:36	   24.40	      98	20	B	
09:36	   24.38	      98	3	S	
09:36	   24.40	      10	3	B	
09:36	   24.37	      18	5	S	
09:36	   24.33	     103	9	S	
09:36	   24.30	     194	29	S	
09:37	   24.30	      10	6	B	
09:37	   24.33	     127	39	B	
09:37	   24.32	      28	3	B	
09:37	   24.25	     235	21	S	
09:37	   24.28	      81	10	S	
09:37	   24.25	      14	10	S	
09:37	   24.28	     190	13	B	
09:37	   24.38	     307	11	B	
09:37	   24.29	       7	3	S	
09:37	   24.30	       2	1	S	
09:37	   24.30	      73	7	S	
09:37	   24.31	      23	5	S	
09:37	   24.31	       9	4	S	
09:37	   24.38	       1	1	B	
09:37	   24.40	     140	15	B	
09:38	   24.32	       2	1	S	
09:38	   24.38	     182	31	B	
09:38	   24.32	      42	14	S	
09:38	   24.32	       7	5	S	
09:38	   24.32	      55	14	B	
09:38	   24.23	     394	44	S	
09:38	   24.28	     119	13	B	
09:38	   24.23	       4	2	S	
09:38	   24.23	       1	1	S	
09:38	   24.22	       3	1	B	
09:38	   24.22	      49	6	S	
09:38	   24.22	      10	3	B	
09:38	   24.18	     582	33	S	
09:38	   24.22	       8	1	
09:38	   24.21	      33	3	S	
09:38	   24.28	     107	14	B	
09:38	   24.36	      53	14	B	
09:38	   24.31	      17	7	S	
09:38	   24.37	      68	11	B	
09:38	   24.41	      27	3	B	
09:39	   24.37	       7	7	S	
09:39	   24.37	      11	5	B	
09:39	   24.37	      62	6	B	
09:39	   24.36	      16	5	S	
09:39	   24.36	      42	5	S	
09:39	   24.23	     200	9	S	
09:39	   24.38	      30	10	B	
09:39	   24.38	      10	5	B	
09:39	   24.29	       6	2	S	
09:39	   24.36	      38	7	S	
09:39	   24.28	       2	1	S	
09:39	   24.23	      83	7	S	
09:39	   24.23	      14	1	S	
09:39	   24.23	     301	16	S	
09:39	   24.23	      96	7	S	
09:39	   24.36	     102	20	B	
09:39	   24.24	       1	1	S	
09:40	   24.25	      50	11	S	
09:40	   24.25	      12	5	S	
09:40	   24.21	      17	6	S	
09:40	   24.18	     193	12	S	
09:40	   24.15	      20	5	S	
09:40	   24.11	      41	8	S	
09:40	   24.19	     125	20	B	
09:40	   24.19	      15	2	B	
09:40	   24.11	      64	11	S	
09:40	   24.11	      10	3	S	
09:40	   24.11	      54	9	S	
09:40	   24.09	      57	11	S	
09:40	   24.05	     121	23	S	
09:40	   24.01	     130	36	S	
09:40	   24.00	     374	58	S	
09:40	   23.99	      52	8	
09:40	   23.96	     103	10	S	
09:40	   23.90	      58	13	S	
09:41	   23.96	     124	20	B	
09:41	   23.86	     192	23	S	
09:41	   23.80	     354	14	S	
09:41	   23.82	      35	9	S	
09:41	   23.86	      26	4	B	
09:41	   23.81	     157	15	S	
09:41	   23.91	     129	13	B	
09:41	   23.91	      21	5	S	
09:41	   23.91	     105	13	S	
09:41	   23.92	      34	7	S	
09:41	   23.96	     288	49	B	
