                  20240530 凯因科技 (688687)
 时间	    价格	    成交	笔数	
09:30	   27.18	       3	2	B	
09:30	   27.17	       5	3	B	
09:30	   27.09	       4	3	S	
09:30	   27.07	       6	2	S	
09:30	   27.06	       6	3	S	
09:30	   27.03	       3	1	S	
09:30	   27.02	      20	3	S	
09:30	   27.00	      97	28	S	
09:30	   26.98	      55	13	B	
09:30	   26.90	      21	6	B	
09:30	   26.89	       5	3	B	
09:30	   26.88	      19	4	B	
09:30	   26.88	      17	7	S	
09:30	   26.88	       1	1	S	
09:31	   26.88	       7	3	B	
09:31	   26.96	      10	3	B	
09:31	   26.88	      76	7	S	
09:31	   26.92	      11	4	B	
09:31	   27.01	      17	11	B	
09:31	   27.01	      14	4	B	
09:31	   27.04	       2	1	B	
09:31	   27.07	      32	11	B	
09:31	   27.15	      16	6	B	
09:31	   27.07	       2	1	S	
09:31	   27.03	       3	1	S	
09:31	   27.03	       2	1	S	
09:31	   27.07	       9	2	B	
09:32	   27.03	       4	3	S	
09:32	   27.02	      17	6	S	
09:32	   26.99	      15	7	B	
09:32	   26.99	       6	1	B	
09:32	   26.99	       3	2	B	
09:32	   27.00	      49	6	B	
09:32	   27.02	       2	1	B	
09:32	   27.01	      21	3	B	
09:33	   27.02	       7	2	B	
09:33	   27.03	     122	6	B	
09:33	   27.03	      24	9	S	
09:33	   27.02	      20	2	S	
09:33	   27.01	       1	1	S	
09:33	   27.00	       2	2	B	
09:34	   26.99	      10	1	S	
09:34	   27.07	       9	2	B	
09:34	   27.07	       2	1	B	
09:34	   27.07	       5	4	B	
09:34	   27.08	       8	2	B	
09:34	   27.08	       4	2	B	
09:34	   27.13	       2	1	B	
09:34	   27.08	       6	3	S	
09:35	   27.15	       6	2	B	
09:35	   27.16	       2	1	B	
09:35	   27.19	       2	1	S	
09:36	   27.28	       2	1	B	
09:36	   27.19	      46	12	S	
09:36	   27.27	       3	2	B	
09:36	   27.27	       1	1	S	
09:37	   27.21	       2	1	S	
09:37	   27.26	       2	1	B	
09:37	   27.22	       0	1	B	
09:38	   27.28	      13	4	B	
09:38	   27.23	       2	1	S	
09:38	   27.22	       9	5	S	
09:38	   27.22	       1	1	S	
09:39	   27.28	       2	1	B	
09:39	   27.28	       2	1	B	
09:39	   27.28	       2	1	B	
09:40	   27.28	      10	2	B	
09:40	   27.28	       8	3	B	
09:40	   27.28	       5	5	B	
09:40	   27.30	      30	9	B	
09:40	   27.30	      16	4	B	
09:40	   27.30	       2	1	B	
