                  20240620 凯因科技 (688687)
 时间	    价格	    成交	笔数	
09:25	   27.32	      17	4	
09:30	   27.02	       0	1	
09:30	   27.31	      34	5	B	
09:30	   27.32	      39	15	S	
09:30	   27.32	      34	11	B	
09:30	   27.26	       6	2	B	
09:30	   27.22	       8	3	S	
09:30	   27.19	       4	2	S	
09:30	   27.19	       2	1	S	
09:30	   27.23	       7	4	B	
09:30	   27.13	       2	1	S	
09:30	   27.13	      20	6	S	
09:30	   27.29	      10	4	B	
09:30	   27.13	      14	7	S	
09:30	   27.27	       2	1	B	
09:30	   27.17	       2	1	S	
09:30	   27.15	       7	4	S	
09:31	   27.15	       3	2	S	
09:31	   27.14	       6	5	S	
09:31	   27.15	       2	1	S	
09:31	   27.13	      22	6	S	
09:31	   27.12	       2	1	S	
09:31	   27.22	       2	1	B	
09:31	   27.15	      10	2	B	
09:31	   27.16	      50	4	B	
09:31	   27.17	       6	3	B	
09:31	   27.17	       5	2	B	
09:31	   27.17	       2	1	B	
09:32	   27.18	      13	4	B	
09:32	   27.22	      26	2	B	
09:32	   27.22	       4	1	S	
09:32	   27.24	       2	1	B	
09:32	   27.24	       3	2	B	
09:32	   27.24	       1	1	S	
09:32	   27.24	       5	1	B	
09:32	   27.24	       5	2	B	
09:33	   27.24	       7	3	B	
09:33	   27.24	       9	3	B	
09:33	   27.25	       2	1	B	
09:33	   27.25	       5	1	B	
09:33	   27.25	       2	1	B	
09:33	   27.25	      12	3	B	
09:33	   27.33	      60	20	B	
09:34	   27.36	      17	4	B	
09:34	   27.37	      24	9	B	
09:34	   27.47	      17	7	B	
09:34	   27.40	       2	1	S	
09:34	   27.38	      21	7	S	
09:34	   27.41	      32	9	S	
09:34	   27.39	       5	1	B	
09:34	   27.45	      20	4	B	
09:34	   27.45	      20	8	B	
09:34	   27.45	      15	4	B	
09:34	   27.45	      20	4	B	
09:35	   27.45	       4	1	B	
09:35	   27.43	      11	2	B	
09:35	   27.45	      14	4	B	
09:35	   27.46	      42	4	B	
09:35	   27.47	      51	3	B	
09:35	   27.48	       6	2	B	
09:35	   27.48	       4	2	B	
09:35	   27.45	      35	10	S	
09:35	   27.47	       5	1	B	
09:35	   27.47	       2	1	B	
09:35	   27.47	       6	2	B	
09:35	   27.45	       5	1	B	
09:35	   27.45	      30	2	B	
09:36	   27.44	      42	1	B	
09:36	   27.44	       5	1	B	
09:36	   27.41	       2	1	S	
09:36	   27.40	      20	3	S	
09:36	   27.44	       5	2	B	
09:36	   27.44	      46	15	B	
09:36	   27.46	      20	7	B	
09:36	   27.45	      16	5	S	
09:36	   27.47	      16	4	B	
09:36	   27.48	      73	9	B	
09:36	   27.49	     184	26	B	
09:36	   27.52	     137	9	B	
09:36	   27.52	      28	6	B	
09:36	   27.59	      14	4	B	
09:37	   27.68	      26	8	B	
09:37	   27.64	       4	1	B	
09:37	   27.64	       2	1	S	
09:37	   27.58	      39	12	S	
09:37	   27.58	       5	1	B	
09:37	   27.55	      42	9	S	
09:37	   27.58	       3	2	S	
09:37	   27.59	       6	4	B	
09:37	   27.59	       5	2	B	
09:37	   27.59	      32	2	B	
09:37	   27.59	      10	1	S	
09:37	   27.56	      31	6	S	
09:37	   27.60	      13	3	B	
09:37	   27.60	       4	1	B	
09:38	   27.57	      10	3	S	
09:38	   27.60	       6	2	B	
09:38	   27.59	      15	9	S	
09:38	   27.59	      47	9	S	
09:38	   27.58	      27	2	S	
09:38	   27.58	       5	2	B	
09:38	   27.55	       5	1	S	
09:38	   27.53	      14	1	S	
09:38	   27.50	       4	1	S	
09:39	   27.55	      12	4	B	
09:39	   27.58	      25	2	B	
09:39	   27.58	      18	4	B	
09:39	   27.58	       6	2	B	
09:39	   27.56	       2	1	B	
09:39	   27.56	       1	1	B	
09:39	   27.58	      11	1	B	
09:39	   27.59	     165	18	B	
09:39	   27.59	      29	9	B	
09:40	   27.62	       6	1	B	
09:40	   27.62	       1	1	B	
09:40	   27.62	      27	5	S	
09:40	   27.62	      10	1	B	
09:40	   27.62	      10	1	B	
09:40	   27.62	      10	4	B	
09:40	   27.63	      36	10	B	
09:40	   27.66	      95	9	B	
09:40	   27.67	      28	7	B	
09:40	   27.67	      30	4	B	
09:40	   27.68	      48	3	B	
09:40	   27.68	       5	1	B	
09:40	   27.68	       5	1	B	
09:40	   27.68	       5	1	B	
09:40	   27.68	      16	1	B	
09:40	   27.68	       3	1	B	
09:41	   27.68	      15	2	B	
09:41	   27.69	     136	15	B	
09:41	   27.75	     313	35	B	
09:41	   27.79	      26	6	B	
09:41	   27.77	      39	8	S	
09:41	   27.79	      57	7	B	
09:41	   27.78	      14	1	S	
09:41	   27.79	       5	2	B	
09:41	   27.77	       1	1	S	
09:41	   27.79	      30	4	B	
09:41	   27.73	      23	3	S	
09:41	   27.73	      39	4	S	
09:41	   27.72	       8	2	S	
09:41	   27.72	       9	3	B	
09:41	   27.71	      34	8	S	
09:42	   27.71	       2	1	
09:42	   27.72	       8	4	B	
09:42	   27.71	       1	1	S	
09:42	   27.71	       7	3	S	
09:42	   27.72	       7	2	B	
09:42	   27.71	      30	7	S	
09:42	   27.71	      36	10	S	
09:42	   27.73	      17	6	B	
09:42	   27.74	      22	2	B	
09:42	   27.76	      10	3	B	
09:42	   27.76	      42	6	B	
09:42	   27.77	       6	2	B	
09:42	   27.77	      34	3	B	
09:42	   27.78	       6	2	B	
09:42	   27.78	      12	2	B	
09:43	   27.78	       6	2	B	
09:43	   27.77	      84	12	
09:43	   27.87	      70	11	B	
09:43	   27.87	      13	2	B	
09:43	   27.87	      16	4	B	
09:43	   27.88	      50	4	B	
09:43	   27.85	      20	7	B	
09:43	   27.79	       3	1	B	
09:43	   27.78	       4	2	S	
09:43	   27.79	      30	1	B	
09:43	   27.85	      41	4	B	
09:44	   27.85	       8	1	B	
09:44	   27.85	       8	1	B	
09:44	   27.85	       4	1	B	
09:44	   27.85	      25	2	B	
09:44	   27.80	       2	1	S	
09:44	   27.85	       6	2	B	
09:44	   27.82	       2	1	
09:44	   27.80	       4	1	S	
09:44	   27.80	      10	1	S	
09:44	   27.80	      15	4	S	
09:44	   27.80	       8	3	S	
09:45	   27.77	      10	7	S	
09:45	   27.77	       4	1	S	
09:45	   27.77	      31	3	S	
09:45	   27.78	       5	2	B	
09:45	   27.79	      13	3	B	
09:45	   27.77	      31	4	S	
09:45	   27.75	      51	4	S	
09:45	   27.77	      10	3	B	
09:45	   27.77	       9	5	B	
09:45	   27.80	      15	6	B	
09:45	   27.84	       8	2	B	
09:45	   27.77	       8	2	S	
09:45	   27.75	       2	1	S	
09:45	   27.76	       4	2	B	
09:46	   27.72	       2	1	S	
09:46	   27.72	       2	1	S	
09:46	   27.72	       4	2	B	
09:46	   27.72	       2	1	S	
09:46	   27.68	      43	8	S	
09:46	   27.70	      23	6	B	
09:46	   27.70	       6	1	B	
09:46	   27.72	       6	3	B	
09:46	   27.69	       4	1	S	
09:47	   27.70	       2	1	S	
09:47	   27.76	     109	19	B	
09:47	   27.83	       6	1	B	
09:47	   27.83	       4	1	B	
09:47	   27.74	      29	7	S	
09:47	   27.82	       2	1	B	
09:47	   27.82	       6	1	B	
09:48	   27.74	       8	1	S	
09:48	   27.73	       2	1	S	
09:48	   27.73	      23	3	S	
09:48	   27.73	       1	1	S	
09:48	   27.69	      10	3	S	
09:48	   27.69	      37	3	S	
09:48	   27.69	       9	2	S	
09:48	   27.69	      40	12	S	
09:48	   27.67	       6	1	S	
09:49	   27.67	       2	1	S	
09:49	   27.66	      29	5	S	
09:49	   27.67	      42	3	B	
09:49	   27.67	      30	1	S	
09:49	   27.68	      25	2	
09:49	   27.67	      26	4	S	
09:49	   27.66	       5	1	B	
09:49	   27.66	       2	1	B	
09:49	   27.61	      12	3	S	
09:49	   27.61	       8	3	S	
09:50	   27.60	       2	1	B	
09:50	   27.60	      10	1	B	
09:50	   27.60	      43	11	B	
09:50	   27.56	      10	3	S	
09:50	   27.56	       2	1	S	
09:50	   27.56	       5	2	S	
09:51	   27.57	       2	1	S	
09:51	   27.58	       6	4	B	
09:52	   27.57	       2	1	S	
09:52	   27.58	       2	2	B	
09:52	   27.58	      16	5	B	
09:53	   27.59	       2	2	B	
09:53	   27.60	      10	1	B	
09:53	   27.60	       3	1	B	
