                  20250625 凯因科技 (688687)
 时间	    价格	    成交	笔数	
09:25	   26.64	     106	20	
09:30	   26.70	     170	7	B	
09:30	   26.70	      21	4	B	
09:30	   26.70	      48	11	B	
09:30	   26.70	      47	5	S	
09:30	   26.70	      31	3	S	
09:30	   26.64	     108	11	S	
09:30	   26.69	      81	19	B	
09:30	   26.64	       4	2	S	
09:30	   26.64	      78	6	S	
09:30	   26.59	     313	45	S	
09:30	   26.57	      94	9	S	
09:30	   26.56	      46	3	S	
09:30	   26.57	      27	9	
09:30	   26.58	      18	2	B	
09:30	   26.58	      10	1	S	
09:31	   26.59	       5	2	S	
09:31	   26.66	      76	12	B	
09:31	   26.64	      23	5	S	
09:31	   26.67	       2	1	B	
09:31	   26.67	       5	1	B	
09:31	   26.73	      28	4	B	
09:31	   26.70	      63	6	S	
09:31	   26.70	      26	1	B	
09:31	   26.70	      11	1	B	
09:31	   26.66	     120	13	S	
09:31	   26.65	      16	8	B	
09:31	   26.70	       6	2	B	
09:31	   26.70	     110	8	B	
09:31	   26.70	      56	3	B	
09:32	   26.70	      17	3	B	
09:32	   26.70	      15	8	S	
09:32	   26.70	       5	2	S	
09:32	   26.70	     200	3	S	
09:32	   26.65	      18	5	S	
09:32	   26.66	       3	2	S	
09:32	   26.66	      49	4	S	
09:32	   26.70	       8	3	B	
09:32	   26.67	      94	6	S	
09:32	   26.66	      67	10	S	
09:32	   26.66	       0	1	S	
09:32	   26.65	      20	4	S	
09:33	   26.65	     307	13	S	
09:33	   26.62	      40	7	S	
09:33	   26.62	      66	9	S	
09:33	   26.62	     118	6	S	
09:33	   26.66	     250	23	B	
09:33	   26.62	      14	3	S	
09:33	   26.68	      27	3	B	
09:33	   26.71	     192	17	B	
09:33	   26.74	       2	1	B	
09:33	   26.75	       5	2	B	
09:34	   26.75	       3	1	B	
09:34	   26.75	      25	4	B	
09:34	   26.76	      44	5	B	
09:34	   26.79	      15	5	B	
09:34	   26.76	      40	3	B	
09:34	   26.80	       6	1	B	
09:34	   26.76	      30	1	S	
09:34	   26.80	      34	3	B	
09:34	   26.80	      30	2	S	
09:34	   26.80	      15	1	S	
09:34	   26.80	      19	2	B	
09:34	   26.80	       6	2	B	
09:34	   26.80	      25	5	B	
09:34	   26.80	      27	2	S	
09:34	   26.80	      27	5	B	
09:34	   26.76	     170	3	S	
09:34	   26.76	      30	1	S	
09:35	   26.81	      62	6	B	
09:35	   26.80	     296	23	S	
09:35	   26.83	      47	6	S	
09:35	   26.80	       4	2	S	
09:35	   26.83	      72	7	B	
09:35	   26.83	      32	2	S	
09:35	   26.80	      10	1	S	
09:35	   26.80	       4	2	B	
09:35	   26.80	      14	1	B	
09:35	   26.74	      93	16	S	
09:35	   26.73	     103	12	S	
09:35	   26.70	      12	5	S	
09:35	   26.67	       6	4	S	
09:35	   26.70	      91	2	B	
09:35	   26.67	      13	3	S	
09:36	   26.64	      19	1	S	
09:36	   26.64	       6	4	S	
09:36	   26.64	     134	13	S	
09:36	   26.64	      12	2	S	
09:36	   26.64	     200	11	S	
09:36	   26.70	     200	1	B	
09:36	   26.70	     292	10	B	
09:36	   26.70	      36	1	B	
09:36	   26.70	      36	5	B	
09:36	   26.70	      54	2	B	
09:36	   26.70	      39	5	S	
09:36	   26.68	       9	1	S	
09:37	   26.68	       4	1	S	
09:37	   26.67	      50	4	S	
09:37	   26.68	       2	1	S	
09:37	   26.68	      29	1	B	
09:37	   26.68	      22	4	B	
09:37	   26.68	       3	1	S	
09:37	   26.68	      20	2	S	
09:37	   26.71	       3	1	B	
09:37	   26.71	      29	3	B	
09:37	   26.71	       4	1	B	
09:37	   26.72	       2	1	B	
09:38	   26.72	      20	2	S	
09:38	   26.72	      33	2	S	
09:38	   26.72	       8	1	S	
09:38	   26.74	      63	5	B	
09:38	   26.74	      28	2	S	
09:38	   26.74	      40	1	S	
09:38	   26.75	      86	2	B	
09:38	   26.75	     147	5	B	
