                  20260120 凯因科技 (688687)
 时间	    价格	    成交	笔数	
09:25	   26.53	      12	5	
09:30	   26.54	       4	3	
09:30	   26.53	      11	2	
09:30	   26.53	       4	4	B	
09:30	   26.53	       9	3	B	
09:30	   26.52	       5	2	S	
09:30	   26.52	      19	6	S	
09:30	   26.53	      38	7	B	
09:30	   26.54	       4	1	B	
09:30	   26.53	       8	4	S	
09:30	   26.54	      28	5	B	
09:30	   26.53	      25	10	S	
09:30	   26.55	      10	4	B	
09:30	   26.55	      11	2	B	
09:30	   26.54	      18	7	S	
09:30	   26.62	       2	1	B	
09:30	   26.54	       9	4	S	
09:31	   26.54	       2	1	S	
09:31	   26.61	      10	6	B	
09:31	   26.55	      18	5	S	
09:31	   26.55	      17	8	B	
09:31	   26.55	      17	6	B	
09:31	   26.62	       4	2	B	
09:31	   26.55	      20	7	S	
09:31	   26.55	       0	1	S	
09:31	   26.55	       5	3	S	
09:31	   26.55	      34	5	S	
09:31	   26.55	       4	2	S	
09:32	   26.55	       2	1	B	
09:32	   26.55	       6	3	B	
09:32	   26.54	      19	1	S	
09:32	   26.58	       5	1	B	
09:32	   26.56	       5	2	B	
09:32	   26.57	       2	1	B	
09:32	   26.58	      34	2	B	
09:32	   26.57	       4	3	S	
09:33	   26.57	       7	2	B	
09:33	   26.54	      53	10	S	
09:33	   26.54	       1	1	S	
09:33	   26.52	      35	12	S	
09:33	   26.55	       0	1	S	
09:33	   26.57	      56	1	B	
09:33	   26.58	     106	5	B	
09:34	   26.59	       5	1	S	
09:34	   26.59	      17	4	S	
09:34	   26.58	      27	4	S	
09:34	   26.56	      26	10	S	
09:34	   26.58	      10	2	B	
09:35	   26.59	       2	1	B	
09:35	   26.59	       2	2	B	
09:35	   26.59	      12	2	B	
09:35	   26.59	       6	1	B	
09:35	   26.59	      14	5	B	
09:35	   26.59	      13	4	B	
09:35	   26.60	      56	2	B	
09:35	   26.60	      11	8	B	
09:36	   26.61	       6	1	B	
09:36	   26.60	      24	7	S	
09:36	   26.59	       2	2	S	
09:36	   26.58	       7	2	S	
09:36	   26.59	      17	4	B	
09:36	   26.60	      36	5	B	
09:36	   26.60	       6	3	S	
09:36	   26.60	     821	66	B	
09:36	   26.60	      11	5	B	
09:36	   26.60	       3	2	B	
09:36	   26.57	      11	7	S	
09:36	   26.55	      14	5	S	
09:37	   26.56	       2	1	B	
09:37	   26.56	       5	1	B	
09:37	   26.56	       3	1	B	
09:37	   26.54	       7	2	S	
09:38	   26.54	       4	3	S	
09:38	   26.53	       6	5	S	
09:38	   26.53	       7	3	S	
09:38	   26.54	       2	1	B	
09:38	   26.54	       2	1	B	
09:38	   26.53	      30	8	S	
09:38	   26.52	      82	13	S	
09:38	   26.53	       2	1	S	
09:39	   26.53	      21	9	S	
09:39	   26.51	     105	18	S	
09:39	   26.50	       5	2	S	
09:39	   26.52	      20	9	B	
09:39	   26.49	       2	2	S	
09:40	   26.52	      30	8	B	
09:40	   26.54	      72	2	B	
09:40	   26.53	       3	2	S	
09:40	   26.53	       4	3	S	
09:40	   26.54	       2	1	B	
09:40	   26.54	       3	1	B	
