                  20260302 凯因科技 (688687)
 时间	    价格	    成交	笔数	
09:25	   21.92	     323	28	
09:30	   21.90	       9	2	
09:30	   21.92	      15	3	B	
09:30	   21.92	      42	8	B	
09:30	   21.92	       2	1	S	
09:30	   21.92	      10	2	S	
09:30	   21.92	     119	2	S	
09:30	   21.91	     133	13	S	
09:30	   21.91	     140	6	B	
09:30	   21.88	      12	2	B	
09:30	   21.88	      16	2	B	
09:30	   21.90	     111	5	B	
09:30	   21.87	      24	2	B	
09:30	   21.87	      45	2	B	
09:30	   21.87	      10	2	B	
09:30	   21.87	       4	2	B	
09:30	   21.87	      36	2	B	
09:30	   21.86	      32	4	S	
09:30	   21.87	      16	3	
09:31	   21.87	      14	8	S	
09:31	   21.88	      12	2	B	
09:31	   21.87	      13	7	S	
09:31	   21.88	      64	6	S	
09:31	   21.91	      16	4	B	
09:31	   21.88	     111	12	S	
09:31	   21.91	      10	2	B	
09:31	   21.92	     104	12	B	
09:31	   21.92	     178	13	B	
09:31	   21.92	       2	2	B	
09:31	   21.94	       6	1	B	
09:31	   21.95	      12	2	B	
09:31	   21.95	       6	1	S	
09:31	   21.92	       4	2	S	
09:31	   21.92	       8	4	S	
09:31	   21.95	       2	1	B	
09:31	   21.95	      12	4	B	
09:32	   21.92	      18	4	S	
09:32	   21.93	       8	2	B	
09:32	   21.97	       2	1	B	
09:32	   21.95	       4	2	B	
09:32	   21.95	       1	1	B	
09:32	   21.98	       2	1	B	
09:32	   21.94	       3	1	S	
09:32	   21.98	      15	4	B	
09:32	   21.98	       2	1	B	
09:32	   21.98	      17	6	B	
09:32	   21.98	       2	1	B	
09:32	   21.94	      20	3	S	
09:32	   21.97	       8	5	B	
09:33	   21.97	      10	2	B	
09:33	   21.96	      40	2	B	
09:33	   21.97	       2	1	B	
09:33	   21.97	     123	7	B	
09:33	   21.98	       2	1	B	
09:33	   21.96	      10	6	S	
09:33	   21.96	       2	2	S	
09:33	   21.95	      10	1	S	
09:33	   21.95	       5	1	S	
09:33	   21.95	      15	3	S	
09:33	   21.95	       5	2	S	
09:33	   21.94	      11	3	S	
09:34	   21.94	       7	2	S	
09:34	   21.92	      12	2	S	
09:34	   21.95	       2	1	B	
09:34	   21.92	       8	4	S	
09:34	   21.92	       2	2	S	
09:34	   21.94	      11	2	B	
09:34	   21.93	     101	3	S	
09:34	   21.93	      12	2	B	
09:35	   21.92	      44	4	S	
09:35	   21.93	       2	1	B	
09:35	   21.92	       2	1	S	
09:35	   21.93	       2	1	B	
09:35	   21.93	      28	5	B	
09:35	   21.93	      15	4	S	
09:35	   21.94	      34	4	B	
09:35	   21.92	      11	1	S	
09:35	   21.92	       3	1	S	
09:35	   21.92	      14	2	S	
09:35	   21.92	       2	1	S	
09:35	   21.93	      14	7	B	
09:35	   21.91	      13	6	S	
09:35	   21.91	      52	5	S	
09:35	   21.90	      82	9	S	
09:35	   21.90	      16	2	S	
09:36	   21.92	      37	11	B	
09:36	   21.89	     120	14	S	
09:36	   21.90	      31	2	B	
09:36	   21.88	      72	5	S	
09:36	   21.90	      20	3	B	
09:36	   21.89	      25	2	S	
09:36	   21.90	      16	5	B	
09:36	   21.91	      42	1	S	
09:36	   21.90	       6	1	S	
09:36	   21.90	      38	4	B	
09:36	   21.89	      39	4	S	
09:36	   21.90	       6	1	B	
09:36	   21.88	       7	2	S	
09:37	   21.88	       4	3	S	
09:37	   21.88	       2	2	S	
09:37	   21.88	     101	15	S	
09:37	   21.87	      12	2	S	
09:37	   21.87	      82	6	S	
09:37	   21.87	     132	8	S	
09:37	   21.87	      15	3	B	
09:37	   21.87	      12	2	B	
09:37	   21.86	      55	1	S	
09:37	   21.87	       2	1	B	
09:37	   21.87	      47	2	B	
09:37	   21.87	      15	3	S	
09:37	   21.87	      39	5	B	
09:38	   21.86	      14	3	S	
09:38	   21.86	      27	3	S	
09:38	   21.86	      25	12	S	
09:38	   21.86	      44	1	S	
09:38	   21.85	       2	1	S	
09:38	   21.85	      71	7	S	
09:38	   21.85	      62	9	B	
09:38	   21.85	       4	1	S	
09:38	   21.85	      37	4	S	
09:38	   21.83	       2	1	S	
09:38	   21.82	     126	14	S	
09:38	   21.83	     111	11	B	
09:38	   21.83	      50	2	B	
09:38	   21.83	       5	1	B	
09:38	   21.81	     191	10	S	
09:38	   21.81	      32	2	B	
09:39	   21.81	      94	4	B	
09:39	   21.80	     302	7	S	
09:39	   21.81	      70	3	B	
09:39	   21.81	     139	24	B	
09:39	   21.81	      73	12	B	
09:39	   21.82	      85	13	B	
09:39	   21.81	      96	7	S	
09:39	   21.82	      46	8	B	
09:39	   21.82	      90	15	B	
09:39	   21.85	      63	12	B	
09:39	   21.85	      55	8	S	
09:39	   21.85	      49	6	S	
09:39	   21.88	       8	2	
09:39	   21.88	       7	2	B	
09:39	   21.89	      47	5	B	
09:39	   21.89	      29	9	S	
09:39	   21.90	      43	2	S	
09:40	   21.90	      76	4	S	
09:40	   21.92	       2	1	B	
09:40	   21.93	       5	4	S	
09:40	   21.93	       2	1	S	
09:40	   21.96	      11	6	B	
09:40	   21.96	       8	2	B	
09:40	   21.96	      10	1	B	
09:40	   21.96	       2	1	B	
09:40	   21.96	     139	4	B	
09:40	   21.96	      48	7	B	
09:40	   21.97	       2	1	S	
09:40	   21.97	      17	5	S	
09:40	   21.96	     259	4	S	
09:40	   21.97	       2	1	S	
09:40	   21.97	      21	3	S	
09:40	   21.96	       6	1	S	
09:41	   21.96	       5	1	B	
09:41	   21.95	       6	1	S	
09:41	   21.91	     228	6	S	
09:41	   21.94	      13	2	
09:41	   21.94	       2	1	B	
09:41	   21.93	      22	2	S	
09:41	   21.93	       4	1	B	
09:41	   21.91	      16	6	S	
09:42	   21.89	      20	1	B	
09:42	   21.88	      30	2	S	
09:42	   21.90	       9	5	B	
09:42	   21.92	      10	1	B	
09:42	   21.92	      33	5	S	
09:43	   21.92	       3	1	S	
09:43	   21.93	       2	1	B	
09:43	   21.93	       2	1	B	
09:43	   21.92	      10	1	B	
09:43	   21.92	       5	2	B	
09:43	   21.90	       4	1	S	
09:43	   21.90	       7	1	S	
09:43	   21.89	       9	1	S	
09:43	   21.90	      20	1	B	
09:44	   21.89	       1	1	S	
09:44	   21.87	      13	2	S	
09:44	   21.85	      44	14	S	
09:44	   21.84	      10	3	S	
09:44	   21.85	       8	3	
09:44	   21.85	      22	3	S	
09:44	   21.85	       5	1	
09:45	   21.86	      10	7	B	
09:45	   21.87	       2	1	B	
09:45	   21.87	       8	3	B	
09:45	   21.87	       2	1	S	
09:45	   21.86	      30	4	S	
09:45	   21.86	      17	2	S	
09:45	   21.84	     108	10	S	
09:45	   21.85	      86	17	B	
09:45	   21.83	       5	1	S	
09:46	   21.82	     303	17	S	
09:46	   21.84	      61	9	B	
09:46	   21.82	      25	1	S	
09:46	   21.81	     108	5	S	
09:46	   21.81	       6	3	S	
09:46	   21.81	      44	6	S	
09:46	   21.81	       2	1	S	
