                  20221128 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:25	   16.00	     220	0	
09:30	   16.05	     287	0	
09:30	   16.01	      76	0	S	
09:30	   15.88	       2	0	S	
09:30	   15.80	      99	0	S	
09:31	   15.99	       2	0	B	
09:31	   15.99	       8	0	B	
09:31	   15.99	      20	0	B	
09:32	   16.00	       2	0	B	
09:32	   16.00	       3	0	B	
09:32	   16.00	      89	0	S	
09:32	   16.05	       3	0	B	
09:32	   16.18	       9	0	B	
09:32	   16.15	       2	0	B	
09:33	   16.14	       1	0	B	
09:33	   16.15	       8	0	B	
09:33	   16.14	      98	0	S	
09:33	   16.14	       1	0	S	
09:33	   16.19	       5	0	B	
09:33	   16.18	       5	0	B	
09:34	   16.14	      60	0	S	
09:34	   16.16	       5	0	B	
09:34	   16.18	       5	0	B	
09:34	   16.18	      13	0	S	
09:34	   16.19	       8	0	B	
09:34	   16.19	      17	0	B	
09:34	   16.20	       1	0	S	
09:35	   16.20	       5	0	S	
09:35	   16.24	      42	0	B	
09:35	   16.20	       1	0	S	
09:35	   16.22	       1	0	B	
09:35	   16.24	      12	0	B	
09:35	   16.20	      43	0	S	
09:35	   16.20	      24	0	B	
09:35	   16.22	      11	0	B	
09:35	   16.23	       9	0	B	
09:35	   16.27	      26	0	B	
09:35	   16.25	      10	0	S	
09:35	   16.25	       5	0	S	
09:36	   16.25	       3	0	S	
09:36	   16.25	       1	0	B	
09:36	   16.28	      65	0	B	
09:36	   16.29	       5	0	B	
09:36	   16.28	       5	0	B	
09:36	   16.30	     108	0	B	
09:36	   16.24	      13	0	S	
09:36	   16.24	      10	0	B	
09:36	   16.23	       6	0	S	
09:37	   16.23	      10	0	S	
09:37	   16.23	      10	0	S	
09:37	   16.23	      10	0	S	
09:37	   16.23	       2	0	S	
09:37	   16.24	      23	0	B	
09:37	   16.24	      20	0	S	
09:37	   16.30	     100	0	B	
09:37	   16.25	       2	0	S	
09:37	   16.25	       1	0	S	
09:37	   16.29	       3	0	B	
09:38	   16.25	      20	0	S	
09:38	   16.25	      89	0	S	
09:38	   16.25	      30	0	S	
09:38	   16.25	      10	0	B	
09:38	   16.25	      19	0	S	
09:38	   16.26	       5	0	B	
09:39	   16.25	      17	0	S	
09:39	   16.25	      17	0	S	
09:39	   16.23	      47	0	S	
09:39	   16.23	      20	0	B	
09:39	   16.22	      11	0	S	
09:39	   16.18	       2	0	S	
09:39	   16.18	       5	0	S	
09:40	   16.16	       4	0	S	
09:40	   16.16	      10	0	B	
09:40	   16.13	      47	0	S	
09:40	   16.08	      48	0	B	
09:41	   16.06	       3	0	S	
09:41	   16.06	      13	0	S	
09:41	   16.06	       4	0	S	
09:41	   16.01	      10	0	S	
09:41	   16.01	      20	0	S	
09:41	   16.00	      56	0	S	
09:41	   16.00	       3	0	S	
09:41	   16.00	      10	0	S	
09:41	   15.99	      15	0	S	
09:41	   16.00	      52	0	B	
09:41	   15.99	      23	0	S	
09:41	   16.00	      18	0	B	
09:41	   16.00	       5	0	B	
09:42	   15.99	       3	0	S	
09:43	   15.96	       1	0	S	
09:43	   15.99	       5	0	B	
09:43	   15.99	       2	0	B	
09:43	   15.91	      36	0	S	
09:43	   15.99	      30	0	B	
09:43	   15.99	      38	0	B	
09:43	   15.90	      46	0	S	
09:44	   15.90	       5	0	B	
09:44	   15.89	      20	0	S	
09:44	   15.90	       9	0	B	
09:44	   15.80	     312	0	S	
09:44	   15.80	      10	0	B	
09:44	   15.80	      10	0	B	
09:44	   15.72	      46	0	S	
09:44	   15.80	      25	0	B	
09:44	   15.80	      15	0	B	
09:44	   15.80	      10	0	B	
09:44	   15.80	      12	0	B	
09:45	   15.81	       5	0	S	
09:45	   15.90	       5	0	B	
09:45	   15.82	      50	0	S	
09:45	   15.90	       5	0	B	
09:46	   15.85	      69	0	S	
09:46	   15.85	      13	0	B	
09:46	   15.85	      24	0	B	
09:46	   15.82	      24	0	S	
09:46	   15.82	      44	0	S	
09:46	   15.80	      97	0	S	
09:46	   15.82	       4	0	B	
09:47	   15.80	      36	0	S	
09:47	   15.80	       3	0	B	
09:47	   15.80	      16	0	B	
09:48	   15.79	      16	0	S	
09:48	   15.80	       2	0	B	
09:48	   15.80	       8	0	B	
09:48	   15.80	       5	0	B	
09:48	   15.80	      25	0	B	
09:48	   15.82	       4	0	B	
09:48	   15.80	      67	0	S	
09:48	   15.80	      10	0	B	
09:48	   15.80	      43	0	B	
09:48	   15.79	      11	0	S	
09:48	   15.79	       5	0	B	
09:49	   15.80	      10	0	B	
09:49	   15.80	      20	0	B	
09:49	   15.80	      13	0	B	
09:49	   15.80	      11	0	B	
09:50	   15.95	       8	0	B	
09:51	   15.87	      10	0	S	
09:51	   15.87	      20	0	S	
09:51	   15.84	      46	0	S	
09:51	   15.84	      20	0	B	
09:52	   15.84	      10	0	B	
09:52	   15.83	      20	0	S	
09:52	   15.83	       4	0	S	
09:52	   15.80	      85	0	S	
09:52	   15.80	      20	0	B	
09:52	   15.80	       1	0	B	
09:53	   15.80	       3	0	B	
09:53	   15.80	      44	0	B	
09:53	   15.80	       6	0	S	
09:53	   15.80	      10	0	B	
09:53	   15.80	      14	0	B	
09:53	   15.80	      25	0	B	
09:53	   15.80	      10	0	B	
09:53	   15.80	      18	0	B	
09:53	   15.79	      23	0	S	
09:54	   15.78	      83	0	S	
09:54	   15.79	       7	0	B	
09:54	   15.80	       2	0	B	
09:54	   15.79	      23	0	S	
09:55	   15.79	      20	0	B	
09:55	   15.79	       1	0	B	
09:55	   15.79	      10	0	B	
09:55	   15.79	       2	0	B	
09:55	   15.79	      74	0	B	
09:55	   15.92	       1	0	B	
09:56	   15.91	       3	0	B	
09:57	   15.91	      12	0	B	
09:57	   15.82	      43	0	S	
09:58	   15.82	      30	0	S	
09:58	   15.89	       5	0	B	
09:58	   15.89	       1	0	B	
09:59	   15.89	      14	0	B	
09:59	   15.89	       4	0	B	
10:00	   15.90	       1	0	B	
10:00	   15.92	       9	0	B	
10:00	   15.95	      33	0	B	
10:01	   15.92	      33	0	S	
10:01	   15.92	      15	0	B	
10:01	   15.90	       5	0	S	
10:01	   15.82	      24	0	S	
10:01	   15.82	       8	0	B	
10:01	   15.82	       3	0	B	
10:02	   15.82	      23	0	S	
10:02	   15.90	       7	0	B	
10:02	   15.90	      10	0	B	
10:03	   15.84	       4	0	S	
10:03	   15.84	       6	0	S	
10:04	   15.84	       4	0	B	
10:04	   15.84	       1	0	S	
10:05	   15.84	       5	0	B	
10:05	   15.84	       5	0	B	
10:05	   15.84	      22	0	B	
10:05	   15.84	       5	0	B	
10:06	   15.84	       5	0	B	
10:06	   15.84	      20	0	B	
10:06	   15.84	       3	0	B	
10:07	   15.90	       8	0	B	
10:07	   15.90	      12	0	B	
10:07	   15.83	      40	0	S	
10:08	   15.83	      53	0	S	
10:09	   15.83	      15	0	S	
10:10	   15.98	       1	0	B	
10:11	   15.94	       7	0	B	
10:12	   15.83	       6	0	S	
10:13	   15.90	       3	0	S	
10:13	   15.90	       4	0	S	
10:14	   15.90	      14	0	S	
10:14	   15.90	       6	0	B	
10:17	   15.83	       2	0	S	
10:18	   15.83	       3	0	S	
10:19	   15.83	      33	0	S	
10:21	   15.88	       3	0	B	
10:22	   15.88	       2	0	B	
10:23	   15.88	       0	0	B	
10:23	   15.88	       1	0	S	
10:23	   15.88	       9	0	S	
10:24	   15.85	       4	0	S	
10:24	   15.85	      38	0	S	
10:24	   15.85	       2	0	B	
10:25	   15.85	      12	0	S	
10:25	   15.88	       3	0	B	
10:25	   15.85	       9	0	S	
10:25	   15.84	      20	0	S	
10:26	   15.84	       1	0	B	
10:26	   15.83	      62	0	S	
10:26	   15.84	      39	0	B	
10:26	   15.81	      78	0	S	
10:27	   15.81	      10	0	S	
10:27	   15.85	       1	0	B	
10:28	   15.82	      35	0	S	
10:29	   15.82	      45	0	B	
10:29	   15.84	       2	0	B	
10:30	   15.83	       2	0	S	
10:30	   15.84	       3	0	B	
10:30	   15.83	      18	0	S	
10:31	   15.85	       3	0	B	
10:32	   15.88	       2	0	B	
10:32	   15.88	       2	0	B	
10:32	   15.89	      21	0	B	
10:32	   15.94	       1	0	B	
10:33	   15.94	       4	0	B	
10:33	   15.96	       2	0	B	
10:34	   15.96	     178	0	B	
10:35	   15.95	      21	0	B	
10:36	   15.90	       7	0	S	
10:37	   15.95	       1	0	B	
10:37	   15.90	       2	0	S	
10:37	   15.90	       1	0	S	
10:38	   15.90	       3	0	B	
10:39	   15.89	      20	0	S	
10:39	   15.88	       2	0	S	
10:40	   15.89	      58	0	B	
10:41	   15.88	       8	0	S	
10:41	   15.90	       3	0	B	
10:41	   15.88	       2	0	S	
10:42	   15.87	       2	0	S	
10:43	   15.84	       2	0	S	
10:43	   15.83	      16	0	S	
10:44	   15.82	       5	0	S	
10:44	   15.82	      52	0	S	
10:44	   15.83	      25	0	B	
10:44	   15.88	       1	0	B	
10:47	   15.83	       8	0	S	
10:47	   15.83	      24	0	S	
10:47	   15.80	     198	0	S	
10:47	   15.80	       5	0	B	
10:48	   15.78	      49	0	S	
10:48	   15.88	       1	0	B	
10:50	   15.80	      10	0	S	
10:51	   15.76	      17	0	S	
10:52	   15.80	      10	0	B	
10:53	   15.80	       9	0	B	
10:53	   15.80	       0	0	B	
10:53	   15.80	       9	0	S	
10:54	   15.80	       3	0	B	
10:54	   15.88	       1	0	B	
10:56	   15.76	      19	0	S	
10:56	   15.88	       1	0	B	
11:01	   15.80	      10	0	S	
11:02	   15.80	       4	0	B	
11:03	   15.80	       5	0	S	
11:04	   15.80	       5	0	B	
11:05	   15.76	      90	0	S	
11:05	   15.75	      42	0	S	
11:06	   15.75	       5	0	B	
11:06	   15.75	       3	0	B	
11:06	   15.70	     110	0	S	
11:07	   15.76	       1	0	B	
11:07	   15.70	      58	0	S	
11:07	   15.70	       5	0	B	
11:07	   15.70	       2	0	B	
11:08	   15.70	       7	0	B	
11:08	   15.70	      64	0	B	
11:08	   15.70	      10	0	B	
11:08	   15.70	      10	0	B	
11:08	   15.70	       2	0	S	
11:08	   15.84	       1	0	B	
11:09	   15.70	      13	0	S	
11:09	   15.70	      20	0	B	
11:10	   15.68	      20	0	S	
11:10	   15.84	       1	0	B	
11:11	   15.80	       9	0	B	
11:13	   15.70	      30	0	S	
11:13	   15.69	       4	0	S	
11:13	   15.69	      50	0	B	
11:14	   15.69	       5	0	B	
11:14	   15.69	       1	0	B	
11:16	   15.80	       1	0	B	
11:21	   15.75	       7	0	B	
11:21	   15.71	      20	0	S	
11:22	   15.73	       6	0	S	
11:24	   15.70	     100	0	S	
11:25	   15.73	      10	0	B	
11:25	   15.70	       8	0	S	
11:26	   15.70	       1	0	S	
11:26	   15.69	      17	0	S	
11:28	   15.69	       5	0	S	
11:28	   15.69	       2	0	B	
11:28	   15.69	       5	0	B	
11:28	   15.69	       1	0	S	
11:28	   15.70	       1	0	B	
13:00	   15.70	      94	0	B	
13:00	   15.73	       1	0	B	
13:00	   15.75	       1	0	B	
13:00	   15.73	       4	0	S	
13:01	   15.73	       1	0	B	
13:01	   15.75	      10	0	B	
13:03	   15.75	       5	0	B	
13:03	   15.75	       9	0	B	
13:03	   15.75	       6	0	B	
13:03	   15.75	      10	0	B	
13:04	   15.75	      26	0	B	
13:04	   15.75	      19	0	B	
13:04	   15.75	       1	0	S	
13:05	   15.75	      40	0	B	
13:05	   15.74	       5	0	S	
13:05	   15.75	      50	0	B	
13:08	   15.74	       1	0	S	
13:09	   15.74	       1	0	S	
13:09	   15.73	       3	0	S	
13:11	   15.75	       2	0	B	
13:11	   15.75	       5	0	B	
13:12	   15.75	      40	0	B	
13:15	   15.79	       1	0	B	
13:17	   15.79	       4	0	B	
13:19	   15.80	       1	0	S	
13:19	   15.84	      10	0	B	
13:23	   15.84	       4	0	B	
13:23	   15.84	      19	0	B	
13:23	   15.84	       6	0	S	
13:24	   15.84	       1	0	B	
13:24	   15.84	       0	0	B	
13:25	   15.84	       7	0	S	
13:25	   15.84	       1	0	S	
13:26	   15.80	       2	0	S	
13:27	   15.80	       2	0	S	
13:27	   15.79	      20	0	S	
13:29	   15.76	      14	0	S	
13:30	   15.76	       5	0	S	
13:31	   15.76	      10	0	S	
13:31	   15.74	      21	0	S	
13:31	   15.73	      19	0	S	
13:32	   15.72	      17	0	S	
13:32	   15.71	      41	0	S	
13:32	   15.70	      16	0	S	
13:32	   15.70	     100	0	S	
13:33	   15.70	     100	0	S	
13:33	   15.70	     358	0	S	
13:33	   15.70	      28	0	S	
13:33	   15.70	      17	0	S	
13:33	   15.71	      20	0	B	
13:33	   15.71	       6	0	B	
13:34	   15.71	       2	0	B	
13:34	   15.71	       9	0	B	
13:34	   15.71	       1	0	B	
13:34	   15.71	       1	0	S	
13:34	   15.78	       1	0	B	
13:34	   15.79	       1	0	B	
13:35	   15.71	       7	0	S	
13:35	   15.71	       1	0	B	
13:35	   15.70	      42	0	S	
13:36	   15.70	      50	0	S	
13:37	   15.73	       2	0	S	
13:37	   15.70	      10	0	S	
13:38	   15.70	      89	0	S	
13:39	   15.69	      11	0	S	
13:39	   15.68	      50	0	S	
13:39	   15.68	      28	0	S	
13:40	   15.67	       3	0	S	
13:40	   15.67	       4	0	S	
13:40	   15.67	      10	0	B	
13:41	   15.66	       5	0	S	
13:42	   15.66	      16	0	S	
13:42	   15.66	      19	0	S	
13:43	   15.68	      13	0	B	
13:43	   15.68	       9	0	B	
13:43	   15.69	       6	0	B	
13:43	   15.69	       8	0	B	
13:45	   15.69	     100	0	S	
13:48	   15.78	       5	0	B	
13:48	   15.70	      10	0	S	
13:50	   15.70	      77	0	S	
13:51	   15.78	       1	0	B	
13:53	   15.69	      65	0	S	
13:56	   15.69	      15	0	S	
13:56	   15.69	       1	0	S	
13:58	   15.70	       1	0	S	
14:00	   15.71	       4	0	S	
14:01	   15.75	      10	0	B	
14:04	   15.77	      58	0	B	
14:05	   15.75	       3	0	S	
14:05	   15.75	      17	0	S	
14:07	   15.74	       1	0	S	
14:08	   15.74	       2	0	S	
14:10	   15.74	       0	0	S	
14:12	   15.73	      10	0	S	
14:13	   15.73	       6	0	S	
14:13	   15.72	      10	0	S	
14:13	   15.74	       1	0	B	
14:13	   15.74	       1	0	S	
14:14	   15.76	      10	0	B	
14:14	   15.76	       8	0	S	
14:16	   15.77	      46	0	B	
14:16	   15.77	       5	0	S	
14:17	   15.77	      10	0	S	
14:19	   15.78	      18	0	B	
14:20	   15.79	       1	0	B	
14:21	   15.79	       2	0	B	
14:22	   15.84	       6	0	B	
14:22	   15.91	      27	0	B	
14:23	   15.91	      21	0	B	
14:23	   15.91	      10	0	S	
14:23	   15.92	       5	0	B	
14:23	   15.91	      22	0	B	
14:23	   15.91	       8	0	S	
14:24	   15.89	       3	0	B	
14:25	   15.88	       2	0	B	
14:25	   15.88	       9	0	B	
14:26	   15.86	      10	0	B	
14:27	   15.80	       1	0	S	
14:27	   15.86	       7	0	B	
14:29	   15.85	       8	0	S	
14:29	   15.85	       1	0	S	
14:31	   15.80	      10	0	S	
14:31	   15.78	      28	0	S	
14:32	   15.85	       3	0	B	
14:32	   15.85	      10	0	S	
14:32	   15.85	       9	0	S	
14:33	   15.77	       2	0	S	
14:34	   15.85	      11	0	B	
14:34	   15.76	       2	0	S	
14:34	   15.76	      23	0	B	
14:36	   15.84	      10	0	B	
14:37	   15.85	       5	0	B	
14:38	   15.85	       4	0	B	
14:38	   15.86	       2	0	B	
14:38	   15.85	      15	0	S	
14:38	   15.81	      20	0	S	
14:39	   15.81	      14	0	B	
14:40	   15.81	       0	0	B	
14:40	   15.80	      20	0	S	
14:41	   15.80	      10	0	B	
14:41	   15.81	       6	0	B	
14:42	   15.84	      28	0	B	
14:42	   15.84	      20	0	S	
14:42	   15.84	       9	0	S	
14:43	   15.84	       1	0	B	
14:43	   15.85	      42	0	B	
14:44	   15.81	       3	0	S	
14:46	   15.81	      10	0	S	
14:48	   15.80	      30	0	S	
14:49	   15.75	      10	0	S	
14:50	   15.75	      10	0	S	
14:50	   15.76	       9	0	S	
14:50	   15.75	      10	0	S	
14:50	   15.76	      10	0	B	
14:50	   15.75	      27	0	S	
14:51	   15.75	       1	0	B	
14:51	   15.73	      10	0	S	
14:51	   15.76	      10	0	B	
14:52	   15.74	       6	0	S	
14:52	   15.73	      12	0	S	
14:52	   15.74	      10	0	S	
14:53	   15.73	      30	0	S	
14:53	   15.73	      53	0	S	
14:53	   15.74	      12	0	B	
14:53	   15.73	      15	0	B	
14:54	   15.70	      50	0	S	
14:55	   15.70	      51	0	S	
14:55	   15.71	       5	0	B	
14:55	   15.71	      61	0	B	
14:55	   15.70	       6	0	B	
14:55	   15.70	       7	0	B	
14:55	   15.70	       1	0	B	
14:55	   15.70	       6	0	B	
14:56	   15.68	      16	0	S	
14:56	   15.68	      30	0	B	
14:56	   15.68	      35	0	B	
14:56	   15.68	       7	0	B	
14:56	   15.66	      31	0	S	
14:56	   15.60	      45	0	S	
14:56	   15.66	      12	0	B	
14:56	   15.62	      13	0	S	
15:00	   15.61	     204	0	
#数据来源:通达信
