                  20221230 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:25	   11.84	       2	0	
09:30	   11.88	      98	0	
09:30	   11.82	      26	0	S	
09:30	   11.88	      44	0	B	
09:30	   11.80	      25	0	S	
09:31	   11.76	       3	0	S	
09:31	   11.75	       5	0	S	
09:31	   11.75	       5	0	B	
09:31	   11.68	      10	0	S	
09:32	   11.68	       3	0	B	
09:32	   11.58	      45	0	S	
09:32	   11.58	      39	0	B	
09:32	   11.58	      95	0	B	
09:32	   11.58	      10	0	B	
09:32	   11.51	      24	0	S	
09:32	   11.58	      93	0	B	
09:32	   11.58	       8	0	B	
09:32	   11.58	      57	0	B	
09:32	   11.58	      10	0	B	
09:33	   11.51	      10	0	S	
09:33	   11.51	      12	0	S	
09:33	   11.51	       5	0	B	
09:33	   11.51	       1	0	B	
09:33	   11.52	      99	0	S	
09:33	   11.52	      17	0	B	
09:33	   11.52	      22	0	B	
09:33	   11.52	      39	0	B	
09:33	   11.52	      16	0	B	
09:33	   11.52	       1	0	B	
09:33	   11.52	     142	0	B	
09:33	   11.52	       2	0	B	
09:34	   11.51	     112	0	S	
09:34	   11.70	       7	0	B	
09:34	   11.52	       5	0	S	
09:35	   11.53	      19	0	S	
09:35	   11.55	       2	0	S	
09:36	   11.55	       8	0	S	
09:36	   11.55	       8	0	B	
09:36	   11.55	      38	0	B	
09:36	   11.54	      25	0	S	
09:36	   11.55	       6	0	B	
09:36	   11.55	       4	0	S	
09:36	   11.55	      13	0	B	
09:37	   11.54	      26	0	S	
09:37	   11.54	       8	0	B	
09:37	   11.54	       1	0	S	
09:39	   11.64	       3	0	S	
09:41	   11.64	       7	0	B	
09:42	   11.64	       8	0	S	
09:42	   11.76	     182	0	B	
09:42	   11.76	      10	0	S	
09:42	   11.77	       5	0	B	
09:42	   11.77	      20	0	S	
09:43	   11.77	       5	0	S	
09:43	   11.76	     135	0	S	
09:43	   11.61	       5	0	S	
09:44	   11.61	      14	0	B	
09:44	   11.61	      11	0	B	
09:45	   11.75	      73	0	B	
09:45	   11.75	      20	0	S	
09:45	   11.76	      17	0	B	
09:45	   11.76	       7	0	B	
09:46	   11.77	      14	0	B	
09:46	   11.79	      18	0	B	
09:46	   11.79	      17	0	B	
09:47	   11.79	      10	0	S	
09:47	   11.79	       5	0	S	
09:47	   11.81	       3	0	B	
09:47	   11.78	      10	0	S	
09:50	   11.70	       5	0	S	
09:50	   11.70	       2	0	B	
09:51	   11.70	       8	0	S	
09:53	   11.72	       1	0	S	
09:56	   11.78	       1	0	B	
09:56	   11.78	       5	0	S	
09:56	   11.78	      15	0	S	
09:59	   11.73	      10	0	S	
10:00	   11.73	      20	0	B	
10:01	   11.70	      39	0	S	
10:02	   11.70	      60	0	B	
10:02	   11.70	       1	0	B	
10:02	   11.65	     232	0	S	
10:03	   11.65	     101	0	B	
10:03	   11.65	      10	0	B	
10:03	   11.77	      17	0	B	
10:06	   11.76	      29	0	B	
10:07	   11.67	      16	0	S	
10:10	   11.67	      34	0	S	
10:11	   11.66	       2	0	S	
10:12	   11.66	      32	0	S	
10:12	   11.66	      13	0	B	
10:14	   11.66	       5	0	B	
10:16	   11.66	      55	0	S	
10:18	   11.62	       2	0	S	
10:18	   11.61	      30	0	S	
10:18	   11.66	      52	0	B	
10:20	   11.61	     161	0	S	
10:20	   11.75	      39	0	B	
10:21	   11.70	       5	0	B	
10:22	   11.63	      20	0	S	
10:23	   11.63	      30	0	S	
10:25	   11.65	     117	0	S	
10:26	   11.61	     174	0	S	
10:26	   11.61	      26	0	B	
10:28	   11.61	       5	0	S	
10:29	   11.61	     109	0	S	
10:29	   11.60	      20	0	S	
10:29	   11.61	       2	0	B	
10:30	   11.61	      14	0	B	
10:30	   11.61	      75	0	B	
10:33	   11.60	      92	0	S	
10:33	   11.58	       3	0	S	
10:34	   11.57	      12	0	S	
10:36	   11.60	      63	0	B	
10:40	   11.60	      10	0	S	
10:42	   11.58	       7	0	S	
10:49	   11.70	      50	0	B	
10:57	   11.58	     166	0	S	
11:03	   11.69	      10	0	B	
11:13	   11.61	       5	0	S	
11:14	   11.58	      79	0	S	
11:17	   11.58	      13	0	S	
11:20	   11.58	      10	0	S	
11:24	   11.66	       5	0	S	
11:29	   11.67	      11	0	B	
13:00	   11.68	      32	0	B	
13:02	   11.68	      74	0	S	
13:03	   11.67	       6	0	S	
13:09	   11.60	      10	0	S	
13:11	   11.60	       2	0	S	
13:15	   11.67	       5	0	B	
13:16	   11.67	       1	0	B	
13:16	   11.67	       0	0	B	
13:17	   11.67	      17	0	B	
13:17	   11.67	       5	0	B	
13:18	   11.67	       3	0	B	
13:20	   11.67	       2	0	B	
13:20	   11.67	       5	0	B	
13:21	   11.67	      10	0	B	
13:23	   11.67	      32	0	B	
13:25	   11.68	       5	0	B	
13:25	   11.68	       4	0	B	
13:26	   11.68	       6	0	S	
13:26	   11.70	      52	0	B	
13:27	   11.70	       5	0	B	
13:29	   11.69	       5	0	B	
13:35	   11.67	       2	0	S	
13:37	   11.66	       4	0	S	
13:37	   11.66	      24	0	S	
13:40	   11.61	      15	0	S	
13:42	   11.67	       1	0	B	
13:43	   11.61	      13	0	S	
13:44	   11.60	      17	0	S	
13:47	   11.61	       5	0	B	
13:48	   11.61	      23	0	S	
13:49	   11.65	       5	0	B	
13:49	   11.66	      52	0	B	
13:55	   11.66	       5	0	B	
13:58	   11.66	       3	0	B	
13:58	   11.62	      10	0	S	
13:59	   11.61	      15	0	S	
13:59	   11.61	       1	0	B	
14:01	   11.61	       5	0	B	
14:03	   11.60	      10	0	S	
14:04	   11.60	       6	0	S	
14:06	   11.60	      45	0	S	
14:08	   11.60	      19	0	S	
14:09	   11.58	      35	0	S	
14:14	   11.58	       1	0	S	
14:14	   11.62	      50	0	B	
14:14	   11.58	       3	0	S	
14:15	   11.62	       1	0	B	
14:15	   11.62	       1	0	B	
14:19	   11.62	       4	0	B	
14:20	   11.62	      73	0	B	
14:21	   11.66	       5	0	B	
14:25	   11.62	      20	0	S	
14:26	   11.58	      20	0	S	
14:28	   11.58	       5	0	B	
14:28	   11.57	      42	0	S	
14:29	   11.66	     100	0	B	
14:29	   11.56	      36	0	S	
14:29	   11.56	      10	0	B	
14:29	   11.56	       4	0	B	
14:32	   11.64	       2	0	B	
14:34	   11.64	       1	0	B	
14:35	   11.65	      62	0	B	
14:42	   11.59	       5	0	S	
14:45	   11.65	      54	0	B	
14:46	   11.66	       8	0	B	
14:47	   11.65	      30	0	S	
14:47	   11.62	       7	0	S	
14:49	   11.61	       7	0	S	
14:49	   11.61	      12	0	B	
14:49	   11.60	      26	0	S	
14:49	   11.60	      10	0	B	
14:50	   11.60	     150	0	B	
14:50	   11.65	     103	0	B	
14:50	   11.66	      67	0	S	
14:50	   11.66	      10	0	S	
14:51	   11.66	      56	0	S	
14:51	   11.66	      10	0	S	
14:53	   11.66	      31	0	S	
14:54	   11.66	      20	0	S	
14:54	   11.66	      18	0	S	
14:54	   11.66	     108	0	S	
14:55	   11.66	      10	0	S	
14:55	   11.66	      16	0	S	
14:56	   11.66	      86	0	S	
14:56	   11.66	      34	0	B	
15:00	   11.66	     100	0	
#数据来源:通达信
