                  20230404 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:25	   10.48	      17	0	
09:32	   10.42	       2	0	S	
09:34	   10.42	       5	0	S	
09:34	   10.42	       8	0	S	
09:35	   10.42	      10	0	B	
09:36	   10.42	      25	0	B	
09:36	   10.42	      10	0	B	
09:38	   10.42	       1	0	S	
09:47	   10.45	       5	0	S	
09:47	   10.44	      10	0	S	
09:51	   10.51	       5	0	B	
09:51	   10.51	      29	0	S	
09:54	   10.46	      30	0	S	
09:55	   10.45	      43	0	S	
09:55	   10.45	      14	0	S	
09:55	   10.45	      12	0	B	
09:58	   10.46	      10	0	S	
10:00	   10.47	       3	0	S	
10:01	   10.47	       4	0	S	
10:05	   10.46	      26	0	S	
10:06	   10.46	       2	0	S	
10:06	   10.47	       2	0	B	
10:14	   10.45	      35	0	S	
10:22	   10.50	      22	0	B	
10:26	   10.51	      10	0	B	
10:29	   10.51	      20	0	B	
10:37	   10.51	       1	0	S	
10:39	   10.51	      14	0	S	
10:40	   10.51	       1	0	S	
10:50	   10.50	       1	0	S	
10:56	   10.49	       2	0	S	
11:09	   10.50	       2	0	B	
11:11	   10.50	       2	0	B	
11:16	   10.46	      15	0	S	
11:28	   10.46	      14	0	S	
13:00	   10.50	      14	0	B	
13:00	   10.50	       6	0	S	
13:01	   10.45	      19	0	S	
13:03	   10.45	      18	0	S	
13:04	   10.45	       2	0	S	
13:04	   10.45	       1	0	S	
13:05	   10.45	       4	0	S	
13:07	   10.51	       2	0	B	
13:16	   10.45	      50	0	S	
13:17	   10.51	       2	0	B	
13:21	   10.45	      50	0	S	
13:22	   10.44	      46	0	S	
13:23	   10.44	       4	0	B	
13:23	   10.51	       1	0	B	
13:24	   10.51	       2	0	B	
13:29	   10.44	      37	0	S	
13:30	   10.44	       3	0	B	
13:31	   10.43	      26	0	S	
13:31	   10.43	      14	0	B	
13:31	   10.51	       1	0	B	
13:36	   10.44	       5	0	S	
13:36	   10.44	       2	0	B	
13:36	   10.50	       1	0	B	
13:49	   10.43	      44	0	S	
13:50	   10.50	       1	0	B	
13:50	   10.50	      10	0	B	
13:56	   10.43	      56	0	S	
13:57	   10.49	       1	0	B	
14:14	   10.44	       5	0	S	
14:15	   10.49	      15	0	B	
14:17	   10.44	       4	0	S	
14:18	   10.49	       1	0	B	
14:19	   10.44	       6	0	S	
14:19	   10.44	       5	0	B	
14:20	   10.49	       1	0	B	
14:26	   10.43	       1	0	S	
14:27	   10.49	       1	0	B	
14:37	   10.45	       1	0	S	
14:38	   10.45	       5	0	B	
14:40	   10.45	       1	0	B	
14:41	   10.49	       1	0	B	
14:46	   10.43	      46	0	S	
14:47	   10.49	       2	0	B	
14:55	   10.47	       1	0	S	
15:00	   10.42	      44	0	
#数据来源:通达信
