                  20231206 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:25	   14.97	    4325	0	
09:30	   15.00	    3564	0	B	
09:30	   15.10	    1415	0	B	
09:30	   15.01	     349	0	S	
09:30	   15.19	     746	0	B	
09:30	   15.00	     593	0	S	
09:30	   14.98	     565	0	S	
09:30	   15.30	    1741	0	B	
09:30	   15.29	    1187	0	S	
09:30	   15.01	     120	0	S	
09:30	   15.60	     217	0	B	
09:30	   15.50	      68	0	S	
09:30	   15.65	     254	0	B	
09:30	   15.76	     772	0	B	
09:30	   15.76	      61	0	B	
09:30	   15.77	      94	0	B	
09:30	   15.76	     156	0	S	
09:30	   15.76	     439	0	S	
09:30	   15.77	     397	0	S	
09:30	   15.78	     783	0	S	
09:31	   15.88	     200	0	B	
09:31	   15.78	     863	0	S	
09:31	   15.88	     507	0	B	
09:31	   15.92	    1085	0	B	
09:31	   15.94	     288	0	B	
09:31	   15.99	     254	0	B	
09:31	   15.96	    1111	0	
09:31	   15.98	     510	0	B	
09:31	   15.97	     979	0	S	
09:31	   15.99	     636	0	B	
09:31	   15.80	     429	0	S	
09:31	   15.98	     471	0	B	
09:31	   15.96	     397	0	B	
09:31	   15.99	     466	0	B	
09:31	   15.96	     541	0	S	
09:31	   15.98	     532	0	B	
09:31	   16.00	    1165	0	B	
09:31	   15.97	     525	0	S	
09:31	   16.00	     400	0	B	
09:31	   16.00	     201	0	B	
09:32	   16.00	      95	0	S	
09:32	   16.08	     120	0	B	
09:32	   16.20	      43	0	B	
09:32	   16.23	     613	0	
09:32	   16.23	      53	0	S	
09:32	   16.26	      66	0	B	
09:32	   16.09	     236	0	S	
09:32	   16.20	     283	0	B	
09:32	   16.13	      83	0	B	
09:32	   16.17	     234	0	B	
09:32	   16.25	     322	0	B	
09:32	   16.20	     105	0	S	
09:32	   16.20	     274	0	S	
09:32	   16.34	     398	0	B	
09:32	   16.20	     486	0	S	
09:32	   16.19	      41	0	S	
09:32	   16.36	     151	0	B	
09:32	   16.10	     253	0	S	
09:32	   16.10	     157	0	B	
09:32	   15.99	     159	0	S	
09:33	   16.01	     389	0	B	
09:33	   16.00	      86	0	B	
09:33	   16.00	     627	0	B	
09:33	   15.82	     106	0	S	
09:33	   15.77	     111	0	S	
09:33	   16.04	     728	0	B	
09:33	   15.95	     617	0	S	
09:33	   15.97	      33	0	B	
09:33	   15.95	     173	0	B	
09:33	   16.04	      54	0	B	
09:33	   16.08	     153	0	B	
09:33	   16.04	      59	0	B	
09:33	   16.09	     189	0	B	
09:33	   16.05	     119	0	S	
09:33	   16.00	     415	0	S	
09:33	   16.04	     315	0	B	
09:33	   16.08	     110	0	B	
09:33	   16.00	      10	0	S	
09:33	   16.05	      82	0	B	
09:33	   16.05	      38	0	B	
09:34	   16.08	      37	0	B	
09:34	   15.97	     410	0	S	
09:34	   16.04	     166	0	B	
09:34	   16.07	      79	0	B	
09:34	   16.04	      37	0	S	
