                  20231221 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:25	   13.94	     135	0	
09:30	   14.07	      69	0	B	
09:30	   13.94	     196	0	S	
09:30	   13.95	      12	0	B	
09:30	   13.94	      42	0	S	
09:30	   14.08	      41	0	B	
09:30	   13.96	      16	0	S	
09:30	   14.08	      41	0	B	
09:30	   14.08	     177	0	B	
09:30	   14.08	      12	0	S	
09:30	   14.09	      20	0	B	
09:30	   14.10	      41	0	B	
09:31	   14.10	      11	0	B	
09:31	   14.00	      70	0	S	
09:31	   14.08	      25	0	B	
09:31	   14.08	       2	0	B	
09:31	   14.08	       1	0	B	
09:32	   14.08	      17	0	B	
09:32	   14.05	      30	0	S	
09:32	   14.05	       6	0	B	
09:32	   14.02	      60	0	S	
09:32	   14.02	       2	0	B	
09:32	   14.02	       7	0	B	
09:32	   14.00	     275	0	S	
09:32	   14.00	       2	0	B	
09:32	   13.98	       5	0	S	
09:32	   13.98	       2	0	B	
09:32	   13.96	       4	0	S	
09:33	   13.95	       7	0	S	
09:33	   13.95	       1	0	B	
09:33	   13.95	       2	0	B	
09:33	   13.95	      10	0	B	
09:33	   13.94	       5	0	S	
09:33	   13.95	       2	0	B	
09:33	   13.95	      17	0	S	
09:33	   13.95	      11	0	S	
09:33	   13.92	      29	0	S	
09:33	   13.92	      17	0	S	
09:33	   13.92	      13	0	S	
09:33	   13.92	      63	0	S	
09:34	   13.92	      10	0	S	
09:34	   13.90	     100	0	S	
09:34	   13.92	      10	0	B	
09:34	   13.91	       5	0	B	
09:34	   13.90	      21	0	S	
09:34	   13.92	      65	0	B	
09:34	   13.92	      47	0	B	
09:34	   13.92	       7	0	B	
09:34	   13.91	       4	0	S	
09:34	   13.91	      71	0	B	
09:34	   13.91	     102	0	B	
09:34	   13.91	      30	0	S	
09:34	   13.91	      94	0	S	
09:35	   13.91	       9	0	S	
09:35	   13.92	      39	0	B	
09:35	   13.92	       5	0	S	
09:35	   13.95	      20	0	B	
09:35	   13.95	      10	0	B	
09:35	   13.90	      20	0	S	
09:35	   13.91	       1	0	S	
09:36	   13.90	      14	0	S	
09:36	   13.90	      19	0	B	
09:36	   13.86	      59	0	S	
09:36	   13.87	      12	0	S	
09:36	   13.86	      34	0	S	
09:36	   13.92	       8	0	B	
09:36	   13.86	      90	0	S	
09:36	   13.87	     114	0	B	
09:36	   13.86	      22	0	S	
09:36	   13.86	      33	0	B	
09:36	   13.86	      63	0	B	
09:36	   13.86	     125	0	B	
09:37	   13.86	      11	0	S	
09:37	   13.86	       8	0	S	
09:37	   13.87	       1	0	B	
09:37	   13.87	       5	0	B	
09:37	   13.86	      54	0	S	
09:37	   13.86	      10	0	B	
09:37	   13.85	      20	0	S	
09:37	   13.86	      25	0	B	
09:37	   13.85	      32	0	S	
09:37	   13.86	       5	0	B	
09:37	   13.87	      15	0	B	
09:37	   13.87	      38	0	B	
09:37	   13.87	      31	0	S	
09:38	   14.07	      17	0	B	
09:38	   14.07	       6	0	B	
09:38	   13.88	       5	0	S	
09:38	   14.07	       5	0	B	
09:38	   13.89	      17	0	S	
09:38	   13.89	       3	0	B	
09:39	   14.06	       1	0	B	
09:39	   14.06	       4	0	S	
09:39	   14.06	      16	0	B	
09:39	   14.06	       4	0	S	
09:39	   13.93	       0	0	S	
09:40	   14.06	      20	0	B	
09:40	   14.06	       8	0	B	
09:40	   14.06	      28	0	B	
09:40	   14.06	       1	0	B	
09:40	   14.06	       2	0	S	
09:41	   14.06	       1	0	B	
09:41	   13.99	       3	0	S	
09:41	   13.95	     150	0	S	
09:41	   13.95	       1	0	S	
09:41	   13.95	       5	0	S	
09:41	   14.04	       5	0	B	
09:41	   14.04	      25	0	B	
09:41	   14.04	      10	0	S	
