                  20240116 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:25	    9.82	       5	0	
09:30	    9.95	      20	0	B	
09:30	    9.95	      16	0	B	
09:30	    9.95	      28	0	B	
09:30	    9.95	       3	0	B	
09:31	    9.95	       4	0	B	
09:31	    9.95	      14	0	S	
09:31	    9.95	      67	0	S	
09:31	    9.95	       2	0	B	
09:31	    9.95	      10	0	B	
09:31	    9.95	       1	0	B	
09:31	    9.95	       9	0	S	
09:32	    9.95	       5	0	B	
09:32	    9.95	       2	0	B	
09:32	    9.86	      13	0	S	
09:32	    9.86	       1	0	B	
09:32	    9.86	      29	0	B	
09:33	    9.95	       9	0	B	
09:33	    9.97	       2	0	B	
09:33	    9.97	       3	0	B	
09:33	    9.97	      30	0	B	
09:33	    9.95	       1	0	S	
09:34	    9.95	       9	0	B	
09:34	    9.95	       9	0	S	
09:34	    9.97	       2	0	B	
09:34	    9.98	      11	0	B	
09:34	    9.98	      76	0	B	
09:34	    9.97	       9	0	S	
09:34	    9.98	       6	0	B	
09:34	   10.02	     166	0	B	
09:35	   10.03	       9	0	B	
09:35	   10.05	       1	0	B	
09:35	   10.03	      60	0	S	
09:35	   10.09	       2	0	S	
09:35	   10.17	      51	0	B	
09:35	   10.15	      56	0	B	
09:35	   10.05	      10	0	B	
09:36	   10.05	      48	0	S	
09:36	   10.09	      69	0	B	
09:36	   10.09	      20	0	B	
09:36	   10.05	      25	0	B	
09:36	   10.05	      17	0	B	
09:36	   10.05	       3	0	S	
09:37	   10.05	      12	0	B	
09:37	   10.05	       8	0	S	
09:37	   10.03	       6	0	S	
09:38	    9.97	       1	0	S	
09:38	    9.90	      50	0	S	
09:38	    9.90	       2	0	S	
09:39	    9.90	       1	0	B	
09:39	    9.90	      10	0	B	
09:39	    9.90	       5	0	S	
09:39	    9.89	       5	0	B	
09:39	    9.97	      25	0	B	
09:39	   10.03	      14	0	B	
09:39	   10.03	      19	0	S	
09:39	   10.03	       8	0	S	
09:40	    9.93	      10	0	S	
09:40	   10.00	      30	0	B	
09:40	    9.94	      10	0	S	
09:41	    9.91	      16	0	S	
09:41	    9.93	       7	0	S	
09:41	    9.93	      11	0	S	
09:41	    9.93	      10	0	B	
09:41	    9.91	       2	0	S	
09:42	    9.93	      70	0	B	
09:42	    9.93	      10	0	S	
09:42	    9.91	       3	0	S	
09:43	    9.94	       1	0	S	
09:43	   10.04	      24	0	B	
09:43	   10.04	       0	0	B	
09:43	   10.04	       3	0	S	
09:43	    9.94	       2	0	S	
09:44	    9.94	       2	0	B	
09:45	    9.90	      35	0	S	
09:45	    9.90	       5	0	S	
09:45	    9.90	      14	0	S	
09:45	    9.89	       5	0	S	
