                  20240531 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:25	    8.72	      15	0	
09:35	    8.61	      11	0	S	
09:35	    8.61	      32	0	B	
09:35	    8.69	      60	0	B	
09:38	    8.68	      18	0	B	
09:38	    8.68	       1	0	S	
09:38	    8.68	       6	0	S	
09:39	    8.67	       2	0	B	
09:40	    8.67	      20	0	B	
09:41	    8.67	      28	0	B	
09:45	    8.65	      10	0	S	
09:45	    8.67	       0	0	S	
09:52	    8.70	     100	0	B	
09:52	    8.70	       5	0	B	
09:52	    8.68	      73	0	S	
09:53	    8.70	       1	0	B	
09:54	    8.70	      11	0	B	
09:54	    8.70	       5	0	S	
09:54	    8.70	      13	0	S	
09:54	    8.71	     192	0	B	
09:55	    8.71	       7	0	B	
09:55	    8.71	       5	0	B	
09:56	    8.70	      20	0	S	
09:56	    8.73	      34	0	B	
09:57	    8.73	       1	0	S	
09:57	    8.73	       1	0	B	
09:57	    8.73	       1	0	B	
09:58	    8.74	       2	0	B	
09:58	    8.76	      20	0	B	
09:58	    8.76	      14	0	B	
09:59	    8.75	      10	0	S	
09:59	    8.74	      18	0	S	
10:00	    8.73	       9	0	S	
10:00	    8.73	       0	0	S	
10:06	    8.74	      20	0	B	
10:09	    8.74	      20	0	B	
10:14	    8.73	      13	0	B	
10:14	    8.73	       0	0	B	
10:18	    8.69	      14	0	S	
10:22	    8.69	       7	0	S	
10:22	    8.73	       5	0	B	
10:26	    8.69	      14	0	S	
10:26	    8.69	       4	0	B	
10:28	    8.69	     144	0	B	
10:34	    8.72	       2	0	B	
10:35	    8.69	      45	0	S	
10:35	    8.69	      35	0	B	
10:36	    8.72	       3	0	B	
10:37	    8.69	       7	0	S	
10:40	    8.69	      24	0	S	
10:40	    8.68	       1	0	S	
10:41	    8.69	      10	0	B	
10:43	    8.69	       5	0	B	
10:45	    8.68	       1	0	S	
10:46	    8.69	       2	0	B	
10:47	    8.68	      63	0	S	
10:47	    8.68	       1	0	B	
10:49	    8.67	      52	0	S	
10:51	    8.69	       3	0	B	
10:52	    8.68	       1	0	S	
10:53	    8.68	       2	0	B	
10:54	    8.68	      78	0	B	
10:54	    8.69	       1	0	B	
10:54	    8.67	      65	0	S	
10:58	    8.72	       2	0	B	
11:09	    8.69	      10	0	B	
11:11	    8.70	       3	0	B	
11:11	    8.67	      55	0	S	
11:13	    8.70	       2	0	B	
11:16	    8.68	       8	0	S	
11:21	    8.67	      53	0	S	
11:22	    8.67	       5	0	B	
11:27	    8.67	     100	0	B	
11:28	    8.66	       3	0	S	
11:29	    8.65	      14	0	S	
13:00	    8.65	      11	0	S	
13:05	    8.65	     200	0	B	
13:05	    8.65	       3	0	B	
13:05	    8.65	     200	0	B	
13:05	    8.65	      99	0	B	
13:05	    8.65	      66	0	B	
13:05	    8.65	       9	0	B	
13:06	    8.65	       3	0	B	
13:07	    8.65	       1	0	B	
13:15	    8.65	      35	0	B	
13:16	    8.64	      41	0	S	
13:18	    8.64	       2	0	S	
13:18	    8.63	      13	0	S	
13:19	    8.64	       5	0	B	
13:19	    8.64	      60	0	B	
13:20	    8.64	      10	0	B	
13:21	    8.64	      10	0	B	
13:24	    8.64	       7	0	S	
13:27	    8.64	       6	0	S	
13:27	    8.64	      11	0	B	
13:28	    8.63	      10	0	S	
13:29	    8.64	      10	0	B	
13:29	    8.64	       7	0	B	
13:29	    8.64	       2	0	B	
13:32	    8.64	      17	0	B	
13:35	    8.64	      69	0	S	
13:36	    8.67	       4	0	B	
13:37	    8.69	     263	0	B	
13:38	    8.69	      40	0	S	
13:38	    8.69	      10	0	S	
13:38	    8.69	      87	0	S	
13:40	    8.69	      10	0	B	
13:59	    8.66	      11	0	S	
14:00	    8.66	      89	0	B	
14:03	    8.66	      34	0	S	
14:15	    8.65	      39	0	S	
14:15	    8.65	      10	0	S	
14:16	    8.65	      61	0	S	
14:24	    8.64	       1	0	S	
14:24	    8.64	       3	0	S	
14:25	    8.64	       1	0	S	
14:25	    8.63	       6	0	S	
14:28	    8.63	      12	0	S	
14:31	    8.64	      32	0	B	
14:32	    8.64	       2	0	B	
14:35	    8.61	     102	0	S	
14:38	    8.62	       2	0	S	
14:41	    8.64	       2	0	B	
14:48	    8.63	      26	0	S	
14:49	    8.63	      26	0	B	
14:50	    8.64	      79	0	B	
14:52	    8.63	       5	0	S	
14:53	    8.63	       5	0	B	
14:55	    8.63	      53	0	S	
14:55	    8.64	       1	0	B	
14:56	    8.62	      20	0	S	
14:56	    8.62	     122	0	S	
15:00	    8.64	      37	0	
#数据来源:通达信
