                  20240628 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:25	    8.60	    1087	0	
09:30	    8.61	     285	0	S	
09:30	    8.61	      45	0	S	
09:30	    8.73	      54	0	S	
09:30	    8.73	      13	0	S	
09:30	    8.62	      33	0	S	
09:30	    8.61	      47	0	S	
09:30	    8.62	      35	0	S	
09:30	    8.60	     201	0	S	
09:30	    8.67	      61	0	S	
09:30	    8.71	       6	0	B	
09:30	    8.72	      13	0	B	
09:31	    8.74	      17	0	S	
09:31	    8.74	      17	0	B	
09:31	    8.72	      33	0	S	
09:31	    8.80	      10	0	B	
09:31	    8.72	      65	0	S	
09:31	    8.72	      13	0	S	
09:31	    8.71	      30	0	S	
09:31	    8.70	       2	0	B	
09:31	    8.70	      21	0	B	
09:31	    8.60	      33	0	S	
09:31	    8.60	      29	0	S	
09:31	    8.58	     112	0	S	
09:31	    8.55	     360	0	S	
09:31	    8.55	      98	0	B	
09:32	    8.55	       5	0	B	
09:32	    8.53	       8	0	S	
09:32	    8.50	     246	0	S	
09:32	    8.51	      99	0	S	
09:32	    8.50	     160	0	S	
09:32	    8.49	     167	0	
09:32	    8.51	     232	0	B	
09:32	    8.52	     103	0	B	
09:32	    8.53	      18	0	B	
09:32	    8.53	       2	0	S	
09:32	    8.58	     127	0	B	
09:32	    8.58	     153	0	B	
09:32	    8.63	      69	0	B	
09:32	    8.63	      44	0	B	
09:32	    8.63	     107	0	S	
09:32	    8.63	      49	0	B	
09:32	    8.68	      33	0	B	
09:32	    8.68	       2	0	B	
09:32	    8.69	      45	0	B	
09:33	    8.69	      82	0	S	
09:33	    8.69	      84	0	B	
09:33	    8.69	      34	0	B	
09:33	    8.70	      83	0	B	
09:33	    8.70	      58	0	B	
09:33	    8.71	       3	0	B	
09:33	    8.71	      56	0	B	
09:33	    8.71	      84	0	B	
09:33	    8.71	      97	0	B	
09:33	    8.71	       3	0	S	
09:33	    8.78	      28	0	B	
09:33	    8.78	      28	0	B	
09:33	    8.78	      25	0	B	
09:33	    8.78	       4	0	S	
09:34	    8.80	      30	0	B	
09:34	    8.78	      10	0	B	
09:34	    8.78	      28	0	S	
09:34	    8.78	      28	0	B	
09:34	    8.71	      78	0	S	
09:34	    8.71	      66	0	B	
09:34	    8.71	       9	0	B	
09:34	    8.75	      56	0	B	
09:34	    8.75	      25	0	B	
09:34	    8.75	      15	0	S	
09:35	    8.76	      30	0	B	
09:35	    8.77	      28	0	B	
09:35	    8.76	      54	0	S	
09:35	    8.77	      24	0	B	
09:35	    8.77	       6	0	S	
09:35	    8.75	      66	0	S	
09:35	    8.75	      28	0	B	
09:35	    8.75	      51	0	S	
09:35	    8.75	       5	0	S	
09:35	    8.75	       8	0	B	
09:35	    8.75	       4	0	S	
09:35	    8.78	      28	0	B	
09:35	    8.75	      38	0	B	
09:35	    8.75	      15	0	B	
09:35	    8.78	      28	0	B	
09:35	    8.78	      56	0	B	
09:36	    8.78	       6	0	B	
09:36	    8.80	      20	0	B	
09:36	    8.80	     113	0	B	
09:36	    8.80	      56	0	B	
09:36	    8.80	      60	0	B	
09:36	    8.80	      36	0	S	
09:36	    8.84	      28	0	B	
09:36	    8.84	      85	0	B	
09:36	    8.85	      12	0	B	
09:36	    8.85	       5	0	B	
09:36	    8.87	       2	0	B	
09:36	    8.85	     101	0	S	
09:36	    8.85	      49	0	B	
09:36	    8.88	      14	0	B	
09:36	    8.88	       5	0	B	
09:36	    8.86	      12	0	S	
09:37	    8.88	      20	0	B	
09:37	    8.86	      20	0	S	
09:37	    8.86	      10	0	S	
09:37	    8.88	     100	0	B	
09:37	    8.86	      64	0	S	
09:37	    8.86	      28	0	B	
09:37	    8.85	       4	0	B	
09:37	    8.86	       8	0	B	
09:37	    8.86	      28	0	B	
09:37	    8.85	      26	0	B	
09:37	    8.88	      50	0	B	
09:37	    8.85	       3	0	B	
09:38	    8.85	      10	0	S	
09:38	    8.85	       6	0	S	
09:38	    8.84	       1	0	B	
09:38	    8.85	       2	0	S	
09:38	    8.85	       0	0	S	
09:38	    8.85	       5	0	B	
09:38	    8.85	      51	0	S	
09:39	    8.83	      10	0	B	
09:39	    8.81	      71	0	S	
09:39	    8.80	      10	0	S	
09:39	    8.80	      51	0	S	
09:40	    8.79	      18	0	S	
09:40	    8.80	       7	0	S	
09:40	    8.79	      48	0	S	
09:40	    8.80	       3	0	S	
09:40	    8.80	      10	0	B	
09:41	    8.80	       1	0	B	
09:41	    8.82	      16	0	B	
09:41	    8.82	       3	0	B	
09:41	    8.82	       2	0	B	
09:41	    8.82	       1	0	B	
09:42	    8.78	     105	0	S	
09:42	    8.79	      15	0	S	
09:42	    8.78	     191	0	S	
09:42	    8.80	       2	0	S	
09:42	    8.80	      30	0	S	
09:43	    8.78	      70	0	S	
09:43	    8.79	      29	0	S	
09:43	    8.79	      16	0	S	
09:43	    8.79	      27	0	B	
09:44	    8.74	       9	0	S	
09:44	    8.74	      35	0	S	
09:44	    8.72	      43	0	S	
09:44	    8.72	      44	0	S	
09:44	    8.72	      42	0	S	
09:44	    8.72	      25	0	S	
09:45	    8.72	      11	0	S	
09:45	    8.71	      22	0	S	
09:45	    8.72	      10	0	B	
09:45	    8.70	      75	0	S	
09:45	    8.70	      15	0	B	
09:45	    8.71	       1	0	S	
09:45	    8.71	      12	0	S	
09:45	    8.70	       1	0	S	
09:46	    8.72	     114	0	B	
09:46	    8.72	       2	0	B	
09:46	    8.72	       1	0	B	
09:46	    8.72	       1	0	B	
09:46	    8.72	       1	0	B	
09:46	    8.72	       1	0	B	
09:46	    8.72	       6	0	B	
09:46	    8.72	       3	0	B	
09:47	    8.72	      20	0	B	
09:47	    8.72	       1	0	B	
09:47	    8.72	       1	0	B	
09:47	    8.72	       8	0	B	
09:47	    8.72	       1	0	B	
09:47	    8.71	      11	0	S	
09:47	    8.72	       1	0	B	
09:47	    8.72	       1	0	B	
09:47	    8.71	      17	0	S	
09:47	    8.72	       5	0	B	
09:47	    8.72	      99	0	B	
09:47	    8.72	       4	0	S	
09:48	    8.72	      25	0	B	
09:48	    8.72	      27	0	B	
09:48	    8.72	      28	0	B	
09:48	    8.72	      10	0	B	
09:48	    8.70	      73	0	S	
09:48	    8.70	      28	0	B	
09:48	    8.70	       7	0	B	
09:48	    8.73	       3	0	S	
09:49	    8.73	      15	0	S	
09:49	    8.70	      10	0	S	
09:49	    8.72	      10	0	S	
09:50	    8.72	      12	0	S	
09:50	    8.73	       8	0	S	
09:50	    8.74	      10	0	S	
09:50	    8.73	      11	0	S	
09:51	    8.79	       2	0	B	
09:51	    8.80	      40	0	B	
09:51	    8.80	       1	0	S	
09:51	    8.83	       5	0	B	
09:52	    8.81	       1	0	S	
09:52	    8.83	      11	0	B	
09:52	    8.84	       6	0	B	
09:52	    8.84	      20	0	B	
09:53	    8.84	      54	0	B	
09:53	    8.82	       3	0	S	
09:53	    8.82	      23	0	B	
09:53	    8.82	     100	0	S	
09:54	    8.82	      30	0	S	
09:54	    8.82	       2	0	S	
09:54	    8.82	     138	0	S	
09:54	    8.81	       2	0	S	
09:55	    8.81	       2	0	B	
09:55	    8.80	       9	0	S	
09:56	    8.76	      19	0	S	
09:56	    8.76	      15	0	S	
09:56	    8.73	     131	0	S	
09:57	    8.73	      27	0	S	
09:57	    8.73	      33	0	S	
09:57	    8.73	       1	0	B	
09:57	    8.73	       1	0	B	
09:58	    8.73	       2	0	S	
09:58	    8.80	      28	0	B	
09:58	    8.80	      12	0	S	
09:59	    8.75	       2	0	S	
09:59	    8.76	       4	0	S	
09:59	    8.81	       4	0	B	
09:59	    8.81	       6	0	S	
10:01	    8.76	      30	0	S	
10:01	    8.76	       3	0	S	
10:01	    8.81	       5	0	B	
10:02	    8.76	      28	0	S	
10:02	    8.76	       2	0	B	
10:02	    8.75	      16	0	S	
10:03	    8.81	       1	0	B	
10:03	    8.81	      10	0	B	
10:03	    8.78	      14	0	S	
10:04	    8.78	       3	0	S	
10:04	    8.78	      18	0	B	
10:05	    8.76	      17	0	S	
10:05	    8.73	      52	0	S	
10:06	    8.73	      12	0	S	
10:07	    8.75	       2	0	S	
10:07	    8.75	       2	0	S	
10:07	    8.76	      10	0	B	
10:07	    8.74	      13	0	S	
10:08	    8.76	       4	0	B	
10:08	    8.76	      26	0	B	
10:08	    8.74	      37	0	S	
10:09	    8.73	      80	0	S	
10:09	    8.73	      19	0	S	
10:09	    8.73	      18	0	B	
10:09	    8.73	      45	0	S	
10:10	    8.73	      38	0	B	
10:10	    8.73	      27	0	B	
10:10	    8.72	      60	0	S	
10:10	    8.72	       1	0	S	
10:10	    8.72	       5	0	S	
10:10	    8.72	      72	0	S	
10:10	    8.71	       1	0	S	
10:11	    8.71	     119	0	S	
10:11	    8.70	     128	0	S	
10:11	    8.69	      30	0	S	
10:11	    8.68	      11	0	S	
10:12	    8.68	      10	0	S	
10:12	    8.68	      12	0	S	
10:12	    8.68	      10	0	S	
10:12	    8.69	      10	0	B	
10:12	    8.69	       2	0	B	
10:12	    8.69	      20	0	S	
10:12	    8.70	       4	0	B	
10:13	    8.70	      64	0	B	
10:13	    8.70	      90	0	S	
10:13	    8.69	     124	0	S	
10:13	    8.72	      34	0	B	
10:14	    8.68	      39	0	S	
10:14	    8.63	     233	0	S	
10:14	    8.61	     136	0	S	
10:14	    8.62	       1	0	S	
