                  20240821 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:25	    8.13	     102	0	
09:30	    8.12	     242	0	S	
09:30	    8.11	       1	0	S	
09:30	    8.12	      31	0	B	
09:30	    8.08	      11	0	S	
09:31	    8.08	      57	0	S	
09:31	    8.08	       3	0	B	
09:32	    8.06	     151	0	S	
09:32	    8.08	       8	0	S	
09:32	    8.08	       2	0	S	
09:32	    8.05	      19	0	S	
09:32	    8.05	       3	0	B	
09:33	    8.04	      84	0	S	
09:33	    8.04	      13	0	S	
09:33	    8.04	     100	0	S	
09:33	    8.04	     279	0	S	
09:33	    8.03	      42	0	S	
09:33	    8.03	       6	0	S	
09:34	    8.03	      30	0	B	
09:34	    8.03	      40	0	B	
09:34	    8.03	       3	0	B	
09:34	    7.99	     153	0	S	
09:34	    7.98	      17	0	S	
09:34	    7.99	      49	0	B	
09:34	    7.99	      73	0	S	
09:34	    7.99	     233	0	B	
09:34	    8.00	      36	0	B	
09:34	    8.00	      34	0	B	
09:35	    8.01	       3	0	S	
09:35	    8.02	       5	0	S	
09:35	    8.02	      53	0	B	
09:36	    8.03	      41	0	S	
09:37	    8.04	       0	0	S	
09:38	    8.05	       4	0	S	
09:38	    8.08	       3	0	B	
09:38	    8.08	       2	0	S	
09:39	    8.05	      55	0	S	
09:39	    8.05	      41	0	S	
09:39	    8.04	      22	0	S	
09:39	    8.04	       4	0	S	
09:39	    8.05	      68	0	B	
09:40	    8.04	      70	0	S	
09:40	    8.03	      58	0	S	
09:41	    8.04	      40	0	S	
09:41	    8.04	       1	0	B	
09:42	    8.04	      19	0	B	
09:42	    8.08	      20	0	B	
09:43	    8.05	       4	0	S	
09:44	    8.05	      10	0	S	
09:45	    8.09	      22	0	B	
09:45	    8.09	       6	0	B	
09:45	    8.09	       2	0	B	
09:47	    8.05	      88	0	S	
09:47	    8.05	      12	0	B	
09:48	    8.05	       1	0	S	
09:49	    8.05	      50	0	S	
09:49	    8.05	       8	0	S	
09:49	    8.04	      41	0	S	
09:49	    8.04	      59	0	B	
09:49	    8.04	       0	0	B	
09:50	    8.03	     215	0	S	
09:50	    8.02	     120	0	S	
09:50	    8.02	      32	0	S	
09:50	    8.02	      62	0	B	
09:50	    8.02	      25	0	B	
09:51	    8.04	      15	0	S	
09:52	    8.04	       1	0	S	
09:53	    8.07	       5	0	B	
09:53	    8.05	       2	0	S	
09:54	    8.04	      62	0	S	
09:54	    8.04	      31	0	S	
09:54	    8.04	      16	0	S	
09:54	    8.04	      52	0	B	
09:54	    8.04	       8	0	S	
09:54	    8.04	      40	0	S	
09:55	    8.01	     100	0	S	
09:55	    8.00	     234	0	S	
09:55	    8.01	       3	0	B	
09:55	    8.01	      28	0	B	
