                  20250218 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   16.16	       0	0	
09:17	   16.16	       0	0	
09:20	   16.11	       0	0	
09:21	   16.11	       0	0	
09:21	   16.11	       0	0	
09:22	   16.00	       0	0	
09:22	   16.00	       0	0	
09:23	   16.00	       0	0	
09:23	   16.00	       0	0	
09:23	   16.00	       0	0	
09:23	   16.00	       0	0	
09:24	   16.00	       0	0	
09:24	   16.00	       0	0	
09:24	   16.00	       0	0	
09:24	   16.00	       0	0	
09:24	   16.00	       0	0	
09:24	   16.00	       0	0	
09:24	   16.00	       0	0	
09:24	   16.00	       0	0	
09:24	   16.00	       0	0	
09:24	   16.00	       0	0	
09:24	   15.95	       0	0	
09:25	   16.00	     591	0	
09:30	   15.77	     191	0	S	
09:30	   15.90	     148	0	B	
09:30	   15.80	      12	0	B	
09:30	   15.80	      58	0	B	
09:30	   15.81	       7	0	S	
09:30	   15.81	      32	0	B	
09:30	   15.72	      47	0	S	
09:30	   15.72	       5	0	B	
09:30	   15.65	      56	0	S	
09:30	   15.67	      72	0	B	
09:30	   15.67	      60	0	B	
09:30	   15.67	      72	0	S	
09:30	   15.67	      40	0	S	
09:30	   15.67	      53	0	B	
09:30	   15.55	      82	0	S	
09:30	   15.55	      26	0	B	
09:30	   15.55	      61	0	S	
09:31	   15.53	     131	0	S	
09:31	   15.55	      91	0	B	
09:31	   15.55	      12	0	B	
09:31	   15.61	       6	0	B	
09:31	   15.54	      55	0	S	
09:31	   15.67	      57	0	B	
09:31	   15.67	      44	0	B	
09:31	   15.67	       3	0	B	
09:31	   15.61	       6	0	S	
09:31	   15.67	      41	0	B	
09:31	   15.61	      69	0	S	
09:31	   15.67	       1	0	S	
09:31	   15.56	      58	0	S	
09:31	   15.61	      50	0	S	
09:31	   15.61	     102	0	B	
09:31	   15.61	      38	0	S	
09:31	   15.61	      23	0	S	
09:31	   15.61	      45	0	S	
09:32	   15.66	       3	0	B	
09:32	   15.66	       8	0	B	
09:32	   15.75	       8	0	B	
09:32	   15.75	      20	0	B	
09:32	   15.66	      29	0	S	
09:32	   15.75	     100	0	B	
09:32	   15.87	      15	0	B	
09:32	   15.86	      45	0	S	
09:32	   15.75	      31	0	S	
09:33	   15.66	      28	0	S	
09:33	   15.65	      37	0	S	
09:33	   15.65	       7	0	B	
09:33	   15.65	      14	0	S	
09:33	   15.67	      16	0	B	
09:33	   15.67	      17	0	B	
09:33	   15.73	       5	0	B	
09:33	   15.73	      11	0	B	
09:33	   15.73	      22	0	B	
09:33	   15.67	      24	0	S	
09:34	   15.72	      10	0	B	
09:34	   15.69	      41	0	S	
09:34	   15.73	      17	0	B	
09:34	   15.73	      30	0	B	
09:34	   15.66	      87	0	S	
09:34	   15.70	      69	0	B	
09:34	   15.70	      24	0	B	
09:34	   15.69	       8	0	B	
09:35	   15.65	      36	0	S	
09:35	   15.65	      72	0	S	
09:35	   15.69	       7	0	B	
09:35	   15.69	      31	0	B	
09:35	   15.65	       4	0	S	
09:35	   15.65	      23	0	S	
09:35	   15.66	       3	0	B	
09:35	   15.66	      11	0	B	
09:35	   15.66	       5	0	B	
09:35	   15.66	      22	0	B	
09:35	   15.66	      31	0	S	
09:35	   15.66	      42	0	S	
09:35	   15.69	       3	0	B	
09:35	   15.66	      20	0	S	
09:36	   15.66	       9	0	S	
09:36	   15.65	     215	0	S	
09:36	   15.69	      17	0	B	
09:36	   15.70	      42	0	B	
09:36	   15.82	       2	0	S	
09:36	   15.82	       8	0	B	
09:36	   15.87	       1	0	B	
09:36	   15.88	      37	0	B	
09:36	   15.88	      13	0	S	
09:36	   15.90	      39	0	B	
09:36	   15.79	      16	0	S	
09:36	   15.79	       6	0	B	
09:36	   15.79	       6	0	B	
09:37	   15.72	      38	0	S	
09:37	   15.75	       9	0	B	
09:37	   15.75	      12	0	B	
09:37	   15.70	      37	0	S	
09:37	   15.75	      50	0	B	
09:37	   15.65	       4	0	S	
09:37	   15.72	       4	0	B	
09:37	   15.66	       6	0	S	
09:37	   15.70	      15	0	B	
09:38	   15.70	       2	0	B	
09:38	   15.70	       2	0	B	
09:38	   15.72	      11	0	B	
09:38	   15.72	       2	0	B	
09:38	   15.70	      16	0	S	
09:38	   15.72	       7	0	B	
09:38	   15.72	       1	0	B	
09:38	   15.70	      25	0	S	
09:38	   15.70	      16	0	S	
09:38	   15.70	      14	0	S	
09:38	   15.70	      12	0	S	
09:38	   15.72	      21	0	B	
09:38	   15.70	     168	0	S	
09:38	   15.67	       5	0	S	
09:39	   15.66	      21	0	S	
09:39	   15.66	      35	0	S	
09:39	   15.70	      79	0	B	
09:39	   15.70	     117	0	S	
09:39	   15.72	      37	0	B	
09:39	   15.70	       8	0	S	
09:40	   15.79	      19	0	B	
09:40	   15.72	      10	0	S	
09:40	   15.72	      14	0	B	
09:40	   15.82	       0	0	B	
09:41	   15.60	     796	0	S	
09:41	   15.82	       2	0	B	
09:41	   15.83	      14	0	S	
09:41	   15.83	      20	0	S	
09:41	   15.87	      84	0	B	
09:41	   15.84	      17	0	S	
09:41	   15.84	       5	0	S	
09:41	   15.85	      30	0	S	
09:42	   15.87	       4	0	B	
09:42	   15.80	      35	0	S	
09:42	   15.87	       4	0	S	
09:42	   15.87	      19	0	S	
09:42	   15.80	       5	0	S	
09:42	   15.80	      14	0	B	
09:42	   15.81	      62	0	S	
09:42	   15.81	       0	0	S	
09:42	   15.79	      16	0	B	
09:42	   15.79	      14	0	B	
09:43	   15.79	       6	0	S	
09:43	   15.79	       3	0	B	
09:43	   15.71	       5	0	S	
09:43	   15.71	       5	0	B	
09:44	   15.71	      45	0	B	
09:44	   15.70	       2	0	S	
09:44	   15.68	      18	0	S	
09:44	   15.68	      56	0	S	
09:44	   15.67	      20	0	S	
09:44	   15.67	      14	0	S	
09:44	   15.69	       6	0	B	
09:45	   15.70	       2	0	B	
09:45	   15.70	      64	0	B	
09:45	   15.70	       7	0	B	
09:45	   15.70	      33	0	B	
09:45	   15.70	      11	0	B	
09:45	   15.67	       5	0	S	
09:45	   15.70	       3	0	B	
09:46	   15.70	       6	0	S	
09:46	   15.76	       1	0	B	
09:46	   15.68	      66	0	S	
09:46	   15.68	     136	0	S	
09:46	   15.67	      15	0	S	
09:46	   15.67	       1	0	S	
09:46	   15.68	       1	0	B	
09:47	   15.68	       1	0	B	
09:47	   15.68	      12	0	B	
09:47	   15.68	      26	0	B	
09:47	   15.70	      20	0	B	
09:47	   15.75	      62	0	B	
09:47	   15.69	      18	0	S	
09:47	   15.66	      43	0	S	
09:47	   15.66	      48	0	B	
09:47	   15.66	      24	0	B	
09:47	   15.63	      10	0	S	
09:47	   15.66	       1	0	B	
09:47	   15.63	      40	0	S	
09:48	   15.63	      78	0	B	
09:48	   15.63	      15	0	B	
09:48	   15.63	      59	0	B	
09:48	   15.66	       6	0	B	
09:48	   15.66	      18	0	B	
09:48	   15.66	       0	0	B	
09:48	   15.69	      96	0	B	
09:48	   15.69	       1	0	B	
09:48	   15.75	       1	0	B	
09:48	   15.75	      25	0	B	
09:48	   15.79	      18	0	B	
09:48	   15.75	      80	0	S	
09:48	   15.79	      30	0	B	
09:48	   15.83	      13	0	B	
09:48	   15.85	     116	0	B	
09:48	   15.85	     173	0	B	
09:48	   15.83	      37	0	B	
09:48	   15.83	      49	0	B	
09:48	   15.84	       6	0	B	
09:49	   15.84	      58	0	B	
09:49	   15.84	      10	0	S	
09:49	   15.84	      10	0	S	
09:49	   15.85	       2	0	S	
09:49	   15.80	       5	0	B	
09:49	   15.77	       3	0	S	
09:49	   15.80	      31	0	B	
09:50	   15.77	      41	0	S	
09:50	   15.80	      13	0	B	
09:50	   15.78	      37	0	S	
09:50	   15.78	       7	0	B	
09:50	   15.78	      33	0	B	
09:50	   15.78	       1	0	B	
09:50	   15.78	      32	0	B	
09:50	   15.78	      21	0	B	
09:50	   15.80	       6	0	B	
09:50	   15.80	      45	0	B	
09:50	   15.80	      59	0	B	
09:50	   15.78	      17	0	S	
09:50	   15.80	      88	0	B	
09:50	   15.80	      29	0	B	
09:51	   15.80	      80	0	B	
09:51	   15.80	      11	0	B	
09:51	   15.82	      14	0	B	
09:51	   15.83	      47	0	B	
09:51	   15.86	      26	0	B	
09:51	   15.87	      26	0	B	
09:51	   15.88	      45	0	B	
09:51	   15.89	      10	0	B	
09:51	   15.90	      21	0	B	
09:51	   15.91	      10	0	S	
09:51	   15.91	       2	0	S	
09:52	   15.95	      45	0	S	
09:52	   15.95	       7	0	S	
09:52	   15.97	      25	0	B	
09:52	   15.97	       2	0	B	
09:52	   15.95	     152	0	S	
