                  20250224 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:21	   16.00	       0	0	
09:22	   16.00	       0	0	
09:22	   16.00	       0	0	
09:22	   16.00	       0	0	
09:22	   16.00	       0	0	
09:22	   16.00	       0	0	
09:23	   16.00	       0	0	
09:23	   16.00	       0	0	
09:24	   16.00	       0	0	
09:24	   15.99	       0	0	
09:24	   15.99	       0	0	
09:24	   15.98	       0	0	
09:24	   15.94	       0	0	
09:24	   15.98	       0	0	
09:24	   15.98	       0	0	
09:24	   15.98	       0	0	
09:24	   15.94	       0	0	
09:25	   15.94	     209	0	
09:30	   15.80	      27	0	S	
09:30	   15.80	       3	0	S	
09:30	   15.81	      46	0	S	
09:30	   15.80	      14	0	S	
09:30	   15.81	      37	0	S	
09:30	   15.80	       2	0	B	
09:30	   15.78	      76	0	S	
09:30	   15.76	      64	0	S	
09:30	   15.76	      43	0	B	
09:30	   15.63	       5	0	S	
09:30	   15.70	       2	0	S	
09:30	   15.72	       2	0	S	
09:30	   15.77	       5	0	B	
09:30	   15.80	       7	0	B	
09:30	   15.70	      43	0	S	
09:31	   15.64	       3	0	S	
09:31	   15.64	       1	0	S	
09:31	   15.67	       8	0	S	
09:31	   15.70	      30	0	B	
09:31	   15.70	     126	0	B	
09:31	   15.72	       7	0	B	
09:31	   15.80	       5	0	B	
09:31	   15.81	      19	0	B	
09:31	   15.81	      37	0	B	
09:31	   15.81	       3	0	B	
09:31	   15.81	       8	0	B	
09:31	   15.72	      68	0	S	
09:32	   15.72	      44	0	B	
09:32	   15.72	      27	0	B	
09:32	   15.72	      13	0	B	
09:32	   15.72	      10	0	B	
09:32	   15.81	       6	0	B	
09:32	   15.72	       2	0	S	
09:32	   15.72	       1	0	B	
09:32	   15.72	      23	0	S	
09:33	   15.69	      14	0	B	
09:33	   15.69	      10	0	B	
09:33	   15.69	       3	0	B	
09:33	   15.69	       6	0	S	
09:33	   15.67	      50	0	S	
09:33	   15.67	       6	0	S	
09:33	   15.69	      64	0	B	
09:33	   15.69	      20	0	B	
09:33	   15.69	       2	0	B	
09:34	   15.69	      58	0	B	
09:34	   15.69	       0	0	B	
09:34	   15.72	       7	0	B	
09:34	   15.72	      41	0	B	
09:34	   15.68	      50	0	S	
09:34	   15.80	      10	0	B	
09:34	   15.81	       6	0	B	
09:34	   15.90	      27	0	B	
09:34	   15.80	      61	0	S	
09:34	   16.00	     479	0	B	
09:35	   15.81	      61	0	B	
09:35	   15.71	      50	0	S	
09:35	   15.81	      80	0	B	
09:35	   15.87	      46	0	
09:35	   15.87	       4	0	S	
