                  20250226 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   15.70	       0	0	
09:17	   15.70	       0	0	
09:21	   15.49	       0	0	
09:22	   15.49	       0	0	
09:23	   15.46	       0	0	
09:24	   15.43	       0	0	
09:24	   15.46	       0	0	
09:24	   15.43	       0	0	
09:24	   15.46	       0	0	
09:24	   15.46	       0	0	
09:24	   15.60	       0	0	
09:25	   15.60	      78	0	
09:30	   15.48	      35	0	S	
09:30	   15.58	       9	0	B	
09:30	   15.47	      13	0	S	
09:30	   15.57	       5	0	B	
09:30	   15.57	      50	0	S	
09:30	   15.57	       8	0	B	
09:30	   15.53	       4	0	S	
09:30	   15.53	       2	0	B	
09:31	   15.48	      30	0	S	
09:31	   15.48	       5	0	B	
09:31	   15.48	      66	0	B	
09:31	   15.55	      12	0	S	
09:31	   15.55	       1	0	B	
09:31	   15.47	      30	0	S	
09:31	   15.54	       3	0	B	
09:31	   15.55	      10	0	B	
09:31	   15.55	      28	0	B	
09:31	   15.55	      15	0	S	
09:31	   15.55	      22	0	S	
09:31	   15.55	       2	0	B	
09:31	   15.57	      20	0	B	
09:31	   15.57	       2	0	B	
09:32	   15.49	       5	0	S	
09:32	   15.47	       4	0	S	
09:32	   15.49	       5	0	B	
09:32	   15.49	       4	0	B	
09:32	   15.49	       6	0	S	
09:32	   15.46	      39	0	S	
09:32	   15.45	      40	0	S	
09:32	   15.45	      21	0	S	
09:33	   15.46	      26	0	B	
09:33	   15.45	      10	0	S	
09:33	   15.45	       7	0	S	
09:33	   15.45	      11	0	S	
09:33	   15.46	       1	0	B	
09:34	   15.53	       2	0	B	
09:34	   15.52	       3	0	S	
09:34	   15.52	      10	0	B	
09:35	   15.53	      28	0	B	
09:35	   15.50	       6	0	S	
09:36	   15.50	       1	0	S	
09:36	   15.45	       2	0	S	
09:36	   15.45	       1	0	S	
09:38	   15.45	       3	0	S	
09:38	   15.45	       6	0	S	
09:38	   15.41	       1	0	S	
09:38	   15.41	       4	0	S	
09:38	   15.41	      24	0	S	
09:38	   15.40	      28	0	S	
09:38	   15.35	       2	0	S	
09:38	   15.35	       1	0	S	
09:38	   15.34	       2	0	S	
09:38	   15.34	      31	0	B	
09:38	   15.34	       4	0	B	
09:38	   15.34	      11	0	B	
09:39	   15.32	       6	0	S	
09:39	   15.37	       9	0	B	
09:39	   15.37	       3	0	B	
09:39	   15.32	      51	0	S	
09:39	   15.30	      40	0	S	
09:39	   15.37	       8	0	B	
09:39	   15.37	       5	0	B	
09:40	   15.34	       3	0	S	
09:40	   15.37	       7	0	S	
09:40	   15.36	       1	0	B	
09:40	   15.44	       3	0	B	
09:40	   15.44	      50	0	S	
09:40	   15.36	       3	0	S	
09:41	   15.38	       3	0	S	
09:41	   15.38	       1	0	S	
09:41	   15.38	       0	0	S	
09:41	   15.36	      13	0	S	
09:41	   15.42	      41	0	B	
09:41	   15.45	      21	0	B	
09:41	   15.44	       9	0	B	
09:42	   15.42	      59	0	S	
09:43	   15.43	       1	0	S	
09:43	   15.42	       0	0	S	
09:43	   15.42	       5	0	B	
09:44	   15.40	       5	0	B	
09:45	   15.38	       2	0	S	
09:45	   15.40	       8	0	B	
09:45	   15.39	      17	0	S	
09:45	   15.42	      30	0	B	
09:45	   15.39	       9	0	S	
09:45	   15.39	      26	0	B	
09:45	   15.39	       6	0	B	
09:45	   15.39	       3	0	B	
09:45	   15.39	       1	0	B	
09:45	   15.42	      30	0	B	
09:45	   15.45	       1	0	B	
09:46	   15.45	      20	0	B	
09:46	   15.49	      12	0	B	
09:46	   15.49	      10	0	B	
09:46	   15.49	      33	0	B	
09:46	   15.47	       6	0	S	
09:46	   15.49	      29	0	B	
09:46	   15.52	       8	0	B	
09:47	   15.47	       2	0	S	
09:47	   15.40	      28	0	B	
09:48	   15.49	       8	0	B	
09:48	   15.49	       5	0	B	
09:49	   15.48	       5	0	B	
09:49	   15.42	      50	0	S	
09:49	   15.48	       2	0	B	
09:49	   15.48	       3	0	B	
09:50	   15.48	       1	0	B	
09:50	   15.48	       2	0	B	
09:50	   15.50	      14	0	B	
09:50	   15.50	      16	0	B	
09:50	   15.51	       7	0	S	
09:51	   15.45	      16	0	S	
09:53	   15.45	       5	0	S	
09:53	   15.46	       2	0	S	
09:53	   15.45	       9	0	S	
09:53	   15.47	       4	0	B	
09:54	   15.50	      10	0	B	
09:54	   15.47	      19	0	S	
09:55	   15.43	      13	0	S	
09:55	   15.44	       1	0	S	
09:55	   15.44	       9	0	S	
09:55	   15.42	     126	0	S	
09:55	   15.41	       5	0	S	
09:55	   15.41	       1	0	S	
09:55	   15.41	       5	0	B	
09:55	   15.40	     151	0	S	
09:55	   15.39	      16	0	S	
09:56	   15.40	      28	0	B	
09:56	   15.38	       2	0	B	
09:56	   15.40	      21	0	B	
09:56	   15.40	      37	0	B	
09:56	   15.40	     111	0	B	
09:56	   15.40	       4	0	B	
09:56	   15.44	      12	0	B	
09:57	   15.50	       2	0	B	
09:57	   15.49	       7	0	B	
09:57	   15.50	      14	0	B	
09:57	   15.50	      36	0	B	
09:57	   15.50	      48	0	B	
09:57	   15.52	      28	0	B	
09:57	   15.52	       4	0	B	
09:57	   15.56	     116	0	B	
09:57	   15.56	      45	0	B	
09:57	   15.56	      88	0	S	
09:57	   15.59	      62	0	B	
09:57	   15.59	      45	0	S	
09:58	   15.57	     142	0	B	
09:58	   15.50	      32	0	B	
09:58	   15.50	      18	0	B	
09:59	   15.54	      63	0	B	
09:59	   15.54	       2	0	S	
09:59	   15.56	       9	0	B	
09:59	   15.48	      11	0	S	
09:59	   15.56	      13	0	B	
09:59	   15.60	      24	0	B	
09:59	   15.60	      50	0	B	
09:59	   15.56	       8	0	S	
09:59	   15.56	      12	0	B	
09:59	   15.61	      24	0	B	
09:59	   15.58	       4	0	B	
09:59	   15.58	       5	0	S	
10:00	   15.60	      20	0	B	
10:00	   15.60	      50	0	B	
10:00	   15.61	      33	0	B	
10:01	   15.61	       7	0	S	
10:01	   15.61	      20	0	B	
10:01	   15.60	      11	0	S	
10:01	   15.60	       9	0	S	
10:02	   15.60	      63	0	B	
10:02	   15.60	      25	0	S	
10:02	   15.60	      33	0	S	
10:02	   15.60	      26	0	S	
10:02	   15.60	      10	0	S	
10:02	   15.58	       2	0	S	
10:03	   15.60	      13	0	B	
10:04	   15.50	      30	0	S	
10:04	   15.58	      12	0	B	
10:04	   15.50	       2	0	S	
10:05	   15.47	      12	0	S	
10:05	   15.48	       6	0	S	
10:06	   15.47	       7	0	S	
10:06	   15.48	      30	0	B	
10:06	   15.48	      23	0	B	
10:07	   15.47	       7	0	S	
10:07	   15.47	     163	0	B	
10:07	   15.45	       7	0	S	
10:07	   15.41	      22	0	S	
10:07	   15.42	     103	0	B	
10:07	   15.42	      18	0	B	
10:08	   15.45	       4	0	B	
10:08	   15.40	     125	0	S	
10:08	   15.40	       5	0	S	
10:08	   15.40	      35	0	B	
10:08	   15.40	      60	0	B	
10:09	   15.40	     130	0	S	
10:09	   15.40	       2	0	S	
10:09	   15.38	      17	0	S	
10:11	   15.39	      15	0	S	
10:11	   15.39	      18	0	S	
10:12	   15.47	       4	0	B	
10:12	   15.39	       1	0	S	
10:12	   15.40	      80	0	S	
