                  20250228 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   15.39	       0	0	
09:20	   15.39	       0	0	
09:20	   15.35	       0	0	
09:22	   15.35	       0	0	
09:22	   15.35	       0	0	
09:23	   15.35	       0	0	
09:23	   15.35	       0	0	
09:25	   15.35	      55	0	
09:30	   15.35	      23	0	S	
09:30	   15.32	      14	0	B	
09:30	   15.32	       6	0	B	
09:30	   15.30	      21	0	B	
09:30	   15.30	       5	0	B	
09:30	   15.30	       6	0	S	
09:31	   15.30	       4	0	B	
09:31	   15.28	      43	0	S	
09:31	   15.32	      13	0	B	
09:31	   15.31	       6	0	S	
09:31	   15.28	      32	0	S	
09:31	   15.28	      14	0	S	
09:32	   15.29	     112	0	B	
09:32	   15.28	       2	0	S	
09:32	   15.28	      18	0	B	
09:32	   15.28	       1	0	S	
09:32	   15.28	       7	0	S	
09:32	   15.28	       1	0	B	
09:32	   15.29	       4	0	B	
09:33	   15.30	       5	0	B	
09:33	   15.32	       1	0	B	
09:34	   15.32	       1	0	B	
09:34	   15.32	       1	0	B	
09:34	   15.30	      12	0	S	
09:35	   15.29	       2	0	S	
09:35	   15.27	       1	0	S	
09:35	   15.24	      15	0	S	
09:35	   15.23	      10	0	S	
09:36	   15.25	       1	0	B	
09:36	   15.25	       2	0	B	
09:36	   15.24	      12	0	S	
09:36	   15.24	       2	0	B	
09:36	   15.24	       1	0	B	
09:36	   15.24	      30	0	B	
09:36	   15.24	       4	0	S	
09:36	   15.25	       1	0	B	
09:36	   15.24	      19	0	S	
09:37	   15.25	       9	0	S	
09:37	   15.25	       1	0	S	
09:38	   15.25	      10	0	S	
09:38	   15.25	       2	0	S	
09:39	   15.25	      15	0	S	
09:39	   15.25	      10	0	B	
09:39	   15.24	      82	0	S	
09:39	   15.24	      39	0	S	
09:39	   15.24	      20	0	B	
09:39	   15.23	      27	0	S	
09:40	   15.22	     198	0	S	
09:40	   15.22	       0	0	S	
09:40	   15.19	       8	0	S	
09:40	   15.19	      10	0	B	
09:40	   15.18	       2	0	S	
09:40	   15.17	       3	0	S	
09:40	   15.17	      17	0	S	
09:40	   15.16	      20	0	S	
09:40	   15.05	      51	0	S	
09:41	   15.07	       1	0	S	
09:41	   15.17	       4	0	B	
09:41	   15.17	       1	0	B	
09:41	   15.21	      18	0	S	
09:41	   15.20	      38	0	B	
09:41	   15.20	      19	0	S	
09:41	   15.20	       0	0	S	
09:42	   15.24	      32	0	B	
09:42	   15.23	      19	0	S	
09:42	   15.23	       6	0	B	
09:42	   15.24	      12	0	B	
09:42	   15.24	       8	0	B	
09:42	   15.23	       3	0	B	
09:42	   15.10	       0	0	B	
09:43	   15.12	      20	0	S	
09:43	   15.23	       1	0	B	
09:43	   15.14	      50	0	S	
09:43	   15.23	       4	0	B	
09:43	   15.13	      22	0	S	
09:43	   15.23	       1	0	B	
09:44	   15.13	      15	0	S	
09:44	   15.23	      36	0	B	
09:44	   15.23	       1	0	B	
09:44	   15.23	      14	0	B	
09:44	   15.23	       7	0	B	
09:44	   15.23	       2	0	B	
09:44	   15.13	       3	0	S	
09:44	   15.22	      17	0	B	
09:44	   15.22	       1	0	B	
09:44	   15.22	      32	0	B	
09:44	   15.22	       3	0	B	
09:44	   15.22	       2	0	B	
09:45	   15.12	     137	0	S	
09:45	   15.12	       9	0	B	
09:45	   15.22	       5	0	B	
09:45	   15.22	       4	0	B	
09:45	   15.22	       7	0	B	
09:45	   15.22	       6	0	B	
09:45	   15.22	       0	0	B	
09:45	   15.06	     327	0	S	
09:45	   15.24	      37	0	B	
09:45	   15.29	      79	0	B	
09:45	   15.29	       5	0	B	
09:45	   15.30	      11	0	B	
09:45	   15.28	       2	0	S	
09:46	   15.28	       6	0	B	
09:46	   15.28	       4	0	B	
09:46	   15.29	      17	0	B	
09:46	   15.30	      40	0	B	
09:46	   15.34	      35	0	B	
09:46	   15.35	      10	0	B	
09:46	   15.44	      20	0	B	
09:46	   15.44	       6	0	B	
09:46	   15.44	      23	0	B	
09:46	   15.45	      24	0	B	
09:47	   15.42	       6	0	B	
09:47	   15.35	      32	0	B	
09:47	   15.35	      45	0	B	
09:47	   15.42	      25	0	B	
09:47	   15.42	       5	0	S	
09:48	   15.42	      72	0	B	
09:48	   15.42	      20	0	B	
09:48	   15.44	      39	0	B	
09:48	   15.40	      44	0	S	
09:48	   15.40	      20	0	B	
09:48	   15.45	      55	0	B	
09:48	   15.45	      44	0	B	
09:48	   15.32	      33	0	S	
09:48	   15.44	      50	0	B	
09:48	   15.44	       4	0	B	
09:48	   15.44	       2	0	B	
09:48	   15.44	      32	0	B	
09:48	   15.44	      20	0	B	
09:48	   15.44	     101	0	S	
09:48	   15.46	      51	0	B	
09:49	   15.45	       5	0	
09:49	   15.46	      68	0	B	
09:49	   15.46	      47	0	S	
09:49	   15.47	      61	0	B	
09:49	   15.47	      13	0	B	
09:49	   15.49	      20	0	B	
09:49	   15.50	      10	0	B	
09:49	   15.50	     117	0	B	
09:49	   15.46	      36	0	S	
09:49	   15.46	      35	0	B	
09:49	   15.49	      31	0	B	
09:49	   15.46	      62	0	S	
09:49	   15.49	      17	0	B	
09:49	   15.49	      63	0	S	
09:49	   15.49	      54	0	S	
09:50	   15.46	      33	0	S	
09:50	   15.46	       3	0	B	
09:50	   15.46	      30	0	S	
09:50	   15.46	      36	0	S	
09:50	   15.46	      29	0	B	
09:50	   15.46	      19	0	B	
09:50	   15.46	      19	0	B	
09:50	   15.46	      27	0	B	
09:50	   15.49	      29	0	B	
09:50	   15.49	       5	0	B	
09:50	   15.49	      59	0	S	
09:50	   15.49	      38	0	S	
09:50	   15.50	     119	0	B	
09:51	   15.41	       6	0	S	
09:51	   15.41	       4	0	S	
09:51	   15.40	       8	0	S	
09:51	   15.40	       6	0	B	
09:51	   15.31	      38	0	S	
