                  20250303 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   15.80	       0	0	
09:15	   15.77	       0	0	
09:17	   15.80	       0	0	
09:19	   15.88	       0	0	
09:20	   15.88	       0	0	
09:20	   15.88	       0	0	
09:21	   15.88	       0	0	
09:21	   15.50	       0	0	
09:22	   15.60	       0	0	
09:23	   15.60	       0	0	
09:23	   15.60	       0	0	
09:24	   15.60	       0	0	
09:24	   15.60	       0	0	
09:24	   15.69	       0	0	
09:24	   15.68	       0	0	
09:25	   15.68	      82	0	
09:30	   15.60	      34	0	S	
09:30	   15.60	      45	0	S	
09:30	   15.58	      29	0	S	
09:30	   15.53	       5	0	S	
09:30	   15.53	      25	0	S	
09:30	   15.53	       4	0	B	
09:30	   15.60	       4	0	B	
09:30	   15.60	       2	0	B	
09:30	   15.56	       7	0	S	
09:30	   15.56	      19	0	B	
09:30	   15.60	       8	0	B	
09:30	   15.60	     129	0	B	
09:31	   15.62	      16	0	B	
09:31	   15.60	     111	0	S	
09:31	   15.67	      24	0	B	
09:31	   15.68	      48	0	B	
09:31	   15.62	      29	0	B	
09:31	   15.62	     104	0	B	
09:31	   15.62	      14	0	S	
09:31	   15.62	       5	0	S	
09:31	   15.67	      29	0	B	
09:31	   15.67	      28	0	B	
09:31	   15.60	      31	0	S	
09:31	   15.67	      46	0	B	
09:31	   15.62	      29	0	B	
09:31	   15.51	      38	0	S	
09:31	   15.51	       1	0	S	
09:31	   15.51	       2	0	S	
09:31	   15.59	      30	0	B	
09:32	   15.59	      25	0	B	
09:32	   15.59	       2	0	S	
09:32	   15.59	      32	0	S	
09:32	   15.59	      19	0	S	
09:32	   15.59	      49	0	S	
09:32	   15.51	       1	0	S	
09:32	   15.46	       3	0	S	
09:32	   15.46	       1	0	S	
09:32	   15.50	      21	0	S	
09:33	   15.51	      21	0	S	
09:33	   15.51	       3	0	B	
09:33	   15.51	       3	0	B	
09:33	   15.50	      14	0	S	
09:33	   15.50	       2	0	B	
09:33	   15.45	     200	0	S	
09:33	   15.50	      12	0	B	
09:33	   15.50	      36	0	B	
09:33	   15.50	      20	0	B	
09:33	   15.50	     256	0	B	
09:33	   15.51	      25	0	B	
09:34	   15.51	      12	0	B	
09:34	   15.56	     142	0	B	
09:34	   15.58	       6	0	B	
09:34	   15.50	       9	0	S	
09:34	   15.50	     132	0	S	
09:34	   15.51	       5	0	B	
09:35	   15.50	       8	0	S	
09:35	   15.51	      20	0	B	
09:35	   15.50	       3	0	S	
09:35	   15.50	      54	0	B	
09:35	   15.50	      10	0	S	
09:35	   15.50	      16	0	S	
09:35	   15.50	      14	0	B	
09:35	   15.51	       3	0	B	
09:35	   15.51	      36	0	B	
09:36	   15.57	      51	0	S	
09:36	   15.57	       8	0	S	
09:36	   15.57	       3	0	S	
09:36	   15.55	       1	0	B	
09:36	   15.50	      56	0	S	
09:36	   15.50	      30	0	S	
09:36	   15.45	      63	0	S	
09:36	   15.48	      74	0	B	
09:36	   15.45	     111	0	S	
09:37	   15.47	      10	0	S	
09:37	   15.47	       1	0	B	
09:37	   15.50	       6	0	B	
09:37	   15.50	       1	0	B	
09:37	   15.45	      19	0	S	
09:38	   15.50	       2	0	B	
09:38	   15.54	       8	0	B	
09:38	   15.58	      20	0	B	
09:38	   15.52	      34	0	S	
09:38	   15.58	       4	0	B	
09:38	   15.52	       1	0	S	
09:39	   15.58	       6	0	B	
09:39	   15.59	       8	0	B	
09:39	   15.60	      17	0	B	
09:39	   15.60	      28	0	B	
09:39	   15.62	       1	0	B	
09:39	   15.62	      56	0	B	
09:39	   15.65	      40	0	B	
09:39	   15.66	      38	0	B	
09:39	   15.68	     224	0	B	
09:39	   15.69	       5	0	S	
09:39	   15.68	      20	0	S	
09:39	   15.80	       1	0	B	
09:39	   15.71	       1	0	S	
09:39	   15.78	      14	0	B	
09:39	   15.66	       3	0	S	
09:40	   15.77	       2	0	B	
09:40	   15.76	      10	0	B	
09:40	   15.76	       2	0	B	
09:40	   15.75	       1	0	B	
09:40	   15.75	      11	0	B	
09:41	   15.66	       2	0	S	
09:41	   15.75	      10	0	B	
09:41	   15.66	      33	0	S	
09:41	   15.60	       1	0	S	
09:42	   15.61	       1	0	S	
09:42	   15.70	       5	0	B	
09:42	   15.61	       1	0	S	
09:42	   15.74	       1	0	B	
09:42	   15.61	      49	0	B	
09:42	   15.73	       4	0	B	
09:43	   15.62	       1	0	S	
09:43	   15.62	       2	0	S	
09:44	   15.56	      10	0	S	
09:44	   15.65	       1	0	B	
09:44	   15.57	      10	0	S	
09:45	   15.57	      18	0	S	
09:45	   15.57	       7	0	B	
09:45	   15.57	      25	0	B	
09:46	   15.67	       5	0	B	
09:47	   15.69	      47	0	B	
09:47	   15.67	       1	0	B	
09:47	   15.66	       2	0	B	
09:47	   15.66	       1	0	B	
09:47	   15.66	       4	0	B	
09:47	   15.77	     190	0	B	
09:47	   15.77	      25	0	B	
09:48	   15.71	       2	0	S	
09:48	   15.69	       1	0	S	
09:48	   15.69	       2	0	S	
09:48	   15.67	       2	0	S	
09:48	   15.67	       5	0	S	
09:48	   15.66	       1	0	S	
09:48	   15.66	      24	0	B	
09:49	   15.66	      17	0	S	
09:49	   15.66	       2	0	S	
09:49	   15.68	      10	0	B	
09:49	   15.63	       1	0	S	
09:49	   15.63	       3	0	S	
09:49	   15.63	       2	0	B	
09:50	   15.68	       1	0	B	
09:50	   15.75	       3	0	B	
09:50	   15.75	      24	0	B	
09:50	   15.75	      47	0	S	
09:50	   15.75	      10	0	B	
09:51	   15.74	       3	0	B	
09:51	   15.68	       1	0	B	
09:51	   15.68	       2	0	
09:51	   15.74	       3	0	B	
09:51	   15.74	       1	0	B	
09:51	   15.74	       7	0	B	
09:51	   15.75	      53	0	B	
09:51	   15.75	      16	0	S	
09:51	   15.75	      46	0	S	
09:52	   15.69	      20	0	S	
09:52	   15.69	       3	0	S	
09:52	   15.69	       1	0	S	
09:52	   15.74	       6	0	B	
09:52	   15.70	      20	0	S	
09:52	   15.77	     100	0	B	
09:53	   15.77	       2	0	B	
09:53	   15.73	       6	0	B	
09:53	   15.71	       1	0	S	
09:53	   15.71	      13	0	B	
09:53	   15.71	      12	0	B	
09:53	   15.70	      10	0	S	
09:53	   15.71	      34	0	B	
09:54	   15.71	       5	0	S	
09:54	   15.74	       4	0	B	
09:54	   15.74	       0	0	B	
09:54	   15.75	       2	0	S	
09:54	   15.76	      71	0	B	
09:54	   15.76	       6	0	S	
09:54	   15.76	      30	0	S	
09:54	   15.77	       3	0	B	
09:55	   15.76	       2	0	S	
09:55	   15.77	      68	0	B	
09:55	   15.77	      55	0	S	
09:55	   15.77	       1	0	S	
09:55	   15.76	      32	0	S	
09:55	   15.75	       3	0	S	
09:55	   15.75	       4	0	S	
09:55	   15.75	       5	0	S	
09:55	   15.75	      12	0	S	
09:55	   15.74	      12	0	S	
09:56	   15.74	       2	0	B	
09:56	   15.77	      88	0	B	
09:56	   15.77	       2	0	S	
09:57	   15.77	      15	0	S	
09:57	   15.72	       5	0	S	
09:57	   15.72	       1	0	S	
09:57	   15.72	       6	0	S	
09:57	   15.72	      32	0	S	
09:58	   15.74	       2	0	S	
09:58	   15.74	       0	0	S	
09:58	   15.76	       2	0	S	
09:58	   15.76	      34	0	B	
09:59	   15.72	       2	0	S	
09:59	   15.71	       5	0	S	
09:59	   15.71	      33	0	S	
09:59	   15.66	       1	0	S	
10:00	   15.66	       7	0	S	
10:01	   15.69	      14	0	S	
10:01	   15.69	       5	0	B	
10:01	   15.69	      13	0	B	
10:01	   15.69	       3	0	S	
10:01	   15.74	       2	0	B	
10:01	   15.74	      40	0	S	
10:02	   15.69	       4	0	S	
10:02	   15.69	       2	0	B	
10:02	   15.69	      30	0	B	
10:02	   15.66	       6	0	S	
10:02	   15.66	       2	0	S	
10:03	   15.66	      10	0	S	
10:03	   15.67	       1	0	S	
10:03	   15.67	       4	0	S	
10:03	   15.67	       2	0	S	
10:03	   15.67	       1	0	S	
10:03	   15.67	       1	0	S	
10:03	   15.79	     339	0	B	
10:03	   15.79	      22	0	S	
10:03	   15.80	       6	0	B	
10:03	   15.88	     370	0	B	
10:03	   15.79	      20	0	S	
10:03	   15.79	      32	0	B	
10:03	   15.88	     105	0	B	
10:04	   15.90	     283	0	B	
10:04	   15.91	       2	0	S	
10:04	   15.90	      92	0	S	
10:04	   15.91	      21	0	S	
10:04	   15.98	      62	0	B	
10:04	   15.90	       1	0	S	
10:04	   15.97	       1	0	B	
10:04	   15.90	      89	0	S	
10:04	   15.96	     356	0	B	
10:04	   15.96	      33	0	S	
10:04	   15.95	      21	0	B	
10:04	   15.96	      15	0	B	
10:04	   15.97	     100	0	B	
10:04	   15.80	      20	0	S	
10:05	   15.95	       4	0	B	
10:05	   15.95	       4	0	B	
10:05	   15.95	      42	0	B	
10:05	   15.95	       8	0	S	
10:05	   15.95	      20	0	B	
10:05	   15.95	      10	0	B	
10:05	   15.94	      80	0	B	
10:05	   15.91	      22	0	S	
10:05	   15.91	      20	0	S	
