                  20250304 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:21	   16.37	       0	0	
09:22	   16.16	       0	0	
09:22	   16.16	       0	0	
09:22	   16.16	       0	0	
09:22	   16.16	       0	0	
09:23	   16.16	       0	0	
09:23	   16.16	       0	0	
09:24	   16.10	       0	0	
09:24	   16.10	       0	0	
09:24	   16.10	       0	0	
09:24	   16.10	       0	0	
09:25	   16.00	     105	0	
09:30	   15.98	      83	0	S	
09:30	   15.98	      55	0	B	
09:30	   15.93	      27	0	S	
09:30	   15.93	       6	0	B	
09:30	   15.97	      20	0	S	
09:30	   15.98	       1	0	B	
09:30	   15.98	       4	0	B	
09:30	   16.00	       1	0	B	
09:30	   16.00	      21	0	B	
09:30	   16.00	       2	0	B	
09:31	   16.00	       5	0	B	
09:31	   16.00	      55	0	B	
09:31	   15.99	      10	0	S	
09:31	   16.07	     590	0	B	
09:31	   16.10	      90	0	B	
09:31	   16.15	      34	0	B	
09:31	   16.20	      15	0	B	
09:31	   16.47	       8	0	B	
09:31	   16.27	      31	0	S	
09:31	   16.37	       5	0	S	
09:31	   16.36	      26	0	S	
09:31	   16.27	       2	0	S	
09:31	   16.26	      24	0	S	
09:31	   16.26	       3	0	B	
09:32	   16.26	      12	0	B	
09:32	   16.26	       5	0	B	
09:32	   16.18	       2	0	B	
09:32	   16.25	      10	0	B	
09:32	   16.18	       8	0	S	
09:32	   16.20	       4	0	S	
09:32	   16.18	      13	0	S	
09:32	   16.18	      27	0	S	
09:32	   16.17	      20	0	S	
09:32	   16.17	       7	0	B	
09:32	   16.18	      54	0	B	
09:32	   16.16	      11	0	B	
09:32	   16.12	      22	0	S	
09:32	   16.12	       5	0	B	
09:32	   16.16	      30	0	B	
09:32	   16.12	       5	0	S	
09:33	   16.16	       6	0	B	
09:33	   16.19	      95	0	B	
09:33	   16.18	      10	0	S	
09:33	   16.30	      40	0	B	
09:33	   16.25	      17	0	S	
09:33	   16.25	      54	0	S	
09:33	   16.23	       5	0	B	
09:33	   16.19	       6	0	S	
09:33	   16.19	      50	0	B	
09:33	   16.23	      56	0	B	
09:33	   16.23	      32	0	B	
09:34	   16.23	      19	0	B	
09:34	   16.25	       3	0	B	
09:34	   16.30	      27	0	B	
09:34	   16.30	      20	0	B	
09:34	   16.30	      35	0	B	
09:34	   16.38	      39	0	B	
09:34	   16.39	       2	0	B	
09:34	   16.38	     122	0	S	
09:34	   16.40	     126	0	B	
09:34	   16.36	      11	0	S	
09:34	   16.38	      44	0	B	
09:34	   16.36	       3	0	S	
09:34	   16.37	       9	0	B	
09:34	   16.30	      30	0	S	
09:35	   16.31	       4	0	B	
09:35	   16.30	       8	0	S	
09:35	   16.30	      18	0	S	
09:35	   16.30	      34	0	S	
09:35	   16.26	      11	0	S	
09:35	   16.30	       9	0	B	
09:35	   16.26	       1	0	S	
09:35	   16.26	       1	0	S	
09:35	   16.26	      10	0	S	
09:35	   16.24	      13	0	S	
09:35	   16.24	       1	0	B	
09:35	   16.20	       2	0	S	
09:35	   16.20	      32	0	S	
09:35	   16.20	      73	0	S	
09:35	   16.18	      19	0	S	
09:36	   16.20	     109	0	B	
09:36	   16.15	      30	0	B	
09:36	   16.17	       3	0	S	
09:36	   16.17	      24	0	S	
09:36	   16.18	       1	0	S	
09:36	   16.24	      30	0	B	
09:36	   16.24	      29	0	S	
09:37	   16.26	      18	0	B	
09:37	   16.25	       9	0	S	
09:37	   16.30	       4	0	B	
09:37	   16.30	       4	0	B	
09:37	   16.30	       4	0	S	
09:37	   16.30	       1	0	S	
09:37	   16.30	      23	0	S	
09:37	   16.30	      12	0	S	
09:37	   16.30	      11	0	S	
09:37	   16.30	      29	0	S	
09:37	   16.30	      16	0	B	
09:37	   16.35	      16	0	B	
09:37	   16.25	       2	0	S	
09:38	   16.25	       8	0	S	
09:38	   16.26	       5	0	S	
09:38	   16.26	       1	0	S	
09:38	   16.26	      27	0	S	
09:38	   16.25	       6	0	S	
09:38	   16.25	       2	0	B	
09:38	   16.23	       7	0	S	
09:38	   16.23	      11	0	S	
09:38	   16.22	       1	0	S	
09:38	   16.17	       5	0	S	
09:39	   16.23	      18	0	B	
09:39	   16.23	       4	0	B	
09:39	   16.23	       3	0	B	
09:39	   16.23	       3	0	B	
09:39	   16.23	       2	0	B	
09:39	   16.23	      12	0	B	
09:39	   16.25	       9	0	B	
09:39	   16.26	       3	0	B	
09:39	   16.25	      11	0	S	
09:40	   16.23	      13	0	S	
09:40	   16.23	      24	0	S	
09:40	   16.25	     408	0	B	
09:40	   16.18	       2	0	B	
09:40	   16.18	       2	0	S	
09:40	   16.17	      13	0	S	
09:40	   16.17	      28	0	S	
09:40	   16.10	      16	0	S	
09:40	   16.17	       4	0	B	
09:40	   16.11	       6	0	S	
09:40	   16.11	      56	0	S	
09:40	   16.10	      25	0	S	
09:40	   16.09	       9	0	S	
09:40	   16.10	     104	0	B	
09:40	   16.08	      12	0	S	
09:40	   16.18	     135	0	B	
09:41	   16.10	      49	0	S	
09:42	   16.11	       6	0	S	
09:42	   16.11	      34	0	S	
09:42	   16.11	       7	0	B	
09:42	   16.10	     104	0	S	
09:42	   16.11	      15	0	S	
09:42	   16.10	      10	0	S	
09:43	   16.20	       1	0	B	
09:43	   16.20	      18	0	B	
09:43	   16.21	      35	0	B	
09:43	   16.20	      36	0	S	
09:43	   16.20	       6	0	B	
09:43	   16.20	       6	0	B	
09:43	   16.20	       5	0	B	
09:44	   16.10	      15	0	S	
09:44	   16.11	      16	0	S	
09:44	   16.11	      69	0	S	
09:44	   16.11	       2	0	B	
09:44	   16.10	     227	0	S	
09:44	   16.11	      18	0	B	
09:44	   16.19	       2	0	B	
09:45	   16.19	      18	0	B	
09:45	   16.14	      47	0	S	
09:45	   16.20	      47	0	B	
09:45	   16.20	       6	0	B	
09:46	   16.19	       1	0	B	
09:46	   16.19	       2	0	B	
09:46	   16.19	      21	0	B	
09:46	   16.20	       2	0	B	
09:46	   16.20	       4	0	B	
09:46	   16.20	      18	0	B	
09:46	   16.20	       6	0	B	
09:46	   16.19	      50	0	S	
09:47	   16.20	      60	0	B	
09:47	   16.19	      34	0	S	
09:47	   16.20	      32	0	B	
09:47	   16.20	      36	0	B	
09:47	   16.20	       3	0	B	
09:47	   16.20	      41	0	S	
09:48	   16.35	       2	0	B	
09:48	   16.35	      44	0	B	
09:48	   16.35	      26	0	B	
09:48	   16.35	      14	0	S	
09:48	   16.36	      61	0	B	
09:48	   16.35	      12	0	S	
09:48	   16.34	      32	0	B	
09:48	   16.34	     201	0	B	
09:49	   16.26	       1	0	S	
09:49	   16.33	       1	0	B	
09:50	   16.32	      80	0	B	
09:50	   16.27	       4	0	S	
09:50	   16.33	      78	0	B	
09:50	   16.33	       9	0	B	
09:51	   16.34	      30	0	B	
09:51	   16.34	      23	0	B	
09:51	   16.34	       2	0	S	
09:51	   16.35	      18	0	B	
09:51	   16.36	      40	0	B	
09:51	   16.37	      70	0	B	
09:51	   16.37	      14	0	B	
09:51	   16.37	      18	0	B	
09:51	   16.38	      25	0	B	
09:51	   16.40	      24	0	B	
09:51	   16.40	      12	0	B	
09:51	   16.45	      14	0	B	
09:51	   16.45	      20	0	B	
09:51	   16.45	       1	0	S	
09:51	   16.45	       1	0	S	
09:52	   16.45	       5	0	S	
09:52	   16.40	      74	0	S	
09:52	   16.40	      30	0	S	
09:52	   16.40	      50	0	B	
09:52	   16.37	       1	0	S	
09:52	   16.37	       1	0	S	
09:52	   16.39	      10	0	B	
09:52	   16.39	       8	0	B	
09:52	   16.40	     169	0	B	
09:52	   16.40	      14	0	B	
09:52	   16.39	       8	0	B	
09:52	   16.39	       7	0	S	
09:52	   16.39	       0	0	S	
09:52	   16.37	       3	0	S	
09:52	   16.39	       8	0	B	
09:53	   16.38	      15	0	B	
09:53	   16.38	      39	0	S	
09:53	   16.38	       0	0	S	
09:53	   16.37	      12	0	S	
09:53	   16.37	      12	0	S	
09:53	   16.35	       1	0	B	
09:53	   16.35	       7	0	B	
09:53	   16.35	      23	0	S	
09:54	   16.35	       4	0	B	
09:54	   16.33	      34	0	S	
09:54	   16.34	       4	0	S	
09:54	   16.35	       1	0	
09:54	   16.36	       4	0	B	
09:55	   16.37	      13	0	B	
09:55	   16.38	       5	0	B	
09:55	   16.37	      12	0	S	
09:55	   16.37	      40	0	S	
09:55	   16.38	      40	0	B	
09:55	   16.35	       3	0	S	
09:55	   16.37	      10	0	B	
09:55	   16.37	      20	0	B	
09:55	   16.37	       1	0	B	
09:56	   16.35	       1	0	S	
09:56	   16.34	      13	0	S	
09:56	   16.33	      15	0	S	
09:56	   16.28	      24	0	S	
09:56	   16.33	      21	0	B	
09:56	   16.34	      14	0	B	
09:56	   16.34	      10	0	S	
09:57	   16.37	      12	0	B	
09:57	   16.38	      12	0	B	
09:57	   16.38	       4	0	B	
09:57	   16.38	      12	0	B	
09:57	   16.38	      22	0	B	
09:57	   16.39	      24	0	B	
09:57	   16.39	       6	0	B	
09:57	   16.40	      10	0	B	
09:57	   16.40	       4	0	B	
09:58	   16.40	       0	0	B	
09:58	   16.44	      80	0	B	
09:58	   16.39	       3	0	S	
09:58	   16.39	       1	0	B	
09:58	   16.39	       6	0	B	
09:58	   16.39	       3	0	S	
