                  20250306 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   16.90	       0	0	
09:15	   16.90	       0	0	
09:16	   16.85	       0	0	
09:18	   16.90	       0	0	
09:18	   16.90	       0	0	
09:19	   16.90	       0	0	
09:22	   16.90	       0	0	
09:22	   16.88	       0	0	
09:23	   16.88	       0	0	
09:23	   16.88	       0	0	
09:24	   16.88	       0	0	
09:24	   16.88	       0	0	
09:24	   16.90	       0	0	
09:25	   16.90	     354	0	
09:30	   16.85	     166	0	S	
09:30	   16.92	      42	0	S	
09:30	   16.92	      31	0	S	
09:30	   16.96	      10	0	B	
09:30	   16.96	       3	0	B	
09:30	   16.99	      20	0	B	
09:30	   16.99	       6	0	B	
09:30	   16.99	      20	0	S	
09:30	   17.07	      24	0	B	
09:30	   17.09	      10	0	B	
09:30	   17.09	       2	0	B	
09:30	   17.07	      66	0	S	
09:31	   17.07	       3	0	B	
09:31	   17.09	      34	0	B	
09:31	   16.99	      26	0	S	
09:31	   16.93	       2	0	B	
09:31	   16.93	      21	0	S	
09:31	   16.93	       3	0	S	
09:31	   16.93	      14	0	S	
09:31	   16.93	       1	0	S	
09:31	   16.94	       1	0	S	
09:31	   16.94	      11	0	S	
09:31	   16.92	      63	0	S	
09:31	   16.91	      17	0	S	
09:31	   16.85	      84	0	S	
09:31	   16.90	      55	0	B	
09:32	   16.83	      10	0	S	
09:32	   16.81	       5	0	S	
09:32	   16.81	       4	0	S	
09:32	   16.81	       2	0	S	
09:32	   16.90	     113	0	B	
09:32	   16.90	     159	0	S	
09:32	   16.90	       4	0	S	
09:32	   16.81	      12	0	S	
09:32	   16.84	       7	0	S	
09:32	   16.84	       3	0	S	
09:32	   16.84	      15	0	S	
09:32	   16.82	      10	0	S	
09:32	   16.81	      23	0	S	
09:33	   16.80	       8	0	S	
09:33	   16.81	       6	0	S	
09:33	   16.81	       2	0	S	
09:33	   16.81	       8	0	S	
09:33	   16.81	       8	0	S	
09:33	   16.81	       6	0	S	
09:33	   16.80	      49	0	S	
09:33	   16.80	      52	0	S	
09:33	   16.80	      42	0	S	
09:33	   16.80	       2	0	S	
09:33	   16.80	      33	0	S	
09:33	   16.80	       1	0	S	
09:34	   16.84	      44	0	B	
09:34	   16.84	       2	0	S	
09:34	   16.84	      28	0	S	
09:34	   16.80	       1	0	S	
09:34	   16.80	      39	0	S	
09:34	   16.75	      21	0	S	
09:34	   16.73	       2	0	S	
09:34	   16.73	      26	0	S	
09:34	   16.72	      78	0	S	
09:34	   16.72	      36	0	S	
09:34	   16.72	      76	0	S	
09:34	   16.70	     109	0	S	
09:34	   16.70	       7	0	S	
09:34	   16.77	     300	0	B	
09:34	   16.70	      20	0	S	
09:34	   16.70	      20	0	B	
09:34	   16.72	       8	0	S	
09:35	   16.72	      20	0	S	
09:35	   16.68	      21	0	S	
09:35	   16.68	      28	0	S	
09:35	   16.62	      20	0	S	
09:35	   16.69	      36	0	B	
09:35	   16.69	       1	0	S	
09:35	   16.69	       2	0	S	
09:35	   16.69	       1	0	S	
09:35	   16.69	      12	0	S	
09:36	   16.65	       3	0	B	
09:36	   16.70	       2	0	S	
09:36	   16.70	       1	0	S	
09:36	   16.76	       2	0	B	
09:36	   16.70	      23	0	S	
09:36	   16.73	      51	0	
09:36	   16.71	      22	0	S	
09:37	   16.71	       2	0	S	
09:37	   16.68	      10	0	S	
09:37	   16.71	      20	0	B	
09:37	   16.71	      18	0	S	
09:37	   16.77	      47	0	B	
09:38	   16.76	      20	0	B	
09:38	   16.76	      30	0	S	
09:38	   16.76	      13	0	S	
09:38	   16.77	       2	0	B	
09:38	   16.77	       2	0	B	
09:38	   16.76	       2	0	S	
09:38	   16.79	      70	0	B	
09:38	   16.79	       6	0	S	
09:38	   16.79	      13	0	S	
09:38	   16.77	       3	0	B	
09:38	   16.76	       1	0	B	
09:39	   16.71	      30	0	S	
09:39	   16.71	       2	0	S	
09:39	   16.78	       2	0	B	
09:39	   16.71	      10	0	S	
09:40	   16.71	       1	0	S	
09:40	   16.68	     109	0	S	
