                  20250307 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:16	   16.01	       0	0	
09:17	   16.01	       0	0	
09:17	   16.01	       0	0	
09:18	   16.21	       0	0	
09:18	   16.21	       0	0	
09:18	   16.01	       0	0	
09:18	   16.01	       0	0	
09:19	   16.51	       0	0	
09:22	   16.51	       0	0	
09:23	   16.51	       0	0	
09:23	   16.51	       0	0	
09:24	   16.51	       0	0	
09:24	   16.51	       0	0	
09:24	   16.51	       0	0	
09:24	   16.50	       0	0	
09:24	   16.50	       0	0	
09:25	   16.50	      96	0	
09:30	   16.42	      18	0	S	
09:30	   16.42	       1	0	B	
09:30	   16.41	       2	0	S	
09:30	   16.41	      13	0	S	
09:30	   16.42	      43	0	B	
09:30	   16.41	       2	0	S	
09:30	   16.42	      31	0	B	
09:30	   16.42	       6	0	B	
09:30	   16.42	      13	0	B	
09:30	   16.47	       2	0	B	
09:30	   16.46	       4	0	B	
09:30	   16.48	      34	0	B	
09:30	   16.48	       6	0	
09:30	   16.50	       3	0	B	
09:31	   16.47	      39	0	S	
09:31	   16.50	      11	0	B	
09:31	   16.50	      46	0	B	
09:31	   16.47	      30	0	B	
09:31	   16.50	      23	0	B	
09:31	   16.51	       5	0	B	
09:31	   16.51	       1	0	B	
09:31	   16.53	       3	0	B	
09:31	   16.56	       2	0	B	
09:31	   16.56	       4	0	B	
09:31	   16.53	      59	0	S	
09:31	   16.56	      32	0	B	
09:31	   16.56	       6	0	B	
09:31	   16.55	       2	0	S	
09:31	   16.55	      30	0	B	
09:31	   16.55	      34	0	B	
09:31	   16.55	      13	0	B	
09:31	   16.55	      17	0	S	
09:32	   16.56	      30	0	B	
09:32	   16.55	      21	0	B	
09:32	   16.55	       5	0	S	
09:32	   16.56	      32	0	B	
09:32	   16.56	      49	0	B	
09:32	   16.58	       7	0	B	
09:32	   16.58	      41	0	B	
09:32	   16.58	      15	0	S	
09:32	   16.67	      30	0	B	
09:32	   16.59	       1	0	S	
09:32	   16.59	       4	0	S	
09:32	   16.58	      21	0	S	
09:33	   16.58	       4	0	S	
09:33	   16.58	       1	0	S	
09:33	   16.51	       1	0	S	
09:33	   16.51	       5	0	S	
09:33	   16.50	       2	0	B	
09:33	   16.51	       6	0	B	
09:33	   16.44	       3	0	S	
09:33	   16.51	      11	0	B	
09:33	   16.50	       2	0	B	
09:34	   16.49	      61	0	B	
09:34	   16.48	       1	0	B	
09:34	   16.44	       5	0	S	
09:34	   16.48	       0	0	S	
09:34	   16.49	       2	0	B	
