                  20250314 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   17.96	       0	0	
09:15	   17.92	       0	0	
09:15	   17.87	       0	0	
09:16	   17.96	       0	0	
09:16	   17.96	       0	0	
09:18	   17.95	       0	0	
09:18	   17.50	       0	0	
09:19	   17.95	       0	0	
09:21	   17.95	       0	0	
09:21	   17.92	       0	0	
09:22	   17.95	       0	0	
09:22	   17.92	       0	0	
09:23	   17.92	       0	0	
09:24	   17.92	       0	0	
09:24	   17.92	       0	0	
09:24	   17.92	       0	0	
09:24	   17.92	       0	0	
09:24	   17.89	       0	0	
09:24	   17.91	       0	0	
09:24	   17.89	       0	0	
09:24	   17.89	       0	0	
09:24	   17.91	       0	0	
09:24	   17.91	       0	0	
09:25	   17.91	     244	0	
09:30	   17.84	      71	0	S	
09:30	   17.89	     119	0	B	
09:30	   17.89	      32	0	B	
09:30	   17.89	       8	0	B	
09:30	   17.89	      24	0	B	
09:30	   17.89	     122	0	B	
09:30	   17.88	     154	0	S	
09:30	   17.92	      85	0	B	
09:30	   17.95	     107	0	B	
09:30	   17.95	      25	0	B	
09:30	   17.95	      29	0	B	
09:30	   17.96	      22	0	B	
09:30	   17.96	      18	0	B	
09:30	   18.10	       1	0	B	
09:30	   18.10	       1	0	S	
09:30	   18.14	      12	0	S	
09:30	   18.10	      38	0	S	
09:30	   18.10	       5	0	B	
09:31	   18.15	       6	0	S	
09:31	   18.11	      31	0	S	
09:31	   18.10	     159	0	S	
09:31	   18.10	       6	0	B	
09:31	   18.15	     101	0	B	
09:31	   18.15	      10	0	S	
09:31	   18.16	      26	0	B	
09:31	   18.16	      22	0	S	
09:31	   18.17	       7	0	B	
09:31	   18.20	      22	0	B	
09:31	   18.20	       5	0	B	
09:31	   18.25	      18	0	B	
09:31	   18.25	      41	0	B	
09:31	   18.25	     196	0	B	
09:31	   18.27	       5	0	B	
09:31	   18.27	      11	0	S	
09:31	   18.30	       1	0	B	
09:32	   18.40	       9	0	B	
09:32	   18.30	      54	0	S	
09:32	   18.31	      84	0	S	
09:32	   18.31	      72	0	S	
09:32	   18.25	      66	0	S	
09:32	   18.25	      67	0	S	
09:32	   18.25	     571	0	S	
09:32	   18.20	       6	0	S	
09:32	   18.20	       9	0	S	
09:32	   18.00	      12	0	S	
09:32	   18.00	      40	0	S	
09:32	   18.10	      25	0	B	
09:32	   18.10	      83	0	B	
09:32	   18.05	     143	0	S	
09:32	   18.00	       2	0	S	
09:32	   18.05	       5	0	B	
09:32	   18.00	       6	0	S	
09:32	   18.05	      25	0	B	
09:32	   18.05	      25	0	B	
09:33	   18.06	       2	0	S	
09:33	   17.86	     114	0	S	
09:33	   18.05	      94	0	S	
09:33	   18.05	       2	0	B	
09:33	   18.06	      57	0	B	
09:33	   18.01	      20	0	S	
09:33	   18.05	      34	0	S	
09:33	   18.01	      70	0	S	
09:33	   18.01	       3	0	B	
09:33	   18.01	       1	0	B	
09:33	   18.05	       7	0	B	
09:33	   18.03	      12	0	S	
09:33	   18.01	      84	0	B	
09:33	   18.10	       5	0	B	
09:33	   18.00	      15	0	S	
09:34	   18.09	     107	0	B	
09:34	   18.18	      24	0	B	
09:34	   18.18	     101	0	S	
09:34	   18.18	       4	0	B	
09:34	   18.19	       4	0	S	
09:34	   18.19	      42	0	B	
09:34	   18.19	       3	0	S	
09:34	   18.19	      30	0	B	
09:34	   18.18	      30	0	B	
09:34	   18.18	      50	0	B	
09:34	   18.06	     100	0	S	
09:35	   18.06	      12	0	S	
09:35	   18.06	       7	0	S	
09:35	   18.09	       2	0	B	
09:35	   18.09	       6	0	B	
09:35	   18.06	      46	0	S	
09:35	   18.06	      50	0	S	
09:35	   18.06	      22	0	S	
09:35	   18.05	      25	0	S	
09:35	   18.05	      15	0	B	
09:36	   18.04	       1	0	B	
09:36	   18.04	       9	0	S	
09:36	   17.97	      59	0	S	
09:36	   17.97	      30	0	B	
09:36	   17.96	       5	0	S	
09:36	   17.96	      58	0	S	
09:37	   17.96	       9	0	S	
09:37	   17.96	      25	0	S	
09:37	   17.96	       2	0	S	
09:37	   17.91	     227	0	S	
09:37	   17.88	      40	0	S	
09:37	   17.86	       5	0	S	
09:37	   17.83	      10	0	S	
09:37	   17.81	      45	0	S	
09:37	   17.81	      20	0	B	
09:37	   17.80	       3	0	B	
09:37	   17.80	       1	0	B	
09:38	   17.81	       6	0	B	
09:38	   17.81	      25	0	S	
09:38	   17.81	      20	0	S	
09:38	   17.81	      42	0	S	
09:39	   17.81	       1	0	S	
09:39	   17.89	       6	0	S	
09:39	   17.81	      26	0	S	
09:39	   17.79	       5	0	S	
09:39	   17.81	       1	0	B	
09:39	   17.81	       3	0	B	
09:40	   17.81	      20	0	B	
09:40	   17.90	       2	0	S	
09:40	   17.90	      22	0	B	
09:40	   17.94	       6	0	B	
09:40	   17.97	      12	0	B	
09:41	   17.95	      18	0	S	
09:41	   17.97	      44	0	B	
09:41	   17.97	      32	0	B	
09:41	   17.97	      15	0	B	
09:41	   17.97	      18	0	B	
09:41	   17.99	      24	0	B	
09:41	   18.00	       6	0	B	
09:41	   18.00	       5	0	B	
09:41	   18.04	      10	0	B	
09:41	   18.09	      21	0	B	
09:41	   18.10	       9	0	B	
09:41	   18.09	      30	0	S	
09:41	   18.07	      12	0	B	
09:41	   18.06	      13	0	B	
09:42	   17.96	       6	0	S	
09:42	   18.07	      31	0	B	
09:42	   18.07	      20	0	B	
09:42	   18.07	      16	0	B	
09:42	   17.95	      70	0	S	
09:42	   18.10	       1	0	B	
09:42	   18.10	      13	0	B	
09:42	   18.13	      28	0	S	
09:42	   18.07	      28	0	S	
09:42	   18.10	       5	0	S	
09:42	   17.95	      11	0	S	
09:42	   17.95	      14	0	S	
09:43	   18.06	      20	0	B	
09:43	   18.04	       5	0	B	
09:43	   18.03	       4	0	B	
09:43	   18.00	      31	0	B	
09:43	   18.00	       2	0	B	
09:44	   17.97	       1	0	S	
09:44	   18.00	       5	0	B	
09:44	   18.00	       0	0	B	
09:44	   18.00	       7	0	S	
09:44	   18.03	     111	0	B	
09:44	   18.04	      46	0	B	
09:45	   18.04	      26	0	B	
09:45	   18.08	      35	0	B	
09:45	   18.13	       8	0	B	
09:45	   18.14	      20	0	B	
09:45	   18.15	     144	0	B	
09:45	   18.15	      41	0	B	
09:45	   18.15	      30	0	B	
09:45	   18.17	      76	0	B	
09:45	   18.17	      66	0	S	
09:45	   18.20	       5	0	B	
09:45	   18.20	      30	0	B	
09:46	   18.20	      46	0	B	
09:46	   18.20	      15	0	B	
09:46	   18.18	       7	0	S	
09:46	   18.20	      23	0	B	
09:46	   18.20	      22	0	B	
09:46	   18.18	       5	0	S	
09:46	   18.07	     177	0	S	
09:46	   18.07	      27	0	B	
09:46	   18.20	     140	0	B	
09:47	   18.07	       2	0	S	
09:47	   18.19	       2	0	B	
09:48	   18.17	      16	0	B	
09:48	   18.09	      10	0	S	
09:48	   18.08	       3	0	S	
09:48	   18.18	     300	0	B	
09:49	   18.15	       3	0	B	
09:49	   18.09	      61	0	S	
09:49	   18.09	       5	0	S	
09:49	   18.17	       6	0	B	
09:49	   18.17	       6	0	S	
09:49	   18.17	     135	0	S	
09:49	   18.17	       4	0	B	
09:49	   18.10	       5	0	S	
09:49	   18.10	      35	0	S	
09:50	   18.08	      62	0	S	
09:50	   18.08	       3	0	S	
09:50	   18.10	       5	0	B	
09:50	   18.10	      18	0	S	
09:50	   18.08	      32	0	S	
09:50	   18.10	       8	0	B	
09:50	   18.08	      19	0	S	
09:50	   18.08	      10	0	B	
09:50	   18.08	     127	0	B	
09:50	   18.08	      33	0	B	
09:50	   18.08	       2	0	B	
09:51	   18.05	     150	0	S	
09:51	   18.04	      12	0	B	
09:51	   18.04	      34	0	B	
09:51	   18.00	      16	0	S	
09:51	   18.00	      11	0	B	
09:51	   18.03	      18	0	B	
09:51	   18.04	       4	0	B	
09:51	   18.04	       1	0	S	
09:52	   18.08	       3	0	B	
09:52	   18.04	       3	0	S	
09:52	   18.08	      25	0	B	
09:52	   18.08	       2	0	B	
09:52	   18.08	       2	0	B	
09:52	   18.08	      30	0	B	
09:52	   18.08	       2	0	B	
09:52	   18.08	       2	0	B	
09:52	   18.08	       2	0	B	
09:52	   18.08	      30	0	B	
09:52	   18.08	      30	0	B	
09:52	   18.08	       2	0	B	
09:52	   18.08	      12	0	B	
09:53	   18.08	      42	0	B	
09:53	   18.08	       7	0	B	
09:53	   18.14	      18	0	B	
09:53	   18.16	      28	0	B	
09:53	   18.17	      61	0	B	
09:53	   18.17	      15	0	B	
09:53	   18.20	      21	0	B	
09:53	   18.18	      18	0	S	
09:53	   18.20	       9	0	B	
09:53	   18.21	      11	0	B	
09:53	   18.22	       2	0	B	
