                  20250321 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   18.96	       0	0	
09:15	   18.96	       0	0	
09:15	   18.96	       0	0	
09:15	   18.52	       0	0	
09:16	   18.88	       0	0	
09:16	   18.88	       0	0	
09:17	   18.90	       0	0	
09:17	   18.96	       0	0	
09:19	   18.90	       0	0	
09:19	   18.96	       0	0	
09:19	   18.96	       0	0	
09:20	   19.00	       0	0	
09:21	   19.00	       0	0	
09:21	   19.00	       0	0	
09:21	   19.00	       0	0	
09:22	   19.00	       0	0	
09:22	   19.00	       0	0	
09:22	   19.00	       0	0	
09:23	   19.00	       0	0	
09:24	   19.00	       0	0	
09:24	   19.00	       0	0	
09:24	   19.00	       0	0	
09:24	   19.00	       0	0	
09:24	   19.00	       0	0	
09:24	   19.00	       0	0	
09:25	   19.00	     170	0	
09:30	   19.07	     289	0	B	
09:30	   19.07	     167	0	S	
09:30	   19.07	      28	0	S	
09:30	   19.08	      33	0	B	
09:30	   19.07	      78	0	S	
09:30	   19.07	      56	0	S	
09:30	   19.05	      51	0	S	
09:30	   19.00	       7	0	S	
09:30	   19.00	      91	0	S	
09:30	   18.92	       2	0	S	
09:30	   18.92	       7	0	S	
09:30	   18.90	      54	0	S	
09:30	   18.88	      82	0	S	
09:30	   18.77	      50	0	S	
09:30	   18.77	      15	0	S	
09:30	   18.88	       6	0	B	
09:30	   18.88	       4	0	S	
09:31	   18.88	      44	0	B	
09:31	   18.62	      22	0	S	
09:31	   18.86	       6	0	B	
09:31	   18.86	      21	0	B	
09:31	   18.62	      80	0	S	
09:31	   18.62	     108	0	B	
09:31	   18.64	       3	0	S	
09:31	   18.65	       3	0	S	
09:31	   18.85	      12	0	B	
09:31	   18.65	      30	0	S	
09:31	   18.66	       5	0	S	
09:32	   18.66	       9	0	S	
09:32	   18.66	      24	0	S	
09:32	   18.71	       8	0	S	
09:32	   18.71	       6	0	S	
09:32	   18.71	       6	0	S	
09:32	   18.70	       1	0	B	
09:32	   18.70	      10	0	B	
09:32	   18.66	      16	0	S	
09:32	   18.66	      41	0	S	
09:32	   18.70	      34	0	B	
09:32	   18.66	      10	0	S	
09:32	   18.67	       2	0	S	
09:32	   18.70	      35	0	B	
09:32	   18.70	       7	0	B	
09:32	   18.70	       5	0	S	
09:32	   18.71	       3	0	B	
09:33	   18.70	      39	0	S	
09:33	   18.66	      35	0	S	
09:33	   18.66	      84	0	S	
09:33	   18.66	       3	0	S	
09:33	   18.67	      11	0	S	
09:33	   18.70	      97	0	B	
09:33	   18.70	      87	0	S	
09:33	   18.71	       7	0	B	
09:33	   18.70	      91	0	S	
09:33	   18.70	      12	0	S	
09:33	   18.70	      20	0	S	
09:33	   18.68	      90	0	S	
09:33	   18.66	      24	0	S	
09:33	   18.66	      31	0	S	
09:33	   18.66	     127	0	S	
09:33	   18.64	      37	0	S	
09:33	   18.56	      32	0	S	
09:34	   18.63	       9	0	B	
09:34	   18.64	     158	0	S	
09:34	   18.57	      18	0	S	
09:34	   18.62	       6	0	B	
09:34	   18.62	       1	0	S	
09:34	   18.58	       5	0	S	
09:34	   18.58	       1	0	S	
09:34	   18.58	       3	0	S	
09:34	   18.58	      10	0	S	
09:34	   18.58	      23	0	S	
09:34	   18.63	      73	0	B	
09:34	   18.64	       4	0	B	
09:34	   18.64	      25	0	S	
09:34	   18.64	       2	0	B	
09:34	   18.64	       2	0	B	
09:34	   18.62	       2	0	S	
09:34	   18.64	      60	0	B	
09:35	   18.62	       2	0	S	
09:35	   18.70	       1	0	B	
09:35	   18.64	      16	0	S	
09:35	   18.85	     112	0	B	
09:35	   18.70	      21	0	S	
09:35	   18.70	       4	0	S	
09:35	   18.85	       3	0	B	
09:35	   18.85	      22	0	S	
09:35	   18.85	      32	0	B	
09:36	   18.85	       2	0	B	
09:36	   18.84	      10	0	B	
09:36	   18.82	       1	0	B	
09:36	   18.65	       5	0	S	
09:36	   18.65	       8	0	B	
09:36	   18.64	       8	0	S	
09:36	   18.65	      58	0	B	
09:36	   18.64	      18	0	S	
09:37	   18.65	      29	0	B	
09:37	   18.71	       5	0	S	
09:37	   18.80	       3	0	B	
09:37	   18.71	       5	0	S	
09:37	   18.71	       2	0	B	
09:37	   18.71	       1	0	B	
09:37	   18.71	       5	0	S	
09:38	   18.71	      12	0	S	
09:38	   18.67	      15	0	S	
09:38	   18.77	       1	0	S	
09:38	   18.71	       5	0	S	
09:38	   18.77	       1	0	S	
09:39	   18.76	       1	0	B	
09:39	   18.76	      12	0	S	
09:39	   18.79	      22	0	B	
09:39	   18.76	       2	0	S	
09:39	   18.76	       2	0	S	
09:39	   18.71	      27	0	S	
09:39	   18.79	      50	0	B	
09:39	   18.76	       5	0	S	
09:39	   18.75	       3	0	B	
09:39	   18.75	       6	0	S	
09:39	   18.71	       1	0	S	
09:40	   18.75	       5	0	B	
09:40	   18.74	      33	0	S	
09:40	   18.74	      18	0	S	
09:40	   18.74	       6	0	B	
09:40	   18.74	       2	0	B	
09:40	   18.74	       3	0	B	
09:40	   18.74	      13	0	B	
09:40	   18.74	      28	0	B	
09:40	   18.74	      25	0	B	
09:40	   18.75	      20	0	B	
09:41	   18.75	      27	0	B	
09:41	   18.75	      20	0	S	
09:41	   18.75	       5	0	S	
