                  20250325 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   19.33	       0	0	
09:15	   18.70	       0	0	
09:15	   13.21	       0	0	
09:15	   13.21	       0	0	
09:15	   13.21	       0	0	
09:16	   13.21	       0	0	
09:16	   13.21	       0	0	
09:16	   13.21	       0	0	
09:16	   13.21	       0	0	
09:16	   13.21	       0	0	
09:16	   13.21	       0	0	
09:16	   14.00	       0	0	
09:16	   14.00	       0	0	
09:16	   14.00	       0	0	
09:16	   14.00	       0	0	
09:17	   14.00	       0	0	
09:17	   15.00	       0	0	
09:17	   15.00	       0	0	
09:17	   15.00	       0	0	
09:17	   15.31	       0	0	
09:17	   15.31	       0	0	
09:17	   15.31	       0	0	
09:18	   15.31	       0	0	
09:18	   15.31	       0	0	
09:18	   15.31	       0	0	
09:18	   15.31	       0	0	
09:18	   15.31	       0	0	
09:18	   15.31	       0	0	
09:18	   15.31	       0	0	
09:18	   15.31	       0	0	
09:18	   15.31	       0	0	
09:18	   15.31	       0	0	
09:19	   15.31	       0	0	
09:19	   15.31	       0	0	
09:19	   15.31	       0	0	
09:19	   15.31	       0	0	
09:19	   15.31	       0	0	
09:19	   15.31	       0	0	
09:19	   15.31	       0	0	
09:19	   15.38	       0	0	
09:19	   19.00	       0	0	
09:19	   19.00	       0	0	
09:20	   19.00	       0	0	
09:20	   19.00	       0	0	
09:20	   19.00	       0	0	
09:20	   19.02	       0	0	
09:21	   19.02	       0	0	
09:21	   19.02	       0	0	
09:21	   19.02	       0	0	
09:22	   19.02	       0	0	
09:22	   19.02	       0	0	
09:22	   19.02	       0	0	
09:22	   19.02	       0	0	
09:23	   19.02	       0	0	
09:23	   19.02	       0	0	
09:23	   19.02	       0	0	
09:23	   19.02	       0	0	
09:24	   19.02	       0	0	
09:24	   19.02	       0	0	
09:24	   19.02	       0	0	
09:24	   19.02	       0	0	
09:24	   19.02	       0	0	
09:24	   19.02	       0	0	
09:24	   19.02	       0	0	
09:24	   18.64	       0	0	
09:24	   18.64	       0	0	
09:24	   18.64	       0	0	
09:24	   18.64	       0	0	
09:24	   18.70	       0	0	
09:24	   18.70	       0	0	
09:25	   18.64	     274	0	
09:30	   18.60	     181	0	S	
09:30	   18.63	     109	0	B	
09:30	   18.64	      21	0	B	
09:30	   18.52	       2	0	S	
09:30	   18.64	      16	0	B	
09:30	   18.70	      16	0	B	
09:30	   18.77	      22	0	B	
09:30	   18.77	       3	0	B	
09:30	   18.77	       7	0	B	
09:30	   18.77	      21	0	S	
09:30	   18.77	       2	0	S	
09:30	   18.77	     222	0	S	
09:30	   18.80	      62	0	B	
09:30	   18.77	      10	0	B	
09:30	   18.65	       2	0	S	
09:31	   18.80	     165	0	B	
09:31	   18.80	       4	0	S	
09:31	   18.80	      62	0	S	
09:31	   18.80	      45	0	S	
09:31	   18.70	      19	0	S	
09:31	   18.78	      14	0	B	
09:31	   18.65	      18	0	S	
09:31	   18.60	     146	0	B	
09:31	   18.78	      18	0	B	
09:31	   18.78	      14	0	S	
09:31	   18.65	       2	0	B	
09:31	   18.65	       8	0	B	
09:31	   18.65	      39	0	B	
09:31	   18.65	       2	0	S	
09:31	   18.65	       3	0	S	
09:32	   18.78	      53	0	B	
09:32	   18.65	       2	0	S	
09:32	   18.66	      16	0	S	
09:32	   18.66	       7	0	S	
09:32	   18.69	       8	0	S	
09:32	   18.77	      11	0	B	
09:32	   18.77	       3	0	B	
09:33	   18.66	      51	0	S	
09:33	   18.77	      13	0	B	
09:33	   18.68	      20	0	S	
09:33	   18.66	       2	0	S	
09:33	   18.66	       3	0	S	
09:33	   18.65	       2	0	S	
09:33	   18.68	      79	0	B	
09:33	   18.65	      22	0	S	
09:33	   18.65	      36	0	S	
09:34	   18.73	       2	0	B	
09:34	   18.72	       1	0	B	
09:34	   18.72	      50	0	B	
09:34	   18.72	      28	0	B	
09:34	   18.72	       8	0	S	
09:34	   18.72	      12	0	S	
09:34	   18.72	       5	0	B	
09:34	   18.67	       3	0	S	
09:34	   18.67	       2	0	S	
09:34	   18.67	       2	0	S	
09:34	   18.66	      59	0	S	
09:34	   18.66	       2	0	S	
09:34	   18.72	      16	0	B	
09:34	   18.66	       2	0	S	
09:34	   18.72	       3	0	B	
09:34	   18.72	       3	0	B	
09:35	   18.71	       4	0	S	
09:35	   18.71	       4	0	S	
09:35	   18.72	       2	0	B	
09:35	   18.73	      32	0	B	
09:35	   18.75	      51	0	B	
09:35	   18.75	      29	0	S	
09:35	   18.75	      43	0	S	
09:35	   18.72	      30	0	S	
09:35	   18.77	       6	0	B	
09:35	   18.77	       6	0	B	
09:35	   18.79	      11	0	B	
