                  20250327 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   18.39	       0	0	
09:15	   18.70	       0	0	
09:17	   18.70	       0	0	
09:17	   18.70	       0	0	
09:21	   18.70	       0	0	
09:21	   18.70	       0	0	
09:22	   18.70	       0	0	
09:23	   18.70	       0	0	
09:23	   18.70	       0	0	
09:23	   18.70	       0	0	
09:24	   18.70	       0	0	
09:24	   18.70	       0	0	
09:24	   18.71	       0	0	
09:24	   18.70	       0	0	
09:24	   18.71	       0	0	
09:24	   18.73	       0	0	
09:24	   18.75	       0	0	
09:24	   18.76	       0	0	
09:25	   18.76	     136	0	
09:30	   18.94	     133	0	B	
09:30	   19.13	      28	0	B	
09:30	   19.09	      11	0	B	
09:30	   18.95	       1	0	S	
09:30	   18.95	       1	0	S	
09:30	   19.07	       2	0	B	
09:30	   18.95	       8	0	S	
09:30	   18.95	       5	0	S	
09:30	   18.94	       2	0	S	
09:30	   18.94	       8	0	S	
09:30	   18.94	      56	0	B	
09:30	   18.78	       2	0	S	
09:30	   18.94	      10	0	B	
09:30	   18.78	      35	0	S	
09:30	   18.78	      45	0	B	
09:30	   18.78	       4	0	S	
09:30	   18.78	      28	0	S	
09:31	   18.78	      26	0	S	
09:31	   18.82	      16	0	B	
09:31	   18.82	      35	0	S	
09:31	   18.78	      40	0	S	
09:31	   18.78	      13	0	S	
09:31	   18.82	      15	0	S	
09:31	   18.92	       4	0	B	
09:31	   18.92	       8	0	S	
09:31	   18.98	      11	0	B	
09:31	   18.92	       1	0	B	
09:31	   18.92	       1	0	S	
09:31	   19.01	      23	0	B	
09:31	   18.98	      15	0	S	
09:31	   18.87	       1	0	B	
09:31	   18.87	       2	0	B	
09:32	   18.98	      12	0	S	
09:32	   18.98	      40	0	B	
09:32	   18.87	       2	0	S	
09:32	   18.97	      10	0	B	
09:32	   18.85	      13	0	S	
09:32	   18.84	      19	0	S	
09:32	   18.82	      17	0	S	
09:32	   18.81	      12	0	S	
09:32	   18.80	      88	0	S	
09:32	   18.79	       7	0	S	
09:32	   18.78	      28	0	S	
09:32	   18.78	     107	0	S	
09:32	   18.77	       9	0	S	
09:33	   18.78	      51	0	B	
09:33	   18.77	      56	0	S	
09:33	   18.76	       7	0	S	
09:33	   18.76	      12	0	S	
09:33	   18.76	       2	0	S	
09:33	   18.76	      36	0	B	
09:33	   18.75	      10	0	B	
09:33	   18.75	      14	0	B	
09:33	   18.76	       1	0	B	
09:33	   18.71	     115	0	S	
09:33	   18.72	      11	0	S	
09:33	   18.71	       4	0	S	
09:33	   18.71	      17	0	S	
09:33	   18.70	      19	0	S	
09:33	   18.70	      30	0	S	
09:34	   18.70	      50	0	S	
09:34	   18.70	      58	0	S	
09:34	   18.70	      22	0	S	
09:34	   18.71	      31	0	B	
09:34	   18.70	      26	0	S	
09:34	   18.70	      25	0	S	
09:34	   18.70	       2	0	B	
09:34	   18.69	       3	0	S	
09:34	   18.62	       2	0	S	
09:34	   18.62	       2	0	B	
09:34	   18.62	      21	0	B	
09:34	   18.61	       3	0	S	
09:35	   18.61	      34	0	S	
09:35	   18.61	      18	0	S	
09:35	   18.72	      89	0	B	
09:35	   18.62	      18	0	S	
09:35	   18.62	       5	0	B	
09:35	   18.62	      12	0	B	
09:35	   18.61	      26	0	S	
09:35	   18.61	      10	0	B	
09:35	   18.58	      54	0	S	
09:35	   18.58	       6	0	B	
09:35	   18.58	       2	0	B	
09:35	   18.57	      17	0	S	
09:35	   18.57	       1	0	B	
09:35	   18.57	       1	0	B	
09:36	   18.58	      56	0	B	
09:36	   18.58	      20	0	B	
09:36	   18.55	     220	0	S	
09:36	   18.55	     283	0	B	
09:36	   18.55	      32	0	B	
09:36	   18.55	      20	0	B	
09:36	   18.58	     167	0	B	
09:36	   18.58	      32	0	B	
09:36	   18.55	       8	0	S	
09:36	   18.58	      23	0	B	
09:36	   18.58	      65	0	B	
09:36	   18.58	       9	0	B	
09:36	   18.62	       2	0	B	
09:36	   18.60	      10	0	S	
09:36	   18.62	      21	0	B	
09:36	   18.62	      18	0	B	
09:37	   18.72	       5	0	B	
09:37	   18.72	      24	0	B	
09:37	   18.63	      20	0	S	
09:37	   19.03	      52	0	B	
09:37	   18.95	       3	0	B	
09:37	   18.91	      11	0	B	
09:37	   18.92	       7	0	B	
09:38	   18.79	      20	0	B	
09:38	   18.79	       5	0	B	
09:38	   18.79	      21	0	B	
09:38	   18.79	       9	0	B	
09:38	   18.79	      20	0	S	
09:38	   18.79	       1	0	S	
09:38	   18.66	      92	0	S	
09:38	   18.66	      35	0	B	
09:38	   18.66	       7	0	B	
09:38	   18.80	       1	0	S	
09:38	   18.79	       7	0	B	
09:38	   18.79	       6	0	B	
09:39	   18.79	      45	0	B	
09:39	   18.73	      19	0	S	
09:39	   18.73	       5	0	B	
09:39	   18.73	       4	0	B	
09:39	   18.70	       5	0	S	
09:39	   18.70	       2	0	S	
09:39	   18.73	       3	0	B	
09:39	   18.73	      10	0	B	
09:39	   18.70	      20	0	S	
09:39	   18.70	      26	0	S	
09:39	   18.70	       1	0	B	
09:39	   18.70	      10	0	B	
09:40	   18.70	       0	0	B	
09:40	   18.69	      41	0	S	
09:40	   18.70	       1	0	B	
09:40	   18.69	      12	0	S	
09:40	   18.67	      50	0	S	
09:40	   18.67	      75	0	S	
09:40	   18.67	       1	0	S	
09:40	   18.65	      11	0	S	
09:41	   18.65	      23	0	S	
09:41	   18.65	       5	0	S	
09:41	   18.67	       8	0	B	
09:41	   18.65	       2	0	S	
09:41	   18.66	       6	0	S	
09:41	   18.66	      10	0	S	
09:41	   18.66	       9	0	S	
09:42	   18.79	      12	0	B	
09:42	   18.66	      24	0	S	
09:42	   18.79	      26	0	B	
09:42	   18.79	      33	0	S	
09:42	   18.86	      16	0	B	
09:42	   18.67	       2	0	S	
09:42	   18.83	       3	0	B	
09:42	   18.67	      23	0	S	
09:42	   18.68	       1	0	S	
09:43	   18.69	      13	0	S	
09:43	   18.69	       7	0	B	
09:43	   18.68	       2	0	S	
09:43	   18.67	      28	0	S	
09:43	   18.66	      27	0	S	
09:43	   18.67	      60	0	S	
09:43	   18.67	       3	0	S	
09:44	   18.67	      37	0	S	
09:44	   18.66	      54	0	S	
09:44	   18.66	      10	0	B	
09:44	   18.65	      31	0	S	
09:44	   18.66	       9	0	B	
09:44	   18.65	      22	0	S	
09:44	   18.65	      22	0	S	
09:44	   18.66	      14	0	S	
09:44	   18.69	      16	0	B	
09:45	   18.69	      10	0	B	
09:45	   18.70	       2	0	B	
09:45	   18.70	       1	0	B	
09:45	   18.70	      73	0	S	
09:45	   18.70	       2	0	B	
09:45	   18.76	      16	0	B	
09:46	   18.76	       5	0	B	
09:46	   18.80	      30	0	B	
09:46	   18.85	       5	0	B	
09:46	   18.80	       6	0	S	
09:46	   18.79	      20	0	B	
09:46	   18.78	       4	0	B	
09:46	   18.80	      20	0	B	
09:47	   18.80	      34	0	B	
09:47	   18.80	       3	0	B	
09:47	   18.79	      50	0	B	
09:47	   18.71	      18	0	S	
09:47	   18.71	      13	0	B	
09:47	   18.71	      11	0	B	
09:48	   18.71	      13	0	B	
09:48	   18.71	       2	0	B	
09:48	   18.65	     205	0	S	
09:48	   18.66	      21	0	S	
09:48	   18.65	      49	0	S	
09:48	   18.65	      30	0	S	
09:48	   18.65	      82	0	S	
09:49	   18.65	      27	0	B	
09:49	   18.65	      85	0	B	
09:49	   18.66	      57	0	S	
09:49	   18.66	       3	0	B	
09:49	   18.66	       4	0	B	
09:49	   18.66	       6	0	B	
09:49	   18.66	      11	0	B	
09:50	   18.70	       5	0	B	
09:50	   18.70	      10	0	B	
09:50	   18.70	      15	0	B	
09:50	   18.68	      36	0	S	
09:50	   18.70	      20	0	B	
09:50	   18.70	       4	0	B	
09:50	   18.70	       0	0	B	
09:51	   18.71	      34	0	S	
09:51	   18.77	      10	0	B	
09:51	   18.77	      35	0	B	
09:51	   18.85	       5	0	B	
09:52	   18.84	       2	0	B	
09:52	   18.85	      29	0	B	
09:52	   18.85	       3	0	B	
09:52	   18.85	       2	0	B	
09:52	   18.85	       4	0	B	
09:52	   18.84	      30	0	S	
09:52	   18.84	      12	0	S	
09:52	   18.85	      19	0	B	
09:52	   18.83	       2	0	S	
09:53	   18.84	      21	0	B	
09:53	   18.85	       1	0	B	
09:53	   18.80	      26	0	S	
09:53	   18.80	      22	0	B	
09:53	   18.80	      35	0	B	
09:53	   18.79	      13	0	S	
09:53	   18.80	       4	0	B	
09:53	   18.80	      10	0	B	
09:53	   18.77	      20	0	S	
09:53	   18.80	       5	0	B	
09:53	   18.80	       1	0	B	
09:54	   18.80	      10	0	B	
09:54	   18.80	      16	0	B	
09:54	   18.80	       5	0	B	
09:54	   18.80	      40	0	B	
09:54	   18.80	       3	0	B	
09:55	   18.80	      32	0	B	
09:55	   18.85	       5	0	B	
09:55	   18.75	     145	0	S	
09:55	   18.75	      21	0	B	
09:56	   18.74	      10	0	S	
09:56	   18.75	       1	0	B	
09:56	   18.76	      17	0	S	
09:56	   18.76	      67	0	B	
09:57	   18.76	       1	0	S	
09:57	   18.76	      12	0	S	
09:57	   18.76	      60	0	B	
09:57	   18.76	      13	0	S	
09:57	   18.76	       7	0	B	
09:57	   18.85	       2	0	B	
09:57	   18.85	      20	0	B	
09:57	   18.86	      18	0	S	
09:58	   18.88	       6	0	B	
09:58	   18.90	      11	0	B	
09:58	   18.90	      10	0	B	
09:58	   18.90	      14	0	B	
09:58	   18.90	      32	0	S	
09:58	   18.90	       4	0	S	
09:58	   18.94	       2	0	B	
09:59	   18.90	      20	0	S	
09:59	   18.94	       9	0	S	
09:59	   18.93	       5	0	B	
09:59	   18.88	      13	0	S	
09:59	   18.88	       7	0	S	
09:59	   18.88	       6	0	B	
09:59	   18.86	       9	0	S	
10:00	   18.86	       7	0	S	
10:00	   18.86	       1	0	S	
10:00	   18.88	       3	0	B	
10:00	   18.88	       5	0	B	
10:00	   18.85	      65	0	S	
10:01	   18.85	       9	0	B	
10:01	   18.85	       4	0	B	
10:01	   18.85	       3	0	B	
10:01	   18.85	     120	0	B	
10:02	   18.85	       1	0	B	
10:02	   18.85	      12	0	B	
10:02	   18.85	       5	0	B	
10:02	   18.85	      16	0	S	
10:02	   18.86	       2	0	B	
10:03	   18.86	      15	0	S	
10:03	   18.88	       4	0	B	
10:03	   18.88	       5	0	S	
10:03	   18.88	       1	0	B	
10:04	   18.88	       4	0	S	
10:04	   18.90	       2	0	B	
10:04	   18.86	       3	0	S	
10:04	   18.85	       4	0	S	
10:04	   18.85	      24	0	S	
10:04	   18.85	       7	0	B	
10:04	   18.85	       3	0	S	
10:04	   18.85	       2	0	S	
10:04	   18.85	       6	0	S	
10:04	   18.86	       2	0	B	
10:05	   18.86	       5	0	B	
10:05	   18.86	      41	0	S	
10:05	   18.85	       8	0	S	
10:05	   18.85	       4	0	S	
10:05	   18.85	      26	0	S	
10:06	   18.80	      36	0	S	
10:06	   18.75	      46	0	S	
10:06	   18.75	       3	0	B	
10:06	   18.75	       9	0	B	
10:06	   18.70	     335	0	S	
10:06	   18.70	      29	0	B	
10:06	   18.70	      20	0	B	
10:07	   18.70	      30	0	B	
10:07	   18.70	       9	0	B	
10:07	   18.70	      10	0	B	
10:07	   18.70	       7	0	S	
10:07	   18.70	      12	0	S	
10:07	   18.70	      14	0	S	
10:07	   18.70	      11	0	B	
10:08	   18.70	       7	0	B	
10:08	   18.69	      28	0	S	
10:08	   18.69	      15	0	B	
10:08	   18.70	      20	0	B	
10:08	   18.65	      60	0	S	
10:08	   18.70	      22	0	B	
10:09	   18.65	       4	0	S	
10:09	   18.65	       5	0	S	
10:09	   18.66	      10	0	S	
10:09	   18.66	      11	0	B	
10:09	   18.66	      39	0	B	
10:09	   18.66	      20	0	S	
10:09	   18.70	      11	0	B	
10:11	   18.79	       3	0	B	
10:11	   18.84	       5	0	B	
10:11	   18.79	      28	0	S	
10:12	   18.87	      10	0	B	
10:12	   18.86	      76	0	B	
10:12	   18.73	      55	0	S	
10:13	   18.73	       1	0	S	
10:13	   18.73	      10	0	B	
10:13	   18.73	      10	0	B	
10:13	   18.73	      10	0	B	
10:14	   18.73	      20	0	B	
10:14	   18.73	      16	0	B	
10:14	   18.73	      16	0	B	
10:14	   18.72	       2	0	S	
10:14	   18.73	       7	0	S	
10:15	   18.84	      10	0	B	
10:15	   18.84	       0	0	B	
10:15	   18.84	       3	0	B	
10:15	   18.82	      21	0	B	
10:17	   18.82	       1	0	B	
10:18	   18.78	       9	0	S	
10:18	   18.78	       6	0	B	
10:18	   18.78	       0	0	B	
10:18	   18.78	      15	0	S	
10:18	   18.77	      12	0	S	
10:19	   18.78	       0	0	S	
10:19	   18.77	      40	0	S	
10:19	   18.85	      14	0	B	
10:21	   18.84	      10	0	B	
10:21	   18.84	       5	0	B	
10:21	   18.80	       5	0	S	
10:22	   18.80	       2	0	B	
10:22	   18.77	      78	0	S	
10:22	   18.77	      12	0	S	
10:23	   18.77	       2	0	B	
10:23	   18.77	      51	0	B	
10:24	   18.78	       2	0	B	
10:24	   18.84	       8	0	B	
10:25	   18.84	       2	0	S	
10:25	   18.83	       2	0	S	
10:25	   18.80	      99	0	S	
10:26	   18.80	      26	0	S	
10:27	   18.80	      43	0	S	
10:28	   18.80	       4	0	B	
10:28	   18.80	      11	0	B	
10:28	   18.80	      23	0	B	
10:28	   18.78	      16	0	S	
10:28	   18.80	      32	0	B	
10:28	   18.77	      74	0	S	
10:29	   18.80	      16	0	B	
10:29	   18.76	      16	0	S	
10:29	   18.83	       9	0	B	
10:29	   18.84	       9	0	B	
10:29	   18.86	      22	0	B	
10:30	   18.86	      37	0	S	
10:30	   18.88	      10	0	B	
10:30	   18.88	       9	0	B	
10:30	   18.88	       5	0	B	
10:30	   18.88	      27	0	B	
10:30	   18.88	       3	0	B	
10:30	   18.89	      11	0	B	
10:30	   18.89	       1	0	B	
10:31	   18.89	      20	0	B	
10:31	   18.89	       1	0	B	
10:31	   18.88	       2	0	S	
10:31	   18.87	      45	0	S	
