                  20250401 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   11.92	       0	0	
09:15	   12.96	       0	0	
09:15	   12.96	       0	0	
09:15	   12.96	       0	0	
09:15	   12.96	       0	0	
09:15	   12.96	       0	0	
09:15	   13.00	       0	0	
09:15	   14.00	       0	0	
09:15	   14.00	       0	0	
09:15	   16.00	       0	0	
09:17	   14.00	       0	0	
09:17	   14.00	       0	0	
09:17	   14.00	       0	0	
09:17	   14.00	       0	0	
09:18	   14.00	       0	0	
09:18	   14.01	       0	0	
09:18	   14.01	       0	0	
09:19	   14.50	       0	0	
09:19	   15.00	       0	0	
09:19	   15.00	       0	0	
09:20	   17.33	       0	0	
09:20	   17.33	       0	0	
09:22	   17.33	       0	0	
09:23	   17.33	       0	0	
09:24	   17.33	       0	0	
09:24	   17.30	       0	0	
09:24	   17.18	       0	0	
09:24	   17.16	       0	0	
09:24	   17.18	       0	0	
09:24	   17.02	       0	0	
09:25	   17.02	      44	0	
09:30	   17.02	      14	0	B	
09:30	   17.03	       4	0	S	
09:30	   17.21	      28	0	B	
09:30	   17.04	       1	0	S	
09:30	   17.25	      60	0	B	
09:30	   17.21	      29	0	S	
09:30	   17.21	      18	0	S	
09:30	   17.21	       1	0	B	
09:30	   17.21	       1	0	B	
09:31	   17.21	       1	0	B	
09:31	   17.21	      31	0	B	
09:31	   17.21	       7	0	S	
09:31	   17.23	      15	0	B	
09:31	   17.20	       1	0	B	
09:31	   17.20	      12	0	B	
09:32	   17.13	       8	0	S	
09:32	   17.19	      20	0	B	
09:32	   17.11	      43	0	S	
09:32	   17.19	      55	0	B	
09:32	   17.19	       5	0	B	
09:32	   17.19	      10	0	S	
09:32	   17.20	       9	0	B	
09:32	   17.19	       6	0	S	
09:32	   17.19	     269	0	B	
09:32	   17.13	      40	0	S	
09:32	   17.14	      11	0	S	
09:32	   17.13	      27	0	B	
09:32	   17.13	       2	0	B	
09:33	   17.19	      16	0	B	
09:33	   17.13	       2	0	B	
09:33	   17.14	       2	0	B	
09:33	   17.19	      42	0	B	
09:33	   17.14	       3	0	S	
09:33	   17.19	       6	0	B	
09:33	   17.19	       2	0	B	
09:33	   17.16	      57	0	S	
09:33	   17.19	       5	0	B	
09:33	   17.19	       8	0	B	
09:33	   17.19	       9	0	B	
09:33	   17.19	      10	0	B	
09:33	   17.19	      12	0	B	
09:33	   17.19	      21	0	B	
