                  20250407 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   12.50	       0	0	
09:15	   12.67	       0	0	
09:15	   12.67	       0	0	
09:15	   12.50	       0	0	
09:15	   12.61	       0	0	
09:15	   12.50	       0	0	
09:16	   12.50	       0	0	
09:16	   12.67	       0	0	
09:16	   12.67	       0	0	
09:16	   12.67	       0	0	
09:16	   12.67	       0	0	
09:16	   12.67	       0	0	
09:17	   12.67	       0	0	
09:17	   12.67	       0	0	
09:17	   12.67	       0	0	
09:17	   12.67	       0	0	
09:17	   12.68	       0	0	
09:17	   12.70	       0	0	
09:18	   12.67	       0	0	
09:18	   12.67	       0	0	
09:18	   12.75	       0	0	
09:18	   13.00	       0	0	
09:18	   13.00	       0	0	
09:18	   13.00	       0	0	
09:18	   13.00	       0	0	
09:19	   13.00	       0	0	
09:19	   13.00	       0	0	
09:19	   13.00	       0	0	
09:19	   13.00	       0	0	
09:19	   13.00	       0	0	
09:19	   13.00	       0	0	
09:19	   13.00	       0	0	
09:19	   13.00	       0	0	
09:19	   14.03	       0	0	
09:19	   14.03	       0	0	
09:19	   17.81	       0	0	
09:20	   17.81	       0	0	
09:20	   17.88	       0	0	
09:20	   17.88	       0	0	
09:20	   17.86	       0	0	
09:20	   17.81	       0	0	
09:20	   17.81	       0	0	
09:20	   17.86	       0	0	
09:21	   17.86	       0	0	
09:21	   17.86	       0	0	
09:22	   17.86	       0	0	
09:22	   17.86	       0	0	
09:22	   17.86	       0	0	
09:22	   17.81	       0	0	
09:22	   17.81	       0	0	
09:23	   17.81	       0	0	
09:23	   17.50	       0	0	
09:23	   17.30	       0	0	
09:23	   17.30	       0	0	
09:23	   17.30	       0	0	
09:23	   17.00	       0	0	
09:24	   17.00	       0	0	
09:24	   17.25	       0	0	
09:24	   17.25	       0	0	
09:24	   17.00	       0	0	
09:24	   17.00	       0	0	
09:24	   17.00	       0	0	
09:24	   17.00	       0	0	
09:24	   17.00	       0	0	
09:24	   16.99	       0	0	
09:25	   16.99	     537	0	
09:30	   16.80	      87	0	S	
09:30	   16.61	     130	0	S	
09:30	   16.50	      90	0	S	
09:30	   16.50	      17	0	B	
09:30	   16.28	       6	0	S	
09:30	   16.28	       4	0	B	
09:30	   16.18	      12	0	S	
09:30	   16.18	     106	0	B	
09:30	   16.31	      35	0	B	
09:30	   16.18	     146	0	S	
09:30	   16.16	     176	0	S	
09:30	   16.16	    1897	0	B	
09:30	   16.31	      15	0	B	
09:30	   16.31	      49	0	B	
09:30	   16.49	      43	0	B	
09:30	   16.31	     111	0	S	
09:30	   16.49	       5	0	B	
09:30	   16.49	       1	0	B	
09:30	   16.31	      10	0	S	
09:31	   16.49	       5	0	B	
09:31	   16.50	      75	0	B	
09:31	   16.50	      70	0	B	
09:31	   16.50	      18	0	B	
09:31	   16.50	      30	0	B	
09:31	   16.49	       9	0	S	
09:31	   16.49	      23	0	S	
09:31	   16.49	       3	0	B	
09:31	   16.49	      30	0	B	
09:31	   16.49	      10	0	B	
09:31	   16.39	      81	0	S	
09:31	   16.38	      28	0	S	
09:31	   16.49	      71	0	B	
09:31	   16.49	      47	0	B	
09:31	   16.49	       7	0	B	
09:32	   16.49	      52	0	B	
09:32	   16.49	     274	0	S	
09:32	   16.50	      31	0	B	
09:32	   16.50	      78	0	B	
09:32	   16.50	      45	0	S	
09:32	   16.60	     308	0	B	
09:32	   16.60	      44	0	S	
09:32	   16.63	     107	0	B	
09:32	   16.49	      81	0	S	
09:32	   16.63	      19	0	B	
09:32	   16.63	      34	0	B	
09:32	   16.51	      10	0	S	
09:32	   16.52	      15	0	S	
09:32	   16.51	       4	0	S	
09:32	   16.51	      61	0	S	
09:33	   16.50	     212	0	S	
09:33	   16.44	      59	0	S	
09:33	   16.44	      56	0	S	
09:33	   16.43	      19	0	S	
09:33	   16.43	      11	0	S	
09:33	   16.42	      89	0	
09:33	   16.40	      50	0	S	
09:33	   16.38	       1	0	S	
09:33	   16.37	      70	0	S	
09:33	   16.37	      56	0	B	
09:33	   16.30	      24	0	S	
09:33	   16.28	       7	0	S	
09:33	   16.24	      80	0	S	
09:33	   16.24	       4	0	B	
09:33	   16.22	      20	0	S	
09:34	   16.24	      31	0	B	
