                  20250408 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   12.25	       0	0	
09:16	   12.25	       0	0	
09:16	   12.25	       0	0	
09:16	   12.25	       0	0	
09:16	   12.50	       0	0	
09:17	   16.10	       0	0	
09:18	   15.58	       0	0	
09:19	   15.58	       0	0	
09:21	   15.40	       0	0	
09:22	   15.40	       0	0	
09:22	   15.40	       0	0	
09:22	   15.40	       0	0	
09:23	   15.40	       0	0	
09:23	   15.40	       0	0	
09:23	   15.40	       0	0	
09:23	   15.40	       0	0	
09:23	   15.40	       0	0	
09:23	   15.40	       0	0	
09:23	   15.40	       0	0	
09:24	   15.40	       0	0	
09:24	   15.40	       0	0	
09:24	   15.40	       0	0	
09:24	   15.34	       0	0	
09:24	   15.34	       0	0	
09:24	   15.34	       0	0	
09:24	   15.34	       0	0	
09:24	   15.31	       0	0	
09:24	   14.28	       0	0	
09:24	   14.29	       0	0	
09:25	   14.29	     173	0	
09:30	   14.80	     190	0	B	
09:30	   15.03	     201	0	B	
09:30	   15.07	     139	0	S	
09:30	   15.07	     153	0	B	
09:30	   14.80	      12	0	S	
09:30	   15.07	      44	0	B	
09:30	   14.90	      34	0	S	
09:30	   14.80	      94	0	S	
09:30	   14.80	      33	0	S	
09:30	   14.80	      20	0	B	
09:30	   15.07	       4	0	B	
09:30	   15.15	      45	0	B	
09:30	   15.06	      62	0	B	
09:30	   15.03	      11	0	B	
09:31	   15.03	      50	0	B	
09:31	   15.03	      38	0	B	
09:31	   14.97	      20	0	S	
09:31	   14.97	      20	0	B	
09:31	   14.96	      30	0	B	
09:31	   14.83	       4	0	S	
09:31	   14.83	       4	0	B	
09:31	   14.96	      54	0	B	
09:31	   14.94	       6	0	B	
09:31	   14.96	      73	0	B	
09:31	   15.00	      44	0	B	
09:31	   15.03	      77	0	B	
09:31	   15.09	     121	0	B	
09:31	   15.10	       9	0	B	
09:31	   15.15	       1	0	B	
09:31	   15.15	       4	0	B	
09:31	   15.15	      60	0	S	
09:31	   15.16	     201	0	B	
09:32	   15.16	      64	0	S	
09:32	   15.06	      37	0	S	
09:32	   15.15	      66	0	B	
09:32	   15.10	      10	0	S	
09:32	   15.15	       2	0	B	
09:32	   15.10	      17	0	S	
09:32	   15.10	      20	0	S	
09:32	   15.08	       9	0	B	
09:32	   15.00	     209	0	S	
09:32	   15.00	       6	0	B	
09:32	   15.00	       2	0	B	
09:32	   14.97	      11	0	S	
09:32	   14.95	       2	0	S	
09:32	   14.94	     165	0	S	
09:32	   14.94	       6	0	S	
09:33	   14.94	      65	0	B	
09:33	   14.90	       1	0	S	
09:33	   14.81	       4	0	S	
09:33	   14.80	      28	0	S	
09:33	   14.82	       1	0	S	
09:33	   14.80	      20	0	S	
09:33	   14.80	       6	0	B	
09:33	   14.70	      42	0	S	
09:33	   14.80	      19	0	B	
09:33	   14.80	      36	0	B	
09:33	   14.87	       3	0	B	
09:33	   14.90	       9	0	B	
09:33	   14.90	      64	0	B	
09:33	   14.90	      51	0	B	
09:34	   14.94	     172	0	B	
09:34	   14.97	      70	0	B	
09:34	   14.99	       3	0	B	
09:34	   14.97	      37	0	S	
09:34	   14.97	      11	0	B	
09:34	   14.99	      62	0	S	
09:34	   14.95	      12	0	S	
09:34	   14.95	       8	0	B	
09:34	   14.99	       4	0	B	
09:34	   14.96	       9	0	S	
09:34	   14.98	      20	0	B	
09:34	   14.95	     109	0	S	
09:34	   14.95	      70	0	B	
09:34	   14.92	       6	0	S	
09:35	   14.91	      21	0	S	
09:35	   14.97	     275	0	B	
09:35	   14.99	      81	0	B	
09:35	   15.00	      27	0	B	
09:35	   15.01	      33	0	B	
09:35	   15.08	      11	0	B	
09:35	   15.08	      31	0	B	
09:35	   15.10	       6	0	B	
09:35	   15.10	      19	0	B	
09:35	   15.10	      37	0	B	
09:35	   15.11	      23	0	B	
09:35	   15.14	      18	0	B	
09:35	   15.18	      71	0	B	
09:35	   15.19	     176	0	B	
09:35	   15.18	      69	0	S	
09:35	   15.21	      44	0	B	
09:36	   15.25	      13	0	B	
09:36	   15.36	      58	0	B	
09:36	   15.36	      37	0	S	
09:36	   15.36	      18	0	B	
09:36	   15.36	     107	0	B	
09:36	   15.38	     161	0	B	
09:36	   15.38	     359	0	S	
09:36	   15.38	      16	0	S	
09:36	   15.39	      26	0	B	
09:36	   15.39	      64	0	B	
09:36	   15.38	      22	0	S	
09:36	   15.38	      62	0	S	
09:36	   15.39	     135	0	B	
09:36	   15.39	       1	0	S	
09:36	   15.39	      49	0	S	
09:36	   15.40	       4	0	B	
09:36	   15.39	       7	0	S	
09:37	   15.46	     130	0	B	
09:37	   15.38	      37	0	S	
09:37	   15.38	      89	0	S	
09:37	   15.38	       5	0	S	
09:37	   15.38	     191	0	S	
09:37	   15.38	    1011	0	S	
09:37	   15.37	       4	0	B	
09:37	   15.36	     104	0	B	
09:37	   15.38	      68	0	B	
09:37	   15.30	      10	0	S	
09:37	   15.29	       6	0	S	
09:38	   15.28	      35	0	B	
09:38	   15.28	      11	0	B	
09:38	   15.26	      10	0	S	
09:38	   15.26	      10	0	S	
09:38	   15.28	      47	0	B	
09:38	   15.26	      23	0	S	
09:38	   15.28	       1	0	B	
