                  20250410 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   17.03	       0	0	
09:15	   17.03	       0	0	
09:15	   17.03	       0	0	
09:15	   17.00	       0	0	
09:16	   17.03	       0	0	
09:16	   17.00	       0	0	
09:17	   17.00	       0	0	
09:17	   12.14	       0	0	
09:17	   13.00	       0	0	
09:17	   14.00	       0	0	
09:18	   14.00	       0	0	
09:18	   15.38	       0	0	
09:18	   15.38	       0	0	
09:18	   15.39	       0	0	
09:18	   15.38	       0	0	
09:18	   15.38	       0	0	
09:18	   17.03	       0	0	
09:19	   17.03	       0	0	
09:19	   17.03	       0	0	
09:20	   17.03	       0	0	
09:20	   17.03	       0	0	
09:20	   17.03	       0	0	
09:21	   17.03	       0	0	
09:21	   17.03	       0	0	
09:21	   17.03	       0	0	
09:21	   17.03	       0	0	
09:22	   17.03	       0	0	
09:22	   17.03	       0	0	
09:22	   17.03	       0	0	
09:22	   17.03	       0	0	
09:22	   17.03	       0	0	
09:22	   17.03	       0	0	
09:23	   17.03	       0	0	
09:23	   17.03	       0	0	
09:23	   17.03	       0	0	
09:23	   17.03	       0	0	
09:24	   17.03	       0	0	
09:24	   17.03	       0	0	
09:24	   17.03	       0	0	
09:24	   17.07	       0	0	
09:24	   17.07	       0	0	
09:24	   17.07	       0	0	
09:24	   17.03	       0	0	
09:24	   17.03	       0	0	
09:24	   17.03	       0	0	
09:24	   17.03	       0	0	
09:24	   17.07	       0	0	
09:24	   17.10	       0	0	
09:24	   17.10	       0	0	
09:25	   17.10	     713	0	
09:30	   17.27	     254	0	B	
09:30	   17.28	      80	0	S	
09:30	   17.45	     180	0	B	
09:30	   17.45	      21	0	B	
09:30	   17.28	      33	0	S	
09:30	   17.35	      52	0	B	
09:30	   17.79	     121	0	B	
09:30	   17.96	      17	0	B	
09:30	   17.79	       1	0	S	
09:30	   17.45	      25	0	S	
09:30	   17.45	      55	0	B	
09:30	   17.45	     103	0	B	
09:30	   17.45	      27	0	S	
09:30	   17.96	      63	0	B	
09:30	   17.35	     202	0	S	
09:30	   17.35	     150	0	B	
09:30	   17.96	     100	0	B	
09:30	   17.45	       1	0	S	
09:30	   17.45	     132	0	S	
09:30	   17.79	      59	0	B	
09:31	   17.45	      86	0	S	
09:31	   17.45	      25	0	B	
09:31	   17.77	     105	0	B	
09:31	   17.78	       7	0	B	
09:31	   17.45	      75	0	S	
09:31	   17.45	      57	0	B	
09:31	   17.78	      86	0	B	
09:31	   17.69	       2	0	B	
09:31	   17.70	      66	0	S	
09:31	   17.68	      10	0	B	
09:31	   17.78	     152	0	B	
09:31	   17.68	      10	0	S	
09:31	   17.68	      58	0	B	
09:31	   17.72	     121	0	S	
09:31	   17.67	      66	0	S	
09:31	   17.67	      38	0	B	
09:31	   17.70	     109	0	B	
09:32	   17.70	      50	0	B	
09:32	   17.53	      12	0	S	
09:32	   17.53	       2	0	S	
09:32	   17.50	      20	0	S	
09:32	   17.50	      35	0	S	
09:32	   17.53	      65	0	B	
09:32	   17.65	      27	0	B	
09:32	   17.56	       3	0	S	
09:32	   17.53	      55	0	B	
09:32	   17.51	       5	0	B	
09:32	   17.46	     108	0	S	
09:32	   17.45	     209	0	B	
09:32	   17.51	      50	0	B	
09:32	   17.45	      29	0	S	
09:32	   17.51	       6	0	S	
09:32	   17.51	       4	0	S	
09:33	   17.51	      50	0	S	
09:33	   17.60	      10	0	B	
09:33	   17.63	     156	0	B	
09:33	   17.65	      40	0	B	
09:33	   17.63	      67	0	S	
09:33	   17.63	       3	0	B	
09:33	   17.65	      70	0	B	
09:33	   17.65	       7	0	B	
09:33	   17.60	      28	0	S	
09:33	   17.67	     719	0	B	
09:33	   17.67	      25	0	B	
09:33	   17.70	     126	0	B	
09:34	   17.67	      14	0	S	
09:34	   17.70	      40	0	B	
09:34	   17.70	     169	0	B	
09:34	   17.70	      60	0	S	
09:34	   17.71	      14	0	S	
09:34	   17.70	      76	0	S	
09:34	   17.70	      67	0	S	
09:34	   17.70	      64	0	S	
09:34	   17.68	       9	0	S	
09:34	   17.68	      65	0	S	
09:34	   17.66	     269	0	S	
09:34	   17.66	       6	0	S	
09:34	   17.56	      58	0	S	
09:34	   17.66	      24	0	B	
09:34	   17.66	       4	0	B	
09:34	   17.66	      58	0	B	
09:35	   17.56	     104	0	S	
09:35	   17.56	      46	0	B	
09:35	   17.65	       1	0	B	
09:35	   17.52	      50	0	S	
09:35	   17.57	      25	0	S	
09:35	   17.50	     244	0	S	
09:35	   17.50	      62	0	B	
09:35	   17.46	      96	0	S	
09:35	   17.52	       3	0	S	
09:35	   17.52	       8	0	S	
09:35	   17.52	      17	0	B	
09:35	   17.52	      56	0	B	
09:35	   17.52	      20	0	B	
09:35	   17.46	      18	0	B	
09:36	   17.46	       5	0	B	
09:36	   17.52	      34	0	B	
09:36	   17.53	       1	0	S	
09:36	   17.59	      69	0	B	
09:36	   17.60	      40	0	B	
09:36	   17.63	     141	0	B	
09:36	   17.65	      22	0	B	
09:36	   17.65	      25	0	B	
09:36	   17.66	       1	0	B	
09:36	   17.68	      18	0	B	
09:36	   17.65	      40	0	S	
09:36	   17.65	      12	0	B	
09:36	   17.65	      14	0	B	
09:36	   17.65	     144	0	S	
09:36	   17.65	      12	0	B	
09:36	   17.63	      71	0	S	
09:36	   17.68	      31	0	B	
09:37	   17.68	       1	0	B	
09:37	   17.69	      50	0	B	
09:37	   17.67	       5	0	S	
09:37	   17.67	      12	0	B	
09:37	   17.65	     103	0	S	
09:37	   17.67	      39	0	B	
09:37	   17.68	       4	0	B	
09:37	   17.68	       2	0	B	
09:37	   17.69	       4	0	B	
09:37	   17.69	       2	0	B	
09:37	   17.69	      12	0	B	
09:37	   17.69	      54	0	B	
09:37	   17.69	      10	0	B	
09:37	   17.69	      20	0	B	
09:37	   17.69	      12	0	B	
09:37	   17.69	      37	0	B	
09:37	   17.69	       1	0	B	
09:38	   17.69	      19	0	S	
09:38	   17.70	      12	0	B	
09:38	   17.70	      41	0	B	
09:38	   17.70	       0	0	B	
09:38	   17.71	      15	0	B	
09:38	   17.77	      83	0	B	
09:38	   17.77	      16	0	B	
09:38	   17.77	      14	0	B	
09:38	   17.78	      17	0	B	
09:38	   17.78	      20	0	B	
09:38	   17.78	       9	0	B	
09:38	   17.77	      89	0	S	
09:38	   17.79	      25	0	B	
09:38	   17.80	      15	0	B	
09:38	   17.80	       3	0	S	
09:39	   17.80	      16	0	S	
09:39	   17.83	      25	0	B	
09:39	   17.83	      69	0	B	
09:39	   17.83	      32	0	S	
09:39	   17.88	      17	0	B	
09:39	   17.90	      95	0	B	
09:39	   17.90	      82	0	B	
09:39	   17.95	      56	0	B	
09:39	   17.95	      15	0	B	
09:39	   17.96	      25	0	B	
09:39	   17.98	      50	0	B	
09:39	   17.99	       1	0	B	
09:39	   17.99	      33	0	B	
09:39	   17.99	      25	0	B	
09:39	   17.99	      14	0	B	
09:39	   17.97	       7	0	S	
09:39	   17.97	      42	0	B	
09:39	   17.97	      14	0	B	
09:39	   17.95	       3	0	S	
09:40	   17.95	      21	0	B	
09:40	   17.99	      38	0	B	
09:40	   18.00	      43	0	B	
09:40	   17.99	      62	0	S	
09:40	   17.99	      20	0	B	
09:40	   18.00	      80	0	B	
09:40	   17.99	      33	0	S	
09:40	   18.00	       1	0	S	
09:40	   17.99	      65	0	S	
09:40	   18.07	      10	0	B	
09:40	   18.05	      35	0	B	
09:40	   17.95	      60	0	S	
09:40	   17.99	      63	0	B	
09:40	   17.94	      19	0	S	
09:40	   17.90	      20	0	S	
09:40	   17.90	       5	0	B	
09:41	   17.90	      42	0	B	
09:41	   17.90	       3	0	B	
09:41	   17.90	      14	0	B	
09:41	   17.94	      10	0	B	
09:41	   17.95	      33	0	B	
09:41	   17.94	       1	0	S	
09:41	   17.94	      42	0	S	
09:41	   17.95	      15	0	S	
09:41	   17.99	       5	0	B	
09:41	   17.95	     127	0	S	
09:41	   18.05	      11	0	B	
09:41	   18.05	      10	0	B	
09:41	   18.06	      46	0	B	
09:41	   18.06	      27	0	B	
09:42	   18.06	       1	0	S	
09:42	   18.05	     153	0	S	
09:42	   18.07	      21	0	B	
09:42	   18.07	      67	0	B	
09:42	   18.04	      28	0	B	
09:42	   17.99	      22	0	S	
09:42	   17.99	       8	0	S	
09:42	   18.00	       6	0	S	
09:42	   18.00	       5	0	S	
09:42	   18.00	      43	0	S	
09:42	   18.02	      47	0	B	
09:42	   18.02	     177	0	B	
09:43	   18.02	      38	0	S	
09:43	   18.01	      81	0	S	
09:43	   18.02	      69	0	B	
09:43	   18.03	      97	0	S	
09:43	   18.04	      84	0	S	
09:43	   18.05	     110	0	S	
09:43	   18.00	      32	0	S	
09:43	   17.99	      29	0	S	
09:43	   18.01	      18	0	B	
09:43	   18.02	      25	0	S	
09:43	   18.03	       4	0	B	
09:43	   18.02	      35	0	S	
09:43	   18.03	       1	0	B	
09:43	   18.03	       8	0	B	
09:43	   18.04	       7	0	B	
09:43	   18.06	      15	0	B	
09:43	   18.06	       3	0	S	
09:44	   18.07	      40	0	B	
09:44	   18.07	      16	0	B	
09:44	   18.07	      20	0	B	
09:44	   18.07	      34	0	S	
09:44	   18.08	      16	0	B	
09:44	   18.08	      77	0	B	
09:44	   18.07	      49	0	B	
09:44	   18.07	     107	0	S	
09:44	   18.08	      11	0	B	
09:44	   18.08	       8	0	S	
09:44	   18.08	       7	0	S	
09:44	   18.15	       1	0	B	
09:44	   18.15	      11	0	B	
09:44	   18.15	      14	0	B	
09:45	   18.12	      10	0	B	
09:45	   18.10	       2	0	B	
09:45	   18.11	      68	0	B	
09:45	   18.08	     110	0	S	
09:45	   18.08	       7	0	B	
09:45	   18.05	      40	0	S	
09:45	   18.00	     102	0	S	
09:45	   18.05	      30	0	B	
09:45	   18.00	     222	0	S	
09:45	   17.98	      69	0	S	
09:45	   17.96	      16	0	S	
09:45	   17.96	      83	0	S	
09:45	   17.95	      18	0	S	
09:46	   17.94	      51	0	S	
09:46	   17.91	       3	0	S	
09:46	   17.96	     112	0	B	
09:46	   18.00	      44	0	B	
09:46	   18.05	      53	0	B	
09:46	   18.01	      49	0	S	
09:46	   18.01	      54	0	S	
09:46	   18.05	      19	0	B	
09:46	   18.07	      17	0	B	
09:46	   17.97	      43	0	S	
09:46	   17.99	       3	0	S	
09:46	   17.98	      41	0	S	
09:46	   17.99	      14	0	B	
09:46	   17.98	       1	0	S	
09:46	   17.99	      36	0	B	
09:47	   17.98	      23	0	S	
09:47	   17.98	      20	0	B	
09:47	   17.96	      43	0	S	
09:47	   17.96	      20	0	S	
09:47	   17.99	     113	0	B	
09:47	   18.00	      87	0	S	
09:47	   18.02	      27	0	B	
09:47	   18.00	      20	0	S	
09:47	   18.00	     139	0	S	
09:47	   18.00	      30	0	B	
09:47	   17.89	      20	0	S	
09:47	   18.00	      10	0	B	
09:47	   18.00	      10	0	B	
09:47	   17.96	      30	0	B	
09:47	   18.00	      20	0	B	
09:48	   17.96	      10	0	S	
09:48	   18.00	     193	0	B	
09:48	   18.00	       2	0	B	
09:48	   17.97	      59	0	S	
09:48	   18.01	       6	0	B	
09:48	   18.01	       6	0	S	
09:48	   18.02	      12	0	B	
09:48	   18.05	      40	0	B	
09:48	   18.06	      16	0	B	
09:48	   18.07	     220	0	B	
09:48	   18.07	     206	0	B	
09:48	   18.07	      65	0	B	
09:48	   18.08	      40	0	B	
09:48	   18.10	      23	0	B	
09:48	   18.10	      93	0	B	
09:48	   18.10	      38	0	B	
09:48	   18.10	      49	0	B	
09:48	   18.10	      17	0	B	
09:48	   18.11	       6	0	B	
09:49	   18.13	       2	0	B	
09:49	   18.15	       6	0	B	
09:49	   18.15	       1	0	B	
09:49	   18.15	      10	0	B	
09:49	   18.15	       9	0	B	
09:49	   18.15	      27	0	B	
09:49	   18.15	      27	0	B	
09:49	   18.15	      46	0	B	
09:49	   18.15	       3	0	S	
09:49	   18.18	      43	0	B	
09:49	   18.19	      21	0	B	
09:49	   18.20	      29	0	B	
09:49	   18.20	      25	0	B	
09:49	   18.20	      32	0	B	
09:49	   18.19	      51	0	S	
09:49	   18.25	      79	0	B	
09:50	   18.30	      20	0	B	
09:50	   18.30	       2	0	S	
09:50	   18.30	       1	0	S	
09:50	   18.35	      50	0	B	
09:50	   18.40	      82	0	B	
09:50	   18.35	      50	0	S	
09:50	   18.40	      12	0	B	
09:50	   18.45	       6	0	B	
09:50	   18.43	      40	0	S	
09:50	   18.44	      38	0	S	
09:50	   18.46	      70	0	B	
09:50	   18.48	      97	0	B	
09:50	   18.46	     109	0	S	
09:50	   18.48	      71	0	B	
09:50	   18.48	      27	0	S	
09:50	   18.48	      37	0	S	
09:50	   18.48	      16	0	S	
09:50	   18.49	     136	0	B	
09:50	   18.49	      44	0	S	
09:50	   18.50	      63	0	B	
09:51	   18.50	      20	0	S	
09:51	   18.50	       0	0	S	
09:51	   18.49	     380	0	S	
09:51	   18.49	     127	0	S	
09:51	   18.47	      11	0	S	
09:51	   18.46	      46	0	S	
09:51	   18.46	     197	0	S	
09:51	   18.46	     208	0	S	
09:51	   18.40	       6	0	S	
09:51	   18.06	      96	0	S	
09:51	   18.08	      23	0	S	
09:51	   18.37	       3	0	B	
09:51	   18.38	      50	0	B	
09:52	   18.30	     129	0	B	
09:52	   18.37	      27	0	S	
09:52	   18.37	      27	0	S	
09:52	   18.37	      29	0	S	
09:52	   18.37	      10	0	B	
09:52	   18.37	      15	0	S	
09:52	   18.42	      54	0	B	
09:52	   18.37	      26	0	B	
09:52	   18.42	       4	0	B	
09:52	   18.37	      54	0	S	
09:52	   18.37	      10	0	B	
09:52	   18.37	      17	0	S	
09:53	   18.37	      10	0	B	
09:53	   18.37	      90	0	B	
09:53	   18.40	      16	0	
09:53	   18.40	      15	0	B	
09:53	   18.42	       8	0	B	
09:53	   18.43	       9	0	B	
09:53	   18.42	       8	0	S	
09:53	   18.43	      29	0	B	
09:53	   18.40	      27	0	S	
09:53	   18.44	      32	0	B	
09:53	   18.41	      27	0	S	
09:53	   18.41	      26	0	S	
09:53	   18.43	      60	0	B	
09:53	   18.42	      47	0	S	
09:54	   18.42	      33	0	S	
09:54	   18.41	       5	0	S	
09:54	   18.40	      23	0	S	
09:54	   18.40	      10	0	S	
09:54	   18.40	      22	0	S	
09:54	   18.38	      27	0	S	
09:54	   18.38	       6	0	S	
09:54	   18.37	       8	0	S	
