                  20250415 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   20.73	       0	0	
09:15	   20.71	       0	0	
09:15	   20.71	       0	0	
09:16	   20.71	       0	0	
09:16	   20.71	       0	0	
09:16	   20.71	       0	0	
09:16	   20.73	       0	0	
09:17	   20.73	       0	0	
09:18	   20.73	       0	0	
09:18	   20.71	       0	0	
09:19	   20.72	       0	0	
09:19	   20.08	       0	0	
09:19	   20.08	       0	0	
09:19	   20.08	       0	0	
09:19	   20.08	       0	0	
09:20	   20.08	       0	0	
09:20	   20.08	       0	0	
09:20	   20.08	       0	0	
09:20	   20.08	       0	0	
09:20	   20.08	       0	0	
09:20	   20.08	       0	0	
09:21	   20.08	       0	0	
09:21	   20.08	       0	0	
09:21	   20.08	       0	0	
09:21	   20.70	       0	0	
09:21	   20.70	       0	0	
09:22	   20.20	       0	0	
09:22	   20.08	       0	0	
09:22	   20.08	       0	0	
09:22	   20.09	       0	0	
09:23	   20.09	       0	0	
09:23	   20.09	       0	0	
09:23	   20.09	       0	0	
09:23	   20.09	       0	0	
09:23	   20.09	       0	0	
09:23	   20.09	       0	0	
09:24	   20.09	       0	0	
09:24	   20.09	       0	0	
09:24	   20.09	       0	0	
09:24	   20.09	       0	0	
09:24	   20.09	       0	0	
09:24	   20.09	       0	0	
09:24	   20.09	       0	0	
09:24	   20.09	       0	0	
09:24	   20.09	       0	0	
09:24	   20.09	       0	0	
09:24	   20.08	       0	0	
09:24	   20.09	       0	0	
09:24	   20.09	       0	0	
09:24	   20.09	       0	0	
09:24	   20.09	       0	0	
09:25	   20.09	     406	0	
09:30	   20.49	     391	0	B	
09:30	   20.10	     234	0	S	
09:30	   20.49	       1	0	B	
09:30	   20.47	      32	0	B	
09:30	   20.31	      11	0	B	
09:30	   20.31	      46	0	S	
09:30	   20.31	       3	0	S	
09:30	   20.39	      13	0	B	
09:30	   20.40	     369	0	B	
09:30	   20.40	      51	0	B	
09:30	   20.09	     309	0	S	
09:30	   20.32	     108	0	B	
09:30	   20.16	      77	0	B	
09:30	   20.16	      51	0	S	
09:30	   20.16	      18	0	S	
09:30	   20.29	      92	0	B	
09:30	   20.15	      24	0	S	
09:30	   20.30	       9	0	B	
09:31	   20.16	      31	0	S	
09:31	   20.16	       9	0	B	
09:31	   20.28	      53	0	B	
09:31	   20.20	       7	0	S	
09:31	   20.20	      21	0	S	
09:31	   20.20	     109	0	S	
09:31	   20.20	      16	0	B	
09:31	   20.20	      29	0	S	
09:31	   20.20	       3	0	B	
09:31	   20.15	      17	0	S	
09:31	   20.09	     380	0	S	
09:31	   20.09	     137	0	S	
09:31	   20.08	     167	0	S	
09:31	   20.09	       8	0	B	
09:31	   20.11	      67	0	B	
09:31	   20.09	      25	0	S	
09:31	   20.07	       9	0	S	
09:31	   20.07	      25	0	S	
09:31	   20.07	      36	0	S	
09:32	   20.11	       5	0	S	
09:32	   20.11	       6	0	B	
09:32	   20.11	      36	0	S	
09:32	   20.16	      10	0	B	
09:32	   20.11	       8	0	S	
09:32	   20.10	      49	0	S	
09:32	   20.10	      25	0	B	
09:32	   20.09	     194	0	S	
09:32	   20.08	      23	0	
09:32	   20.07	     111	0	S	
09:32	   20.06	      49	0	S	
