                  20250416 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   18.32	       0	0	
09:15	   18.78	       0	0	
09:15	   18.78	       0	0	
09:16	   19.00	       0	0	
09:16	   25.11	       0	0	
09:16	   25.11	       0	0	
09:16	   25.11	       0	0	
09:16	   25.11	       0	0	
09:16	   25.11	       0	0	
09:16	   25.11	       0	0	
09:17	   25.11	       0	0	
09:17	   25.11	       0	0	
09:17	   25.11	       0	0	
09:17	   25.11	       0	0	
09:17	   25.11	       0	0	
09:17	   25.11	       0	0	
09:17	   25.11	       0	0	
09:17	   25.11	       0	0	
09:17	   25.11	       0	0	
09:17	   25.11	       0	0	
09:17	   25.11	       0	0	
09:17	   25.11	       0	0	
09:17	   25.10	       0	0	
09:17	   25.09	       0	0	
09:18	   19.00	       0	0	
09:18	   19.85	       0	0	
09:19	   19.01	       0	0	
09:19	   19.07	       0	0	
09:20	   19.20	       0	0	
09:20	   19.20	       0	0	
09:21	   19.89	       0	0	
09:21	   19.89	       0	0	
09:21	   19.89	       0	0	
09:21	   19.88	       0	0	
09:22	   19.32	       0	0	
09:22	   19.33	       0	0	
09:22	   19.32	       0	0	
09:22	   19.32	       0	0	
09:22	   19.34	       0	0	
09:22	   19.34	       0	0	
09:22	   19.48	       0	0	
09:22	   19.50	       0	0	
09:23	   19.50	       0	0	
09:23	   19.85	       0	0	
09:23	   19.80	       0	0	
09:23	   19.85	       0	0	
09:23	   19.85	       0	0	
09:23	   19.85	       0	0	
09:23	   19.85	       0	0	
09:23	   19.85	       0	0	
09:23	   19.85	       0	0	
09:23	   19.85	       0	0	
09:24	   19.85	       0	0	
09:24	   19.78	       0	0	
09:24	   19.78	       0	0	
09:24	   19.30	       0	0	
09:24	   19.30	       0	0	
09:24	   19.30	       0	0	
09:24	   19.30	       0	0	
09:24	   19.30	       0	0	
09:24	   19.31	       0	0	
09:24	   19.31	       0	0	
09:24	   19.31	       0	0	
09:24	   19.30	       0	0	
09:24	   19.30	       0	0	
09:24	   19.30	       0	0	
09:25	   19.30	     381	0	
09:30	   19.32	     123	0	B	
09:30	   19.30	     466	0	B	
09:30	   19.30	       9	0	S	
09:30	   19.30	       2	0	S	
09:30	   19.30	      10	0	S	
09:30	   19.30	      19	0	S	
09:30	   19.33	     137	0	B	
09:30	   19.32	       7	0	B	
09:30	   19.34	      19	0	S	
09:30	   19.34	      43	0	S	
09:30	   19.30	      44	0	S	
09:30	   19.34	      42	0	B	
09:30	   19.30	       2	0	S	
09:30	   19.28	      17	0	S	
09:30	   19.33	       5	0	B	
09:30	   19.33	      15	0	B	
09:30	   19.30	      41	0	S	
09:30	   19.30	      12	0	S	
09:31	   19.31	      14	0	
09:31	   19.30	       9	0	S	
09:31	   19.30	      21	0	S	
09:31	   19.30	      19	0	S	
09:31	   19.30	      52	0	S	
09:31	   19.28	      65	0	S	
09:31	   19.26	       5	0	S	
09:31	   19.28	      36	0	B	
09:31	   19.28	      41	0	S	
09:31	   19.28	      46	0	S	
09:31	   19.28	      13	0	B	
09:31	   19.28	      67	0	B	
09:31	   19.26	       3	0	S	
09:31	   19.23	       3	0	S	
09:31	   19.23	      13	0	S	
09:31	   19.23	      40	0	S	
09:31	   19.20	     189	0	S	
09:31	   19.19	     104	0	S	
09:31	   19.19	      62	0	S	
09:32	   19.15	       6	0	S	
09:32	   19.10	      21	0	S	
09:32	   19.11	      30	0	S	
09:32	   19.11	       5	0	S	
09:32	   19.08	     119	0	S	
09:32	   19.08	       2	0	S	
09:32	   19.07	     111	0	S	
09:32	   19.02	      30	0	S	
09:32	   19.08	      25	0	B	
09:32	   19.02	      11	0	S	
09:32	   19.02	      11	0	B	
09:32	   19.03	      14	0	S	
09:32	   19.03	       9	0	S	
09:33	   19.03	      10	0	B	
09:33	   19.03	      86	0	B	
09:33	   19.02	      11	0	
09:33	   19.00	      57	0	S	
09:33	   19.03	      19	0	B	
09:33	   19.02	      16	0	S	
09:33	   19.08	      82	0	B	
09:33	   19.10	      70	0	B	
09:33	   19.16	      50	0	B	
09:33	   19.11	      48	0	S	
09:33	   19.23	      25	0	B	
09:33	   19.10	      28	0	S	
09:33	   19.16	       4	0	B	
09:33	   19.16	      37	0	B	
09:33	   19.16	      23	0	B	
09:33	   19.16	       3	0	B	
09:33	   19.16	      34	0	B	
09:33	   19.16	      11	0	S	
09:34	   19.16	       5	0	S	
09:34	   19.28	      15	0	B	
09:34	   19.18	      10	0	S	
09:34	   19.28	      17	0	B	
09:34	   19.28	      19	0	B	
09:34	   19.28	      12	0	S	
09:34	   19.26	       2	0	B	
09:34	   19.28	      13	0	B	
09:34	   19.28	       1	0	B	
09:34	   19.28	       7	0	B	
09:34	   19.28	       2	0	S	
09:34	   19.30	      20	0	B	
09:34	   19.26	      79	0	S	
09:35	   19.26	       5	0	B	
09:35	   19.26	      33	0	B	
09:35	   19.26	      15	0	B	
09:35	   19.21	       2	0	S	
09:35	   19.26	      15	0	B	
09:35	   19.26	      27	0	B	
09:35	   19.26	       1	0	S	
09:35	   19.26	      51	0	S	
09:35	   19.26	      70	0	S	
09:35	   19.26	      41	0	B	
09:35	   19.26	      48	0	B	
09:35	   19.24	      32	0	S	
09:35	   19.26	      46	0	B	
09:35	   19.26	       1	0	S	
09:35	   19.33	      13	0	B	
09:36	   19.34	       1	0	B	
09:36	   19.34	      20	0	B	
09:36	   19.34	      25	0	B	
09:36	   19.34	      15	0	B	
09:36	   19.34	       6	0	S	
09:36	   19.42	      45	0	B	
09:36	   19.43	      21	0	B	
09:36	   19.43	      21	0	B	
09:36	   19.42	      33	0	B	
09:36	   19.44	       7	0	B	
09:36	   19.49	      18	0	S	
09:36	   19.50	      18	0	B	
09:36	   19.64	      54	0	B	
09:36	   19.65	      60	0	B	
09:36	   19.70	     140	0	B	
09:36	   19.66	     119	0	S	
09:37	   19.66	     110	0	S	
09:37	   19.80	     125	0	B	
09:37	   19.82	      89	0	
09:37	   19.80	      12	0	B	
09:37	   19.75	      92	0	S	
09:37	   19.80	      31	0	B	
09:37	   19.75	      98	0	B	
09:37	   19.72	     214	0	B	
09:37	   19.70	      89	0	S	
09:37	   19.72	     143	0	B	
09:37	   19.74	      96	0	B	
09:37	   19.68	      27	0	B	
09:37	   19.74	      87	0	B	
09:37	   19.60	      60	0	S	
09:37	   19.60	       7	0	S	
09:37	   19.67	      59	0	B	
09:37	   19.68	       5	0	S	
09:37	   19.65	      12	0	S	
09:37	   19.74	     144	0	B	
09:38	   19.65	      15	0	B	
09:38	   19.67	      15	0	B	
09:38	   19.61	     338	0	S	
09:38	   19.67	      44	0	B	
09:38	   19.61	      57	0	S	
09:38	   19.61	      13	0	S	
09:38	   19.60	       5	0	B	
09:38	   19.58	      85	0	S	
09:38	   19.64	       4	0	B	
09:38	   19.66	      18	0	B	
09:38	   19.64	      10	0	
09:38	   19.68	      38	0	B	
09:38	   19.68	       3	0	S	
09:38	   19.68	      65	0	S	
09:38	   19.73	      17	0	B	
09:38	   19.72	      30	0	S	
09:38	   19.72	      10	0	S	
09:39	   19.77	     189	0	B	
09:39	   19.74	      32	0	S	
09:39	   19.80	      81	0	B	
09:39	   19.80	      42	0	B	
09:39	   19.76	      90	0	S	
09:39	   19.81	     234	0	B	
09:39	   19.74	      72	0	B	
09:39	   19.80	     213	0	B	
09:39	   19.80	      74	0	S	
09:39	   19.81	     163	0	B	
09:39	   19.81	     101	0	B	
09:39	   19.81	      95	0	S	
09:39	   19.76	      50	0	S	
09:39	   19.81	       6	0	B	
09:39	   19.82	       7	0	B	
09:39	   19.81	       4	0	B	
09:39	   19.82	      76	0	B	
09:39	   19.82	     154	0	B	
09:39	   19.81	      33	0	S	
09:40	   19.80	      16	0	B	
09:40	   19.74	      35	0	S	
09:40	   19.80	     198	0	B	
09:40	   19.72	       5	0	S	
09:40	   19.72	       5	0	S	
09:40	   19.72	       7	0	B	
09:40	   19.71	      43	0	S	
09:40	   19.70	      20	0	
09:40	   19.68	      81	0	S	
09:40	   19.69	       3	0	B	
09:40	   19.68	      44	0	S	
09:40	   19.68	      37	0	S	
09:40	   19.69	      11	0	B	
09:40	   19.68	       7	0	S	
09:40	   19.68	      20	0	B	
09:41	   19.62	       5	0	S	
09:41	   19.62	       4	0	S	
09:41	   19.66	      13	0	B	
09:41	   19.67	      31	0	B	
09:41	   19.67	      12	0	B	
09:41	   19.66	      25	0	S	
09:41	   19.66	      20	0	B	
09:41	   19.67	      26	0	B	
09:41	   19.68	      16	0	B	
09:41	   19.67	      15	0	B	
09:41	   19.68	      48	0	B	
09:41	   19.69	      14	0	B	
09:41	   19.68	       4	0	S	
09:42	   19.69	      60	0	B	
09:42	   19.69	       1	0	B	
09:42	   19.69	       5	0	B	
09:42	   19.71	       9	0	B	
09:42	   19.73	      39	0	B	
09:42	   19.73	      23	0	B	
09:42	   19.73	      23	0	S	
09:42	   19.78	       3	0	B	
09:42	   19.78	       2	0	B	
09:42	   19.79	     120	0	B	
09:42	   19.79	       9	0	S	
09:42	   19.79	      23	0	S	
09:42	   19.81	      13	0	B	
09:42	   19.82	      57	0	B	
09:42	   19.82	      56	0	B	
09:42	   19.84	      49	0	B	
09:42	   19.84	      56	0	B	
09:42	   19.84	     139	0	S	
09:42	   19.88	      71	0	B	
09:43	   19.90	     189	0	B	
09:43	   19.90	      20	0	B	
09:43	   19.92	      40	0	B	
09:43	   19.92	      31	0	B	
09:43	   19.93	      47	0	B	
09:43	   19.93	      28	0	S	
09:43	   19.94	      19	0	B	
09:43	   19.94	      22	0	S	
09:43	   19.97	      20	0	B	
09:43	   19.97	      69	0	B	
09:43	   19.98	     147	0	B	
09:43	   19.99	      29	0	B	
09:43	   19.98	     198	0	S	
09:43	   20.16	      65	0	B	
09:43	   20.00	      67	0	S	
09:43	   20.15	      18	0	B	
09:43	   20.04	      11	0	S	
09:43	   20.14	     174	0	B	
09:43	   20.15	      59	0	B	
09:43	   20.13	     114	0	S	
09:44	   20.01	     124	0	S	
09:44	   20.01	     133	0	B	
09:44	   19.98	     184	0	S	
09:44	   19.98	     101	0	B	
09:44	   20.00	     101	0	B	
09:44	   20.04	      66	0	B	
09:44	   19.97	      14	0	S	
09:44	   20.08	     194	0	B	
09:44	   20.08	      37	0	S	
09:44	   20.00	       3	0	S	
09:44	   20.08	       5	0	B	
09:44	   20.10	      16	0	B	
09:44	   20.07	       1	0	B	
09:44	   20.08	      42	0	B	
09:44	   20.10	      35	0	B	
09:44	   20.00	     140	0	S	
09:44	   19.98	      43	0	S	
09:44	   19.98	      33	0	S	
09:44	   20.07	      34	0	B	
09:45	   20.07	       8	0	B	
09:45	   19.99	       1	0	S	
09:45	   20.06	       5	0	B	
09:45	   19.99	       6	0	S	
09:45	   19.98	       1	0	
09:45	   19.99	       5	0	B	
09:45	   19.93	      91	0	S	
09:45	   19.99	       3	0	B	
09:45	   20.03	      95	0	B	
09:45	   19.99	      50	0	S	
09:45	   20.01	      13	0	B	
09:45	   20.01	      72	0	B	
09:45	   20.01	      18	0	B	
09:45	   20.00	      46	0	S	
09:45	   20.00	      66	0	S	
09:45	   20.04	       3	0	B	
09:45	   20.02	       4	0	S	
09:45	   20.04	       6	0	S	
09:46	   20.05	     111	0	B	
09:46	   20.07	      35	0	B	
09:46	   20.07	      28	0	S	
09:46	   20.07	      58	0	S	
09:46	   20.07	       4	0	S	
09:46	   20.04	      40	0	S	
09:46	   20.07	      30	0	B	
09:46	   20.04	      18	0	S	
09:46	   20.07	      55	0	B	
09:46	   20.02	       3	0	S	
09:46	   20.02	      87	0	B	
09:46	   20.00	      10	0	B	
09:46	   19.99	      91	0	S	
09:46	   19.99	      30	0	B	
09:46	   19.93	       5	0	S	
09:46	   19.93	       6	0	B	
09:46	   19.92	     133	0	S	
09:47	   19.92	     110	0	B	
09:47	   19.91	      33	0	S	
09:47	   19.91	       9	0	S	
